character	scene	value
8	1	1.0
6	1	1.0
1	1	14.0
5	1	3.0
10	1	2.0
12	1	28.0
9	1	12.0
2	1	9.0
3	1	3.0
11	1	10.0
4	1	22.0
7	1	2.0
13	2	4.0
14	2	18.0
12	2	27.0
4	2	20.0
7	2	34.0
14	3	4.0
15	3	56.0
8	3	34.0
16	3	8.0
17	4	61.0
4	4	11.0
12	4	29.0
5	5	12.0
14	5	1.0
20	5	2.0
12	5	19.0
18	5	6.0
19	5	4.0
15	5	10.0
16	5	13.0
4	5	1.0
7	5	37.0
17	6	76.0
4	6	20.0
12	6	5.0
15	7	1.0
16	7	57.0
12	7	43.0
21	8	75.0
12	8	26.0
17	9	43.0
12	9	23.0
15	9	23.0
22	9	3.0
23	9	5.0
4	9	7.0
15	10	45.0
16	10	55.0
21	11	49.0
16	11	19.0
12	11	33.0
17	12	33.0
6	12	2.0
5	12	7.0
12	12	18.0
9	12	2.0
8	12	6.0
11	12	8.0
4	12	27.0
15	13	22.0
16	13	79.0
21	14	49.0
15	14	13.0
12	14	40.0
13	15	11.0
8	15	6.0
7	15	84.0
7	16	26.0
15	16	10.0
12	16	10.0
8	16	15.0
16	16	42.0
21	17	45.0
13	17	19.0
16	17	38.0
8	18	7.0
15	18	5.0
16	18	25.0
19	18	11.0
7	18	55.0
8	19	6.0
16	19	95.0
18	20	4.0
15	20	13.0
8	20	10.0
19	20	7.0
7	20	68.0
21	21	18.0
22	21	20.0
13	21	5.0
26	21	1.0
24	21	7.0
27	21	1.0
25	21	3.0
15	21	20.0
8	21	10.0
7	21	20.0
28	22	13.0
29	22	8.0
12	22	80.0
21	23	57.0
30	23	44.0
21	24	24.0
9	24	4.0
8	24	2.0
33	24	1.0
13	24	11.0
34	24	1.0
12	24	26.0
32	24	6.0
28	24	7.0
7	24	4.0
31	24	3.0
11	24	12.0
16	24	5.0
