character	scene	value
6	1	10.0
2	1	25.0
3	1	9.0
7	1	1.0
8	1	2.0
10	1	1.0
1	1	37.0
9	1	2.0
4	1	11.0
5	1	5.0
12	1	1.0
11	1	2.0
6	2	28.0
14	2	17.0
2	2	12.0
1	2	3.0
9	2	1.0
4	2	14.0
13	2	28.0
6	3	4.0
2	3	12.0
3	3	17.0
5	3	13.0
8	3	5.0
4	3	14.0
13	3	39.0
8	4	36.0
15	4	4.0
6	4	32.0
1	4	31.0
14	5	1.0
2	5	17.0
3	5	15.0
5	5	11.0
8	5	1.0
1	5	3.0
9	5	17.0
4	5	14.0
13	5	25.0
16	5	2.0
14	6	45.0
17	6	13.0
5	6	2.0
23	6	2.0
10	6	1.0
20	6	1.0
19	6	1.0
21	6	1.0
13	6	37.0
18	6	3.0
22	6	1.0
6	7	20.0
2	7	53.0
24	7	12.0
8	7	5.0
1	7	4.0
9	7	8.0
6	8	6.0
14	8	18.0
5	8	23.0
26	8	9.0
25	8	1.0
13	8	46.0
24	9	21.0
1	9	11.0
2	9	26.0
3	9	19.0
9	9	25.0
5	10	28.0
6	10	9.0
27	10	12.0
13	10	53.0
2	11	8.0
3	11	9.0
24	11	10.0
13	11	13.0
5	11	4.0
8	11	2.0
1	11	12.0
9	11	11.0
4	11	9.0
27	11	28.0
6	12	9.0
2	12	2.0
3	12	6.0
13	12	32.0
8	12	4.0
1	12	13.0
27	12	1.0
9	12	3.0
4	12	2.0
5	12	26.0
28	12	6.0
