character	scene	value
2	1	41.0
3	1	30.0
1	1	30.0
5	2	38.0
4	2	63.0
2	3	32.0
7	3	31.0
6	3	39.0
8	4	11.0
3	4	55.0
1	4	36.0
2	5	78.0
4	5	19.0
7	5	5.0
9	6	76.0
7	6	25.0
11	7	9.0
8	7	10.0
1	7	52.0
2	7	23.0
3	7	2.0
10	7	7.0
9	8	58.0
3	8	42.0
2	9	100.0
5	10	20.0
4	10	80.0
11	11	28.0
9	11	23.0
2	11	21.0
3	11	10.0
1	11	21.0
11	12	43.0
2	12	43.0
10	12	15.0
14	13	27.0
3	13	4.0
13	13	19.0
12	13	20.0
1	13	31.0
15	14	27.0
2	14	30.0
8	14	21.0
4	14	19.0
10	14	5.0
16	15	36.0
8	15	64.0
9	16	24.0
2	16	15.0
8	16	15.0
4	16	48.0
16	17	77.0
8	17	24.0
11	18	30.0
2	18	25.0
4	18	20.0
10	18	27.0
14	19	34.0
8	19	20.0
13	19	7.0
12	19	40.0
11	20	12.0
8	20	12.0
4	20	11.0
1	20	41.0
17	20	1.0
2	20	23.0
10	20	3.0
