character	scene	value
1	1	75.0
2	1	5.0
3	1	21.0
5	2	49.0
4	2	52.0
8	3	34.0
6	3	45.0
7	3	23.0
1	4	60.0
4	4	32.0
3	4	9.0
6	5	3.0
11	5	11.0
9	5	20.0
10	5	39.0
4	5	23.0
7	5	7.0
13	6	75.0
12	6	26.0
11	7	30.0
4	7	70.0
8	8	23.0
11	8	11.0
9	8	18.0
6	8	30.0
7	8	20.0
1	9	54.0
2	9	3.0
9	9	20.0
4	9	25.0
8	10	7.0
14	10	14.0
11	10	55.0
6	10	18.0
7	10	9.0
8	11	4.0
10	11	33.0
9	11	22.0
4	11	40.0
6	11	4.0
8	12	14.0
14	12	28.0
6	12	40.0
7	12	19.0
13	13	38.0
12	13	63.0
4	14	14.0
15	14	1.0
11	14	14.0
12	14	9.0
16	14	2.0
14	14	9.0
10	14	12.0
6	14	32.0
8	14	4.0
17	14	1.0
7	14	6.0
8	15	9.0
13	15	28.0
10	15	28.0
6	15	12.0
9	15	26.0
11	16	31.0
6	16	9.0
9	16	58.0
7	16	4.0
13	17	66.0
10	17	35.0
6	18	2.0
11	18	5.0
9	18	18.0
12	18	7.0
16	18	2.0
1	18	22.0
14	18	7.0
10	18	17.0
4	18	12.0
8	18	4.0
13	18	8.0
18	18	2.0
