character	scene	value
3	1	4.0
6	1	22.0
13	1	4.0
5	1	1.0
10	1	16.0
8	1	10.0
9	1	2.0
7	1	3.0
12	1	3.0
11	1	1.0
1	1	26.0
4	1	4.0
2	1	10.0
6	2	40.0
11	2	2.0
19	2	1.0
13	2	3.0
22	2	2.0
14	2	4.0
24	2	1.0
16	2	3.0
23	2	2.0
21	2	1.0
17	2	3.0
10	2	30.0
18	2	1.0
12	2	5.0
20	2	10.0
15	2	1.0
25	3	93.0
26	3	8.0
6	4	31.0
30	4	9.0
33	4	1.0
29	4	3.0
28	4	3.0
31	4	3.0
10	4	11.0
32	4	1.0
20	4	32.0
27	4	4.0
26	4	8.0
16	5	5.0
33	5	41.0
34	5	55.0
9	6	45.0
35	6	35.0
38	6	2.0
36	6	7.0
37	6	13.0
16	7	42.0
39	7	59.0
6	8	17.0
33	8	3.0
37	8	5.0
43	8	24.0
40	8	7.0
45	8	5.0
46	8	1.0
42	8	9.0
44	8	5.0
20	8	17.0
41	8	11.0
47	9	27.0
11	9	64.0
49	9	1.0
48	9	9.0
6	10	45.0
13	10	23.0
52	10	3.0
50	10	1.0
51	10	1.0
12	10	21.0
15	10	9.0
6	11	100.0
53	12	12.0
23	12	12.0
22	12	16.0
20	12	63.0
6	13	66.0
11	13	6.0
59	13	1.0
57	13	1.0
56	13	2.0
10	13	17.0
54	13	1.0
58	13	2.0
20	13	7.0
55	13	2.0
6	14	48.0
60	14	3.0
48	14	11.0
47	14	12.0
20	14	5.0
1	14	10.0
2	14	14.0
47	15	16.0
49	15	22.0
7	15	58.0
48	15	6.0
61	16	100.0
47	17	26.0
11	17	44.0
61	17	5.0
60	17	1.0
48	17	24.0
