character	scene	value
1	1	21.0
5	1	28.0
13	1	1.0
8	1	1.0
14	1	1.0
9	1	2.0
11	1	1.0
6	1	6.0
15	1	1.0
3	1	15.0
7	1	14.0
10	1	2.0
4	1	2.0
12	1	1.0
2	1	10.0
8	2	14.0
16	2	64.0
9	2	23.0
1	3	21.0
5	3	52.0
9	3	7.0
3	3	11.0
10	3	7.0
2	3	4.0
1	4	12.0
5	4	3.0
13	4	8.0
8	4	4.0
14	4	10.0
9	4	5.0
16	4	13.0
7	4	28.0
10	4	16.0
2	4	5.0
8	5	8.0
9	5	11.0
17	5	83.0
18	6	3.0
16	6	7.0
3	6	16.0
5	6	63.0
6	6	13.0
19	7	3.0
3	7	12.0
5	7	87.0
19	8	20.0
3	8	37.0
5	8	45.0
8	9	8.0
16	9	60.0
9	9	16.0
19	9	8.0
20	9	11.0
3	10	16.0
5	10	65.0
22	10	13.0
21	10	8.0
23	11	8.0
1	11	49.0
7	11	39.0
22	11	6.0
27	12	2.0
23	12	4.0
26	12	13.0
6	12	25.0
25	12	1.0
16	12	52.0
24	12	6.0
5	13	65.0
8	13	2.0
9	13	1.0
21	13	3.0
3	13	1.0
7	13	31.0
23	14	4.0
1	14	5.0
5	14	15.0
15	14	1.0
6	14	39.0
16	14	5.0
3	14	30.0
7	14	1.0
24	14	1.0
19	14	2.0
