character	scene	value
7	1	2.0
3	1	4.0
5	1	31.0
4	1	11.0
1	1	5.0
2	1	44.0
6	1	7.0
9	2	60.0
10	2	12.0
12	2	9.0
11	2	6.0
8	2	15.0
14	3	3.0
3	3	7.0
5	3	25.0
4	3	35.0
10	3	4.0
13	3	4.0
6	3	27.0
11	4	30.0
15	4	30.0
16	4	41.0
9	5	9.0
12	5	52.0
8	5	40.0
10	6	3.0
11	6	41.0
15	6	20.0
16	6	38.0
14	7	1.0
3	7	21.0
5	7	22.0
4	7	11.0
9	7	12.0
13	7	1.0
6	7	10.0
10	7	25.0
17	8	15.0
18	8	9.0
19	8	3.0
9	8	35.0
11	8	7.0
10	8	11.0
8	8	2.0
12	8	9.0
15	8	6.0
16	8	9.0
11	9	3.0
9	9	54.0
5	9	7.0
4	9	1.0
10	9	7.0
3	9	16.0
8	9	2.0
2	9	5.0
12	9	4.0
6	9	3.0
15	9	2.0
16	9	2.0
