character	scene	value
1	1	72
2	1	17
3	1	5
4	2	2
2	2	90
5	2	88
6	2	20
7	3	2
8	3	80
9	3	77
10	3	175
3	3	56
11	4	14
12	4	23
13	4	41
14	4	11
15	5	30
16	5	12
17	5	75
1	5	83
18	5	4
19	5	10
9	6	51
10	6	65
14	6	13
20	6	21
12	6	36
11	6	3
13	6	29
8	6	9
15	7	19
2	7	58
21	7	23
22	7	16
1	8	72
2	8	27
5	8	55
22	8	2
9	9	14
10	9	119
14	9	29
12	9	3
23	9	26
20	9	3
7	9	1
11	9	69
13	9	20
8	9	1
15	10	34
24	10	1
20	10	29
3	10	17
1	11	18
2	11	28
3	11	19
5	11	34
15	12	9
1	12	4
3	13	8
15	13	2
2	13	11
20	13	11
24	13	1
1	13	97
5	13	23
25	14	3
3	14	23
9	14	35
10	14	62
14	14	3
20	14	7
17	14	72
12	14	26
7	14	16
1	14	9
11	14	23
8	14	24
5	14	10
9	15	3
14	15	8
20	15	1
17	15	12
12	15	4
7	15	1
1	15	1
11	15	16
13	15	31
1	16	66
20	16	49
13	16	3
10	16	15
5	16	90
26	17	12
2	17	3
16	17	10
17	17	36
1	17	40
19	17	25
17	18	3
13	18	18
20	18	3
9	19	13
10	19	14
20	19	6
12	19	1
11	19	5
8	19	17
22	19	2
1	20	10
12	20	7
20	20	4
11	20	6
17	20	14
11	21	9
13	22	5
27	22	4
17	23	6
11	23	21
20	24	1
8	24	3
9	24	6
12	24	2
1	25	30
25	25	1
3	25	4
2	25	19
