character	scene	value
1	1	9
2	1	8
1	2	115
3	2	3
4	2	201
5	2	115
6	2	78
7	3	9
4	3	103
8	3	4
6	3	49
9	3	16
3	3	15
10	3	25
11	4	21
12	4	9
13	4	40
14	5	2
13	5	90
4	5	97
15	5	12
10	5	28
9	5	8
16	6	17
17	6	10
14	7	1
13	7	30
4	7	81
15	7	4
6	7	88
9	7	34
18	7	10
19	8	14
20	8	11
10	8	47
21	8	11
22	9	29
1	10	6
5	10	9
21	11	22
23	11	41
19	12	80
24	12	14
5	12	61
21	12	44
15	12	25
23	12	88
25	12	12
26	12	115
27	12	170
1	12	113
13	13	68
4	13	112
15	13	18
16	13	11
17	13	11
9	13	22
26	13	3
27	13	28
21	14	16
23	14	9
19	14	6
28	14	13
29	14	10
30	14	6
13	15	82
4	15	74
5	15	10
6	15	8
1	15	2
26	15	5
