character	scene	value
10	1	4.0
6	1	2.0
1	1	18.0
3	1	27.0
2	1	34.0
5	1	6.0
9	1	2.0
8	1	2.0
7	1	3.0
4	1	8.0
9	2	9.0
3	2	92.0
6	3	2.0
5	3	50.0
11	3	8.0
7	3	26.0
8	3	17.0
9	4	10.0
12	4	58.0
15	4	7.0
13	4	3.0
14	4	25.0
17	5	18.0
1	5	8.0
18	5	14.0
11	5	5.0
16	5	35.0
8	5	5.0
12	5	1.0
7	5	7.0
4	5	12.0
6	6	2.0
18	6	36.0
5	6	36.0
12	6	25.0
7	6	3.0
19	6	1.0
13	7	7.0
1	7	20.0
2	7	3.0
11	7	32.0
14	7	33.0
4	7	7.0
9	8	8.0
1	8	12.0
3	8	44.0
2	8	2.0
11	8	15.0
14	8	10.0
4	8	12.0
20	9	2.0
1	9	9.0
2	9	5.0
19	9	4.0
11	9	9.0
16	9	16.0
14	9	4.0
18	9	42.0
4	9	14.0
17	10	29.0
21	10	1.0
3	10	6.0
18	10	13.0
5	10	17.0
16	10	25.0
4	10	5.0
14	10	3.0
19	10	5.0
10	11	16.0
1	11	9.0
2	11	20.0
16	11	8.0
15	11	26.0
12	11	16.0
4	11	8.0
6	12	3.0
5	12	69.0
18	12	19.0
12	12	10.0
12	13	20.0
16	13	22.0
3	13	43.0
22	13	17.0
17	14	27.0
23	14	2.0
1	14	2.0
3	14	5.0
18	14	24.0
5	14	8.0
16	14	32.0
24	14	1.0
4	14	4.0
6	15	37.0
11	15	64.0
17	16	8.0
16	16	46.0
3	16	13.0
18	16	12.0
4	16	23.0
6	17	5.0
9	17	20.0
3	17	7.0
5	17	34.0
11	17	23.0
12	17	10.0
14	17	5.0
15	18	88.0
11	18	13.0
5	19	87.0
18	19	7.0
12	19	7.0
1	20	22.0
4	20	50.0
2	20	29.0
14	21	5.0
16	21	74.0
17	21	22.0
3	22	100.0
10	23	1.0
17	23	3.0
3	23	8.0
2	23	7.0
18	23	12.0
5	23	26.0
16	23	10.0
14	23	2.0
15	23	5.0
12	23	19.0
7	23	3.0
4	23	8.0
