character	scene	value
1	1	13
2	1	86
3	1	5
4	1	72
5	1	46
6	2	6
7	2	45
8	2	6
9	2	32
10	3	32
11	3	5
4	3	45
12	3	27
9	4	23
13	4	32
14	4	6
15	4	1
16	4	12
7	4	21
17	4	1
8	4	3
18	5	29
19	5	9
20	5	45
8	5	8
2	6	22
21	6	4
22	6	44
18	7	8
23	7	15
13	7	49
24	7	42
19	7	9
25	7	5
26	7	1
20	7	15
27	7	3
7	7	49
28	7	2
29	7	6
8	7	2
30	8	80
31	8	30
19	9	8
32	9	1
33	9	70
34	9	7
35	9	4
7	9	61
36	9	1
37	9	7
38	9	13
10	10	102
11	10	58
39	10	4
40	10	100
41	10	89
12	10	22
19	11	1
7	11	24
41	11	28
40	11	1
42	11	6
30	12	256
43	12	26
20	12	45
40	12	12
31	12	33
44	12	9
41	12	2
45	12	18
19	13	1
7	13	10
33	13	18
46	13	10
9	14	44
43	14	3
47	14	1
31	14	13
45	14	5
41	14	9
20	14	72
19	15	4
33	15	18
46	15	3
7	15	21
23	15	26
38	15	34
48	16	6
13	16	5
24	16	5
30	17	27
23	17	10
9	17	9
41	17	13
33	17	8
49	17	1
7	17	20
50	17	5
51	17	8
