character	scene	value
1	1	6
2	1	22
3	1	13
4	1	72
5	1	21
6	1	1
1	2	8
7	2	63
8	2	5
9	2	6
10	3	30
4	3	32
5	3	126
11	3	6
7	4	83
9	4	8
12	4	1
1	4	7
2	4	16
3	4	30
4	4	63
8	4	2
10	5	21
5	5	16
7	6	74
13	6	1
3	6	34
14	6	1
2	6	50
1	6	32
15	6	5
4	6	39
16	6	1
10	7	9
2	7	24
4	7	7
3	8	11
1	8	39
2	8	8
4	8	17
17	9	14
8	9	8
9	9	6
10	10	8
18	10	9
19	10	13
5	10	42
4	10	38
1	11	7
17	11	3
5	12	26
11	12	18
20	13	33
2	13	1
21	13	2
22	13	11
23	13	44
1	14	20
9	14	12
8	14	16
2	14	7
23	15	16
4	15	37
2	16	33
24	16	13
13	16	2
25	16	2
26	16	14
1	17	31
20	17	50
9	18	34
26	18	46
27	18	1
2	18	48
1	18	6
8	18	30
20	19	3
23	19	3
4	19	34
3	20	19
10	20	16
5	20	5
23	21	1
28	21	20
4	21	22
10	22	7
2	22	9
3	22	7
7	23	140
3	23	29
29	23	7
28	23	13
1	23	56
2	23	8
20	23	69
4	23	10
5	23	18
23	23	2
