character	scene	value
1	1	6
2	1	21
3	1	29
4	1	1
5	1	18
6	2	5
2	2	6
7	2	20
8	2	18
9	2	2
4	2	17
10	2	9
11	2	7
12	2	17
3	2	63
2	3	61
7	3	14
3	3	47
9	4	9
13	4	64
4	4	7
14	4	14
2	5	59
7	5	7
15	5	6
10	5	17
16	6	44
17	6	3
18	6	14
3	7	74
19	7	29
8	7	80
14	7	19
13	7	53
20	7	10
12	8	16
21	8	7
3	8	24
13	8	2
20	9	3
22	9	1
19	9	2
14	9	9
2	10	105
7	10	10
4	10	24
23	10	2
15	10	1
23	11	2
8	11	26
14	11	4
16	11	61
13	11	12
3	11	16
18	11	16
24	12	4
23	12	2
25	12	6
26	12	3
8	12	16
14	12	11
16	12	32
13	12	19
3	12	31
18	12	27
27	13	12
28	13	29
21	14	3
3	14	23
13	14	20
8	14	25
19	14	13
2	15	27
7	15	11
4	15	19
10	15	4
21	16	16
3	16	25
8	17	9
29	17	12
20	18	10
21	18	13
13	18	82
19	18	5
2	19	13
30	19	19
31	19	12
4	19	3
8	19	29
3	19	27
13	20	7
32	20	1
3	21	5
30	22	9
33	22	20
8	22	17
23	23	1
2	23	7
7	23	2
11	23	5
3	23	52
29	23	13
34	24	12
13	24	23
35	24	3
36	24	6
34	25	2
37	25	24
2	25	79
8	25	34
35	25	30
3	25	76
20	26	5
13	26	13
38	27	1
3	27	47
8	27	8
39	28	1
40	28	14
23	28	3
41	28	12
42	28	5
23	29	1
43	29	1
2	29	10
7	29	1
31	29	4
3	29	34
29	29	1
31	30	12
3	30	11
29	30	2
31	31	9
13	31	11
4	31	2
8	31	20
19	31	1
3	32	5
29	32	2
33	32	11
19	32	4
2	33	2
3	33	44
44	34	5
45	34	6
46	34	13
8	34	14
3	35	9
33	35	1
13	36	5
2	37	1
3	37	46
33	37	8
2	38	9
7	38	4
23	39	2
15	39	12
47	39	5
48	39	16
49	39	2
50	39	6
3	39	103
29	39	19
51	39	2
23	40	1
2	40	72
7	40	6
48	40	4
11	40	3
3	40	19
23	41	1
52	41	2
53	41	5
19	41	6
13	41	51
36	41	3
20	41	4
50	41	14
23	42	2
54	42	4
55	42	4
52	42	29
2	42	204
7	42	28
13	42	57
56	42	2
57	42	12
11	42	9
51	42	3
47	42	12
36	42	42
