character	scene	value
1	1	116
2	2	6
1	2	164
3	2	17
4	2	125
5	2	16
6	3	15
7	3	1
8	3	22
9	3	7
10	3	18
11	4	3
12	4	15
13	4	12
14	4	11
15	4	1
2	4	3
5	4	11
4	4	139
6	5	3
7	5	5
8	5	7
9	5	8
10	5	5
16	6	51
17	6	2
18	6	35
19	6	12
5	6	58
4	7	35
7	8	9
6	8	1
20	8	5
10	8	2
21	8	4
22	8	14
8	8	12
23	8	9
4	9	53
24	9	7
25	10	1
26	10	23
27	10	16
16	11	32
18	11	10
19	11	20
28	11	9
8	12	9
4	12	40
22	12	21
29	12	8
23	12	7
30	12	0
17	13	2
31	13	29
18	13	18
19	13	32
32	13	4
33	14	1
34	14	9
35	14	8
4	14	148
22	14	6
8	14	12
23	14	3
36	14	14
30	14	2
31	15	3
19	15	28
37	15	18
17	15	1
18	15	11
32	15	3
11	16	7
29	16	12
38	16	9
2	16	7
30	16	1
4	16	99
5	16	3
39	17	11
7	17	12
8	17	18
31	18	4
18	18	5
19	18	4
40	18	10
4	19	13
5	19	26
30	20	1
4	20	57
22	20	23
29	20	15
23	20	9
36	20	5
5	20	2
22	21	19
5	21	5
4	21	64
36	21	16
41	21	1
22	22	14
8	22	17
23	22	7
16	23	26
42	23	1
43	23	1
44	23	30
27	23	6
45	23	55
46	23	15
26	23	15
4	23	86
5	23	5
2	23	3
