character	scene	value
1	1	105
2	1	15
3	1	28
4	1	3
5	1	29
6	1	1
7	1	22
8	1	16
9	1	59
10	2	4
1	2	83
11	2	13
12	2	13
13	2	17
8	2	26
14	2	141
15	2	5
9	2	113
16	2	81
17	2	56
18	2	49
5	2	21
10	3	29
1	3	20
17	3	6
13	3	8
14	3	63
15	3	0
19	3	5
20	3	67
5	3	2
18	3	91
9	3	39
1	4	10
9	4	3
21	5	7
15	5	1
9	5	64
1	5	4
5	5	5
14	6	25
20	6	66
17	6	19
18	6	68
22	7	1
15	7	106
21	7	37
23	8	57
1	8	22
24	8	14
9	8	123
21	8	33
25	8	1
19	8	29
23	9	11
1	9	55
26	9	19
15	9	11
19	9	48
21	9	27
20	10	9
1	10	43
9	10	30
20	11	15
1	11	52
17	11	77
19	11	30
24	12	8
9	12	10
21	12	1
23	13	5
27	13	38
19	13	19
24	14	6
17	14	18
1	15	18
21	15	23
9	16	26
28	16	29
1	16	40
19	16	22
23	16	6
