character	scene	value
1	1	11
2	1	70
3	1	8
4	2	27
5	2	17
6	2	13
7	2	50
8	2	16
9	2	2
10	2	10
2	3	48
11	3	6
12	4	9
4	4	58
13	4	31
1	5	30
14	5	8
15	5	3
3	5	75
8	5	45
9	5	1
16	5	26
17	6	4
1	6	76
9	6	26
13	6	115
9	7	22
18	7	27
1	8	117
17	8	1
13	8	74
9	9	13
13	9	91
7	9	97
2	10	31
5	10	1
4	10	67
3	10	26
8	10	11
9	10	3
16	10	20
2	11	7
13	11	33
19	11	22
8	12	18
9	12	110
20	12	6
7	12	3
2	13	15
13	13	46
21	13	13
4	13	18
8	13	15
9	13	40
20	13	11
1	14	21
3	14	4
22	15	2
2	15	3
22	16	7
13	16	7
19	16	2
1	17	51
2	17	208
13	17	72
19	17	40
4	17	68
3	17	34
9	17	26
22	17	42
