character	scene	value
1	1	64
2	1	47
3	1	2
4	1	40
5	1	43
6	1	41
7	1	5
8	2	1
9	2	27
10	2	3
11	2	1
12	2	1
13	2	1
14	2	23
3	3	21
15	3	72
5	3	34
16	3	27
17	3	80
18	3	34
2	4	16
3	4	1
6	4	52
15	4	9
19	4	15
5	4	37
20	4	8
21	4	3
17	4	9
18	4	21
8	5	1
22	5	2
9	5	41
23	5	3
10	5	6
24	5	3
15	5	34
11	5	7
25	5	3
13	5	2
14	5	33
18	5	6
2	6	70
3	6	75
5	6	110
6	6	78
17	6	49
18	6	102
1	7	46
9	7	12
23	7	1
2	7	3
3	7	30
24	7	2
15	7	28
4	7	10
5	7	4
6	7	8
25	7	1
7	7	6
17	7	50
18	7	1
12	8	1
14	8	6
10	8	6
13	8	1
9	8	6
1	9	168
9	9	32
3	9	57
15	9	5
6	9	22
7	9	36
26	9	11
27	9	20
17	9	29
18	9	37
