character	scene	value
1	1	29
2	1	24
3	1	34
4	1	4
5	1	38
6	1	42
7	2	24
8	2	1
9	2	15
5	3	24
10	3	101
6	3	32
11	4	31
7	4	17
12	5	36
13	5	31
5	5	26
14	5	4
3	5	17
12	6	2
15	6	16
12	7	3
2	7	3
1	7	4
4	7	29
3	7	3
12	8	9
10	8	35
15	8	4
6	9	5
1	9	5
4	9	25
15	9	17
3	9	21
7	10	11
11	10	67
1	11	30
2	11	17
7	12	21
16	12	9
9	12	8
17	12	64
10	13	21
8	13	1
1	13	11
2	13	11
18	13	9
7	14	113
19	14	1
15	14	7
3	14	26
5	14	138
9	14	5
20	14	20
2	15	4
10	15	15
6	15	19
21	16	1
7	16	69
4	16	10
15	16	0
9	16	2
12	17	11
4	17	17
15	17	21
22	18	77
3	18	44
5	18	76
10	18	198
6	18	60
20	18	4
7	19	5
3	19	20
7	20	117
15	20	13
6	20	10
4	20	57
12	20	29
5	20	32
3	20	28
9	20	28
23	20	7
