character	scene	value
1	1	4
2	1	4
3	1	3
4	1	3
5	2	6
6	2	33
7	2	2
8	2	18
9	2	17
10	3	17
4	3	15
11	3	26
12	3	64
1	3	26
2	3	6
8	3	16
5	4	9
11	4	10
12	4	2
9	4	45
13	5	5
11	5	4
14	5	66
14	6	11
12	6	9
9	6	20
11	7	50
14	7	41
15	8	2
12	8	25
11	8	44
11	9	39
14	9	49
3	10	3
7	10	19
16	10	51
5	10	11
11	10	33
14	10	6
17	10	5
12	10	13
18	10	10
16	11	14
19	11	11
8	11	29
20	12	1
11	12	116
14	12	3
21	12	5
22	12	7
12	12	22
23	12	3
20	13	2
11	13	41
14	13	19
22	14	14
24	14	10
12	14	2
21	14	9
25	15	12
7	15	6
26	15	12
11	15	79
14	15	55
8	15	6
1	16	3
27	16	35
28	17	22
7	17	33
3	18	15
7	18	21
29	18	4
27	18	6
11	18	65
4	18	16
1	18	30
2	18	19
30	18	5
31	18	3
32	19	39
26	19	4
33	19	18
13	19	7
8	19	16
5	20	134
16	20	86
8	20	39
34	20	5
35	21	14
14	21	8
34	21	22
10	22	9
7	22	8
36	22	10
37	22	11
20	23	3
38	23	3
11	23	58
34	23	7
39	24	11
40	24	1
5	24	11
16	24	3
36	24	2
38	25	2
13	25	6
11	25	46
39	26	3
5	26	6
16	26	4
39	27	7
41	27	8
16	27	9
11	27	13
5	27	2
3	28	1
16	28	18
39	28	11
5	28	19
11	28	29
8	28	9
