character	scene	value
1	1	10
2	1	23
3	1	124
4	1	5
5	2	113
6	2	2
3	2	157
7	3	5
3	3	96
8	3	2
9	3	145
10	3	10
11	3	16
12	3	12
13	3	49
14	3	7
15	3	2
16	3	2
1	3	4
17	4	1
2	4	129
18	4	35
19	4	56
4	4	17
20	4	8
3	5	41
21	5	80
11	5	1
12	5	6
13	5	6
14	5	3
15	5	4
1	5	3
22	6	18
23	6	3
3	6	12
11	6	20
24	6	56
12	6	24
13	6	19
25	6	3
1	6	1
26	7	12
27	7	8
28	7	29
24	8	23
29	8	5
30	8	8
13	8	21
31	8	17
3	9	47
8	9	5
32	9	1
12	9	54
33	9	9
31	9	28
34	9	52
1	9	6
8	10	15
35	10	4
12	10	3
36	10	3
30	10	17
14	10	13
1	10	66
37	11	2
10	11	3
11	11	23
3	12	29
37	12	2
38	12	1
12	12	11
39	12	6
14	12	8
1	12	42
12	13	40
38	13	2
3	13	61
32	13	9
40	14	15
8	15	14
12	15	159
41	15	1
32	15	4
3	15	66
24	16	8
13	16	31
4	16	6
14	16	11
5	16	46
15	16	1
12	17	37
42	17	7
43	17	4
3	17	80
14	17	4
37	18	4
42	18	30
3	18	28
3	19	199
8	19	8
9	19	98
44	19	6
24	19	44
45	19	4
37	19	9
13	19	152
46	19	8
14	19	17
47	19	10
14	20	10
48	20	13
12	21	27
49	21	2
50	22	20
51	22	2
52	22	2
53	22	0
54	23	1
55	23	69
56	23	10
3	23	158
57	23	1
8	23	3
50	23	93
37	23	15
30	23	1
14	23	21
58	23	10
52	23	6
8	24	9
3	24	4
50	25	39
14	25	4
