character	scene	value
1	1	2
2	1	6
3	1	3
4	1	3
5	1	42
6	1	1
7	1	8
8	1	68
9	1	4
10	1	0
11	2	1
2	2	58
12	2	16
13	2	8
8	2	1
14	2	14
15	2	35
16	3	12
17	3	58
18	3	11
19	3	6
20	3	87
21	3	9
22	3	5
23	3	30
14	3	1
2	3	6
16	4	106
24	4	22
25	4	80
22	4	2
23	4	56
17	5	6
18	5	101
19	5	15
23	5	74
21	5	50
25	5	157
19	6	57
26	6	3
16	6	9
20	6	9
24	7	1
17	7	18
18	7	39
19	7	1
20	7	5
21	7	34
22	7	18
23	7	45
25	7	68
24	8	38
27	8	26
28	8	1
29	8	1
30	8	3
31	8	1
21	8	2
32	8	1
33	8	1
25	8	84
34	8	4
35	9	57
16	9	30
17	9	21
19	9	15
20	9	2
22	9	5
16	10	23
24	10	30
36	10	16
21	10	42
37	10	1
25	10	66
35	11	14
20	11	11
22	11	44
18	11	35
21	12	21
16	12	5
38	12	8
25	12	46
18	13	11
25	13	13
19	13	2
20	13	15
21	13	5
22	13	10
23	13	13
38	13	46
16	14	17
17	14	4
18	14	11
38	14	2
19	14	8
20	14	24
21	14	47
22	14	5
23	14	3
25	14	65
39	14	11
