character	scene	value
1	1	56
2	1	27
3	1	42
4	2	53
5	2	95
6	3	27
1	3	24
7	3	39
8	4	25
2	4	42
3	4	60
6	5	1
1	5	18
5	5	7
9	6	13
6	6	8
10	7	16
11	7	1
3	7	102
1	7	50
8	7	22
2	7	4
12	7	11
9	8	17
2	8	18
1	9	39
4	10	15
5	10	67
9	11	45
10	11	96
1	11	74
2	11	33
3	11	76
10	12	48
1	12	41
12	12	8
3	13	19
2	13	1
13	13	16
14	13	15
15	13	24
16	14	38
1	14	61
8	14	26
12	14	9
17	15	16
8	15	29
9	16	10
8	16	103
1	16	44
5	16	19
17	17	11
8	17	2
10	18	18
1	18	23
5	18	3
12	18	21
8	19	2
13	19	1
14	19	5
15	19	6
10	20	17
5	20	14
3	20	67
18	20	1
1	20	54
8	20	19
12	20	3
