character	scene	value
1	1	62
2	1	3
3	1	36
4	1	5
5	1	16
6	1	1
7	1	8
8	1	41
9	1	75
10	2	71
11	2	45
12	2	12
5	3	57
2	3	10
4	3	42
13	4	9
1	4	43
8	4	2
3	4	2
9	4	1
3	5	2
8	5	6
9	5	1
14	6	11
15	6	7
16	6	4
5	7	27
17	7	14
10	7	164
11	7	110
14	7	19
18	8	8
19	8	7
20	8	11
11	8	38
21	8	9
15	9	33
5	10	21
1	10	15
2	10	12
4	10	7
11	10	29
15	11	36
10	12	55
11	12	73
15	13	34
10	14	40
11	14	49
15	15	26
1	16	6
22	16	1
15	16	5
23	16	1
19	16	6
21	16	5
24	16	78
20	16	18
4	16	1
5	16	2
2	16	7
25	16	1
18	16	6
26	17	2
1	17	58
2	17	12
10	17	124
4	17	15
5	17	52
11	17	98
15	18	24
14	18	31
27	18	8
28	18	28
16	18	60
29	18	21
1	19	12
2	19	35
30	19	5
31	19	42
4	19	11
5	19	77
14	20	7
15	20	11
16	20	1
32	20	14
5	21	37
1	21	16
2	21	4
10	21	81
11	21	46
31	22	4
14	22	19
15	22	58
16	22	29
32	22	51
1	23	48
2	23	1
33	23	13
4	23	9
5	23	96
11	23	4
34	24	2
1	24	38
2	24	46
10	24	41
35	24	3
14	24	3
36	24	1
37	24	3
31	24	2
38	24	7
11	24	7
5	24	3
39	24	3
40	24	16
41	24	4
