character	scene	value
1	1	46
2	1	106
3	1	143
4	1	1
5	1	3
6	1	50
7	1	58
8	1	9
9	1	6
10	1	8
11	1	12
12	1	78
13	2	25
14	2	84
15	2	31
1	3	3
3	3	19
2	3	5
12	3	1
8	3	1
2	4	30
4	4	18
13	4	9
9	4	40
15	4	8
14	4	47
7	4	106
8	4	46
3	4	3
12	4	14
13	5	3
15	5	10
1	5	47
1	6	47
3	6	189
16	6	8
14	6	15
6	6	48
1	7	10
3	7	72
17	7	3
1	8	52
3	8	57
17	8	23
13	9	10
14	9	91
15	9	50
17	9	14
18	9	18
1	10	16
3	10	74
19	10	9
20	10	10
20	11	6
2	11	55
7	11	43
21	11	9
22	12	18
23	12	4
24	12	1
25	12	8
21	12	6
6	12	40
14	12	82
1	13	1
13	13	4
3	13	117
15	13	1
19	13	6
7	13	79
1	14	73
2	14	12
25	14	1
21	14	4
3	14	29
17	14	4
6	14	67
26	14	8
14	14	8
7	14	2
27	14	3
