duke,old,fair,give,sweet,mine,two,gentle,wit,fool,love,eyes,speak,lie,little,court,thank,pray,god,away,father,young,better,live,call,take,master,tell,forest,poor,youth,life,full,shepherd,never,bear,rosalind,world,true,man,faith,woman,fortune,hour,marry,orlando,brother,phebe,heart,time
JAQUES DE BOYS 1 240.0,AUDREY 1 280.0,AUDREY 1 280.0,SIR OLIVER MARTEXT 2 346.666666667,OLIVER 2 120.0,DUKE SENIOR 1 0,JAQUES DE BOYS 1 240.0,AUDREY 1 280.0,DUKE SENIOR 11 0,First Lord 1 106.666666667,OLIVER 5 120.0,DUKE SENIOR 1 0,OLIVER 3 120.0,OLIVER 3 120.0,JAQUES 1 66.6666666667,First Lord 1 106.666666667,WILLIAM 1 133.333333333,OLIVER 2 120.0,WILLIAM 2 133.333333333,OLIVER 2 120.0,OLIVER 2 120.0,OLIVER 3 120.0,OLIVER 1 120.0,OLIVER 3 120.0,SIR OLIVER MARTEXT 1 346.666666667,JAQUES DE BOYS 1 240.0,DUKE SENIOR 1 0,OLIVER 4 120.0,JAQUES DE BOYS 1 240.0,First Lord 3 106.666666667,OLIVER 3 120.0,First Lord 1 106.666666667,First Lord 1 106.666666667,OLIVER 2 120.0,First Lord 1 106.666666667,OLIVER 1 120.0,OLIVER 5 120.0,First Lord 1 106.666666667,AUDREY 1 280.0,SIR OLIVER MARTEXT 1 346.666666667,AUDREY 1 280.0,AUDREY 1 280.0,DUKE SENIOR 4 0,OLIVER 1 120.0,OLIVER 1 120.0,OLIVER 4 120.0,First Lord 1 106.666666667,ROSALIND 4 40.0,AUDREY 1 280.0,DUKE SENIOR 1 0
OLIVER 5 120.0,OLIVER 3 120.0,OLIVER 3 120.0,OLIVER 3 120.0,DUKE SENIOR 2 0,JAQUES 2 66.6666666667,OLIVER 1 120.0,OLIVER 2 120.0,JAQUES 18 66.6666666667,DUKE SENIOR 2 0,DUKE SENIOR 2 0,CELIA 3 13.3333333333,DUKE SENIOR 1 0,DUKE SENIOR 1 0,ORLANDO 3 26.6666666667,OLIVER 1 120.0,OLIVER 1 120.0,CELIA 7 13.3333333333,HYMEN 1 226.666666667,ORLANDO 1 26.6666666667,DUKE FREDERICK 4 306.666666667,DUKE SENIOR 1 0,DUKE SENIOR 1 0,DUKE SENIOR 1 0,OLIVER 4 120.0,OLIVER 1 120.0,ORLANDO 1 26.6666666667,DUKE SENIOR 3 0,OLIVER 2 120.0,DUKE SENIOR 2 0,CELIA 1 13.3333333333,OLIVER 2 120.0,OLIVER 2 120.0,DUKE SENIOR 1 0,OLIVER 3 120.0,JAQUES 4 66.6666666667,CELIA 8 13.3333333333,OLIVER 1 120.0,DUKE SENIOR 2 0,OLIVER 10 120.0,DUKE SENIOR 2 0,OLIVER 1 120.0,AMIENS 1 253.333333333,JAQUES 5 66.6666666667,CHARLES 1 146.666666667,DUKE SENIOR 1 0,OLIVER 8 120.0,SILVIUS 12 200.0,OLIVER 5 120.0,CHARLES 1 146.666666667
DUKE SENIOR 2 0,DUKE FREDERICK 1 306.666666667,DUKE SENIOR 1 0,DUKE SENIOR 3 0,AMIENS 2 253.333333333,ORLANDO 2 26.6666666667,CHARLES 1 146.666666667,DUKE SENIOR 3 0,ORLANDO 32 26.6666666667,JAQUES 21 66.6666666667,HYMEN 1 226.666666667,ORLANDO 3 26.6666666667,JAQUES 1 66.6666666667,AMIENS 1 253.333333333,PHEBE 1 266.666666667,DUKE SENIOR 1 0,CELIA 1 13.3333333333,ORLANDO 5 26.6666666667,CHARLES 1 146.666666667,CORIN 1 320.0,ORLANDO 7 26.6666666667,CHARLES 5 146.666666667,JAQUES 3 66.6666666667,CHARLES 1 146.666666667,JAQUES 5 66.6666666667,DUKE SENIOR 1 0,CORIN 5 320.0,JAQUES 1 66.6666666667,DUKE SENIOR 1 0,ORLANDO 6 26.6666666667,ORLANDO 7 26.6666666667,DUKE SENIOR 3 0,DUKE SENIOR 2 0,PHEBE 2 266.666666667,CHARLES 2 146.666666667,ORLANDO 4 26.6666666667,ORLANDO 19 26.6666666667,DUKE SENIOR 1 0,HYMEN 1 226.666666667,DUKE SENIOR 6 0,WILLIAM 1 133.333333333,HYMEN 1 226.666666667,ORLANDO 1 26.6666666667,ORLANDO 3 26.6666666667,ORLANDO 3 26.6666666667,CHARLES 1 146.666666667,DUKE SENIOR 2 0,,HYMEN 2 226.666666667,ORLANDO 7 26.6666666667
HYMEN 1 226.666666667,HYMEN 1 226.666666667,JAQUES DE BOYS 1 240.0,CHARLES 3 146.666666667,ORLANDO 1 26.6666666667,PHEBE 7 266.666666667,ORLANDO 4 26.6666666667,CHARLES 1 146.666666667,ROSALIND 62 40.0,ORLANDO 1 26.6666666667,ORLANDO 9 26.6666666667,PHEBE 6 266.666666667,ORLANDO 5 26.6666666667,CHARLES 1 146.666666667,CORIN 3 320.0,CHARLES 2 146.666666667,ORLANDO 5 26.6666666667,PHEBE 1 266.666666667,ORLANDO 1 26.6666666667,ROSALIND 2 40.0,Forester 2 160.0,ORLANDO 4 26.6666666667,ORLANDO 7 26.6666666667,ORLANDO 3 26.6666666667,ORLANDO 3 26.6666666667,HYMEN 1 226.666666667,ADAM 11 186.666666667,ORLANDO 3 26.6666666667,CHARLES 1 146.666666667,ROSALIND 3 40.0,PHEBE 5 266.666666667,JAQUES DE BOYS 1 240.0,JAQUES 3 66.6666666667,CORIN 5 320.0,ORLANDO 1 26.6666666667,PHEBE 3 266.666666667,ROSALIND 20 40.0,JAQUES DE BOYS 1 240.0,JAQUES DE BOYS 1 240.0,HYMEN 1 226.666666667,CELIA 1 13.3333333333,SIR OLIVER MARTEXT 1 346.666666667,CORIN 1 320.0,Second Page 1 333.333333333,ROSALIND 11 40.0,ORLANDO 3 26.6666666667,JAQUES DE BOYS 2 240.0,,CHARLES 1 146.666666667,Second Page 5 333.333333333
CHARLES 4 146.666666667,JAQUES DE BOYS 2 240.0,CELIA 4 13.3333333333,ORLANDO 5 26.6666666667,Second Page 1 333.333333333,CORIN 1 320.0,Second Page 1 333.333333333,ORLANDO 6 26.6666666667,LE BEAU 2 53.3333333333,ROSALIND 11 40.0,CHARLES 5 146.666666667,ROSALIND 4 40.0,PHEBE 1 266.666666667,ORLANDO 8 26.6666666667,ROSALIND 5 40.0,ORLANDO 1 26.6666666667,AUDREY 1 280.0,AUDREY 1 280.0,AUDREY 5 280.0,TOUCHSTONE 5 213.333333333,ROSALIND 9 40.0,CORIN 2 320.0,ROSALIND 5 40.0,CELIA 3 13.3333333333,PHEBE 1 266.666666667,ORLANDO 6 26.6666666667,SILVIUS 1 200.0,PHEBE 2 266.666666667,ORLANDO 5 26.6666666667,LE BEAU 1 53.3333333333,ROSALIND 4 40.0,AMIENS 1 253.333333333,ORLANDO 2 26.6666666667,ROSALIND 13 40.0,ROSALIND 10 40.0,ROSALIND 10 40.0,JAQUES 1 66.6666666667,CHARLES 1 146.666666667,JAQUES 1 66.6666666667,JAQUES DE BOYS 1 240.0,ORLANDO 1 26.6666666667,ROSALIND 20 40.0,ROSALIND 9 40.0,PHEBE 1 266.666666667,CELIA 2 13.3333333333,ROSALIND 13 40.0,CHARLES 3 146.666666667,,ORLANDO 4 26.6666666667,PHEBE 4 266.666666667
ORLANDO 5 26.6666666667,CHARLES 4 146.666666667,ORLANDO 8 26.6666666667,AUDREY 1 280.0,PHEBE 1 266.666666667,ROSALIND 6 40.0,AUDREY 1 280.0,PHEBE 2 266.666666667,CELIA 33 13.3333333333,TOUCHSTONE 7 213.333333333,JAQUES 10 66.6666666667,JAQUES 2 66.6666666667,ADAM 1 186.666666667,Second Page 1 333.333333333,LE BEAU 1 53.3333333333,CORIN 7 320.0,ROSALIND 3 40.0,ROSALIND 9 40.0,ROSALIND 9 40.0,CELIA 4 13.3333333333,ADAM 3 186.666666667,ROSALIND 10 40.0,LE BEAU 1 53.3333333333,ROSALIND 6 40.0,CORIN 1 320.0,Forester 1 160.0,TOUCHSTONE 2 213.333333333,ROSALIND 13 40.0,CELIA 2 13.3333333333,CELIA 3 13.3333333333,ADAM 2 186.666666667,ORLANDO 2 26.6666666667,ROSALIND 6 40.0,CELIA 2 13.3333333333,ADAM 1 186.666666667,ADAM 1 186.666666667,TOUCHSTONE 6 213.333333333,ORLANDO 4 26.6666666667,PHEBE 1 266.666666667,AUDREY 3 280.0,Second Page 1 333.333333333,JAQUES 2 66.6666666667,ADAM 2 186.666666667,ROSALIND 5 40.0,TOUCHSTONE 3 213.333333333,CELIA 4 13.3333333333,ORLANDO 13 26.6666666667,,PHEBE 2 266.666666667,CELIA 4 13.3333333333
AUDREY 1 280.0,ORLANDO 5 26.6666666667,CORIN 1 320.0,ROSALIND 9 40.0,ROSALIND 1 40.0,TOUCHSTONE 7 213.333333333,ROSALIND 5 40.0,CORIN 1 320.0,First Lord 1 106.666666667,CELIA 4 13.3333333333,Second Page 3 333.333333333,,ROSALIND 10 40.0,PHEBE 1 266.666666667,CELIA 5 13.3333333333,ROSALIND 2 40.0,ADAM 1 186.666666667,JAQUES 1 66.6666666667,ADAM 1 186.666666667,DUKE FREDERICK 2 306.666666667,CELIA 13 13.3333333333,LE BEAU 1 53.3333333333,TOUCHSTONE 5 213.333333333,ADAM 2 186.666666667,ROSALIND 10 40.0,Second Page 1 333.333333333,,LE BEAU 2 53.3333333333,ROSALIND 7 40.0,TOUCHSTONE 4 213.333333333,JAQUES 2 66.6666666667,Second Page 1 333.333333333,CELIA 3 13.3333333333,TOUCHSTONE 8 213.333333333,CELIA 1 13.3333333333,CELIA 6 13.3333333333,,AUDREY 2 280.0,CORIN 2 320.0,AMIENS 1 253.333333333,PHEBE 1 266.666666667,Second Lord 1 80.0,CELIA 5 13.3333333333,CELIA 1 13.3333333333,,,CORIN 1 320.0,,CELIA 6 13.3333333333,First Page 1 293.333333333
ROSALIND 6 40.0,CORIN 3 320.0,ROSALIND 6 40.0,ADAM 1 186.666666667,ADAM 2 186.666666667,CELIA 6 13.3333333333,JAQUES 3 66.6666666667,First Page 1 293.333333333,OLIVER 17 120.0,DUKE FREDERICK 3 306.666666667,PHEBE 11 266.666666667,,LE BEAU 3 53.3333333333,CORIN 1 320.0,DUKE FREDERICK 1 306.666666667,TOUCHSTONE 7 213.333333333,JAQUES 6 66.6666666667,TOUCHSTONE 1 213.333333333,CELIA 1 13.3333333333,,DUKE SENIOR 1 0,TOUCHSTONE 1 213.333333333,CELIA 3 13.3333333333,JAQUES 2 66.6666666667,LE BEAU 1 53.3333333333,ROSALIND 14 40.0,,CELIA 2 13.3333333333,JAQUES 3 66.6666666667,,Second Lord 1 80.0,CORIN 2 320.0,,,SILVIUS 2 200.0,SILVIUS 1 200.0,,ROSALIND 8 40.0,ROSALIND 5 40.0,CHARLES 2 146.666666667,CORIN 1 320.0,TOUCHSTONE 2 213.333333333,JAQUES 2 66.6666666667,TOUCHSTONE 1 213.333333333,,,ROSALIND 6 40.0,,ROSALIND 11 40.0,ROSALIND 15 40.0
LE BEAU 5 53.3333333333,ROSALIND 14 40.0,LE BEAU 1 53.3333333333,CELIA 5 13.3333333333,CELIA 4 13.3333333333,SILVIUS 2 200.0,TOUCHSTONE 1 213.333333333,ROSALIND 5 40.0,CHARLES 6 146.666666667,,CORIN 3 320.0,,CELIA 4 13.3333333333,ROSALIND 15 40.0,TOUCHSTONE 1 213.333333333,JAQUES 4 66.6666666667,TOUCHSTONE 1 213.333333333,,JAQUES 2 66.6666666667,,TOUCHSTONE 2 213.333333333,CELIA 6 13.3333333333,DUKE FREDERICK 2 306.666666667,SILVIUS 3 200.0,TOUCHSTONE 6 213.333333333,ADAM 1 186.666666667,,DUKE FREDERICK 1 306.666666667,TOUCHSTONE 4 213.333333333,,SILVIUS 2 200.0,ROSALIND 3 40.0,,,TOUCHSTONE 3 213.333333333,DUKE FREDERICK 1 306.666666667,,LE BEAU 1 53.3333333333,LE BEAU 2 53.3333333333,ORLANDO 13 26.6666666667,ROSALIND 12 40.0,,,,,,ADAM 2 186.666666667,,JAQUES 1 66.6666666667,TOUCHSTONE 4 213.333333333
CELIA 3 13.3333333333,ADAM 6 186.666666667,JAQUES 2 66.6666666667,JAQUES 5 66.6666666667,SILVIUS 3 200.0,DUKE FREDERICK 2 306.666666667,,LE BEAU 1 53.3333333333,ADAM 6 186.666666667,,ROSALIND 59 40.0,,DUKE FREDERICK 2 306.666666667,LE BEAU 1 53.3333333333,,DUKE FREDERICK 3 306.666666667,,,TOUCHSTONE 8 213.333333333,,LE BEAU 2 53.3333333333,JAQUES 1 66.6666666667,ADAM 1 186.666666667,TOUCHSTONE 8 213.333333333,CELIA 3 13.3333333333,TOUCHSTONE 4 213.333333333,,,,,DUKE FREDERICK 3 306.666666667,LE BEAU 2 53.3333333333,,,,TOUCHSTONE 6 213.333333333,,CELIA 2 13.3333333333,CELIA 2 13.3333333333,PHEBE 2 266.666666667,JAQUES 2 66.6666666667,,,,,,CELIA 2 13.3333333333,,SILVIUS 3 200.0,JAQUES 3 66.6666666667
