heart,heartLines,heartColor,fashion,fashionLines,fashionColor,love,loveLines,loveColor,show,showLines,showColor,true,trueLines,trueColor,sweet,sweetLines,sweetColor,beatrice,beatriceLines,beatriceColor,mine,mineLines,mineColor,claudio,claudioLines,claudioColor,wit,witLines,witColor,old,oldLines,oldColor,prince,princeLines,princeColor,speak,speakLines,speakColor,death,deathLines,deathColor,pray,prayLines,prayColor,god,godLines,godColor,give,giveLines,giveColor,two,twoLines,twoColor,enough,enoughLines,enoughColor,take,takeLines,takeColor,benedick,benedickLines,benedickColor,answer,answerLines,answerColor,lord,lordLines,lordColor,tell,tellLines,tellColor,fool,foolLines,foolColor,men,menLines,menColor,hero,heroLines,heroColor,never,neverLines,neverColor,great,greatLines,greatColor,hand,handLines,handColor,signior,signiorLines,signiorColor,margaret,margaretLines,margaretColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,cousin,cousinLines,cousinColor,lady,ladyLines,ladyColor,grace,graceLines,graceColor,man,manLines,manColor,count,countLines,countColor,faith,faithLines,faithColor,none,noneLines,noneColor,daughter,daughterLines,daughterColor,die,dieLines,dieColor,marry,marryLines,marryColor,brother,brotherLines,brotherColor,leonato,leonatoLines,leonatoColor,night,nightLines,nightColor,troth,trothLines,trothColor,husband,husbandLines,husbandColor,first,firstLines,firstColor
HERO,2,219.130434783,BEATRICE,1,0,URSULA,2,297.391304348,BORACHIO,1,250.434782609,URSULA,1,297.391304348,BORACHIO,1,250.434782609,URSULA,3,297.391304348,CLAUDIO,4,140.869565217,URSULA,1,297.391304348,URSULA,2,297.391304348,URSULA,1,297.391304348,URSULA,2,297.391304348,HERO,4,219.130434783,CLAUDIO,4,140.869565217,URSULA,1,297.391304348,BORACHIO,1,250.434782609,BORACHIO,2,250.434782609,BEATRICE,1,0,URSULA,1,297.391304348,HERO,1,219.130434783,URSULA,4,297.391304348,DOGBERRY,4,125.217391304,BORACHIO,2,250.434782609,URSULA,2,297.391304348,BEATRICE,6,0,BORACHIO,1,250.434782609,FRIAR FRANCIS,1,172.173913043,URSULA,1,297.391304348,BEATRICE,1,0,URSULA,1,297.391304348,Boy,1,203.47826087,BEATRICE,1,0,URSULA,1,297.391304348,BORACHIO,2,250.434782609,URSULA,1,297.391304348,URSULA,2,297.391304348,URSULA,1,297.391304348,FRIAR FRANCIS,1,172.173913043,URSULA,1,297.391304348,DOGBERRY,3,125.217391304,BORACHIO,1,250.434782609,BORACHIO,1,250.434782609,HERO,2,219.130434783,BORACHIO,4,250.434782609,BORACHIO,5,250.434782609,DOGBERRY,2,125.217391304,BORACHIO,6,250.434782609,DOGBERRY,1,125.217391304,BORACHIO,1,250.434782609,BORACHIO,2,250.434782609
DOGBERRY,1,125.217391304,HERO,1,219.130434783,CLAUDIO,19,140.869565217,HERO,1,219.130434783,BORACHIO,1,250.434782609,HERO,1,219.130434783,HERO,8,219.130434783,DOGBERRY,1,125.217391304,BORACHIO,10,250.434782609,HERO,2,219.130434783,BORACHIO,1,250.434782609,BORACHIO,9,250.434782609,DOGBERRY,3,125.217391304,HERO,3,219.130434783,HERO,1,219.130434783,HERO,5,219.130434783,HERO,2,219.130434783,DOGBERRY,3,125.217391304,BORACHIO,1,250.434782609,DOGBERRY,2,125.217391304,HERO,7,219.130434783,BEATRICE,1,0,HERO,5,219.130434783,BORACHIO,4,250.434782609,HERO,1,219.130434783,DOGBERRY,9,125.217391304,URSULA,1,297.391304348,HERO,4,219.130434783,DOGBERRY,1,125.217391304,BEATRICE,2,0,URSULA,4,297.391304348,HERO,1,219.130434783,BEATRICE,3,0,HERO,3,219.130434783,HERO,7,219.130434783,BEATRICE,1,0,CLAUDIO,2,140.869565217,URSULA,1,297.391304348,BORACHIO,3,250.434782609,BEATRICE,3,0,HERO,3,219.130434783,CLAUDIO,5,140.869565217,BEATRICE,2,0,DOGBERRY,7,125.217391304,CLAUDIO,2,140.869565217,BORACHIO,2,250.434782609,DOGBERRY,2,125.217391304,BEATRICE,2,0,HERO,2,219.130434783,DOGBERRY,2,125.217391304
BEATRICE,6,0,BORACHIO,5,250.434782609,HERO,3,219.130434783,CLAUDIO,2,140.869565217,HERO,1,219.130434783,BEATRICE,3,0,BEATRICE,1,0,BEATRICE,2,0,HERO,1,219.130434783,DOGBERRY,3,125.217391304,DOGBERRY,2,125.217391304,HERO,3,219.130434783,BEATRICE,4,0,BORACHIO,1,250.434782609,DOGBERRY,4,125.217391304,DOGBERRY,19,125.217391304,DOGBERRY,3,125.217391304,BORACHIO,1,250.434782609,DOGBERRY,1,125.217391304,BEATRICE,4,0,BEATRICE,5,0,CLAUDIO,4,140.869565217,BEATRICE,9,0,HERO,2,219.130434783,BORACHIO,2,250.434782609,BEATRICE,3,0,CLAUDIO,15,140.869565217,DOGBERRY,2,125.217391304,BORACHIO,1,250.434782609,HERO,1,219.130434783,HERO,1,219.130434783,BORACHIO,5,250.434782609,HERO,1,219.130434783,DOGBERRY,1,125.217391304,BEATRICE,12,0,DOGBERRY,1,125.217391304,BEATRICE,5,0,BORACHIO,2,250.434782609,HERO,1,219.130434783,CLAUDIO,5,140.869565217,DOGBERRY,2,125.217391304,ANTONIO,1,46.9565217391,CLAUDIO,5,140.869565217,Second Watchman,1,15.652173913,DOGBERRY,1,125.217391304,VERGES,1,234.782608696,BEATRICE,2,0,CLAUDIO,1,140.869565217,BEATRICE,5,0,BEATRICE,2,0
CLAUDIO,3,140.869565217,DON JOHN,1,31.3043478261,BEATRICE,11,0,DOGBERRY,1,125.217391304,DOGBERRY,3,125.217391304,CLAUDIO,5,140.869565217,CLAUDIO,4,140.869565217,DON JOHN,1,31.3043478261,BEATRICE,4,0,BEATRICE,4,0,BEATRICE,2,0,DOGBERRY,10,125.217391304,DON JOHN,2,31.3043478261,DON JOHN,1,31.3043478261,BEATRICE,4,0,BEATRICE,8,0,BEATRICE,1,0,CLAUDIO,3,140.869565217,BEATRICE,5,0,CLAUDIO,2,140.869565217,CLAUDIO,4,140.869565217,ANTONIO,2,46.9565217391,FRIAR FRANCIS,1,172.173913043,BEATRICE,5,0,DON JOHN,1,31.3043478261,CLAUDIO,2,140.869565217,HERO,2,219.130434783,BEATRICE,3,0,DON JOHN,1,31.3043478261,BORACHIO,3,250.434782609,DOGBERRY,2,125.217391304,CLAUDIO,1,140.869565217,DOGBERRY,3,125.217391304,BEATRICE,4,0,CLAUDIO,2,140.869565217,Second Watchman,1,15.652173913,DON JOHN,1,31.3043478261,HERO,7,219.130434783,BEATRICE,5,0,ANTONIO,1,46.9565217391,BEATRICE,3,0,LEONATO,15,78.2608695652,LEONATO,3,78.2608695652,BEATRICE,1,0,BEATRICE,2,0,DON JOHN,1,31.3043478261,VERGES,1,234.782608696,MARGARET,4,62.6086956522,CLAUDIO,2,140.869565217,CLAUDIO,2,140.869565217
MARGARET,3,62.6086956522,MARGARET,2,62.6086956522,DON JOHN,3,31.3043478261,Sexton,1,266.086956522,BEATRICE,1,0,LEONATO,1,78.2608695652,MARGARET,2,62.6086956522,ANTONIO,1,46.9565217391,DON JOHN,3,31.3043478261,CLAUDIO,2,140.869565217,VERGES,1,234.782608696,BEATRICE,2,0,ANTONIO,1,46.9565217391,ANTONIO,1,46.9565217391,DON JOHN,1,31.3043478261,VERGES,1,234.782608696,VERGES,1,234.782608696,Watchman,1,281.739130435,CLAUDIO,2,140.869565217,ANTONIO,2,46.9565217391,MARGARET,1,62.6086956522,MARGARET,1,62.6086956522,CLAUDIO,10,140.869565217,CLAUDIO,2,140.869565217,MARGARET,1,62.6086956522,ANTONIO,2,46.9565217391,BEATRICE,4,0,CLAUDIO,8,140.869565217,LEONATO,1,78.2608695652,VERGES,1,234.782608696,BEATRICE,7,0,LEONATO,3,78.2608695652,BORACHIO,3,250.434782609,CLAUDIO,1,140.869565217,MARGARET,1,62.6086956522,BORACHIO,4,250.434782609,LEONATO,4,78.2608695652,DOGBERRY,13,125.217391304,DON JOHN,2,31.3043478261,MARGARET,1,62.6086956522,VERGES,1,234.782608696,DON PEDRO,4,156.52173913,DON PEDRO,1,156.52173913,VERGES,1,234.782608696,DON JOHN,4,31.3043478261,DON PEDRO,12,156.52173913,DON JOHN,1,31.3043478261,LEONATO,2,78.2608695652,MARGARET,2,62.6086956522,ANTONIO,1,46.9565217391
LEONATO,3,78.2608695652,DON PEDRO,2,156.52173913,MARGARET,3,62.6086956522,BEATRICE,1,0,VERGES,1,234.782608696,DON PEDRO,1,156.52173913,LEONATO,1,78.2608695652,LEONATO,13,78.2608695652,ANTONIO,3,46.9565217391,MARGARET,1,62.6086956522,CLAUDIO,3,140.869565217,VERGES,1,234.782608696,LEONATO,7,78.2608695652,LEONATO,1,78.2608695652,LEONATO,4,78.2608695652,CLAUDIO,5,140.869565217,CLAUDIO,8,140.869565217,LEONATO,1,78.2608695652,DON PEDRO,1,156.52173913,LEONATO,6,78.2608695652,LEONATO,8,78.2608695652,LEONATO,5,78.2608695652,MARGARET,1,62.6086956522,ANTONIO,2,46.9565217391,LEONATO,1,78.2608695652,LEONATO,3,78.2608695652,BORACHIO,12,250.434782609,First Watchman,1,313.043478261,DON PEDRO,4,156.52173913,CLAUDIO,4,140.869565217,VERGES,1,234.782608696,CONRADE,1,187.826086957,VERGES,1,234.782608696,ANTONIO,1,46.9565217391,LEONATO,5,78.2608695652,VERGES,2,234.782608696,CONRADE,1,187.826086957,BEATRICE,14,0,ANTONIO,1,46.9565217391,LEONATO,1,78.2608695652,MARGARET,1,62.6086956522,DON JOHN,1,31.3043478261,FRIAR FRANCIS,1,172.173913043,CLAUDIO,3,140.869565217,ANTONIO,1,46.9565217391,CLAUDIO,6,140.869565217,ANTONIO,1,46.9565217391,DON PEDRO,3,156.52173913,LEONATO,3,78.2608695652,LEONATO,1,78.2608695652
DON PEDRO,8,156.52173913,CONRADE,4,187.826086957,LEONATO,4,78.2608695652,DON JOHN,3,31.3043478261,CLAUDIO,1,140.869565217,FRIAR FRANCIS,1,172.173913043,DON PEDRO,7,156.52173913,DON PEDRO,1,156.52173913,LEONATO,9,78.2608695652,LEONATO,2,78.2608695652,LEONATO,1,78.2608695652,CLAUDIO,3,140.869565217,DON PEDRO,5,156.52173913,CONRADE,1,187.826086957,DON PEDRO,7,156.52173913,ANTONIO,1,46.9565217391,ANTONIO,1,46.9565217391,DON PEDRO,4,156.52173913,DON JOHN,2,31.3043478261,DON PEDRO,1,156.52173913,DON PEDRO,20,156.52173913,DON PEDRO,1,156.52173913,DON JOHN,2,31.3043478261,LEONATO,5,78.2608695652,DON PEDRO,1,156.52173913,DON PEDRO,2,156.52173913,Second Watchman,1,15.652173913,MARGARET,1,62.6086956522,BENEDICK,5,344.347826087,Watchman,1,281.739130435,CLAUDIO,2,140.869565217,BENEDICK,4,344.347826087,CLAUDIO,1,140.869565217,MARGARET,1,62.6086956522,DON PEDRO,1,156.52173913,CLAUDIO,6,140.869565217,BENEDICK,6,344.347826087,VERGES,3,234.782608696,LEONATO,4,78.2608695652,DON PEDRO,4,156.52173913,LEONATO,1,78.2608695652,BENEDICK,1,344.347826087,BENEDICK,5,344.347826087,First Watchman,1,313.043478261,LEONATO,12,78.2608695652,BENEDICK,4,344.347826087,LEONATO,2,78.2608695652,BENEDICK,4,344.347826087,DON PEDRO,2,156.52173913,DON PEDRO,1,156.52173913
DON JOHN,1,31.3043478261,BENEDICK,2,344.347826087,DON PEDRO,13,156.52173913,ANTONIO,2,46.9565217391,ANTONIO,1,46.9565217391,BENEDICK,6,344.347826087,BENEDICK,16,344.347826087,BALTHASAR,1,328.695652174,DON PEDRO,6,156.52173913,DON PEDRO,5,156.52173913,DON PEDRO,4,156.52173913,ANTONIO,3,46.9565217391,CLAUDIO,3,140.869565217,BENEDICK,1,344.347826087,CLAUDIO,6,140.869565217,MARGARET,3,62.6086956522,MARGARET,1,62.6086956522,BENEDICK,2,344.347826087,BENEDICK,2,344.347826087,CONRADE,1,187.826086957,DON JOHN,1,31.3043478261,CONRADE,1,187.826086957,LEONATO,17,78.2608695652,DON PEDRO,9,156.52173913,FRIAR FRANCIS,1,172.173913043,BALTHASAR,2,328.695652174,DON JOHN,2,31.3043478261,LEONATO,11,78.2608695652,Messenger,1,93.9130434783,LEONATO,6,78.2608695652,LEONATO,6,78.2608695652, , , ,Watchman,2,281.739130435,DON PEDRO,3,156.52173913,BENEDICK,4,344.347826087,MARGARET,3,62.6086956522, , , ,DON JOHN,6,31.3043478261,DON PEDRO,3,156.52173913,BENEDICK,6,344.347826087,DON PEDRO,1,156.52173913,Messenger,1,93.9130434783, , , ,MARGARET,1,62.6086956522,DON PEDRO,6,156.52173913,Sexton,1,266.086956522,DON PEDRO,3,156.52173913, , , ,BENEDICK,1,344.347826087,BALTHASAR,1,328.695652174
BENEDICK,6,344.347826087,FRIAR FRANCIS,1,172.173913043,BALTHASAR,2,328.695652174,Messenger,1,93.9130434783,MARGARET,1,62.6086956522, , , , , , ,BENEDICK,3,344.347826087,CLAUDIO,2,140.869565217,BENEDICK,7,344.347826087,FRIAR FRANCIS,1,172.173913043,LEONATO,9,78.2608695652,BENEDICK,7,344.347826087,FRIAR FRANCIS,1,172.173913043,BENEDICK,6,344.347826087,LEONATO,5,78.2608695652,LEONATO,7,78.2608695652,ANTONIO,1,46.9565217391,Messenger,1,93.9130434783,BENEDICK,7,344.347826087,BENEDICK,2,344.347826087,BENEDICK,3,344.347826087,Messenger,3,93.9130434783,DON JOHN,1,31.3043478261,BENEDICK,3,344.347826087,BENEDICK,1,344.347826087,First Watchman,1,313.043478261,BENEDICK,7,344.347826087, , , ,DON PEDRO,1,156.52173913,DON PEDRO,8,156.52173913, , , ,DON JOHN,1,31.3043478261,BENEDICK,3,344.347826087, , , ,DON PEDRO,16,156.52173913, , , ,ANTONIO,3,46.9565217391,FRIAR FRANCIS,2,172.173913043, , , ,CONRADE,1,187.826086957,FRIAR FRANCIS,1,172.173913043, , , ,CONRADE,1,187.826086957,CONRADE,1,187.826086957, , , ,CLAUDIO,2,140.869565217, , , ,Messenger,1,93.9130434783,BENEDICK,5,344.347826087
 , , , , , ,BENEDICK,29,344.347826087,CONRADE,1,187.826086957,DON JOHN,1,31.3043478261, , , , , , ,BORACHIO,2,250.434782609,BENEDICK,10,344.347826087, , , ,BENEDICK,4,344.347826087,FRIAR FRANCIS,4,172.173913043, , , , , , , , , ,DON PEDRO,2,156.52173913,DON PEDRO,2,156.52173913, , , , , , , , , , , , , , , ,CONRADE,2,187.826086957,BENEDICK,8,344.347826087, , , ,Messenger,1,93.9130434783,LEONATO,2,78.2608695652, , , , , , ,BENEDICK,4,344.347826087,DON JOHN,2,31.3043478261, , , ,LEONATO,2,78.2608695652, , , , , , ,DON JOHN,2,31.3043478261, , , ,MARGARET,2,62.6086956522,BENEDICK,3,344.347826087, , , ,BENEDICK,3,344.347826087, , , , , , ,LEONATO,4,78.2608695652,BENEDICK,1,344.347826087, , , ,BENEDICK,2,344.347826087, , , , , , , , , 
