heart,heartLines,heartColor,tribunes,tribunesLines,tribunesColor,marcius,marciusLines,marciusColor,love,loveLines,loveColor,give,giveLines,giveColor,gods,godsLines,godsColor,consul,consulLines,consulColor,mine,mineLines,mineColor,general,generalLines,generalColor,home,homeLines,homeColor,aufidius,aufidiusLines,aufidiusColor,speak,speakLines,speakColor,city,cityLines,cityColor,voices,voicesLines,voicesColor,rather,ratherLines,ratherColor,true,trueLines,trueColor,away,awayLines,awayColor,people,peopleLines,peopleColor,state,stateLines,stateColor,take,takeLines,takeColor,time,timeLines,timeColor,show,showLines,showColor,tell,tellLines,tellColor,stand,standLines,standColor,poor,poorLines,poorColor,noble,nobleLines,nobleColor,never,neverLines,neverColor,power,powerLines,powerColor,less,lessLines,lessColor,honour,honourLines,honourColor,men,menLines,menColor,peace,peaceLines,peaceColor,bear,bearLines,bearColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,worthy,worthyLines,worthyColor,news,newsLines,newsColor,son,sonLines,sonColor,friends,friendsLines,friendsColor,man,manLines,manColor,great,greatLines,greatColor,wife,wifeLines,wifeColor,country,countryLines,countryColor,war,warLines,warColor,pray,prayLines,prayColor,rome,romeLines,romeColor,common,commonLines,commonColor,mother,motherLines,motherColor,coriolanus,coriolanusLines,coriolanusColor,first,firstLines,firstColor
MENENIUS,5,168.387096774,MENENIUS,10,168.387096774,MARCIUS,1,156.774193548,MARCIUS,2,156.774193548,Second Citizen,1,0,All,1,301.935483871,MENENIUS,6,168.387096774,VALERIA,1,162.580645161,VALERIA,1,162.580645161,MENENIUS,7,168.387096774,MARCIUS,6,156.774193548,VALERIA,1,162.580645161,VALERIA,1,162.580645161,Second Citizen,2,0,MENENIUS,3,168.387096774,VALERIA,2,162.580645161,First Lord,1,87.0967741935,Second Citizen,1,0,MENENIUS,7,168.387096774,MENENIUS,9,168.387096774,MENENIUS,8,168.387096774,Second Citizen,1,0,VALERIA,1,162.580645161,MENENIUS,2,168.387096774,MENENIUS,5,168.387096774,MARCIUS,2,156.774193548,MENENIUS,1,168.387096774,VALERIA,1,162.580645161,All,1,301.935483871,VALERIA,1,162.580645161,Second Citizen,2,0,Both Tribunes,1,290.322580645,First Lord,1,87.0967741935,VALERIA,1,162.580645161,MENENIUS,6,168.387096774,Second Citizen,3,0,VALERIA,2,162.580645161,VALERIA,3,162.580645161,MENENIUS,7,168.387096774,LARTIUS,2,23.2258064516,MENENIUS,4,168.387096774,VALERIA,1,162.580645161,Second Citizen,2,0,Third Servingman,1,29.0322580645,VALERIA,1,162.580645161,Third Servingman,1,29.0322580645,All,1,301.935483871,MENENIUS,6,168.387096774,Senators,1,296.129032258,All,1,301.935483871
First Citizen,1,174.193548387,COMINIUS,4,46.4516129032,Second Citizen,1,0,Second Citizen,1,0,LARTIUS,1,23.2258064516,First Citizen,2,174.193548387,COMINIUS,3,46.4516129032,MENENIUS,4,168.387096774,MENENIUS,10,168.387096774,COMINIUS,1,46.4516129032,MENENIUS,4,168.387096774,MENENIUS,19,168.387096774,MENENIUS,5,168.387096774,First Citizen,2,174.193548387,First Citizen,1,174.193548387,MENENIUS,5,168.387096774,All,1,301.935483871,First Citizen,2,174.193548387,COMINIUS,1,46.4516129032,COMINIUS,3,46.4516129032,COMINIUS,7,46.4516129032,First Citizen,1,174.193548387,MENENIUS,9,168.387096774,COMINIUS,3,46.4516129032,First Citizen,3,174.193548387,A Patrician,1,267.096774194,COMINIUS,4,46.4516129032,MENENIUS,1,168.387096774,VIRGILIA,1,197.419354839,MENENIUS,5,168.387096774,COMINIUS,7,46.4516129032,First Lord,1,87.0967741935,MENENIUS,6,168.387096774,MENENIUS,29,168.387096774,COMINIUS,3,46.4516129032,MARCIUS,1,156.774193548,MENENIUS,6,168.387096774,MENENIUS,4,168.387096774,COMINIUS,6,46.4516129032,Third Servingman,6,29.0322580645,LARTIUS,1,23.2258064516,MENENIUS,3,168.387096774,First Citizen,1,174.193548387,VALERIA,2,162.580645161,MENENIUS,10,168.387096774,MENENIUS,13,168.387096774,COMINIUS,4,46.4516129032,COMINIUS,2,46.4516129032,All,2,301.935483871,First Citizen,1,174.193548387
Fifth Citizen,1,98.7096774194,AEdile,2,180.0,First Citizen,1,174.193548387,First Citizen,1,174.193548387,Second Messenger,1,40.6451612903,VIRGILIA,1,197.419354839,All Citizens,1,325.161290323,LARTIUS,1,23.2258064516,LARTIUS,1,23.2258064516,All The Lords,1,220.64516129,COMINIUS,2,46.4516129032,First Citizen,2,174.193548387,First Citizen,1,174.193548387,Fifth Citizen,1,98.7096774194,MARCIUS,1,156.774193548,First Citizen,1,174.193548387,COMINIUS,2,46.4516129032,AEdile,1,180.0,Volsce,2,150.967741935,Second Servingman,1,92.9032258065,VIRGILIA,1,197.419354839,COMINIUS,2,46.4516129032,COMINIUS,2,46.4516129032,LARTIUS,1,23.2258064516,MARCIUS,1,156.774193548,First Citizen,1,174.193548387,MARCIUS,1,156.774193548,COMINIUS,1,46.4516129032,LARTIUS,2,23.2258064516,COMINIUS,3,46.4516129032,AEdile,1,180.0,MENENIUS,4,168.387096774,First Citizen,1,174.193548387,First Citizen,3,174.193548387,VIRGILIA,1,197.419354839,AEdile,1,180.0,COMINIUS,2,46.4516129032,COMINIUS,2,46.4516129032,Second Servingman,1,92.9032258065,A Patrician,1,267.096774194,COMINIUS,1,46.4516129032,COMINIUS,2,46.4516129032,COMINIUS,2,46.4516129032,MENENIUS,11,168.387096774,MARCIUS,2,156.774193548,COMINIUS,13,46.4516129032,MARCIUS,2,156.774193548,MARCIUS,1,156.774193548,COMINIUS,3,46.4516129032,MARCIUS,2,156.774193548
MARCIUS,5,156.774193548,MARCIUS,2,156.774193548,Third Servingman,1,29.0322580645,LARTIUS,1,23.2258064516,First Citizen,1,174.193548387,MARCIUS,3,156.774193548,Third Conspirator,1,116.129032258,COMINIUS,1,46.4516129032,Second Servingman,1,92.9032258065,Volsce,1,150.967741935,VIRGILIA,1,197.419354839,First Lord,1,87.0967741935,First Soldier,1,17.4193548387,MENENIUS,1,168.387096774,First Senator,2,348.387096774,Second Senator,1,69.6774193548,Second Servingman,1,92.9032258065,COMINIUS,2,46.4516129032,BRUTUS,2,75.4838709677,Volsce,1,150.967741935,MARCIUS,2,156.774193548,MARCIUS,1,156.774193548,Second Servingman,2,92.9032258065,Second Senator,1,69.6774193548,Second Citizen,1,0,Messenger,2,52.2580645161,Second Citizen,1,0,AEdile,1,180.0,COMINIUS,8,46.4516129032,Senators,1,296.129032258,Volsce,1,150.967741935,Citizens,1,342.580645161,Volsce,1,150.967741935,COMINIUS,11,46.4516129032,MARCIUS,4,156.774193548,Second Senator,1,69.6774193548,AUFIDIUS,1,104.516129032,LARTIUS,2,23.2258064516,VOLUMNIA,2,232.258064516,Second Messenger,1,40.6451612903,Second Servingman,1,92.9032258065,Roman,1,226.451612903,MARCIUS,2,156.774193548,First Citizen,1,174.193548387,COMINIUS,1,46.4516129032,Second Messenger,1,40.6451612903,MENENIUS,2,168.387096774,VOLUMNIA,8,232.258064516,Second Senator,1,69.6774193548,MENENIUS,3,168.387096774
VOLUMNIA,6,232.258064516,First Senator,2,348.387096774,Second Messenger,2,40.6451612903,COMINIUS,1,46.4516129032,Messenger,2,52.2580645161,MENENIUS,8,168.387096774,Messenger,1,52.2580645161,VIRGILIA,1,197.419354839,AUFIDIUS,1,104.516129032,First Conspirator,1,139.35483871,Second Messenger,1,40.6451612903,Second Senator,1,69.6774193548,MARCIUS,4,156.774193548,COMINIUS,1,46.4516129032,VOLUMNIA,6,232.258064516,VIRGILIA,2,197.419354839,LARTIUS,1,23.2258064516,Citizens,1,342.580645161,VOLUMNIA,2,232.258064516,AUFIDIUS,5,104.516129032,Roman,1,226.451612903,MENENIUS,1,168.387096774,AUFIDIUS,4,104.516129032,MARCIUS,4,156.774193548,VOLUMNIA,3,232.258064516,Citizen,1,58.064516129,BRUTUS,1,75.4838709677,Second Senator,1,69.6774193548,First Conspirator,1,139.35483871,First Senator,1,348.387096774,MARCIUS,9,156.774193548,AEdile,2,180.0,MARCIUS,3,156.774193548,Fifth Citizen,1,98.7096774194,Third Servingman,1,29.0322580645,TITUS,1,191.612903226,MARCIUS,1,156.774193548,All The People,1,110.322580645,MARCIUS,2,156.774193548,COMINIUS,14,46.4516129032,MARCIUS,3,156.774193548,VOLUMNIA,7,232.258064516,MENENIUS,6,168.387096774,AEdile,1,180.0,Second Servingman,1,92.9032258065,Volsce,1,150.967741935,Fourth Citizen,1,209.032258065,First Senator,1,348.387096774,MENENIUS,7,168.387096774,VOLUMNIA,4,232.258064516
Both Citizens,1,121.935483871,Roman,1,226.451612903,TITUS,1,191.612903226,VIRGILIA,1,197.419354839,AUFIDIUS,1,104.516129032,VOLUMNIA,6,232.258064516,First Officer,1,145.161290323,MARCIUS,2,156.774193548,First Conspirator,1,139.35483871,MARCIUS,2,156.774193548,Roman,1,226.451612903,Citizens,1,342.580645161,Third Servingman,1,29.0322580645,SICINIUS,4,81.2903225806,SICINIUS,2,81.2903225806,BRUTUS,1,75.4838709677,MENENIUS,3,168.387096774,MENENIUS,8,168.387096774,Citizen,1,58.064516129,MARCIUS,4,156.774193548,VOLUMNIA,2,232.258064516,Third Servingman,1,29.0322580645,MARCIUS,1,156.774193548,Third Servingman,1,29.0322580645,Third Servingman,2,29.0322580645,Second Lord,1,63.8709677419,Second Messenger,1,40.6451612903,MARCIUS,3,156.774193548,MARCIUS,2,156.774193548,Herald,1,214.838709677,MENENIUS,21,168.387096774,Second Servingman,2,92.9032258065,VOLUMNIA,3,232.258064516,First Lord,2,87.0967741935,VOLUMNIA,4,232.258064516,LARTIUS,1,23.2258064516,Third Servingman,2,29.0322580645,MARCIUS,1,156.774193548,Third Servingman,2,29.0322580645,Messenger,2,52.2580645161,First Servingman,2,203.225806452,AUFIDIUS,1,104.516129032,Fourth Citizen,2,209.032258065,COMINIUS,8,46.4516129032,VIRGILIA,1,197.419354839,First Conspirator,1,139.35483871,Messenger,1,52.2580645161,First Citizen,1,174.193548387,BRUTUS,1,75.4838709677,SICINIUS,2,81.2903225806
Roman,2,226.451612903,First Citizen,1,174.193548387,LARTIUS,5,23.2258064516,MENENIUS,9,168.387096774,Both Citizens,1,121.935483871,Both Citizens,1,121.935483871,Seventh Citizen,1,238.064516129,First Citizen,1,174.193548387,MARCIUS,3,156.774193548,Second Citizen,1,0,VOLUMNIA,3,232.258064516,All,1,301.935483871,VOLUMNIA,1,232.258064516,BRUTUS,2,75.4838709677,BRUTUS,2,75.4838709677,VOLUMNIA,1,232.258064516,VOLUMNIA,2,232.258064516,Fourth Citizen,1,209.032258065,AUFIDIUS,3,104.516129032,Third Servingman,1,29.0322580645,SICINIUS,5,81.2903225806,VOLUMNIA,9,232.258064516,Third Servingman,2,29.0322580645,Third Conspirator,1,116.129032258,COMINIUS,1,46.4516129032,AUFIDIUS,8,104.516129032,VOLUMNIA,2,232.258064516,Roman,1,226.451612903,Third Servingman,1,29.0322580645,VOLUMNIA,14,232.258064516,VOLUMNIA,8,232.258064516,MARCIUS,1,156.774193548,COMINIUS,3,46.4516129032,Second Servingman,1,92.9032258065,AUFIDIUS,1,104.516129032,MENENIUS,6,168.387096774,Second Messenger,1,40.6451612903,Third Servingman,2,29.0322580645,Fourth Citizen,1,209.032258065,Second Lord,1,63.8709677419,Second Conspirator,1,133.548387097,Third Citizen,1,307.741935484,Roman,1,226.451612903,Volsce,2,150.967741935,Third Servingman,3,29.0322580645,MARCIUS,2,156.774193548,First Officer,1,145.161290323,SICINIUS,1,81.2903225806,Herald,2,214.838709677,AUFIDIUS,5,104.516129032
COMINIUS,2,46.4516129032,Senators, &C,1,336.774193548,MENENIUS,15,168.387096774,Fourth Citizen,1,209.032258065,SICINIUS,5,81.2903225806,COMINIUS,3,46.4516129032,CORIOLANUS,9,354.193548387,VOLUMNIA,3,232.258064516,Third Servingman,4,29.0322580645,First Citizen,1,174.193548387,Messenger,1,52.2580645161,VOLUMNIA,8,232.258064516,First Senator,3,348.387096774,Third Citizen,7,307.741935484,CORIOLANUS,7,354.193548387,Second Officer,1,255.483870968,Messenger,1,52.2580645161,First Senator,1,348.387096774,First Senator,1,348.387096774,Roman,1,226.451612903,AUFIDIUS,5,104.516129032,Messenger,1,52.2580645161,Second Senator,1,69.6774193548,VOLUMNIA,3,232.258064516,AUFIDIUS,1,104.516129032,BRUTUS,3,75.4838709677,Messenger,1,52.2580645161,VOLUMNIA,3,232.258064516,BRUTUS,3,75.4838709677,Second Officer,1,255.483870968,First Senator,3,348.387096774,VOLUMNIA,3,232.258064516,Messenger,1,52.2580645161,MARCIUS,7,156.774193548,First Senator,2,348.387096774,BRUTUS,3,75.4838709677,Messenger,2,52.2580645161,Third Conspirator,1,116.129032258,BRUTUS,1,75.4838709677,AUFIDIUS,12,104.516129032,VOLUMNIA,1,232.258064516,CORIOLANUS,7,354.193548387,VOLUMNIA,8,232.258064516,VIRGILIA,1,197.419354839,First Citizen,1,174.193548387,Second Senator,1,69.6774193548,CORIOLANUS,7,354.193548387,AUFIDIUS,1,104.516129032,Roman,2,226.451612903,BRUTUS,1,75.4838709677
Second Officer,1,255.483870968,Citizens,1,342.580645161,VOLUMNIA,4,232.258064516,BRUTUS,6,75.4838709677,First Lord,1,87.0967741935,Seventh Citizen,1,238.064516129,BRUTUS,3,75.4838709677,AUFIDIUS,7,104.516129032,First Senator,3,348.387096774,BRUTUS,4,75.4838709677,Second Lord,2,63.8709677419,First Senator,1,348.387096774,COMINIUS,5,46.4516129032,CORIOLANUS,14,354.193548387, , , ,Citizens,1,342.580645161,Young MARCIUS,1,261.290322581,Roman,2,226.451612903,CORIOLANUS,5,354.193548387,VOLUMNIA,5,232.258064516,BRUTUS,4,75.4838709677,SICINIUS,2,81.2903225806,Roman,2,226.451612903,First Officer,1,145.161290323,BRUTUS,1,75.4838709677,SICINIUS,3,81.2903225806,SICINIUS,3,81.2903225806,Messenger,1,52.2580645161,MENENIUS,2,168.387096774,SICINIUS,3,81.2903225806,All Citizens,1,325.161290323,Senators, &C,1,336.774193548,SICINIUS,4,81.2903225806,First Senator,3,348.387096774,CORIOLANUS,5,354.193548387,Roman,1,226.451612903,Citizens,1,342.580645161,VOLUMNIA,21,232.258064516,First Citizen,1,174.193548387,BRUTUS,6,75.4838709677,BRUTUS,3,75.4838709677, , , ,Second Officer,1,255.483870968,MARCIUS,7,156.774193548,First Senator,1,348.387096774,All,1,301.935483871,AUFIDIUS,1,104.516129032,BRUTUS,2,75.4838709677,VOLUMNIA,2,232.258064516,CORIOLANUS,5,354.193548387
SICINIUS,2,81.2903225806,SICINIUS,2,81.2903225806,BRUTUS,9,75.4838709677,VOLUMNIA,7,232.258064516,Second Servingman,2,92.9032258065,First Senator,2,348.387096774,Third Citizen,1,307.741935484,CORIOLANUS,8,354.193548387,VOLUMNIA,3,232.258064516,Second Senator,1,69.6774193548,Second Senator,1,69.6774193548,COMINIUS,6,46.4516129032,Citizens,1,342.580645161, , , , , , ,CORIOLANUS,8,354.193548387,Citizens,1,342.580645161,VOLUMNIA,2,232.258064516, , , ,Second Lord,1,63.8709677419,CORIOLANUS,9,354.193548387,AUFIDIUS,3,104.516129032,VOLUMNIA,5,232.258064516,Second Lord,1,63.8709677419,CORIOLANUS,4,354.193548387,First Lord,1,87.0967741935,AUFIDIUS,4,104.516129032,SICINIUS,7,81.2903225806,VOLUMNIA,3,232.258064516,AUFIDIUS,7,104.516129032,Roman,1,226.451612903,Second Lord,2,63.8709677419,AUFIDIUS,5,104.516129032,Roman,4,226.451612903, , , ,VOLUMNIA,2,232.258064516,Volsce,1,150.967741935,AEdile,1,180.0,CORIOLANUS,5,354.193548387,SICINIUS,9,81.2903225806,Second Messenger,1,40.6451612903, , , ,SICINIUS,3,81.2903225806,All,1,301.935483871,VOLUMNIA,8,232.258064516,BRUTUS,3,75.4838709677,First Senator,1,348.387096774,CORIOLANUS,16,354.193548387,Senators, &C,1,336.774193548, , , 
