duke,dukeLines,dukeColor,love,loveLines,loveColor,fair,fairLines,fairColor,give,giveLines,giveColor,money,moneyLines,moneyColor,bound,boundLines,boundColor,villain,villainLines,villainColor,dromio,dromioLines,dromioColor,home,homeLines,homeColor,speak,speakLines,speakColor,end,endLines,endColor,gold,goldLines,goldColor,didst,didstLines,didstColor,pray,prayLines,prayColor,away,awayLines,awayColor,two,twoLines,twoColor,long,longLines,longColor,call,callLines,callColor,take,takeLines,takeColor,house,houseLines,houseColor,master,masterLines,masterColor,tell,tellLines,tellColor,sent,sentLines,sentColor,gave,gaveLines,gaveColor,life,lifeLines,lifeColor,sure,sureLines,sureColor,quoth,quothLines,quothColor,never,neverLines,neverColor,none,noneLines,noneColor,bear,bearLines,bearColor,mine,mineLines,mineColor,antipholus,antipholusLines,antipholusColor,hear,hearLines,hearColor,mad,madLines,madColor,mistress,mistressLines,mistressColor,hand,handLines,handColor,day,dayLines,dayColor,man,manLines,manColor,sister,sisterLines,sisterColor,to-day,to-dayLines,to-dayColor,hour,hourLines,hourColor,wife,wifeLines,wifeColor,face,faceLines,faceColor,heart,heartLines,heartColor,dinner,dinnerLines,dinnerColor,husband,husbandLines,husbandColor,time,timeLines,timeColor,chain,chainLines,chainColor,fetch,fetchLines,fetchColor,came,cameLines,cameColor
AEMELIA,3,306.0,AEMELIA,1,306.0,DROMIO OF SYRACUSE,2,36.0,ANGELO,1,0,ANGELO,3,0,ANGELO,1,0,ANTIPHOLUS OF EPHESUS,6,72.0,DROMIO OF SYRACUSE,4,36.0,ANGELO,2,0,ANGELO,1,0,AEGEON,6,90.0,ANGELO,1,0,ANTIPHOLUS OF EPHESUS,2,72.0,ANGELO,2,0,Officer,1,126.0,DROMIO OF SYRACUSE,2,36.0,ANGELO,2,0,DROMIO OF SYRACUSE,2,36.0,DROMIO OF SYRACUSE,3,36.0,ANGELO,1,0,ANGELO,1,0,DROMIO OF SYRACUSE,2,36.0,DROMIO OF SYRACUSE,7,36.0,ANGELO,2,0,DROMIO OF SYRACUSE,2,36.0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF EPHESUS,7,198.0,DROMIO OF SYRACUSE,3,36.0,ANGELO,1,0,ANGELO,1,0,ANTIPHOLUS OF EPHESUS,4,72.0,ANGELO,3,0,ANGELO,1,0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF SYRACUSE,3,36.0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF SYRACUSE,2,36.0,ANGELO,1,0,DROMIO OF SYRACUSE,1,36.0,Courtezan,3,18.0,ANGELO,2,0,ANGELO,1,0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF SYRACUSE,3,36.0,DROMIO OF SYRACUSE,1,36.0,AEMELIA,3,306.0,ANGELO,2,0,ANGELO,15,0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF SYRACUSE,1,36.0
AEGEON,1,90.0,AEGEON,1,90.0,AEMELIA,1,306.0,Courtezan,1,18.0,DROMIO OF SYRACUSE,2,36.0,DROMIO OF SYRACUSE,1,36.0,OF EPHESUS,1,180.0,AEMELIA,2,306.0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF SYRACUSE,2,36.0,ANTIPHOLUS OF EPHESUS,3,72.0,DROMIO OF SYRACUSE,2,36.0,DUKE SOLINUS,2,162.0,DROMIO OF SYRACUSE,3,36.0,Courtezan,2,18.0,DROMIO OF EPHESUS,2,198.0,DROMIO OF SYRACUSE,4,36.0,First Merchant,1,108.0,Servant,1,54.0,DROMIO OF SYRACUSE,2,36.0,DROMIO OF SYRACUSE,14,36.0,Servant,1,54.0,ANTIPHOLUS OF EPHESUS,3,72.0,DROMIO OF SYRACUSE,2,36.0,Servant,1,54.0,Servant,1,54.0,LUCIANA,1,216.0,ANTIPHOLUS OF EPHESUS,4,72.0,DROMIO OF SYRACUSE,1,36.0,DROMIO OF SYRACUSE,2,36.0,AEGEON,1,90.0,AEGEON,3,90.0,DROMIO OF SYRACUSE,1,36.0,Courtezan,4,18.0,Servant,3,54.0,PINCH,1,234.0,First Merchant,1,108.0,DROMIO OF SYRACUSE,13,36.0,ANTIPHOLUS OF EPHESUS,1,72.0,ANTIPHOLUS OF EPHESUS,4,72.0,DROMIO OF SYRACUSE,3,36.0,DROMIO OF SYRACUSE,3,36.0,Servant,1,54.0,ANTIPHOLUS OF EPHESUS,1,72.0,Courtezan,3,18.0,Courtezan,2,18.0,DROMIO OF SYRACUSE,9,36.0,DROMIO OF SYRACUSE,3,36.0,ANTIPHOLUS OF EPHESUS,5,72.0,ANTIPHOLUS OF EPHESUS,4,72.0
ANTIPHOLUS OF EPHESUS,4,72.0,ANTIPHOLUS OF EPHESUS,1,72.0,DUKE SOLINUS,1,162.0,DROMIO OF SYRACUSE,6,36.0,First Merchant,1,108.0,Servant,1,54.0,DROMIO OF EPHESUS,2,198.0,AEGEON,3,90.0,Courtezan,1,18.0,AEMELIA,3,306.0,DROMIO OF EPHESUS,2,198.0,ANTIPHOLUS OF EPHESUS,1,72.0,OF EPHESUS,1,180.0,Courtezan,1,18.0,ANTIPHOLUS OF SYRACUSE,3,324.0,AEGEON,3,90.0,AEMELIA,2,306.0,DUKE SOLINUS,1,162.0,AEMELIA,1,306.0,Courtezan,3,18.0,Servant,2,54.0,Courtezan,1,18.0,DROMIO OF EPHESUS,1,198.0,AEGEON,2,90.0,AEMELIA,1,306.0,AEGEON,2,90.0, , , ,Courtezan,1,18.0,ANTIPHOLUS OF EPHESUS,2,72.0,AEGEON,2,90.0,Courtezan,2,18.0,Courtezan,2,18.0,Servant,1,54.0,ANTIPHOLUS OF EPHESUS,3,72.0,PINCH,1,234.0,AEGEON,1,90.0,ANTIPHOLUS OF EPHESUS,5,72.0,Servant,2,54.0,DROMIO OF EPHESUS,1,198.0,DROMIO OF EPHESUS,2,198.0,AEMELIA,1,306.0,Courtezan,2,18.0,AEGEON,1,90.0,DUKE SOLINUS,1,162.0,ANTIPHOLUS OF EPHESUS,2,72.0,DUKE SOLINUS,1,162.0,AEGEON,2,90.0,ANTIPHOLUS OF EPHESUS,11,72.0,DROMIO OF EPHESUS,1,198.0,AEGEON,3,90.0
DUKE SOLINUS,2,162.0,ADRIANA,3,342.0,ADRIANA,3,342.0,First Merchant,1,108.0,ANTIPHOLUS OF EPHESUS,6,72.0,PINCH,1,234.0,Second Merchant,1,288.0,ANTIPHOLUS OF EPHESUS,1,72.0,AEGEON,1,90.0,AEGEON,2,90.0,DROMIO OF SYRACUSE,2,36.0,OF EPHESUS,1,180.0,ADRIANA,3,342.0,ANTIPHOLUS OF EPHESUS,3,72.0,DROMIO OF SYRACUSE,2,36.0,DUKE SOLINUS,2,162.0,AEGEON,1,90.0,ADRIANA,2,342.0,ANTIPHOLUS OF EPHESUS,4,72.0,ANTIPHOLUS OF EPHESUS,7,72.0,PINCH,1,234.0,AEGEON,4,90.0,LUCIANA,1,216.0,ANTIPHOLUS OF EPHESUS,1,72.0,AEGEON,4,90.0,Courtezan,1,18.0, , , ,ADRIANA,7,342.0,DROMIO OF EPHESUS,1,198.0,ANTIPHOLUS OF EPHESUS,1,72.0,DROMIO OF EPHESUS,3,198.0,DUKE SOLINUS,2,162.0,AEMELIA,1,306.0,DUKE SOLINUS,2,162.0,DROMIO OF EPHESUS,9,198.0,ANTIPHOLUS OF EPHESUS,1,72.0,DUKE SOLINUS,1,162.0,Courtezan,1,18.0,LUCIANA,10,216.0,DROMIO OF SYRACUSE,1,36.0,AEGEON,2,90.0,AEGEON,4,90.0,ANTIPHOLUS OF EPHESUS,2,72.0,DROMIO OF EPHESUS,1,198.0,ADRIANA,1,342.0,Officer,1,126.0,ANTIPHOLUS OF EPHESUS,1,72.0,Courtezan,3,18.0,LUCIANA,1,216.0,Courtezan,1,18.0
Officer,1,126.0,LUCIANA,7,216.0,LUCIANA,2,216.0,AEGEON,1,90.0,ADRIANA,3,342.0,AEGEON,2,90.0,ANTIPHOLUS OF SYRACUSE,5,324.0,DROMIO OF EPHESUS,3,198.0,ANTIPHOLUS OF EPHESUS,6,72.0,DUKE SOLINUS,1,162.0, , , ,ADRIANA,1,342.0,ANTIPHOLUS OF SYRACUSE,4,324.0,DROMIO OF EPHESUS,5,198.0,ADRIANA,3,342.0,Officer,1,126.0,ANTIPHOLUS OF EPHESUS,2,72.0,LUCIANA,2,216.0,DUKE SOLINUS,1,162.0,OF EPHESUS,1,180.0,Courtezan,1,18.0,ANTIPHOLUS OF EPHESUS,3,72.0,ANTIPHOLUS OF SYRACUSE,2,324.0,DROMIO OF EPHESUS,4,198.0,First Merchant,1,108.0,ADRIANA,1,342.0, , , ,LUCIANA,2,216.0,ANTIPHOLUS OF SYRACUSE,2,324.0,DUKE SOLINUS,1,162.0,AEMELIA,1,306.0,ADRIANA,2,342.0,ANTIPHOLUS OF EPHESUS,1,72.0,DROMIO OF EPHESUS,3,198.0,ANTIPHOLUS OF SYRACUSE,5,324.0,DROMIO OF EPHESUS,7,198.0,ADRIANA,2,342.0,ANTIPHOLUS OF EPHESUS,4,72.0,ANTIPHOLUS OF SYRACUSE,6,324.0,ADRIANA,3,342.0,ADRIANA,1,342.0,ANTIPHOLUS OF EPHESUS,10,72.0,OF EPHESUS,1,180.0,LUCIANA,1,216.0,LUCIANA,3,216.0,LUCIANA,2,216.0,DUKE SOLINUS,1,162.0,DUKE SOLINUS,1,162.0,ANTIPHOLUS OF SYRACUSE,1,324.0,ADRIANA,3,342.0
LUCIANA,2,216.0,ANTIPHOLUS OF SYRACUSE,5,324.0,ANTIPHOLUS OF SYRACUSE,5,324.0,ANTIPHOLUS OF EPHESUS,5,72.0,ANTIPHOLUS OF SYRACUSE,8,324.0,ANTIPHOLUS OF EPHESUS,2,72.0,ADRIANA,2,342.0,LUCIANA,3,216.0,DUKE SOLINUS,2,162.0,ADRIANA,3,342.0, , , ,ANTIPHOLUS OF SYRACUSE,5,324.0, , , ,Second Merchant,1,288.0, , , ,AEMELIA,1,306.0,DUKE SOLINUS,1,162.0,ANTIPHOLUS OF SYRACUSE,6,324.0,ADRIANA,6,342.0,DROMIO OF EPHESUS,2,198.0,LUCE,1,144.0,LUCE,2,144.0,ADRIANA,4,342.0,ANTIPHOLUS OF SYRACUSE,3,324.0,DUKE SOLINUS,2,162.0,Second Merchant,1,288.0, , , ,ANTIPHOLUS OF SYRACUSE,1,324.0,ADRIANA,4,342.0,ADRIANA,7,342.0,Second Merchant,2,288.0,LUCIANA,2,216.0,ADRIANA,3,342.0,LUCIANA,2,216.0,ADRIANA,1,342.0,AEMELIA,1,306.0,LUCIANA,2,216.0,DUKE SOLINUS,2,162.0,ADRIANA,5,342.0, , , ,Second Merchant,1,288.0,OF EPHESUS,2,180.0,DROMIO OF EPHESUS,2,198.0,ANTIPHOLUS OF SYRACUSE,1,324.0,BALTHAZAR,1,252.0,ANTIPHOLUS OF SYRACUSE,2,324.0,ADRIANA,3,342.0,ADRIANA,3,342.0,ADRIANA,5,342.0,AEMELIA,1,306.0
Second Merchant,1,288.0, , , , , , ,PINCH,1,234.0,DROMIO OF EPHESUS,3,198.0,DROMIO OF EPHESUS,3,198.0, , , ,ANTIPHOLUS OF SYRACUSE,11,324.0,OF EPHESUS,1,180.0,Second Merchant,1,288.0, , , ,DROMIO OF EPHESUS,6,198.0, , , ,ANTIPHOLUS OF SYRACUSE,2,324.0, , , ,ANTIPHOLUS OF SYRACUSE,1,324.0,DROMIO OF EPHESUS,1,198.0, , , ,ANTIPHOLUS OF SYRACUSE,3,324.0,AEMELIA,1,306.0,DUKE SOLINUS,1,162.0,DUKE SOLINUS,1,162.0, , , , , , ,ANTIPHOLUS OF EPHESUS,3,72.0,ANTIPHOLUS OF SYRACUSE,3,324.0, , , , , , , , , ,LUCIANA,2,216.0,ANTIPHOLUS OF SYRACUSE,9,324.0, , , ,Second Merchant,1,288.0,AEMELIA,3,306.0, , , ,BALTHAZAR,1,252.0,AEMELIA,1,306.0,DROMIO OF EPHESUS,4,198.0, , , , , , ,ANTIPHOLUS OF SYRACUSE,5,324.0,DROMIO OF EPHESUS,2,198.0,LUCIANA,1,216.0,ADRIANA,3,342.0,ANTIPHOLUS OF SYRACUSE,2,324.0,ADRIANA,18,342.0,LUCIANA,1,216.0,Second Merchant,1,288.0, , , ,ANTIPHOLUS OF SYRACUSE,1,324.0
ADRIANA,2,342.0, , , , , , ,AEMELIA,1,306.0, , , ,LUCIANA,1,216.0, , , ,ADRIANA,7,342.0,DROMIO OF EPHESUS,12,198.0,ANTIPHOLUS OF SYRACUSE,4,324.0, , , , , , , , , ,ADRIANA,1,342.0, , , ,ADRIANA,3,342.0,BALTHAZAR,1,252.0, , , ,DROMIO OF EPHESUS,1,198.0,ANTIPHOLUS OF SYRACUSE,1,324.0,ADRIANA,10,342.0,DROMIO OF EPHESUS,1,198.0, , , , , , ,ANTIPHOLUS OF SYRACUSE,1,324.0,DROMIO OF EPHESUS,3,198.0, , , , , , , , , ,ANTIPHOLUS OF SYRACUSE,2,324.0,ADRIANA,1,342.0, , , ,ANTIPHOLUS OF SYRACUSE,3,324.0,ANTIPHOLUS OF SYRACUSE,3,324.0, , , ,ANTIPHOLUS OF SYRACUSE,1,324.0,BALTHAZAR,1,252.0,LUCIANA,3,216.0, , , , , , ,DROMIO OF EPHESUS,2,198.0,AEMELIA,1,306.0,ANTIPHOLUS OF SYRACUSE,1,324.0, , , ,DROMIO OF EPHESUS,3,198.0, , , ,BALTHAZAR,1,252.0,ANTIPHOLUS OF SYRACUSE,2,324.0, , , ,DROMIO OF EPHESUS,1,198.0
 , , , , , , , , ,ANTIPHOLUS OF SYRACUSE,3,324.0, , , ,AEMELIA,1,306.0, , , , , , ,LUCIANA,2,216.0, , , , , , , , , , , , , , , , , , , , , ,ANTIPHOLUS OF SYRACUSE,2,324.0, , , , , , ,ADRIANA,4,342.0,LUCIANA,4,216.0,LUCIANA,1,216.0, , , , , , , , , , , , , , , , , , , , , ,DROMIO OF EPHESUS,5,198.0, , , , , , ,Officer,1,126.0,ADRIANA,3,342.0, , , ,ADRIANA,3,342.0, , , ,PINCH,3,234.0, , , , , , , , , ,BALTHAZAR,1,252.0,ADRIANA,2,342.0, , , , , , , , , ,ANTIPHOLUS OF SYRACUSE,9,324.0,Officer,1,126.0, , , , , , 
 , , , , , , , , , , , , , , ,Second Merchant,1,288.0, , , , , , ,ANTIPHOLUS OF SYRACUSE,1,324.0, , , , , , , , , , , , , , , , , , , , , ,ADRIANA,1,342.0, , , , , , , , , ,ANTIPHOLUS OF SYRACUSE,1,324.0,AEMELIA,1,306.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Second Merchant,2,288.0, , , , , , , , , ,ANTIPHOLUS OF SYRACUSE,3,324.0, , , , , , , , , , , , , , , , , , , , , , , , 
