set,old,give,sweet,head,sack,two,percy,world,love,fear,prince,speak,horse,devil,hal,god,away,father,mortimer,douglas,better,call,take,lord,john,tell,noble,life,never,faith,honour,men,death,hear,blood,cousin,son,true,day,three,man,four,great,stand,time,meet,harry,jack,king
POINS 3 92.5714285714,POINS 2 92.5714285714,LANCASTER 1 226.285714286,POINS 2 92.5714285714,POINS 1 92.5714285714,POINS 1 92.5714285714,POINS 1 92.5714285714,KING HENRY IV 8 102.857142857,KING HENRY IV 1 102.857142857,KING HENRY IV 2 102.857142857,KING HENRY IV 4 102.857142857,POINS 1 92.5714285714,KING HENRY IV 2 102.857142857,POINS 4 92.5714285714,POINS 2 92.5714285714,FALSTAFF 58 10.2857142857,LANCASTER 1 226.285714286,LANCASTER 1 226.285714286,KING HENRY IV 1 102.857142857,KING HENRY IV 4 102.857142857,KING HENRY IV 6 102.857142857,First Carrier 1 123.428571429,POINS 1 92.5714285714,KING HENRY IV 2 102.857142857,Sheriff 5 0,POINS 2 92.5714285714,POINS 1 92.5714285714,KING HENRY IV 1 102.857142857,KING HENRY IV 2 102.857142857,KING HENRY IV 5 102.857142857,First Carrier 2 123.428571429,KING HENRY IV 4 102.857142857,POINS 2 92.5714285714,KING HENRY IV 1 102.857142857,POINS 2 92.5714285714,KING HENRY IV 8 102.857142857,LANCASTER 1 226.285714286,POINS 3 92.5714285714,POINS 1 92.5714285714,POINS 1 92.5714285714,KING HENRY IV 1 102.857142857,Sheriff 1 0,POINS 3 92.5714285714,KING HENRY IV 5 102.857142857,POINS 4 92.5714285714,KING HENRY IV 8 102.857142857,POINS 2 92.5714285714,KING HENRY IV 9 102.857142857,POINS 6 92.5714285714,KING HENRY IV 6 102.857142857
KING HENRY IV 4 102.857142857,KING HENRY IV 13 102.857142857,KING HENRY IV 2 102.857142857,KING HENRY IV 2 102.857142857,KING HENRY IV 1 102.857142857,PRINCE HENRY 7 288.0,KING HENRY IV 2 102.857142857,GLENDOWER 2 113.142857143,GLENDOWER 1 113.142857143,GLENDOWER 1 113.142857143,ARCHBISHOP OF YORK 3 133.714285714,KING HENRY IV 5 102.857142857,GLENDOWER 2 113.142857143,KING HENRY IV 1 102.857142857,KING HENRY IV 1 102.857142857,VERNON 2 20.5714285714,KING HENRY IV 3 102.857142857,KING HENRY IV 1 102.857142857,Hostess 2 236.571428571,GLENDOWER 2 113.142857143,SIR WALTER BLUNT 1 174.857142857,FALSTAFF 7 10.2857142857,KING HENRY IV 2 102.857142857,GLENDOWER 1 113.142857143,FALSTAFF 15 10.2857142857,KING HENRY IV 3 102.857142857,KING HENRY IV 8 102.857142857,Sheriff 1 0,GLENDOWER 1 113.142857143,GLENDOWER 1 113.142857143,Hostess 2 236.571428571,SIR WALTER BLUNT 1 174.857142857,KING HENRY IV 12 102.857142857,First Carrier 1 123.428571429,KING HENRY IV 12 102.857142857,GLENDOWER 1 113.142857143,KING HENRY IV 6 102.857142857,KING HENRY IV 14 102.857142857,KING HENRY IV 2 102.857142857,KING HENRY IV 9 102.857142857,GLENDOWER 2 113.142857143,FALSTAFF 43 10.2857142857,KING HENRY IV 1 102.857142857,NORTHUMBERLAND 1 154.285714286,KING HENRY IV 2 102.857142857,GLENDOWER 4 113.142857143,KING HENRY IV 8 102.857142857,ARCHBISHOP OF YORK 1 133.714285714,PRINCE HENRY 15 288.0,GLENDOWER 1 113.142857143
GLENDOWER 2 113.142857143,GLENDOWER 4 113.142857143,GLENDOWER 1 113.142857143,MORTIMER 1 318.857142857,GLENDOWER 2 113.142857143,PETO 2 144.0,First Carrier 2 123.428571429,ARCHBISHOP OF YORK 2 133.714285714,FALSTAFF 7 10.2857142857,MORTIMER 1 318.857142857,SIR MICHAEL 1 298.285714286,Hostess 2 236.571428571,Hostess 2 236.571428571,GLENDOWER 1 113.142857143,GLENDOWER 1 113.142857143,PRINCE HENRY 41 288.0,GLENDOWER 1 113.142857143,GLENDOWER 1 113.142857143,MORTIMER 4 318.857142857,ARCHBISHOP OF YORK 1 133.714285714,FALSTAFF 2 10.2857142857,VERNON 1 20.5714285714,GLENDOWER 2 113.142857143,BARDOLPH 1 308.571428571,VERNON 3 20.5714285714,Hostess 4 236.571428571,GLENDOWER 1 113.142857143,Hostess 1 236.571428571,FALSTAFF 9 10.2857142857,First Carrier 2 123.428571429,BARDOLPH 1 308.571428571,FALSTAFF 13 10.2857142857,GLENDOWER 4 113.142857143,FALSTAFF 3 10.2857142857,First Carrier 1 123.428571429,BARDOLPH 2 308.571428571,GLENDOWER 3 113.142857143,GLENDOWER 2 113.142857143,Hostess 1 236.571428571,GLENDOWER 1 113.142857143,Sheriff 1 0,VERNON 2 20.5714285714,First Carrier 1 123.428571429,FALSTAFF 2 10.2857142857,ARCHBISHOP OF YORK 1 133.714285714,SIR MICHAEL 1 298.285714286,ARCHBISHOP OF YORK 1 133.714285714,NORTHUMBERLAND 1 154.285714286,Hostess 1 236.571428571,First Carrier 1 123.428571429
Hostess 1 236.571428571,Hostess 3 236.571428571,BARDOLPH 1 308.571428571,FALSTAFF 7 10.2857142857,First Carrier 1 123.428571429,FALSTAFF 12 10.2857142857,Sheriff 2 0,NORTHUMBERLAND 1 154.285714286,VERNON 2 20.5714285714,FALSTAFF 7 10.2857142857,VERNON 2 20.5714285714,ARCHBISHOP OF YORK 1 133.714285714,MORTIMER 1 318.857142857,First Carrier 1 123.428571429,FALSTAFF 5 10.2857142857,HOTSPUR 33 61.7142857143,First Carrier 2 123.428571429,First Carrier 1 123.428571429,FALSTAFF 10 10.2857142857,FALSTAFF 1 10.2857142857,VERNON 1 20.5714285714,EARL OF WORCESTER 3 277.714285714,Hostess 3 236.571428571,MORTIMER 1 318.857142857,Messenger 5 41.1428571429,BARDOLPH 5 308.571428571,Hostess 1 236.571428571,ARCHBISHOP OF YORK 1 133.714285714,VERNON 3 20.5714285714,Hostess 2 236.571428571,MORTIMER 2 318.857142857,VERNON 1 20.5714285714,Sheriff 2 0,SIR WALTER BLUNT 1 174.857142857,Hostess 4 236.571428571,FALSTAFF 8 10.2857142857,ARCHBISHOP OF YORK 1 133.714285714,BARDOLPH 1 308.571428571,BARDOLPH 1 308.571428571,First Carrier 1 123.428571429,MORTIMER 1 318.857142857,LADY PERCY 2 51.4285714286,Hostess 1 236.571428571,VERNON 1 20.5714285714,Vintner 1 257.142857143,MORTIMER 1 318.857142857,MORTIMER 1 318.857142857,VERNON 1 20.5714285714,FALSTAFF 10 10.2857142857,Hostess 1 236.571428571
NORTHUMBERLAND 1 154.285714286,BARDOLPH 1 308.571428571,ARCHBISHOP OF YORK 1 133.714285714,VERNON 1 20.5714285714,ARCHBISHOP OF YORK 1 133.714285714,,BARDOLPH 1 308.571428571,MORTIMER 4 318.857142857,EARL OF WORCESTER 2 277.714285714,SIR WALTER BLUNT 1 174.857142857,FALSTAFF 7 10.2857142857,FALSTAFF 11 10.2857142857,FALSTAFF 6 10.2857142857,Servant 1 246.857142857,PRINCE HENRY 6 288.0,POINS 7 92.5714285714,Hostess 2 236.571428571,FALSTAFF 4 10.2857142857,Messenger 1 41.1428571429,SIR WALTER BLUNT 1 174.857142857,EARL OF WORCESTER 2 277.714285714,PRINCE HENRY 2 288.0,Vintner 1 257.142857143,FALSTAFF 10 10.2857142857,LADY PERCY 4 51.4285714286,ARCHBISHOP OF YORK 1 133.714285714,MORTIMER 2 318.857142857,FALSTAFF 4 10.2857142857,EARL OF WORCESTER 1 277.714285714,MORTIMER 1 318.857142857,WORCESTER 1 164.571428571,PRINCE HENRY 6 288.0,BARDOLPH 2 308.571428571,EARL OF WORCESTER 3 277.714285714,BARDOLPH 1 308.571428571,WESTMORELAND 1 185.142857143,MORTIMER 4 318.857142857,NORTHUMBERLAND 3 154.285714286,VERNON 1 20.5714285714,Hostess 1 236.571428571,FALSTAFF 10 10.2857142857,HOTSPUR 18 61.7142857143,MORTIMER 1 318.857142857,EARL OF WORCESTER 5 277.714285714,MORTIMER 2 318.857142857,ARCHBISHOP OF YORK 1 133.714285714,FALSTAFF 1 10.2857142857,FALSTAFF 5 10.2857142857,,BARDOLPH 2 308.571428571
MORTIMER 1 318.857142857,GADSHILL 2 349.714285714,FALSTAFF 27 10.2857142857,EARL OF DOUGLAS 1 216.0,FALSTAFF 3 10.2857142857,,PETO 1 144.0,FALSTAFF 8 10.2857142857,PRINCE HENRY 4 288.0,EARL OF WORCESTER 3 277.714285714,SIR WALTER BLUNT 1 174.857142857,VERNON 3 20.5714285714,SIR WALTER BLUNT 1 174.857142857,PETO 1 144.0,HOTSPUR 9 61.7142857143,KING HENRY IV 25 102.857142857,NORTHUMBERLAND 1 154.285714286,WESTMORELAND 1 185.142857143,EARL OF WORCESTER 4 277.714285714,WESTMORELAND 1 185.142857143,EARL OF DOUGLAS 2 216.0,HOTSPUR 5 61.7142857143,FALSTAFF 13 10.2857142857,WESTMORELAND 2 185.142857143,HOTSPUR 13 61.7142857143,Vintner 1 257.142857143,SIR WALTER BLUNT 1 174.857142857,VERNON 1 20.5714285714,PRINCE HENRY 8 288.0,FALSTAFF 9 10.2857142857,FALSTAFF 8 10.2857142857,EARL OF DOUGLAS 1 216.0,ARCHBISHOP OF YORK 2 133.714285714,PRINCE HENRY 7 288.0,ARCHBISHOP OF YORK 1 133.714285714,EARL OF WORCESTER 3 277.714285714,VERNON 2 20.5714285714,VERNON 1 20.5714285714,FALSTAFF 13 10.2857142857,ARCHBISHOP OF YORK 1 133.714285714,PRINCE HENRY 2 288.0,Chamberlain 2 72.0,FALSTAFF 9 10.2857142857,LADY PERCY 1 51.4285714286,FALSTAFF 6 10.2857142857,FALSTAFF 13 10.2857142857,EARL OF WORCESTER 2 277.714285714,SIR WALTER BLUNT 1 174.857142857,,ARCHBISHOP OF YORK 4 133.714285714
SIR WALTER BLUNT 1 174.857142857,Vintner 1 257.142857143,EARL OF WORCESTER 1 277.714285714,LADY PERCY 1 51.4285714286,SIR WALTER BLUNT 2 174.857142857,,FALSTAFF 10 10.2857142857,SIR WALTER BLUNT 1 174.857142857,HOTSPUR 7 61.7142857143,LADY PERCY 4 51.4285714286,Messenger 1 41.1428571429,WESTMORELAND 1 185.142857143,EARL OF WORCESTER 1 277.714285714,FALSTAFF 11 10.2857142857,,GLENDOWER 9 113.142857143,SIR WALTER BLUNT 2 174.857142857,EARL OF WORCESTER 2 277.714285714,PRINCE HENRY 6 288.0,EARL OF WORCESTER 1 277.714285714,PRINCE HENRY 5 288.0,,EARL OF WORCESTER 1 277.714285714,LADY PERCY 1 51.4285714286,POINS 3 92.5714285714,FALSTAFF 3 10.2857142857,FALSTAFF 7 10.2857142857,WESTMORELAND 1 185.142857143,HOTSPUR 7 61.7142857143,SIR WALTER BLUNT 1 174.857142857,WESTMORELAND 2 185.142857143,HOTSPUR 5 61.7142857143,SIR MICHAEL 1 298.285714286,EARL OF DOUGLAS 1 216.0,NORTHUMBERLAND 2 154.285714286,LADY PERCY 1 51.4285714286,EARL OF WORCESTER 7 277.714285714,FALSTAFF 19 10.2857142857,SIR WALTER BLUNT 2 174.857142857,MORTIMER 1 318.857142857,HOTSPUR 1 61.7142857143,Second Carrier 1 82.2857142857,VERNON 1 20.5714285714,PRINCE HENRY 4 288.0,SIR WALTER BLUNT 2 174.857142857,SIR WALTER BLUNT 2 174.857142857,EARL OF DOUGLAS 1 216.0,WESTMORELAND 1 185.142857143,,NORTHUMBERLAND 2 154.285714286
FALSTAFF 3 10.2857142857,MORTIMER 1 318.857142857,LADY PERCY 1 51.4285714286,PRINCE HENRY 7 288.0,EARL OF WORCESTER 4 277.714285714,,PRINCE HENRY 8 288.0,WESTMORELAND 1 185.142857143,,PRINCE HENRY 4 288.0,WESTMORELAND 1 185.142857143,EARL OF WORCESTER 1 277.714285714,LADY PERCY 2 51.4285714286,VERNON 4 20.5714285714,,ARCHBISHOP OF YORK 1 133.714285714,FALSTAFF 16 10.2857142857,LADY PERCY 1 51.4285714286,HOTSPUR 8 61.7142857143,LADY PERCY 1 51.4285714286,HOTSPUR 5 61.7142857143,,PRINCE HENRY 12 288.0,PRINCE HENRY 8 288.0,KING HENRY IV 11 102.857142857,VERNON 1 20.5714285714,VERNON 1 20.5714285714,EARL OF WORCESTER 3 277.714285714,,EARL OF WORCESTER 1 277.714285714,EARL OF WORCESTER 2 277.714285714,,MORTIMER 2 318.857142857,HOTSPUR 4 61.7142857143,MORTIMER 2 318.857142857,PRINCE HENRY 5 288.0,HOTSPUR 5 61.7142857143,SIR WALTER BLUNT 2 174.857142857,EARL OF WORCESTER 1 277.714285714,FALSTAFF 10 10.2857142857,Chamberlain 1 72.0,POINS 1 92.5714285714,Messenger 1 41.1428571429,HOTSPUR 9 61.7142857143,Thieves 1 30.8571428571,Messenger 1 41.1428571429,PRINCE HENRY 4 288.0,EARL OF WORCESTER 1 277.714285714,,SIR WALTER BLUNT 5 174.857142857
VERNON 1 20.5714285714,FALSTAFF 25 10.2857142857,PRINCE HENRY 7 288.0,HOTSPUR 2 61.7142857143,LADY PERCY 3 51.4285714286,,HOTSPUR 2 61.7142857143,PRINCE HENRY 13 288.0,,HOTSPUR 14 61.7142857143,EARL OF WORCESTER 3 277.714285714,PRINCE HENRY 7 288.0,PRINCE HENRY 6 288.0,First Traveller 1 339.428571429,,NORTHUMBERLAND 1 154.285714286,VERNON 1 20.5714285714,PRINCE HENRY 10 288.0,,PRINCE HENRY 1 288.0,SIR MICHAEL 1 298.285714286,,HOTSPUR 3 61.7142857143,HOTSPUR 9 61.7142857143,GLENDOWER 4 113.142857143,WESTMORELAND 3 185.142857143,LANCASTER 1 226.285714286,PRINCE HENRY 5 288.0,,PRINCE HENRY 9 288.0,LADY PERCY 2 51.4285714286,,FALSTAFF 12 10.2857142857,,FALSTAFF 14 10.2857142857,HOTSPUR 12 61.7142857143,,EARL OF WORCESTER 10 277.714285714,LADY PERCY 1 51.4285714286,VERNON 4 20.5714285714,,KING HENRY IV 6 102.857142857,PRINCE HENRY 7 288.0,GADSHILL 1 349.714285714,EARL OF WORCESTER 1 277.714285714,WESTMORELAND 2 185.142857143,GADSHILL 1 349.714285714,LADY PERCY 3 51.4285714286,,Chamberlain 1 72.0
Messenger 1 41.1428571429,SIR WALTER BLUNT 3 174.857142857,HOTSPUR 6 61.7142857143,,PRINCE HENRY 8 288.0,,FRANCIS 1 205.714285714,HOTSPUR 5 61.7142857143,,,LADY PERCY 1 51.4285714286,HOTSPUR 5 61.7142857143,HOTSPUR 7 61.7142857143,WESTMORELAND 1 185.142857143,,SIR WALTER BLUNT 3 174.857142857,EARL OF WORCESTER 1 277.714285714,HOTSPUR 6 61.7142857143,,HOTSPUR 13 61.7142857143,,,Chamberlain 1 72.0,,ARCHBISHOP OF YORK 4 133.714285714,PRINCE HENRY 9 288.0,WESTMORELAND 1 185.142857143,HOTSPUR 3 61.7142857143,,HOTSPUR 8 61.7142857143,PRINCE HENRY 4 288.0,,VERNON 2 20.5714285714,,SIR WALTER BLUNT 2 174.857142857,,,LADY PERCY 1 51.4285714286,PRINCE HENRY 6 288.0,Messenger 1 41.1428571429,,GLENDOWER 4 113.142857143,GADSHILL 1 349.714285714,Second Carrier 1 82.2857142857,PRINCE HENRY 8 288.0,EARL OF WORCESTER 10 277.714285714,HOTSPUR 4 61.7142857143,PRINCE HENRY 4 288.0,,FALSTAFF 20 10.2857142857
