heart,heartLines,heartColor,old,oldLines,oldColor,majesty,majestyLines,majestyColor,give,giveLines,giveColor,mine,mineLines,mineColor,dead,deadLines,deadColor,son,sonLines,sonColor,shallow,shallowLines,shallowColor,cousin,cousinLines,cousinColor,love,loveLines,loveColor,prince,princeLines,princeColor,speak,speakLines,speakColor,death,deathLines,deathColor,davy,davyLines,davyColor,pray,prayLines,prayColor,god,godLines,godColor,away,awayLines,awayColor,peace,peaceLines,peaceColor,father,fatherLines,fatherColor,young,youngLines,youngColor,grace,graceLines,graceColor,better,betterLines,betterColor,master,masterLines,masterColor,take,takeLines,takeColor,lord,lordLines,lordColor,john,johnLines,johnColor,tell,tellLines,tellColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,faith,faithLines,faithColor,time,timeLines,timeColor,bear,bearLines,bearColor,hand,handLines,handColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,men,menLines,menColor,news,newsLines,newsColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,pistol,pistolLines,pistolColor,word,wordLines,wordColor,bardolph,bardolphLines,bardolphColor,marry,marryLines,marryColor,stand,standLines,standColor,harry,harryLines,harryColor,two,twoLines,twoColor
LANCASTER,1,191.489361702,POINS,1,84.2553191489,LANCASTER,1,191.489361702,LANCASTER,1,191.489361702,LANCASTER,1,191.489361702,POINS,1,84.2553191489,KING HENRY IV,6,91.914893617,BARDOLPH,1,283.404255319,POINS,1,84.2553191489,LANCASTER,1,191.489361702,POINS,3,84.2553191489,LANCASTER,2,191.489361702,LANCASTER,2,191.489361702,BARDOLPH,1,283.404255319,BARDOLPH,1,283.404255319,POINS,1,84.2553191489,KING HENRY IV,3,91.914893617,LANCASTER,4,191.489361702,POINS,2,84.2553191489,POINS,1,84.2553191489,LANCASTER,4,191.489361702,LANCASTER,2,191.489361702,POINS,2,84.2553191489,POINS,2,84.2553191489,TRAVERS,2,0,KING HENRY IV,2,91.914893617,POINS,2,84.2553191489,KING HENRY IV,2,91.914893617,LANCASTER,2,191.489361702,POINS,2,84.2553191489,POINS,1,84.2553191489,POINS,2,84.2553191489,LANCASTER,3,191.489361702,POINS,1,84.2553191489,POINS,1,84.2553191489,POINS,2,84.2553191489,LANCASTER,2,191.489361702,LANCASTER,1,191.489361702,LANCASTER,1,191.489361702,LANCASTER,1,191.489361702,NORTHUMBERLAND,3,130.212765957,POINS,4,84.2553191489,KING HENRY IV,2,91.914893617,MISTRESS QUICKLY,1,99.5744680851,LANCASTER,2,191.489361702,POINS,1,84.2553191489,POINS,2,84.2553191489,POINS,1,84.2553191489,POINS,1,84.2553191489,POINS,2,84.2553191489
KING HENRY IV,3,91.914893617,KING HENRY IV,3,91.914893617,Princes,1,76.5957446809,KING HENRY IV,7,91.914893617,KING HENRY IV,1,91.914893617,KING HENRY IV,3,91.914893617,ARCHBISHOP OF YORK,1,114.893617021,FALSTAFF,27,30.6382978723,KING HENRY IV,2,91.914893617,KING HENRY IV,4,91.914893617,LANCASTER,1,191.489361702,KING HENRY IV,2,91.914893617,KING HENRY IV,5,91.914893617,FALSTAFF,1,30.6382978723,MISTRESS QUICKLY,4,99.5744680851,KING HENRY IV,9,91.914893617,SHALLOW,3,7.65957446809,KING HENRY IV,2,91.914893617,LANCASTER,4,191.489361702,TRAVERS,1,0,KING HENRY IV,2,91.914893617,KING HENRY IV,2,91.914893617,MISTRESS QUICKLY,3,99.5744680851,KING HENRY IV,6,91.914893617,NORTHUMBERLAND,1,130.212765957,TRAVERS,1,0,KING HENRY IV,1,91.914893617,PISTOL,2,168.510638298,KING HENRY IV,6,91.914893617,KING HENRY IV,2,91.914893617,MISTRESS QUICKLY,7,99.5744680851,KING HENRY IV,7,91.914893617,KING HENRY IV,2,91.914893617,KING HENRY IV,5,91.914893617,LANCASTER,2,191.489361702,LANCASTER,1,191.489361702,SHALLOW,2,7.65957446809,KING HENRY IV,3,91.914893617,KING HENRY IV,1,91.914893617,KING HENRY IV,6,91.914893617,DAVY,3,22.9787234043,KING HENRY IV,1,91.914893617,ARCHBISHOP OF YORK,1,114.893617021,DAVY,1,22.9787234043,KING HENRY IV,4,91.914893617,SHALLOW,6,7.65957446809,MISTRESS QUICKLY,2,99.5744680851,LANCASTER,2,191.489361702,KING HENRY IV,7,91.914893617,KING HENRY IV,1,91.914893617
MISTRESS QUICKLY,3,99.5744680851,MISTRESS QUICKLY,1,99.5744680851,ARCHBISHOP OF YORK,1,114.893617021,PISTOL,4,168.510638298,SHALLOW,1,7.65957446809,SHALLOW,4,7.65957446809,NORTHUMBERLAND,3,130.212765957,SHALLOW,2,7.65957446809,CLARENCE,1,206.808510638,MISTRESS QUICKLY,1,99.5744680851,MISTRESS QUICKLY,1,99.5744680851,PISTOL,5,168.510638298,PISTOL,1,168.510638298,SHALLOW,15,7.65957446809,SHALLOW,1,7.65957446809,MISTRESS QUICKLY,7,99.5744680851,DOLL TEARSHEET,3,199.14893617,ARCHBISHOP OF YORK,7,114.893617021,MISTRESS QUICKLY,1,99.5744680851,SHALLOW,2,7.65957446809,MISTRESS QUICKLY,2,99.5744680851,TRAVERS,1,0,DOLL TEARSHEET,1,199.14893617,MISTRESS QUICKLY,1,99.5744680851,FALSTAFF,27,30.6382978723,CLARENCE,1,206.808510638,MISTRESS QUICKLY,2,99.5744680851,WARWICK,2,15.3191489362,PISTOL,1,168.510638298,MISTRESS QUICKLY,1,99.5744680851,DOLL TEARSHEET,1,199.14893617,PISTOL,1,168.510638298,MISTRESS QUICKLY,2,99.5744680851,SHALLOW,4,7.65957446809,MISTRESS QUICKLY,1,99.5744680851,MISTRESS QUICKLY,1,99.5744680851,PISTOL,2,168.510638298,TRAVERS,1,0,ARCHBISHOP OF YORK,3,114.893617021,MISTRESS QUICKLY,2,99.5744680851,FALSTAFF,22,30.6382978723,MISTRESS QUICKLY,1,99.5744680851,Lord Chief-Justice,3,137.872340426,FALSTAFF,11,30.6382978723,MISTRESS QUICKLY,2,99.5744680851,ARCHBISHOP OF YORK,1,114.893617021,SHALLOW,6,7.65957446809,MISTRESS QUICKLY,1,99.5744680851,TRAVERS,1,0,MISTRESS QUICKLY,4,99.5744680851
SHALLOW,4,7.65957446809,DOLL TEARSHEET,1,199.14893617,Lord Chief-Justice,4,137.872340426,DOLL TEARSHEET,1,199.14893617,BULLCALF,3,229.787234043,ARCHBISHOP OF YORK,1,114.893617021,Lord Chief-Justice,3,137.872340426,LANCASTER,1,191.489361702,SHALLOW,7,7.65957446809,DOLL TEARSHEET,3,199.14893617,DOLL TEARSHEET,2,199.14893617,DOLL TEARSHEET,1,199.14893617,DOLL TEARSHEET,1,199.14893617, , , ,DOLL TEARSHEET,3,199.14893617,PISTOL,4,168.510638298,BARDOLPH,2,283.404255319,MOWBRAY,1,122.553191489,CLARENCE,2,206.808510638,DOLL TEARSHEET,1,199.14893617,DOLL TEARSHEET,1,199.14893617,DOLL TEARSHEET,5,199.14893617,SHALLOW,7,7.65957446809,SHALLOW,1,7.65957446809,WARWICK,7,15.3191489362,FANG,1,107.234042553,SHALLOW,1,7.65957446809,ARCHBISHOP OF YORK,3,114.893617021,CLARENCE,1,206.808510638,SHALLOW,1,7.65957446809,ARCHBISHOP OF YORK,1,114.893617021,DOLL TEARSHEET,1,199.14893617,SHALLOW,1,7.65957446809,MOWBRAY,1,122.553191489,KING HENRY IV,3,91.914893617,KING HENRY IV,4,91.914893617,KING HENRY IV,1,91.914893617,PISTOL,3,168.510638298,MOWBRAY,1,122.553191489,DOLL TEARSHEET,1,199.14893617,WARWICK,1,15.3191489362,PISTOL,3,168.510638298,KING HENRY V,3,291.063829787,First Beadle,1,153.191489362,DOLL TEARSHEET,3,199.14893617,NORTHUMBERLAND,1,130.212765957,LORD BARDOLPH,1,298.723404255,KING HENRY IV,1,91.914893617,SHALLOW,2,7.65957446809,First Groom,1,329.361702128
DOLL TEARSHEET,2,199.14893617,CLARENCE,1,206.808510638,KING HENRY V,2,291.063829787,Servant,1,214.468085106,LORD BARDOLPH,1,298.723404255,NORTHUMBERLAND,8,130.212765957,KING HENRY V,3,291.063829787,SILENCE,2,268.085106383,Lord Chief-Justice,1,137.872340426,CLARENCE,1,206.808510638,CLARENCE,1,206.808510638,CLARENCE,1,206.808510638,ARCHBISHOP OF YORK,1,114.893617021, , , ,KING HENRY IV,2,91.914893617,DOLL TEARSHEET,3,199.14893617,NORTHUMBERLAND,1,130.212765957,SHALLOW,2,7.65957446809,KING HENRY IV,4,91.914893617,ARCHBISHOP OF YORK,1,114.893617021,BARDOLPH,2,283.404255319,COLEVILE,1,275.744680851,Lord Chief-Justice,4,137.872340426,BARDOLPH,1,283.404255319,POINS,3,84.2553191489,FALSTAFF,3,30.6382978723,DOLL TEARSHEET,2,199.14893617,NORTHUMBERLAND,1,130.212765957,WARWICK,1,15.3191489362,WARWICK,1,15.3191489362,MOWBRAY,1,122.553191489,CLARENCE,2,206.808510638,DOLL TEARSHEET,1,199.14893617,NORTHUMBERLAND,1,130.212765957,Servant,1,214.468085106,ARCHBISHOP OF YORK,1,114.893617021,ARCHBISHOP OF YORK,4,114.893617021,NORTHUMBERLAND,4,130.212765957,SHALLOW,1,7.65957446809,BARDOLPH,2,283.404255319,FEEBLE,2,61.2765957447,CLARENCE,1,206.808510638,LORD BARDOLPH,2,298.723404255,PISTOL,4,168.510638298,WARWICK,1,15.3191489362,BULLCALF,1,229.787234043,FALSTAFF,6,30.6382978723,BARDOLPH,2,283.404255319,PISTOL,2,168.510638298,DOLL TEARSHEET,1,199.14893617
ARCHBISHOP OF YORK,1,114.893617021,BARDOLPH,1,283.404255319,FALSTAFF,2,30.6382978723,NORTHUMBERLAND,2,130.212765957,KING HENRY V,2,291.063829787,Lord Chief-Justice,2,137.872340426,LORD BARDOLPH,3,298.723404255, , , ,LANCASTER,5,191.489361702,ARCHBISHOP OF YORK,1,114.893617021,KING HENRY IV,4,91.914893617,WARWICK,2,15.3191489362,NORTHUMBERLAND,1,130.212765957, , , ,Servant,1,214.468085106,BARDOLPH,1,283.404255319,Lord Chief-Justice,1,137.872340426,Lord Chief-Justice,4,137.872340426,WARWICK,1,15.3191489362,NORTHUMBERLAND,1,130.212765957,ARCHBISHOP OF YORK,1,114.893617021,BARDOLPH,1,283.404255319,BULLCALF,1,229.787234043,ARCHBISHOP OF YORK,4,114.893617021,KING HENRY IV,9,91.914893617,Servant,3,214.468085106,Servant,1,214.468085106,KING HENRY V,1,291.063829787,ARCHBISHOP OF YORK,2,114.893617021,NORTHUMBERLAND,1,130.212765957,SHALLOW,4,7.65957446809,WARWICK,3,15.3191489362,NORTHUMBERLAND,1,130.212765957,Lord Chief-Justice,1,137.872340426,ARCHBISHOP OF YORK,1,114.893617021,WARWICK,1,15.3191489362,WARWICK,1,15.3191489362,Lord Chief-Justice,2,137.872340426,Lord Chief-Justice,1,137.872340426,ARCHBISHOP OF YORK,1,114.893617021,POINS,1,84.2553191489,ARCHBISHOP OF YORK,4,114.893617021,FALSTAFF,6,30.6382978723,First Drawer,1,176.170212766,BARDOLPH,4,283.404255319,LORD BARDOLPH,1,298.723404255,DAVY,1,22.9787234043,ARCHBISHOP OF YORK,2,114.893617021,WARWICK,1,15.3191489362,ARCHBISHOP OF YORK,1,114.893617021
NORTHUMBERLAND,2,130.212765957,SHALLOW,6,7.65957446809,WARWICK,4,15.3191489362,LORD BARDOLPH,2,298.723404255,FALSTAFF,7,30.6382978723,KING HENRY V,1,291.063829787,FALSTAFF,6,30.6382978723, , , ,WESTMORELAND,1,160.85106383,MOWBRAY,2,122.553191489,NORTHUMBERLAND,1,130.212765957,Servant,1,214.468085106,LORD BARDOLPH,2,298.723404255, , , ,ARCHBISHOP OF YORK,1,114.893617021,MOWBRAY,1,122.553191489,FALSTAFF,9,30.6382978723,KING HENRY V,1,291.063829787,ARCHBISHOP OF YORK,1,114.893617021,Lord Chief-Justice,2,137.872340426,MOWBRAY,1,122.553191489,MOWBRAY,1,122.553191489,DAVY,1,22.9787234043,NORTHUMBERLAND,1,130.212765957,MISTRESS QUICKLY,7,99.5744680851,PETO,1,306.382978723,MOWBRAY,1,122.553191489,LORD BARDOLPH,1,298.723404255,MOWBRAY,1,122.553191489,Lord Chief-Justice,1,137.872340426,KING HENRY V,1,291.063829787,ARCHBISHOP OF YORK,4,114.893617021,Lord Chief-Justice,1,137.872340426,KING HENRY V,4,291.063829787,Lord Chief-Justice,4,137.872340426,KING HENRY V,1,291.063829787,LORD BARDOLPH,1,298.723404255,LORD BARDOLPH,3,298.723404255,LORD BARDOLPH,1,298.723404255,MOWBRAY,1,122.553191489,KING HENRY IV,3,91.914893617,MOWBRAY,4,122.553191489,WARWICK,2,15.3191489362, , , ,ARCHBISHOP OF YORK,1,114.893617021,FALSTAFF,11,30.6382978723,PRINCE HENRY,2,245.106382979,MOWBRAY,1,122.553191489,MOWBRAY,1,122.553191489,SHALLOW,2,7.65957446809
LORD BARDOLPH,1,298.723404255,Lord Chief-Justice,1,137.872340426,PRINCE HENRY,2,245.106382979,FALSTAFF,15,30.6382978723,DAVY,1,22.9787234043,LORD BARDOLPH,1,298.723404255,WESTMORELAND,1,160.85106383, , , ,SILENCE,5,268.085106383,WARWICK,1,15.3191489362,Lord Chief-Justice,5,137.872340426,ARCHBISHOP OF YORK,1,114.893617021,FALSTAFF,2,30.6382978723, , , ,NORTHUMBERLAND,1,130.212765957,NORTHUMBERLAND,1,130.212765957,WARWICK,1,15.3191489362,FALSTAFF,4,30.6382978723,PETO,1,306.382978723,LORD BARDOLPH,2,298.723404255,FALSTAFF,6,30.6382978723,SHALLOW,2,7.65957446809,MOULDY,1,145.531914894,Lord Chief-Justice,3,137.872340426,ARCHBISHOP OF YORK,14,114.893617021,SHALLOW,24,7.65957446809,NORTHUMBERLAND,2,130.212765957,FALSTAFF,1,30.6382978723,NORTHUMBERLAND,1,130.212765957,LORD BARDOLPH,1,298.723404255,FALSTAFF,4,30.6382978723,MOWBRAY,1,122.553191489,KING HENRY V,3,291.063829787,LORD BARDOLPH,2,298.723404255,FALSTAFF,5,30.6382978723,FALSTAFF,5,30.6382978723,MOULDY,1,145.531914894,FALSTAFF,3,30.6382978723,FALSTAFF,4,30.6382978723,SHALLOW,3,7.65957446809,MISTRESS QUICKLY,4,99.5744680851,WARWICK,4,15.3191489362,PRINCE HENRY,1,245.106382979, , , ,SHALLOW,1,7.65957446809,Second Drawer,1,314.042553191,Page,1,260.425531915,SHALLOW,1,7.65957446809,NORTHUMBERLAND,1,130.212765957,FALSTAFF,4,30.6382978723
FALSTAFF,3,30.6382978723,First Drawer,1,176.170212766,HARCOURT,1,321.70212766,WESTMORELAND,2,160.85106383,WESTMORELAND,1,160.85106383,FALSTAFF,2,30.6382978723,LADY PERCY,2,45.9574468085, , , , , , ,KING HENRY V,2,291.063829787,KING HENRY V,3,291.063829787,NORTHUMBERLAND,3,130.212765957,SHADOW,1,53.6170212766, , , ,Lord Chief-Justice,2,137.872340426,Lord Chief-Justice,5,137.872340426,PRINCE HENRY,1,245.106382979,WESTMORELAND,8,160.85106383,NORTHUMBERLAND,1,130.212765957,FALSTAFF,9,30.6382978723,WESTMORELAND,7,160.85106383,Lord Chief-Justice,3,137.872340426,FALSTAFF,38,30.6382978723,FALSTAFF,8,30.6382978723,MOWBRAY,2,122.553191489,Lord Chief-Justice,11,137.872340426,Lord Chief-Justice,2,137.872340426,WESTMORELAND,2,160.85106383,Lord Chief-Justice,2,137.872340426,FALSTAFF,7,30.6382978723,PRINCE HENRY,1,245.106382979,NORTHUMBERLAND,5,130.212765957,DAVY,2,22.9787234043,FALSTAFF,4,30.6382978723,WESTMORELAND,1,160.85106383,WESTMORELAND,1,160.85106383,FALSTAFF,14,30.6382978723,DAVY,1,22.9787234043,WESTMORELAND,1,160.85106383,Lord Chief-Justice,1,137.872340426,MOWBRAY,1,122.553191489,Lord Chief-Justice,6,137.872340426,HARCOURT,1,321.70212766, , , ,Lord Chief-Justice,2,137.872340426,PRINCE HENRY,4,245.106382979, , , ,Lord Chief-Justice,1,137.872340426,BULLCALF,1,229.787234043,First Beadle,1,153.191489362
DAVY,1,22.9787234043,MOULDY,3,145.531914894,GLOUCESTER,1,352.340425532,WARWICK,1,15.3191489362,LADY PERCY,1,45.9574468085,First Beadle,1,153.191489362,SHADOW,1,53.6170212766, , , , , , ,FALSTAFF,2,30.6382978723,LORD BARDOLPH,2,298.723404255,Lord Chief-Justice,6,137.872340426,MORTON,2,252.765957447, , , ,FALSTAFF,5,30.6382978723,KING HENRY V,2,291.063829787,MORTON,1,252.765957447,PRINCE HENRY,1,245.106382979,Lord Chief-Justice,3,137.872340426,WARWICK,1,15.3191489362,WARWICK,4,15.3191489362,FALSTAFF,7,30.6382978723,Second Drawer,1,314.042553191,WESTMORELAND,1,160.85106383,SHALLOW,1,7.65957446809,MISTRESS QUICKLY,4,99.5744680851,LORD BARDOLPH,2,298.723404255,LADY PERCY,2,45.9574468085,KING HENRY V,1,291.063829787,LADY PERCY,2,45.9574468085,FEEBLE,1,61.2765957447,Lord Chief-Justice,3,137.872340426,FALSTAFF,3,30.6382978723,WESTMORELAND,1,160.85106383,PRINCE HENRY,1,245.106382979,LADY PERCY,1,45.9574468085,WESTMORELAND,1,160.85106383,PRINCE HENRY,2,245.106382979,Second Drawer,1,314.042553191,KING HENRY V,1,291.063829787,SHALLOW,3,7.65957446809,BULLCALF,1,229.787234043,MORTON,2,252.765957447, , , ,FALSTAFF,6,30.6382978723,HARCOURT,1,321.70212766, , , ,BULLCALF,1,229.787234043,LORD BARDOLPH,2,298.723404255,Second Drawer,1,314.042553191
