heart,heartLines,heartColor,england,englandLines,englandColor,eat,eatLines,eatColor,majesty,majestyLines,majestyColor,give,giveLines,giveColor,captain,captainLines,captainColor,mine,mineLines,mineColor,dead,deadLines,deadColor,dear,dearLines,dearColor,love,loveLines,loveColor,keep,keepLines,keepColor,find,findLines,findColor,best,bestLines,bestColor,speak,speakLines,speakColor,liege,liegeLines,liegeColor,fair,fairLines,fairColor,god,godLines,godColor,kate,kateLines,kateColor,france,franceLines,franceColor,better,betterLines,betterColor,take,takeLines,takeColor,answer,answerLines,answerColor,lord,lordLines,lordColor,dauphin,dauphinLines,dauphinColor,war,warLines,warColor,day,dayLines,dayColor,poor,poorLines,poorColor,vous,vousLines,vousColor,full,fullLines,fullColor,honour,honourLines,honourColor,men,menLines,menColor,french,frenchLines,frenchColor,hand,handLines,handColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,never,neverLines,neverColor,true,trueLines,trueColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,princes,princesLines,princesColor,duke,dukeLines,dukeColor,english,englishLines,englishColor,brother,brotherLines,brotherColor,glove,gloveLines,gloveColor,tell,tellLines,tellColor,soldier,soldierLines,soldierColor,time,timeLines,timeColor,wear,wearLines,wearColor
Hostess,2,192.0,ORLEANS,1,16.0,ORLEANS,1,16.0,First Ambassador,1,184.0,Boy,3,168.0,KING HENRY V,3,296.0,Boy,2,168.0,MONTJOY,4,304.0,FRENCH KING,1,96.0,QUEEN ISABEL,2,32.0,Boy,1,168.0,Constable,2,200.0,Boy,1,168.0,MONTJOY,1,304.0,SCROOP,2,112.0,FRENCH KING,2,96.0,BEDFORD,1,0,KING HENRY V,26,296.0,ORLEANS,1,16.0,Boy,1,168.0,Boy,1,168.0,BATES,1,176.0,ORLEANS,1,16.0,ORLEANS,1,16.0,FRENCH KING,2,96.0,MONTJOY,1,304.0,BATES,1,176.0,KATHARINE,5,320.0,BEDFORD,1,0,KING OF FRANCE,1,104.0,FLUELLEN,1,72.0,Boy,2,168.0,ORLEANS,1,16.0,MONTJOY,1,304.0,MONTJOY,3,304.0,Boy,2,168.0,Boy,1,168.0,BEDFORD,1,0,Boy,3,168.0,BEDFORD,2,0,MONTJOY,2,304.0,KING OF FRANCE,6,104.0,KING OF FRANCE,1,104.0,ORLEANS,2,16.0,Boy,1,168.0,Boy,1,168.0,PISTOL,2,152.0,MONTJOY,1,304.0,ORLEANS,1,16.0,ORLEANS,1,16.0
QUEEN ISABEL,1,32.0,PISTOL,1,152.0,Constable,3,200.0,KING HENRY V,1,296.0,MONTJOY,1,304.0,JAMY,2,40.0,BARDOLPH,1,272.0,ELY,1,224.0,KING HENRY V,11,296.0,KING HENRY V,27,296.0,Hostess,1,192.0,ERPINGHAM,1,288.0,SCROOP,1,112.0,First Ambassador,1,184.0,CANTERBURY,3,136.0,KING OF FRANCE,1,104.0,CAMBRIDGE,2,264.0, , , ,CAMBRIDGE,1,264.0,CAMBRIDGE,1,264.0,FRENCH KING,1,96.0,First Ambassador,1,184.0,FRENCH KING,1,96.0,First Ambassador,2,184.0,KING OF FRANCE,1,104.0,BATES,1,176.0,Hostess,1,192.0,French Soldier,4,248.0,KING OF FRANCE,3,104.0,Constable,2,200.0,Boy,3,168.0,BATES,1,176.0,Hostess,1,192.0,First Ambassador,1,184.0,FRENCH KING,1,96.0,CAMBRIDGE,1,264.0,Constable,1,200.0,KING OF FRANCE,1,104.0,Hostess,2,192.0,CANTERBURY,16,136.0,BATES,1,176.0,Constable,1,200.0,KING HENRY V,6,296.0,BATES,1,176.0,COURT,1,8.0,KING HENRY V,5,296.0,BATES,1,176.0,BARDOLPH,1,272.0,Hostess,1,192.0,KING HENRY V,9,296.0
Constable,1,200.0,FRENCH KING,2,96.0,WESTMORELAND,1,160.0,BURGUNDY,1,56.0,First Ambassador,1,184.0,FLUELLEN,14,72.0,Constable,1,200.0,PISTOL,2,152.0,BURGUNDY,1,56.0,BURGUNDY,3,56.0,BARDOLPH,1,272.0,KING HENRY V,4,296.0,Constable,2,200.0,QUEEN ISABEL,1,32.0,ELY,1,224.0,Constable,1,200.0,Hostess,2,192.0, , , ,First Ambassador,2,184.0,ORLEANS,1,16.0,ORLEANS,1,16.0,KING OF FRANCE,3,104.0,YORK,1,232.0,KING OF FRANCE,2,104.0,KING HENRY V,10,296.0,Hostess,2,192.0,Constable,3,200.0,ALICE,2,208.0,JAMY,1,40.0,KING HENRY V,9,296.0,MONTJOY,1,304.0,KING OF FRANCE,1,104.0,KING OF FRANCE,1,104.0,BARDOLPH,1,272.0,KING OF FRANCE,1,104.0,FRENCH KING,2,96.0,KING HENRY V,5,296.0,SCROOP,1,112.0,QUEEN ISABEL,1,32.0,Messenger,1,48.0,First Ambassador,1,184.0,QUEEN ISABEL,1,32.0,CANTERBURY,2,136.0,KING OF FRANCE,3,104.0,FRENCH KING,1,96.0,WILLIAMS,6,344.0,KING HENRY V,23,296.0,Constable,1,200.0,Boy,1,168.0,FLUELLEN,2,72.0
GREY,1,120.0,KING OF FRANCE,8,104.0,FLUELLEN,9,72.0,ALICE,1,208.0,KING OF FRANCE,2,104.0,PISTOL,2,152.0,JAMY,1,40.0,KING HENRY V,8,296.0,CANTERBURY,1,136.0,KATHARINE,1,320.0,Constable,1,200.0,CANTERBURY,1,136.0,KING HENRY V,8,296.0,KING HENRY V,14,296.0,WESTMORELAND,2,160.0,KING HENRY V,20,296.0,KING OF FRANCE,1,104.0, , , ,FRENCH KING,2,96.0,ERPINGHAM,1,288.0,Constable,1,200.0,KING HENRY V,9,296.0,KING OF FRANCE,3,104.0,Constable,1,200.0,CANTERBURY,1,136.0,QUEEN ISABEL,2,32.0,KING HENRY V,7,296.0,KING HENRY V,2,296.0,KING HENRY V,6,296.0,CANTERBURY,1,136.0,BATES,1,176.0,QUEEN ISABEL,2,32.0,GRANDPRE,1,280.0,JAMY,1,40.0,Constable,3,200.0,Hostess,2,192.0,BURGUNDY,1,56.0,Constable,1,200.0,SCROOP,1,112.0,BURGUNDY,1,56.0,KING OF FRANCE,2,104.0,KING HENRY V,9,296.0,FLUELLEN,9,72.0,QUEEN ISABEL,2,32.0,KING OF FRANCE,3,104.0,FLUELLEN,4,72.0,ALICE,1,208.0,KING HENRY V,18,296.0,Constable,1,200.0,DAUPHIN,1,88.0
BURGUNDY,1,56.0,QUEEN ISABEL,1,32.0,PISTOL,3,152.0,ELY,1,224.0,Constable,3,200.0,GOWER,5,336.0,KING HENRY V,6,296.0,EXETER,1,328.0,SALISBURY,1,312.0,FLUELLEN,3,72.0,KING HENRY V,9,296.0,FLUELLEN,5,72.0,BURGUNDY,2,56.0,CANTERBURY,2,136.0,FLUELLEN,1,72.0,CANTERBURY,2,136.0,QUEEN ISABEL,2,32.0, , , ,KING OF FRANCE,1,104.0,KING OF FRANCE,1,104.0,KING HENRY V,20,296.0,BURGUNDY,2,56.0,ERPINGHAM,3,288.0,KING HENRY V,10,296.0,MACMORRIS,1,144.0,Constable,3,200.0,BURGUNDY,1,56.0,Boy,3,168.0,CANTERBURY,5,136.0,NYM,1,64.0,Hostess,1,192.0,Constable,1,200.0,Constable,1,200.0,KING HENRY V,5,296.0,KING HENRY V,13,296.0,ORLEANS,4,16.0,WESTMORELAND,1,160.0,KING HENRY V,3,296.0,KING HENRY V,20,296.0,NYM,3,64.0,Constable,3,200.0,BURGUNDY,1,56.0,PISTOL,4,152.0,Constable,2,200.0,BARDOLPH,1,272.0, , , ,CANTERBURY,1,136.0,BURGUNDY,1,56.0,KING HENRY V,5,296.0,GOWER,1,336.0
KING HENRY V,13,296.0,Constable,2,200.0,RAMBURES,1,240.0,Messenger,1,48.0,GREY,1,120.0,WILLIAMS,3,344.0,NYM,2,64.0, , , ,FLUELLEN,1,72.0,PISTOL,3,152.0,CANTERBURY,1,136.0,GOWER,1,336.0,ELY,1,224.0,KATHARINE,1,320.0,GLOUCESTER,2,352.0,NYM,2,64.0,SCROOP,1,112.0, , , ,BARDOLPH,1,272.0,Constable,1,200.0,JAMY,1,40.0,FLUELLEN,1,72.0,Constable,5,200.0,GOVERNOR,1,128.0,FLUELLEN,10,72.0,KING HENRY V,20,296.0,GRANDPRE,1,280.0, , , ,FLUELLEN,1,72.0,FLUELLEN,2,72.0,KING OF FRANCE,1,104.0,KING HENRY V,20,296.0,KING HENRY V,12,296.0,ELY,1,224.0,BURGUNDY,1,56.0,QUEEN ISABEL,1,32.0,ELY,1,224.0,ERPINGHAM,1,288.0,ALICE,1,208.0,FLUELLEN,1,72.0,GREY,1,120.0,ALICE,1,208.0,GOWER,3,336.0,KING HENRY V,16,296.0,QUEEN ISABEL,2,32.0, , , ,NYM,1,64.0,CANTERBURY,1,136.0,BURGUNDY,1,56.0,WILLIAMS,3,344.0
WESTMORELAND,1,160.0,KING HENRY V,11,296.0, , , ,CANTERBURY,3,136.0,KING HENRY V,17,296.0, , , ,FLUELLEN,2,72.0, , , ,EXETER,1,328.0,EXETER,1,328.0,FLUELLEN,4,72.0,EXETER,2,328.0,QUEEN ISABEL,1,32.0,FLUELLEN,3,72.0,DAUPHIN,2,88.0,DAUPHIN,1,88.0,KING HENRY V,34,296.0, , , ,Constable,1,200.0,KING HENRY V,8,296.0,CANTERBURY,1,136.0,WILLIAMS,1,344.0,KING HENRY V,20,296.0,DAUPHIN,1,88.0,PISTOL,1,152.0,GOVERNOR,1,128.0,CANTERBURY,1,136.0, , , ,WESTMORELAND,1,160.0,PISTOL,1,152.0,Constable,2,200.0,Herald,1,216.0,ALICE,1,208.0,CANTERBURY,6,136.0,RAMBURES,1,240.0,Constable,1,200.0,CANTERBURY,2,136.0,ALICE,1,208.0,WESTMORELAND,1,160.0,KING OF FRANCE,1,104.0,GOVERNOR,1,128.0,SALISBURY,1,312.0,EXETER,3,328.0,BURGUNDY,1,56.0,KING HENRY V,11,296.0, , , ,KATHARINE,3,320.0,PISTOL,1,152.0,CANTERBURY,4,136.0, , , 
FLUELLEN,2,72.0,BURGUNDY,1,56.0, , , ,KATHARINE,1,320.0,CANTERBURY,2,136.0, , , ,GOWER,2,336.0, , , , , , , , , ,PISTOL,2,152.0, , , ,FLUELLEN,1,72.0,PISTOL,1,152.0,WILLIAMS,4,344.0, , , ,BURGUNDY,1,56.0, , , ,KING HENRY V,32,296.0,CANTERBURY,1,136.0,FLUELLEN,7,72.0,EXETER,1,328.0,BURGUNDY,4,56.0,EXETER,1,328.0,DAUPHIN,2,88.0,CANTERBURY,2,136.0,MONTJOY,2,304.0, , , ,Boy,1,168.0,DAUPHIN,2,88.0,KING HENRY V,23,296.0,EXETER,2,328.0,KATHARINE,6,320.0,FLUELLEN,1,72.0,ELY,1,224.0,GREY,1,120.0,FLUELLEN,3,72.0,CANTERBURY,4,136.0,CANTERBURY,2,136.0,GOVERNOR,1,128.0,KING HENRY V,9,296.0,MONTJOY,2,304.0, , , ,Messenger,2,48.0,FLUELLEN,1,72.0, , , ,FLUELLEN,12,72.0,GOWER,2,336.0,NYM,3,64.0, , , 
PISTOL,4,152.0,RAMBURES,1,240.0, , , ,FLUELLEN,22,72.0,MACMORRIS,2,144.0, , , ,WILLIAMS,1,344.0, , , , , , , , , ,WILLIAMS,1,344.0, , , ,DAUPHIN,1,88.0,GOWER,3,336.0,EXETER,2,328.0, , , ,WESTMORELAND,1,160.0, , , ,BURGUNDY,3,56.0,FLUELLEN,3,72.0,BOURBON,1,80.0, , , ,GRANDPRE,1,280.0, , , ,GOWER,2,336.0,MACMORRIS,1,144.0,WILLIAMS,2,344.0, , , ,MONTJOY,1,304.0,EXETER,1,328.0,CANTERBURY,2,136.0,Messenger,1,48.0,CANTERBURY,1,136.0,PISTOL,1,152.0,CANTERBURY,2,136.0,KING HENRY V,13,296.0,EXETER,1,328.0,KATHARINE,1,320.0,NYM,1,64.0,WESTMORELAND,2,160.0,BURGUNDY,1,56.0, , , , , , ,CANTERBURY,1,136.0,EXETER,1,328.0, , , ,MONTJOY,2,304.0,WILLIAMS,1,344.0,MACMORRIS,2,144.0, , , 
EXETER,1,328.0,Messenger,1,48.0, , , ,DAUPHIN,1,88.0,FLUELLEN,2,72.0, , , ,EXETER,2,328.0, , , , , , , , , ,EXETER,2,328.0, , , , , , , , , , , , , , , ,SALISBURY,2,312.0, , , ,GRANDPRE,1,280.0,MONTJOY,1,304.0,PISTOL,3,152.0, , , ,ELY,3,224.0, , , ,EXETER,1,328.0,FLUELLEN,5,72.0,EXETER,1,328.0, , , ,ALICE,1,208.0, , , ,NYM,1,64.0,CANTERBURY,7,136.0,MACMORRIS,2,144.0,GOWER,1,336.0,PISTOL,3,152.0,WESTMORELAND,1,160.0, , , ,FLUELLEN,5,72.0,MACMORRIS,1,144.0,MACMORRIS,1,144.0,CANTERBURY,5,136.0, , , , , , ,BOURBON,1,80.0, , , , , , ,DAUPHIN,1,88.0,EXETER,2,328.0,FLUELLEN,2,72.0, , , 
