lords,lordsLines,lordsColor,set,setLines,setColor,england,englandLines,englandColor,grace,graceLines,graceColor,give,giveLines,giveColor,charles,charlesLines,charlesColor,mine,mineLines,mineColor,talbot,talbotLines,talbotColor,love,loveLines,loveColor,fear,fearLines,fearColor,fight,fightLines,fightColor,orleans,orleansLines,orleansColor,death,deathLines,deathColor,god,godLines,godColor,away,awayLines,awayColor,peace,peaceLines,peaceColor,father,fatherLines,fatherColor,arms,armsLines,armsColor,burgundy,burgundyLines,burgundyColor,france,franceLines,franceColor,take,takeLines,takeColor,sword,swordLines,swordColor,lord,lordLines,lordColor,heart,heartLines,heartColor,dauphin,dauphinLines,dauphinColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,somerset,somersetLines,somersetColor,honour,honourLines,honourColor,men,menLines,menColor,none,noneLines,noneColor,french,frenchLines,frenchColor,stay,stayLines,stayColor,york,yorkLines,yorkColor,blood,bloodLines,bloodColor,words,wordsLines,wordsColor,duke,dukeLines,dukeColor,day,dayLines,dayColor,man,manLines,manColor,fly,flyLines,flyColor,king,kingLines,kingColor,great,greatLines,greatColor,english,englishLines,englishColor,die,dieLines,dieColor,leave,leaveLines,leaveColor,henry,henryLines,henryColor,first,firstLines,firstColor,side,sideLines,sideColor,gloucester,gloucesterLines,gloucesterColor
BEDFORD,1,6.20689655172,SUFFOLK,2,310.344827586,BASSET,1,0,KING HENRY VI,2,291.724137931,BEDFORD,1,6.20689655172,KING HENRY VI,1,291.724137931,BASSET,1,0,JOHN TALBOT,6,204.827586207,JOHN TALBOT,1,204.827586207,JOHN TALBOT,1,204.827586207,JOHN TALBOT,1,204.827586207,JOHN TALBOT,1,204.827586207,BASSET,1,0,Shepherd,1,105.517241379,JOHN TALBOT,1,204.827586207,YORK,3,117.931034483,JOHN TALBOT,3,204.827586207,BASSET,2,0,KING HENRY VI,2,291.724137931,BASSET,1,0,ALENCON,1,18.6206896552,BASSET,1,0,BASSET,4,0,BEDFORD,1,6.20689655172,BEDFORD,1,6.20689655172,JOHN TALBOT,1,204.827586207,JOHN TALBOT,3,204.827586207,Boy,1,211.034482759,BASSET,1,0,JOHN TALBOT,1,204.827586207,BEDFORD,1,6.20689655172,BEDFORD,2,6.20689655172,JOHN TALBOT,1,204.827586207,JOHN TALBOT,3,204.827586207,BASSET,2,0,BASSET,1,0,JOHN TALBOT,1,204.827586207,BASSET,2,0,BEDFORD,2,6.20689655172,BASSET,1,0,JOHN TALBOT,5,204.827586207,BEDFORD,2,6.20689655172,JOHN TALBOT,1,204.827586207,KING HENRY VI,1,291.724137931,JOHN TALBOT,3,204.827586207,BASSET,1,0,BEDFORD,5,6.20689655172,JOHN TALBOT,2,204.827586207,JOHN TALBOT,1,204.827586207,BEDFORD,1,6.20689655172
CHARLES,3,142.75862069,KING HENRY VI,1,291.724137931,BEDFORD,1,6.20689655172,Master-Gunner,1,124.137931034,KING HENRY VI,4,291.724137931,JOAN LA PUCELLE,7,297.931034483,JOHN TALBOT,1,204.827586207,BEDFORD,4,6.20689655172,KING HENRY VI,7,291.724137931,KING HENRY VI,1,291.724137931,BEDFORD,2,6.20689655172,Master-Gunner,1,124.137931034,BEDFORD,2,6.20689655172,YORK,2,117.931034483,BEDFORD,1,6.20689655172,RICHARD PLANTAGENET,1,285.517241379,Boy,2,211.034482759,BEDFORD,1,6.20689655172,CHARLES,1,142.75862069,BEDFORD,5,6.20689655172,BEDFORD,2,6.20689655172,JOHN TALBOT,2,204.827586207,BEDFORD,3,6.20689655172,KING HENRY VI,1,291.724137931,CHARLES,2,142.75862069,TALBOT,3,31.0344827586,YORK,1,117.931034483,KING HENRY VI,4,291.724137931,CHARLES,1,142.75862069,RICHARD PLANTAGENET,4,285.517241379,KING HENRY VI,1,291.724137931,JOAN LA PUCELLE,1,297.931034483,BEDFORD,1,6.20689655172,Master-Gunner,1,124.137931034,ALL,1,273.103448276,JOHN TALBOT,1,204.827586207,BEDFORD,1,6.20689655172,TALBOT,5,31.0344827586,Master-Gunner,1,124.137931034,BEDFORD,2,6.20689655172,Captain,1,341.379310345,YORK,1,117.931034483,BEDFORD,2,6.20689655172,Master-Gunner,2,124.137931034,Shepherd,1,105.517241379,BEDFORD,1,6.20689655172,SUFFOLK,8,310.344827586,KING HENRY VI,1,291.724137931,RICHARD PLANTAGENET,2,285.517241379,KING HENRY VI,5,291.724137931
SUFFOLK,3,310.344827586,RICHARD PLANTAGENET,1,285.517241379,CHARLES,1,142.75862069,CHARLES,1,142.75862069,JOAN LA PUCELLE,7,297.931034483,LUCY,1,24.8275862069,SUFFOLK,2,310.344827586,CHARLES,1,142.75862069,JOAN LA PUCELLE,2,297.931034483,RICHARD PLANTAGENET,1,285.517241379,CHARLES,1,142.75862069,CHARLES,2,142.75862069,KING HENRY VI,1,291.724137931,KING HENRY VI,1,291.724137931,KING HENRY VI,1,291.724137931,KING HENRY VI,6,291.724137931,RICHARD PLANTAGENET,5,285.517241379,JOAN LA PUCELLE,1,297.931034483,JOAN LA PUCELLE,4,297.931034483,JOHN TALBOT,1,204.827586207,CHARLES,1,142.75862069,KING HENRY VI,2,291.724137931,ALENCON,1,18.6206896552,CHARLES,1,142.75862069,JOAN LA PUCELLE,4,297.931034483,Shepherd,1,105.517241379,RICHARD PLANTAGENET,1,285.517241379,CHARLES,1,142.75862069,KING HENRY VI,3,291.724137931,CHARLES,2,142.75862069,RICHARD PLANTAGENET,1,285.517241379,REIGNIER,1,223.448275862,CHARLES,3,142.75862069,CHARLES,1,142.75862069,KING HENRY VI,4,291.724137931,RICHARD PLANTAGENET,2,285.517241379,RICHARD PLANTAGENET,1,285.517241379,ALL,1,273.103448276,CHARLES,5,142.75862069,ALENCON,1,18.6206896552,CHARLES,1,142.75862069,KING HENRY VI,4,291.724137931,KING HENRY VI,1,291.724137931,CHARLES,2,142.75862069,RICHARD PLANTAGENET,2,285.517241379,KING HENRY VI,1,291.724137931,KING HENRY VI,4,291.724137931,RICHARD PLANTAGENET,1,285.517241379,CHARLES,1,142.75862069,CARDINAL OF WINCHESTER,1,229.655172414
RICHARD PLANTAGENET,2,285.517241379,JOAN LA PUCELLE,2,297.931034483,KING HENRY VI,3,291.724137931,JOAN LA PUCELLE,2,297.931034483,REIGNIER,3,223.448275862,BURGUNDY,1,155.172413793,RICHARD PLANTAGENET,1,285.517241379,KING HENRY VI,2,291.724137931,SUFFOLK,6,310.344827586,CHARLES,1,142.75862069,JOAN LA PUCELLE,3,297.931034483,JOAN LA PUCELLE,3,297.931034483,YORK,2,117.931034483,CHARLES,1,142.75862069,CHARLES,1,142.75862069,JOAN LA PUCELLE,2,297.931034483,KING HENRY VI,2,291.724137931,MORTIMER,3,304.137931034,LUCY,1,24.8275862069,SUFFOLK,2,310.344827586,YORK,1,117.931034483,CHARLES,1,142.75862069,LUCY,7,24.8275862069,JOAN LA PUCELLE,1,297.931034483,REIGNIER,2,223.448275862,KING HENRY VI,3,291.724137931,CHARLES,1,142.75862069,JOAN LA PUCELLE,5,297.931034483,RICHARD PLANTAGENET,6,285.517241379,JOAN LA PUCELLE,1,297.931034483,CHARLES,1,142.75862069,ALENCON,1,18.6206896552,JOAN LA PUCELLE,3,297.931034483,JOAN LA PUCELLE,1,297.931034483,CHARLES,1,142.75862069,KING HENRY VI,2,291.724137931,CHARLES,2,142.75862069,KING HENRY VI,3,291.724137931,JOAN LA PUCELLE,2,297.931034483,RICHARD PLANTAGENET,1,285.517241379,JOAN LA PUCELLE,2,297.931034483,CHARLES,1,142.75862069,RICHARD PLANTAGENET,1,285.517241379,JOAN LA PUCELLE,5,297.931034483,LUCY,1,24.8275862069,CHARLES,1,142.75862069,CHARLES,1,142.75862069,JOAN LA PUCELLE,1,297.931034483,JOAN LA PUCELLE,1,297.931034483,First Serving-Man,1,316.551724138
GARGRAVE,1,130.344827586,REIGNIER,1,223.448275862,SUFFOLK,2,310.344827586,LUCY,1,24.8275862069,MORTIMER,2,304.137931034,ALENCON,1,18.6206896552,CHARLES,1,142.75862069,SOMERSET,4,186.206896552,TALBOT,1,31.0344827586,JOAN LA PUCELLE,1,297.931034483,Third Serving-man,1,260.689655172,REIGNIER,2,223.448275862,RICHARD PLANTAGENET,1,285.517241379,JOAN LA PUCELLE,4,297.931034483,JOAN LA PUCELLE,3,297.931034483,MORTIMER,1,304.137931034,JOAN LA PUCELLE,1,297.931034483,REIGNIER,1,223.448275862,BURGUNDY,3,155.172413793,KING HENRY VI,5,291.724137931,Boy,1,211.034482759,JOAN LA PUCELLE,2,297.931034483,TALBOT,7,31.0344827586,BURGUNDY,1,155.172413793,BURGUNDY,1,155.172413793,RICHARD PLANTAGENET,1,285.517241379,MORTIMER,1,304.137931034,LUCY,3,24.8275862069,LUCY,1,24.8275862069,MORTIMER,1,304.137931034,JOAN LA PUCELLE,2,297.931034483,TALBOT,4,31.0344827586,LUCY,1,24.8275862069,MORTIMER,1,304.137931034,MORTIMER,2,304.137931034,JOAN LA PUCELLE,4,297.931034483,JOAN LA PUCELLE,2,297.931034483,CHARLES,3,142.75862069,LUCY,1,24.8275862069,WARWICK,1,68.275862069,LUCY,2,24.8275862069,JOAN LA PUCELLE,2,297.931034483,CHARLES,1,142.75862069,LUCY,2,24.8275862069,TALBOT,11,31.0344827586,JOAN LA PUCELLE,6,297.931034483,JOAN LA PUCELLE,3,297.931034483,CHARLES,3,142.75862069,SUFFOLK,1,310.344827586,WARWICK,1,68.275862069
KING HENRY VI,6,291.724137931,BURGUNDY,1,155.172413793,JOAN LA PUCELLE,3,297.931034483,SUFFOLK,4,310.344827586,TALBOT,2,31.0344827586,TALBOT,1,31.0344827586,JOAN LA PUCELLE,1,297.931034483,JOAN LA PUCELLE,9,297.931034483,MARGARET,1,37.2413793103,BURGUNDY,1,155.172413793,TALBOT,7,31.0344827586,LUCY,1,24.8275862069,CHARLES,1,142.75862069,REIGNIER,1,223.448275862,LUCY,1,24.8275862069,SUFFOLK,4,310.344827586,MORTIMER,2,304.137931034,BURGUNDY,1,155.172413793,TALBOT,5,31.0344827586,CHARLES,6,142.75862069,KING HENRY VI,3,291.724137931,TALBOT,5,31.0344827586,MARGARET,1,37.2413793103,SUFFOLK,1,310.344827586,General,2,80.6896551724,JOAN LA PUCELLE,1,297.931034483,REIGNIER,1,223.448275862,BURGUNDY,1,155.172413793,SUFFOLK,1,310.344827586,REIGNIER,2,223.448275862,REIGNIER,1,223.448275862,Messenger,1,49.6551724138,BURGUNDY,1,155.172413793,CARDINAL OF WINCHESTER,1,229.655172414,LUCY,3,24.8275862069,TALBOT,9,31.0344827586,MORTIMER,1,304.137931034,JOAN LA PUCELLE,5,297.931034483,BURGUNDY,1,155.172413793,GARGRAVE,1,130.344827586,SUFFOLK,1,310.344827586,MORTIMER,4,304.137931034,JOAN LA PUCELLE,1,297.931034483,General,1,80.6896551724,YORK,3,117.931034483,ALENCON,1,18.6206896552,MORTIMER,3,304.137931034,ALENCON,1,18.6206896552,TALBOT,4,31.0344827586,BISHOP OF WINCHESTER,8,254.482758621
JOAN LA PUCELLE,2,297.931034483,ALENCON,1,18.6206896552,ALENCON,1,18.6206896552,TALBOT,2,31.0344827586,EXETER,1,198.620689655,BASTARD OF ORLEANS,1,173.793103448,REIGNIER,2,223.448275862,REIGNIER,1,223.448275862,WARWICK,2,68.275862069,SUFFOLK,1,310.344827586,Messenger,3,49.6551724138,TALBOT,4,31.0344827586,JOAN LA PUCELLE,5,297.931034483,BURGUNDY,1,155.172413793,TALBOT,3,31.0344827586,TALBOT,1,31.0344827586,LUCY,1,24.8275862069,ALENCON,1,18.6206896552,FASTOLFE,1,86.8965517241,JOAN LA PUCELLE,10,297.931034483,JOAN LA PUCELLE,5,297.931034483,Soldier,1,235.862068966,VERNON,6,43.4482758621,TALBOT,10,31.0344827586,TALBOT,2,31.0344827586,MORTIMER,1,304.137931034,TALBOT,7,31.0344827586,SUFFOLK,1,310.344827586,YORK,7,117.931034483,TALBOT,3,31.0344827586,BURGUNDY,1,155.172413793,WOODVILE,1,335.172413793,General,1,80.6896551724,TALBOT,4,31.0344827586,WARWICK,2,68.275862069,BASTARD OF ORLEANS,1,173.793103448,BURGUNDY,2,155.172413793,MORTIMER,2,304.137931034,TALBOT,2,31.0344827586,SUFFOLK,1,310.344827586,TALBOT,7,31.0344827586,SUFFOLK,13,310.344827586,MORTIMER,2,304.137931034,TALBOT,6,31.0344827586,SOMERSET,1,186.206896552,REIGNIER,1,223.448275862,LUCY,2,24.8275862069,MORTIMER,1,304.137931034,VERNON,3,43.4482758621,Mayor,1,347.586206897
REIGNIER,1,223.448275862,TALBOT,1,31.0344827586,LUCY,4,24.8275862069,Messenger,1,49.6551724138,Scout,1,167.586206897,YORK,2,117.931034483,MORTIMER,2,304.137931034,BURGUNDY,4,155.172413793,BISHOP OF WINCHESTER,1,254.482758621,TALBOT,3,31.0344827586,YORK,1,117.931034483,Messenger,4,49.6551724138,MORTIMER,4,304.137931034,LUCY,1,24.8275862069,Messenger,1,49.6551724138,Messenger,1,49.6551724138,TALBOT,9,31.0344827586,TALBOT,6,31.0344827586, , , ,ALENCON,3,18.6206896552,REIGNIER,1,223.448275862,Messenger,1,49.6551724138,Messenger,12,49.6551724138,MARGARET,1,37.2413793103,BASTARD OF ORLEANS,1,173.793103448,BURGUNDY,2,155.172413793,BASTARD OF ORLEANS,1,173.793103448,TALBOT,4,31.0344827586,WARWICK,2,68.275862069,VERNON,2,43.4482758621,ALENCON,2,18.6206896552,SOMERSET,1,186.206896552,TALBOT,6,31.0344827586,VERNON,1,43.4482758621,SOMERSET,6,186.206896552,WARWICK,2,68.275862069,SUFFOLK,1,310.344827586,LUCY,1,24.8275862069,RICHARD PLANTAGENET,3,285.517241379,JOAN LA PUCELLE,2,297.931034483,Messenger,1,49.6551724138,TALBOT,3,31.0344827586,LUCY,4,24.8275862069,Scout,1,167.586206897, , , ,TALBOT,4,31.0344827586,TALBOT,5,31.0344827586,REIGNIER,1,223.448275862,Messenger,1,49.6551724138,GLOUCESTER,2,353.793103448
BURGUNDY,1,155.172413793,VERNON,1,43.4482758621,TALBOT,5,31.0344827586,YORK,1,117.931034483,Messenger,1,49.6551724138,WARWICK,2,68.275862069,TALBOT,3,31.0344827586,General,1,80.6896551724,GLOUCESTER,2,353.793103448,SOMERSET,1,186.206896552,SOMERSET,1,186.206896552, , , ,General,3,80.6896551724,TALBOT,3,31.0344827586,YORK,4,117.931034483,Officer,1,242.068965517,MARGARET,1,37.2413793103,Messenger,2,49.6551724138, , , ,LUCY,5,24.8275862069,LUCY,1,24.8275862069,Officer,1,242.068965517,WARWICK,4,68.275862069,VERNON,1,43.4482758621,YORK,3,117.931034483,LUCY,4,24.8275862069,SALISBURY,1,322.75862069,MARGARET,1,37.2413793103, , , ,LUCY,3,24.8275862069,TALBOT,3,31.0344827586,SUFFOLK,2,310.344827586,MARGARET,1,37.2413793103,Messenger,1,49.6551724138, , , ,SOMERSET,1,186.206896552,VERNON,1,43.4482758621,First Serving-Man,1,316.551724138,Officer,1,242.068965517,MORTIMER,1,304.137931034,EXETER,2,198.620689655,MARGARET,4,37.2413793103,TALBOT,5,31.0344827586,BASTARD OF ORLEANS,1,173.793103448, , , ,MARGARET,1,37.2413793103,SOMERSET,1,186.206896552,TALBOT,4,31.0344827586,SOMERSET,2,186.206896552, , , 
ALENCON,1,18.6206896552,Messenger,2,49.6551724138,Messenger,1,49.6551724138,WARWICK,1,68.275862069,CARDINAL OF WINCHESTER,1,229.655172414,Messenger,1,49.6551724138,BASTARD OF ORLEANS,1,173.793103448,TALBOT,19,31.0344827586,SOMERSET,1,186.206896552,EXETER,2,198.620689655,Mayor,1,347.586206897, , , ,TALBOT,15,31.0344827586,Officer,1,242.068965517,SOMERSET,1,186.206896552,WARWICK,2,68.275862069,WARWICK,2,68.275862069,Officer,1,242.068965517, , , ,TALBOT,9,31.0344827586,TALBOT,4,31.0344827586,BASTARD OF ORLEANS,1,173.793103448,COUNTESS OF AUVERGNE,1,74.4827586207,RICHARD PLANTAGENET,1,285.517241379,LUCY,2,24.8275862069,First Serving-Man,1,316.551724138,LUCY,3,24.8275862069,YORK,1,117.931034483, , , ,SOMERSET,1,186.206896552,MORTIMER,1,304.137931034,Third Serving-man,1,260.689655172,Messenger,4,49.6551724138,SUFFOLK,2,310.344827586, , , ,GLOUCESTER,1,353.793103448,BASTARD OF ORLEANS,1,173.793103448,Messenger,2,49.6551724138,BISHOP OF WINCHESTER,1,254.482758621,Third Serving-man,1,260.689655172,GLOUCESTER,1,353.793103448,Messenger,2,49.6551724138,Messenger,2,49.6551724138,Messenger,3,49.6551724138, , , ,Captain,1,341.379310345,Messenger,1,49.6551724138,VERNON,2,43.4482758621,GLOUCESTER,1,353.793103448, , , 
