heart,heartLines,heartColor,england,englandLines,englandColor,majesty,majestyLines,majestyColor,lords,lordsLines,lordsColor,queen,queenLines,queenColor,crown,crownLines,crownColor,mine,mineLines,mineColor,dead,deadLines,deadColor,suffolk,suffolkLines,suffolkColor,traitor,traitorLines,traitorColor,cade,cadeLines,cadeColor,fear,fearLines,fearColor,speak,speakLines,speakColor,death,deathLines,deathColor,god,godLines,godColor,away,awayLines,awayColor,give,giveLines,giveColor,father,fatherLines,fatherColor,sovereign,sovereignLines,sovereignColor,long,longLines,longColor,france,franceLines,franceColor,live,liveLines,liveColor,master,masterLines,masterColor,take,takeLines,takeColor,sword,swordLines,swordColor,warwick,warwickLines,warwickColor,lord,lordLines,lordColor,somerset,somersetLines,somersetColor,tell,tellLines,tellColor,day,dayLines,dayColor,life,lifeLines,lifeColor,men,menLines,menColor,never,neverLines,neverColor,bear,bearLines,bearColor,hand,handLines,handColor,buckingham,buckinghamLines,buckinghamColor,york,yorkLines,yorkColor,words,wordsLines,wordsColor,duke,dukeLines,dukeColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,die,dieLines,dieColor,leave,leaveLines,leaveColor,henry,henryLines,henryColor,humphrey,humphreyLines,humphreyColor,protector,protectorLines,protectorColor,head,headLines,headColor,gloucester,gloucesterLines,gloucesterColor
Captain,1,275.294117647,BOTH,1,74.1176470588,Herald,1,222.352941176,KING HENRY VI,10,90.0,Captain,1,275.294117647,Captain,2,275.294117647,IDEN,2,0,KING HENRY VI,5,90.0,First Murderer,1,116.470588235,ALL,1,270.0,ALL,1,270.0,Second 'Prentice,1,84.7058823529,RICHARD,1,312.352941176,WHITMORE,2,95.2941176471,ALL,3,270.0,WHITMORE,1,95.2941176471,PETER,1,174.705882353,IDEN,1,0,BOTH,1,74.1176470588,BOTH,1,74.1176470588,Captain,1,275.294117647,BOTH,1,74.1176470588,IDEN,1,0,PETER,1,174.705882353,IDEN,3,0,RICHARD,1,312.352941176,IDEN,1,0,RICHARD,1,312.352941176,KING HENRY VI,7,90.0,CADE,2,58.2352941176,CADE,2,58.2352941176,HOLLAND,1,10.5882352941,IDEN,1,0,IDEN,1,0,IDEN,1,0,YORK,7,238.235294118,YOUNG CLIFFORD,2,68.8235294118,IDEN,1,0,BOLINGBROKE,2,26.4705882353,IDEN,1,0,IDEN,1,0,IDEN,3,0,IDEN,1,0,IDEN,1,0,WARWICK,2,63.5294117647,KING HENRY VI,2,90.0,Captain,1,275.294117647,KING HENRY VI,2,90.0,ALL,1,270.0,YORK,1,238.235294118
RICHARD,1,312.352941176,IDEN,1,0,ALL,1,270.0,QUEEN MARGARET,5,291.176470588,KING HENRY VI,5,90.0,QUEEN MARGARET,2,291.176470588,KING HENRY VI,1,90.0,QUEEN MARGARET,2,291.176470588,WHITMORE,2,95.2941176471,KING HENRY VI,4,90.0,KING HENRY VI,6,90.0,CADE,2,58.2352941176,KING HENRY VI,2,90.0,Captain,1,275.294117647,GLOUCESTER,5,344.117647059,CADE,10,58.2352941176,KING HENRY VI,2,90.0,RICHARD,1,312.352941176,YORK,2,238.235294118,YORK,3,238.235294118,KING HENRY VI,2,90.0,IDEN,3,0,GLOUCESTER,2,344.117647059,CADE,4,58.2352941176,RICHARD,1,312.352941176,YORK,6,238.235294118,DICK,3,5.29411764706,YORK,9,238.235294118,VAUX,1,132.352941176,KING HENRY VI,4,90.0,YORK,1,238.235294118,KING HENRY VI,2,90.0,PETER,2,174.705882353,RICHARD,1,312.352941176,DICK,1,5.29411764706,KING HENRY VI,7,90.0,Captain,1,275.294117647,Captain,1,275.294117647,BUCKINGHAM,5,42.3529411765,Sheriff,1,15.8823529412,Sheriff,1,15.8823529412,BUCKINGHAM,5,42.3529411765,Captain,1,275.294117647,Captain,1,275.294117647,QUEEN MARGARET,4,291.176470588,QUEEN MARGARET,9,291.176470588,KING HENRY VI,5,90.0,QUEEN MARGARET,4,291.176470588,KING HENRY VI,4,90.0,KING HENRY VI,11,90.0
YORK,5,238.235294118,HOLLAND,1,10.5882352941,CADE,1,58.2352941176,SUFFOLK,1,307.058823529,QUEEN MARGARET,4,291.176470588,SUFFOLK,1,307.058823529,QUEEN MARGARET,4,291.176470588,SUFFOLK,2,307.058823529,YORK,7,238.235294118,SIR HUMPHREY,1,285.882352941,SIR HUMPHREY,1,285.882352941,KING HENRY VI,1,90.0,SIR HUMPHREY,1,285.882352941,RICHARD,1,312.352941176,CADE,4,58.2352941176,KING HENRY VI,6,90.0,QUEEN MARGARET,7,291.176470588,YORK,2,238.235294118,KING HENRY VI,1,90.0,KING HENRY VI,3,90.0,QUEEN MARGARET,3,291.176470588,KING HENRY VI,2,90.0,YORK,1,238.235294118,Sheriff,1,15.8823529412,KING HENRY VI,2,90.0,KING HENRY VI,4,90.0,RICHARD,1,312.352941176,KING HENRY VI,6,90.0,QUEEN MARGARET,3,291.176470588,QUEEN MARGARET,3,291.176470588,Wife,1,201.176470588,VAUX,1,132.352941176,HOLLAND,1,10.5882352941,YORK,3,238.235294118,KING HENRY VI,4,90.0,QUEEN MARGARET,2,291.176470588,YORK,15,238.235294118,RICHARD,1,312.352941176,Messenger,3,52.9411764706,BUCKINGHAM,3,42.3529411765,CADE,7,58.2352941176,Messenger,1,52.9411764706,KING HENRY VI,6,90.0,KING HENRY VI,1,90.0,BOLINGBROKE,1,26.4705882353,SUFFOLK,2,307.058823529,VAUX,1,132.352941176,SUFFOLK,2,307.058823529,QUEEN MARGARET,3,291.176470588,QUEEN MARGARET,7,291.176470588
KING HENRY VI,5,90.0,KING HENRY VI,1,90.0,KING HENRY VI,3,90.0,SALISBURY,1,328.235294118,First Gentleman,1,111.176470588,BUCKINGHAM,1,42.3529411765,SUFFOLK,5,307.058823529,First Murderer,1,116.470588235,KING HENRY VI,8,90.0,QUEEN MARGARET,2,291.176470588,BEVIS,1,100.588235294,QUEEN MARGARET,3,291.176470588,QUEEN MARGARET,1,291.176470588,KING HENRY VI,9,90.0,KING HENRY VI,20,90.0,SIR HUMPHREY,1,285.882352941,First Gentleman,1,111.176470588,SIR HUMPHREY,1,285.882352941,QUEEN MARGARET,1,291.176470588,QUEEN MARGARET,1,291.176470588,CLIFFORD,3,264.705882353,QUEEN MARGARET,2,291.176470588,Wife,1,201.176470588,KING HENRY VI,3,90.0,WHITMORE,2,95.2941176471,SUFFOLK,5,307.058823529,BUCKINGHAM,7,42.3529411765,QUEEN MARGARET,2,291.176470588,BEVIS,1,100.588235294,BEVIS,1,100.588235294,QUEEN MARGARET,2,291.176470588,QUEEN MARGARET,1,291.176470588,CADE,4,58.2352941176,QUEEN MARGARET,5,291.176470588,QUEEN MARGARET,3,291.176470588,SALISBURY,2,328.235294118,KING HENRY VI,6,90.0,YORK,1,238.235294118,CADE,1,58.2352941176,Messenger,2,52.9411764706,WARWICK,1,63.5294117647,CADE,6,58.2352941176,QUEEN MARGARET,4,291.176470588,QUEEN MARGARET,3,291.176470588,SUFFOLK,4,307.058823529,DUCHESS,2,127.058823529,HUME,1,185.294117647,DUCHESS,1,127.058823529,SCALES,1,190.588235294,SUFFOLK,3,307.058823529
QUEEN MARGARET,9,291.176470588,QUEEN MARGARET,8,291.176470588,VAUX,2,132.352941176,CARDINAL,3,322.941176471,SUFFOLK,5,307.058823529,Messenger,1,52.9411764706,DUCHESS,1,127.058823529,SAY,1,137.647058824,QUEEN MARGARET,15,291.176470588,IDEN,2,0,SCALES,1,190.588235294,BOLINGBROKE,1,26.4705882353,MARGARET JOURDAIN,1,296.470588235,VAUX,1,132.352941176,VAUX,1,132.352941176,QUEEN MARGARET,7,291.176470588,SUFFOLK,2,307.058823529,QUEEN MARGARET,3,291.176470588,SUFFOLK,7,307.058823529,DUCHESS,1,127.058823529,SUFFOLK,3,307.058823529,SCALES,1,190.588235294,BOLINGBROKE,2,26.4705882353,Servant,1,206.470588235,BEVIS,1,100.588235294,BUCKINGHAM,1,42.3529411765,Messenger,4,52.9411764706,BOLINGBROKE,1,26.4705882353,SUFFOLK,1,307.058823529,Wife,1,201.176470588,BEVIS,1,100.588235294,SUFFOLK,4,307.058823529,KING HENRY VI,4,90.0,First Gentleman,1,111.176470588,BEVIS,1,100.588235294,CADE,1,58.2352941176,QUEEN MARGARET,5,291.176470588,KING HENRY VI,4,90.0,WARWICK,7,63.5294117647,WARWICK,1,63.5294117647,KING HENRY VI,7,90.0,WARWICK,2,63.5294117647,SUFFOLK,3,307.058823529,SUFFOLK,8,307.058823529,BUCKINGHAM,2,42.3529411765,BUCKINGHAM,2,42.3529411765,WARWICK,3,63.5294117647,BUCKINGHAM,2,42.3529411765,DICK,1,5.29411764706,DUCHESS,4,127.058823529
CLIFFORD,1,264.705882353,DICK,1,5.29411764706,QUEEN MARGARET,1,291.176470588,YORK,9,238.235294118,DUCHESS,1,127.058823529,SALISBURY,1,328.235294118,WHITMORE,1,95.2941176471,CARDINAL,1,322.941176471,BOLINGBROKE,1,26.4705882353,Messenger,2,52.9411764706,SMITH,1,31.7647058824,SUFFOLK,1,307.058823529,First Gentleman,1,111.176470588,QUEEN MARGARET,2,291.176470588,QUEEN MARGARET,4,291.176470588,ALL,1,270.0,BUCKINGHAM,1,42.3529411765,DICK,1,5.29411764706,BUCKINGHAM,1,42.3529411765,SAY,1,137.647058824,CARDINAL,1,322.941176471,CLIFFORD,2,264.705882353,First Gentleman,1,111.176470588,QUEEN MARGARET,4,291.176470588,SUFFOLK,1,307.058823529,CARDINAL,1,322.941176471,CADE,8,58.2352941176,BUCKINGHAM,3,42.3529411765,DUCHESS,1,127.058823529,SMITH,1,31.7647058824,KING HENRY VI,8,90.0,YOUNG CLIFFORD,1,68.8235294118,WHITMORE,1,95.2941176471,CLIFFORD,4,264.705882353,BOLINGBROKE,1,26.4705882353,SOMERSET,1,169.411764706,CLIFFORD,2,264.705882353,SIR HUMPHREY,1,285.882352941,DUCHESS,4,127.058823529,KING HENRY VI,3,90.0,Second Murderer,1,121.764705882,BOTH,1,74.1176470588,DUCHESS,1,127.058823529,YOUNG CLIFFORD,1,68.8235294118,SALISBURY,1,328.235294118,CARDINAL,1,322.941176471,MICHAEL,1,211.764705882,Second Petitioner,1,232.941176471,IDEN,3,0,CARDINAL,3,322.941176471
SUFFOLK,3,307.058823529,CLIFFORD,1,264.705882353,IDEN,1,0,WARWICK,1,63.5294117647,Messenger,1,52.9411764706,CARDINAL,1,322.941176471,SAY,1,137.647058824,YORK,3,238.235294118,SUFFOLK,7,307.058823529,CADE,1,58.2352941176,IDEN,2,0,DUCHESS,2,127.058823529,SUFFOLK,1,307.058823529,CLIFFORD,3,264.705882353,MARGARET JOURDAIN,1,296.470588235,CLIFFORD,1,264.705882353,Master's-Mate,1,317.647058824,SMITH,1,31.7647058824,SALISBURY,1,328.235294118,SALISBURY,2,328.235294118,SALISBURY,1,328.235294118,SUFFOLK,2,307.058823529,SUFFOLK,3,307.058823529,DICK,1,5.29411764706,SALISBURY,1,328.235294118,SALISBURY,2,328.235294118,WARWICK,3,63.5294117647,Messenger,1,52.9411764706,YOUNG CLIFFORD,1,68.8235294118,SUFFOLK,1,307.058823529,First Gentleman,1,111.176470588,SAY,3,137.647058824,Wife,1,201.176470588,SUFFOLK,2,307.058823529,SUFFOLK,7,307.058823529,GLOUCESTER,2,344.117647059,SUFFOLK,8,307.058823529,QUEEN MARGARET,2,291.176470588,KING HENRY VI,5,90.0,DUCHESS,1,127.058823529,DUCHESS,4,127.058823529,KING HENRY VI,5,90.0,BUCKINGHAM,1,42.3529411765,CARDINAL,2,322.941176471,YORK,2,238.235294118,YORK,10,238.235294118,SUFFOLK,4,307.058823529,Messenger,1,52.9411764706,SUFFOLK,2,307.058823529,SALISBURY,1,328.235294118
BUCKINGHAM,1,42.3529411765,SUFFOLK,4,307.058823529,CLIFFORD,1,264.705882353,Post,2,254.117647059,YORK,2,238.235294118,YORK,8,238.235294118,CARDINAL,1,322.941176471,WARWICK,3,63.5294117647,DUCHESS,1,127.058823529,WARWICK,1,63.5294117647,Soldier,1,280.588235294,BUCKINGHAM,1,42.3529411765,WHITMORE,1,95.2941176471,SUFFOLK,6,307.058823529,BOLINGBROKE,1,26.4705882353,SUFFOLK,3,307.058823529,CARDINAL,4,322.941176471,YOUNG CLIFFORD,2,68.8235294118,WARWICK,5,63.5294117647,WARWICK,1,63.5294117647,WARWICK,1,63.5294117647,YOUNG CLIFFORD,1,68.8235294118,DUCHESS,2,127.058823529,CLIFFORD,1,264.705882353,CARDINAL,2,322.941176471,WARWICK,7,63.5294117647,DUCHESS,6,127.058823529,SALISBURY,2,328.235294118,SAY,1,137.647058824,DUCHESS,1,127.058823529,SUFFOLK,4,307.058823529,CARDINAL,2,322.941176471,SMITH,1,31.7647058824,DUCHESS,2,127.058823529,DUCHESS,1,127.058823529, , , ,DUCHESS,1,127.058823529,SUFFOLK,5,307.058823529,WHITMORE,1,95.2941176471,SAY,1,137.647058824,HORNER,2,158.823529412,BEVIS,1,100.588235294,SAY,1,137.647058824,YORK,4,238.235294118,WHITMORE,1,95.2941176471,WARWICK,1,63.5294117647,DUCHESS,4,127.058823529,YORK,4,238.235294118,DUCHESS,6,127.058823529,SOMERSET,1,169.411764706
CARDINAL,2,322.941176471,DUCHESS,1,127.058823529,SUFFOLK,4,307.058823529,PETER,1,174.705882353,WHITMORE,1,95.2941176471,WARWICK,4,63.5294117647,YORK,4,238.235294118,CADE,1,58.2352941176,BUCKINGHAM,1,42.3529411765,SOMERSET,2,169.411764706,Messenger,2,52.9411764706,SAY,1,137.647058824,SAY,2,137.647058824,DUCHESS,4,127.058823529,CLIFFORD,1,264.705882353,BUCKINGHAM,3,42.3529411765,YORK,7,238.235294118,EDWARD,1,142.941176471,SOMERSET,1,169.411764706,CADE,1,58.2352941176,CADE,2,58.2352941176,SAY,2,137.647058824,Captain,1,275.294117647,SUFFOLK,3,307.058823529,YORK,4,238.235294118,Captain,1,275.294117647,KING HENRY VI,22,90.0,SOMERSET,1,169.411764706,YORK,1,238.235294118,SIMPCOX,1,333.529411765,BUCKINGHAM,1,42.3529411765,YORK,2,238.235294118,SUFFOLK,5,307.058823529,YOUNG CLIFFORD,2,68.8235294118,SAY,2,137.647058824, , , ,BUCKINGHAM,3,42.3529411765,EDWARD,1,142.941176471,First Murderer,1,116.470588235,STANLEY,1,164.117647059,STANLEY,1,164.117647059,DUCHESS,4,127.058823529,SALISBURY,1,328.235294118,WHITMORE,1,95.2941176471,CADE,5,58.2352941176,CADE,2,58.2352941176,BUCKINGHAM,4,42.3529411765,First Petitioner,2,338.823529412,BUCKINGHAM,2,42.3529411765,GLOUCESTER,1,344.117647059
SALISBURY,1,328.235294118,SALISBURY,2,328.235294118,DUCHESS,2,127.058823529,GLOUCESTER,2,344.117647059,PETER,1,174.705882353,CADE,4,58.2352941176,WARWICK,2,63.5294117647,Captain,1,275.294117647,Second Petitioner,1,232.941176471,CLIFFORD,2,264.705882353,YORK,3,238.235294118,SALISBURY,1,328.235294118,CARDINAL,2,322.941176471,BUCKINGHAM,1,42.3529411765,SUFFOLK,3,307.058823529,SALISBURY,1,328.235294118,WARWICK,1,63.5294117647,CARDINAL,1,322.941176471,GLOUCESTER,2,344.117647059,SOMERSET,1,169.411764706,Messenger,1,52.9411764706,SALISBURY,1,328.235294118,SALISBURY,1,328.235294118,DUCHESS,2,127.058823529,WARWICK,1,63.5294117647,GLOUCESTER,1,344.117647059,First Gentleman,1,111.176470588,GLOUCESTER,3,344.117647059,CADE,4,58.2352941176,CARDINAL,1,322.941176471,SAY,2,137.647058824,WARWICK,2,63.5294117647,DUCHESS,2,127.058823529,SAY,1,137.647058824,CARDINAL,1,322.941176471, , , ,CARDINAL,1,322.941176471,CARDINAL,1,322.941176471,HORNER,1,158.823529412,SOMERSET,1,169.411764706,PETER,1,174.705882353,SAY,3,137.647058824,CARDINAL,1,322.941176471,CADE,2,58.2352941176,GLOUCESTER,4,344.117647059,CLIFFORD,3,264.705882353,Messenger,1,52.9411764706,CADE,1,58.2352941176,Master,1,153.529411765, , , 
