heart,heartLines,heartColor,thomas,thomasLines,thomasColor,lords,lordsLines,lordsColor,love,loveLines,loveColor,fair,fairLines,fairColor,give,giveLines,giveColor,queen,queenLines,queenColor,mine,mineLines,mineColor,woman,womanLines,womanColor,fear,fearLines,fearColor,find,findLines,findColor,speak,speakLines,speakColor,conscience,conscienceLines,conscienceColor,yes,yesLines,yesColor,little,littleLines,littleColor,pray,prayLines,prayColor,god,godLines,godColor,peace,peaceLines,peaceColor,please,pleaseLines,pleaseColor,long,longLines,longColor,grace,graceLines,graceColor,state,stateLines,stateColor,cardinal,cardinalLines,cardinalColor,take,takeLines,takeColor,lord,lordLines,lordColor,cause,causeLines,causeColor,tell,tellLines,tellColor,sent,sentLines,sentColor,poor,poorLines,poorColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,business,businessLines,businessColor,far,farLines,farColor,honour,honourLines,honourColor,men,menLines,menColor,hear,hearLines,hearColor,duke,dukeLines,dukeColor,day,dayLines,dayColor,dare,dareLines,dareColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,highness,highnessLines,highnessColor,lady,ladyLines,ladyColor,leave,leaveLines,leaveColor,place,placeLines,placeColor,truth,truthLines,truthColor,time,timeLines,timeColor
SURREY,1,160.85106383,CARDINAL WOLSEY,1,222.127659574,SURREY,1,160.85106383,KING HENRY VIII,4,68.9361702128,KING HENRY VIII,5,68.9361702128,SURREY,1,160.85106383,KING HENRY VIII,11,68.9361702128,KING HENRY VIII,4,68.9361702128,QUEEN KATHARINE,10,76.5957446809,KING HENRY VIII,2,68.9361702128,KING HENRY VIII,6,68.9361702128,KING HENRY VIII,6,68.9361702128,SURREY,1,160.85106383,SURREY,1,160.85106383,SURREY,1,160.85106383,KING HENRY VIII,4,68.9361702128,KING HENRY VIII,3,68.9361702128,NORFOLK,1,183.829787234,SURREY,1,160.85106383,SURREY,1,160.85106383,Gentleman,1,15.3191489362,SURREY,2,160.85106383,SURREY,5,160.85106383,KING HENRY VIII,9,68.9361702128,BRANDON,1,22.9787234043,NORFOLK,1,183.829787234,KING HENRY VIII,3,68.9361702128,SURREY,3,160.85106383,KING HENRY VIII,1,68.9361702128,SURREY,2,160.85106383,SURREY,1,160.85106383,KING HENRY VIII,6,68.9361702128,KING HENRY VIII,4,68.9361702128,SURREY,1,160.85106383,KING HENRY VIII,9,68.9361702128,KING HENRY VIII,2,68.9361702128,SURREY,2,160.85106383,SURREY,1,160.85106383,KING HENRY VIII,2,68.9361702128,SURREY,1,160.85106383,CROMWELL,2,137.872340426,ABERGAVENNY,1,7.65957446809,SURREY,1,160.85106383,KING HENRY VIII,3,68.9361702128,SURREY,1,160.85106383,KING HENRY VIII,7,68.9361702128,SURREY,1,160.85106383,KING HENRY VIII,5,68.9361702128,CARDINAL WOLSEY,6,222.127659574,KING HENRY VIII,7,68.9361702128
KING HENRY VIII,4,68.9361702128,BUCKINGHAM,1,30.6382978723,KING HENRY VIII,7,68.9361702128,CARDINAL WOLSEY,5,222.127659574,CARDINAL WOLSEY,2,222.127659574,KING HENRY VIII,7,68.9361702128,NORFOLK,1,183.829787234,NORFOLK,2,183.829787234,Third Gentleman,1,91.914893617,CARDINAL WOLSEY,7,222.127659574,NORFOLK,1,183.829787234,CARDINAL WOLSEY,4,222.127659574,KING HENRY VIII,7,68.9361702128,CARDINAL WOLSEY,2,222.127659574,KING HENRY VIII,3,68.9361702128,CARDINAL WOLSEY,6,222.127659574,QUEEN KATHARINE,7,76.5957446809,Third Gentleman,1,91.914893617,LINCOLN,1,176.170212766,CARDINAL WOLSEY,2,222.127659574,First Secretary,1,229.787234043,LINCOLN,1,176.170212766,KING HENRY VIII,9,68.9361702128,NORFOLK,2,183.829787234,BUCKINGHAM,5,30.6382978723,GARDINER,1,199.14893617,CARDINAL WOLSEY,4,222.127659574,KING HENRY VIII,4,68.9361702128,CARDINAL WOLSEY,4,222.127659574,CROMWELL,2,137.872340426,KING HENRY VIII,5,68.9361702128,NORFOLK,1,183.829787234,QUEEN KATHARINE,6,76.5957446809,KING HENRY VIII,3,68.9361702128,NORFOLK,3,183.829787234,NORFOLK,4,183.829787234,KING HENRY VIII,5,68.9361702128,KING HENRY VIII,2,68.9361702128,NORFOLK,3,183.829787234,KING HENRY VIII,2,68.9361702128,KING HENRY VIII,17,68.9361702128,BRANDON,2,22.9787234043,KING HENRY VIII,5,68.9361702128,NORFOLK,2,183.829787234,LINCOLN,2,176.170212766,CARDINAL WOLSEY,6,222.127659574,KING HENRY VIII,5,68.9361702128,NORFOLK,1,183.829787234,QUEEN KATHARINE,4,76.5957446809,NORFOLK,2,183.829787234
QUEEN KATHARINE,7,76.5957446809,Third Gentleman,1,91.914893617,CARDINAL WOLSEY,2,222.127659574,Surveyor,1,298.723404255,Third Gentleman,1,91.914893617,NORFOLK,2,183.829787234,Old Lady:,1,260.425531915,GARDINER,1,199.14893617,LOVELL,2,275.744680851,Surveyor,1,298.723404255,Third Gentleman,1,91.914893617,BUCKINGHAM,2,30.6382978723,NORFOLK,1,183.829787234,Third Gentleman,1,91.914893617,CARDINAL WOLSEY,5,222.127659574,Old Lady:,1,260.425531915,First Gentleman,1,99.5744680851,ABERGAVENNY,1,7.65957446809,CROMWELL,1,137.872340426,NORFOLK,1,183.829787234,BUCKINGHAM,1,30.6382978723,KING HENRY VIII,4,68.9361702128,NORFOLK,6,183.829787234,Chancellor,1,321.70212766,Sergeant,1,45.9574468085,First Gentleman,1,99.5744680851,BUCKINGHAM,2,30.6382978723,QUEEN KATHARINE,1,76.5957446809,BUCKINGHAM,3,30.6382978723,KING HENRY VIII,4,68.9361702128,NORFOLK,2,183.829787234,Third Gentleman,1,91.914893617,Chancellor,1,321.70212766,NORFOLK,1,183.829787234,CRANMER,3,114.893617021,Surveyor,1,298.723404255,NORFOLK,4,183.829787234,QUEEN KATHARINE,2,76.5957446809,BUCKINGHAM,2,30.6382978723,QUEEN KATHARINE,3,76.5957446809,NORFOLK,4,183.829787234,BUCKINGHAM,9,30.6382978723,QUEEN KATHARINE,2,76.5957446809,CRANMER,9,114.893617021,CARDINAL WOLSEY,9,222.127659574,CRANMER,1,114.893617021,CARDINAL WOLSEY,3,222.127659574,Third Gentleman,1,91.914893617,BUCKINGHAM,1,30.6382978723,CRANMER,1,114.893617021
GARDINER,1,199.14893617,GARDINER,7,199.14893617,Third Gentleman,1,91.914893617,LOVELL,1,275.744680851,SANDS,2,306.382978723,GARDINER,1,199.14893617,CARDINAL CAMPEIUS,3,145.531914894,ABERGAVENNY,1,7.65957446809,Old Lady,2,214.468085106,GARDINER,1,199.14893617,GARDINER,1,199.14893617,Chancellor,1,321.70212766,LOVELL,1,275.744680851,GARDINER,2,199.14893617,Chancellor,1,321.70212766,GARDINER,1,199.14893617,SUFFOLK,2,283.404255319,BUCKINGHAM,4,30.6382978723,CARDINAL WOLSEY,4,222.127659574,BUCKINGHAM,2,30.6382978723,Messenger,1,38.2978723404,CARDINAL WOLSEY,5,222.127659574,BUCKINGHAM,5,30.6382978723,Second Gentleman,1,337.021276596,Chamberlain,10,53.6170212766,SUFFOLK,1,283.404255319,Third Gentleman,1,91.914893617,First Gentleman,2,99.5744680851,Old Lady,1,214.468085106,NORFOLK,1,183.829787234,Chancellor,1,321.70212766,ABERGAVENNY,1,7.65957446809,GARDINER,2,199.14893617,Surveyor,1,298.723404255,GARDINER,3,199.14893617,Chancellor,2,321.70212766,BUCKINGHAM,2,30.6382978723,BUCKINGHAM,1,30.6382978723,Third Gentleman,1,91.914893617,GARDINER,2,199.14893617,Third Gentleman,2,91.914893617,Messenger,1,38.2978723404,Servant,1,191.489361702,PATIENCE,1,206.808510638,LOVELL,1,275.744680851,First Gentleman,1,99.5744680851,LOVELL,2,275.744680851,SUFFOLK,1,283.404255319,Surveyor,1,298.723404255,Third Gentleman,1,91.914893617
LOVELL,1,275.744680851,Surveyor,1,298.723404255,GARDINER,2,199.14893617,SUFFOLK,1,283.404255319,Old Lady,1,214.468085106,LOVELL,1,275.744680851,Third Gentleman,2,91.914893617,BUCKINGHAM,1,30.6382978723,CARDINAL WOLSEY,4,222.127659574,First Gentleman,1,99.5744680851,First Gentleman,1,99.5744680851,GARDINER,1,199.14893617,SUFFOLK,1,283.404255319,First Gentleman,5,99.5744680851,First Gentleman,2,99.5744680851,LOVELL,1,275.744680851,BUCKINGHAM,3,30.6382978723,CRANMER,4,114.893617021,Gentleman,1,15.3191489362,Garter,1,268.085106383,Chamberlain,7,53.6170212766,Third Gentleman,2,91.914893617,Gentleman,1,15.3191489362,First Gentleman,1,99.5744680851,KING HENRY VIII,31,68.9361702128,CRANMER,1,114.893617021,GARDINER,2,199.14893617,LOVELL,1,275.744680851,KATHARINE,4,329.361702128,Keeper,1,122.553191489,First Gentleman,1,99.5744680851,First Gentleman,2,99.5744680851,BRANDON,1,22.9787234043,Chancellor,1,321.70212766,First Gentleman,1,99.5744680851,GARDINER,1,199.14893617,GARDINER,2,199.14893617,VAUX,1,107.234042553,GARDINER,3,199.14893617,LOVELL,1,275.744680851,GARDINER,2,199.14893617,Sergeant,1,45.9574468085,Gentleman,1,15.3191489362,Second Gentleman,1,337.021276596,SUFFOLK,2,283.404255319,LOVELL,1,275.744680851,SUFFOLK,2,283.404255319,BUCKINGHAM,1,30.6382978723,KING HENRY VIII,2,68.9361702128,GARDINER,3,199.14893617
BUCKINGHAM,1,30.6382978723,SANDS,1,306.382978723,SUFFOLK,2,283.404255319,BUCKINGHAM,1,30.6382978723,Chancellor,1,321.70212766,GRIFFITH,2,237.446808511,SUFFOLK,2,283.404255319,CAPUCIUS,1,314.042553191,Man,1,153.191489362,SUFFOLK,1,283.404255319,SANDS,2,306.382978723,First Gentleman,1,99.5744680851,BUCKINGHAM,1,30.6382978723,LOVELL,1,275.744680851,GRIFFITH,1,237.446808511,SUFFOLK,1,283.404255319,CRANMER,3,114.893617021,KATHARINE,3,329.361702128,First Secretary,2,229.787234043,PATIENCE,1,206.808510638,KING HENRY VIII,2,68.9361702128,GRIFFITH,1,237.446808511,First Gentleman,3,99.5744680851,LOVELL,2,275.744680851,QUEEN KATHARINE,18,76.5957446809,QUEEN KATHARINE,4,76.5957446809,ABERGAVENNY,1,7.65957446809,Surveyor,1,298.723404255,QUEEN KATHARINE,4,76.5957446809,Servant,1,191.489361702,BUCKINGHAM,4,30.6382978723,SUFFOLK,2,283.404255319,BUCKINGHAM,1,30.6382978723,GARDINER,1,199.14893617,GRIFFITH,3,237.446808511,Second Gentleman,1,337.021276596,First Gentleman,1,99.5744680851,GARDINER,1,199.14893617,First Gentleman,1,99.5744680851,SUFFOLK,2,283.404255319,First Gentleman,1,99.5744680851,Chamberlain,13,53.6170212766,GARDINER,3,199.14893617,Third Gentleman,1,91.914893617,Surveyor,2,298.723404255,SUFFOLK,2,283.404255319,BUCKINGHAM,1,30.6382978723,CRANMER,1,114.893617021,CRANMER,4,114.893617021,First Gentleman,1,99.5744680851
Old Lady,1,214.468085106,CROMWELL,1,137.872340426,NORFOLK,1,183.829787234,SANDS,1,306.382978723,GUILDFORD,2,344.680851064,BUCKINGHAM,3,30.6382978723,Crier,2,291.063829787,QUEEN KATHARINE,6,76.5957446809, , , ,BUCKINGHAM,1,30.6382978723,CRANMER,3,114.893617021,LOVELL,2,275.744680851,Old Lady,1,214.468085106,Keeper,1,122.553191489,BUCKINGHAM,2,30.6382978723,BUCKINGHAM,4,30.6382978723,CARDINAL WOLSEY,5,222.127659574,CARDINAL WOLSEY,4,222.127659574,BUCKINGHAM,2,30.6382978723,Surveyor,1,298.723404255,CARDINAL WOLSEY,10,222.127659574,BUCKINGHAM,1,30.6382978723,LOVELL,1,275.744680851,SUFFOLK,1,283.404255319,Third Gentleman,1,91.914893617,KATHARINE,1,329.361702128,First Gentleman,2,99.5744680851,Messenger,1,38.2978723404,Man,1,153.191489362,GARDINER,1,199.14893617,SANDS,1,306.382978723,BUCKINGHAM,2,30.6382978723,NORFOLK,5,183.829787234,First Gentleman,1,99.5744680851,BUCKINGHAM,5,30.6382978723,First Gentleman,1,99.5744680851,LOVELL,1,275.744680851,ABERGAVENNY,1,7.65957446809,Surveyor,1,298.723404255,BUCKINGHAM,2,30.6382978723,GRIFFITH,3,237.446808511,KING HENRY VIII,2,68.9361702128,First Gentleman,1,99.5744680851,GARDINER,1,199.14893617,NORFOLK,1,183.829787234,SANDS,1,306.382978723,SANDS,1,306.382978723,QUEEN KATHARINE,1,76.5957446809,KATHARINE,1,329.361702128,LOVELL,1,275.744680851
CARDINAL WOLSEY,4,222.127659574,Chamberlain,4,53.6170212766,CRANMER,5,114.893617021,CRANMER,2,114.893617021,Chamberlain,7,53.6170212766,SANDS,1,306.382978723,BUCKINGHAM,1,30.6382978723,KATHARINE,2,329.361702128, , , ,NORFOLK,1,183.829787234,CARDINAL WOLSEY,2,222.127659574,GRIFFITH,2,237.446808511,CARDINAL WOLSEY,2,222.127659574,SANDS,1,306.382978723,SANDS,2,306.382978723,NORFOLK,2,183.829787234,Second Gentleman,1,337.021276596,CARDINAL CAMPEIUS,1,145.531914894,KING HENRY VIII,2,68.9361702128,KING HENRY VIII,1,68.9361702128,Third Gentleman,2,91.914893617,Second Gentleman,1,337.021276596,SUFFOLK,6,283.404255319,BUCKINGHAM,3,30.6382978723,First Gentleman,1,99.5744680851,CARDINAL WOLSEY,6,222.127659574,Surveyor,1,298.723404255,CRANMER,1,114.893617021,CRANMER,2,114.893617021,First Gentleman,2,99.5744680851,Old Lady,1,214.468085106,SANDS,2,306.382978723,CARDINAL WOLSEY,3,222.127659574,BUCKINGHAM,3,30.6382978723,Old Lady,1,214.468085106,LOVELL,2,275.744680851,SUFFOLK,1,283.404255319,First Gentleman,4,99.5744680851,DOCTOR BUTTS,1,252.765957447,CRANMER,1,114.893617021,BUCKINGHAM,3,30.6382978723,CARDINAL WOLSEY,21,222.127659574,LOVELL,2,275.744680851,ABERGAVENNY,2,7.65957446809,CRANMER,1,114.893617021,Old Lady,2,214.468085106,CRANMER,1,114.893617021,CARDINAL WOLSEY,6,222.127659574,Second Gentleman,1,337.021276596,BUCKINGHAM,3,30.6382978723
NORFOLK,1,183.829787234, , , ,Chancellor,2,321.70212766,NORFOLK,2,183.829787234,CRANMER,1,114.893617021,CRANMER,1,114.893617021,LOVELL,1,275.744680851,CARDINAL WOLSEY,10,222.127659574, , , ,CRANMER,1,114.893617021,QUEEN KATHARINE,2,76.5957446809,Surveyor,1,298.723404255,QUEEN KATHARINE,1,76.5957446809,Old Lady,1,214.468085106,Old Lady,2,214.468085106,CRANMER,2,114.893617021,NORFOLK,3,183.829787234,GRIFFITH,1,237.446808511,SANDS,1,306.382978723,SANDS,1,306.382978723,CRANMER,1,114.893617021,NORFOLK,1,183.829787234,Surveyor,2,298.723404255,SANDS,1,306.382978723,CRANMER,7,114.893617021,CROMWELL,1,137.872340426,KATHARINE,3,329.361702128,KATHARINE,1,329.361702128, , , ,GRIFFITH,1,237.446808511,CARDINAL WOLSEY,1,222.127659574,CRANMER,3,114.893617021,Second Gentleman,3,337.021276596,QUEEN KATHARINE,1,76.5957446809,CARDINAL WOLSEY,6,222.127659574,GRIFFITH,2,237.446808511,Surveyor,1,298.723404255,BRANDON,1,22.9787234043,CRANMER,3,114.893617021,KATHARINE,1,329.361702128,CAPUCIUS,1,314.042553191,Third Gentleman,3,91.914893617,SUFFOLK,1,283.404255319,GRIFFITH,1,237.446808511,KATHARINE,1,329.361702128,Second Gentleman,2,337.021276596,NORFOLK,1,183.829787234,CROMWELL,1,137.872340426,ANNE,1,130.212765957,SANDS,2,306.382978723
CROMWELL,1,137.872340426, , , ,Keeper,1,122.553191489,Second Gentleman,1,337.021276596, , , ,CARDINAL WOLSEY,4,222.127659574,Old Lady,3,214.468085106,Man,1,153.191489362, , , ,QUEEN KATHARINE,3,76.5957446809,CROMWELL,1,137.872340426,CRANMER,2,114.893617021,Second Gentleman,2,337.021276596,KATHARINE,1,329.361702128,NORFOLK,2,183.829787234,QUEEN KATHARINE,7,76.5957446809,ANNE,2,130.212765957, , , ,Old Lady,1,214.468085106,KATHARINE,3,329.361702128,Keeper,2,122.553191489,DOCTOR BUTTS,1,252.765957447,SANDS,1,306.382978723,CAPUCIUS,1,314.042553191,Keeper,3,122.553191489,CARDINAL CAMPEIUS,2,145.531914894,QUEEN KATHARINE,2,76.5957446809,CARDINAL WOLSEY,2,222.127659574, , , ,BUCKINGHAM,5,30.6382978723,Garter,1,268.085106383,CARDINAL WOLSEY,3,222.127659574,CARDINAL CAMPEIUS,2,145.531914894,KATHARINE,1,329.361702128,Second Gentleman,1,337.021276596,BUCKINGHAM,3,30.6382978723,CARDINAL WOLSEY,3,222.127659574,Surveyor,7,298.723404255,CARDINAL WOLSEY,1,222.127659574,CARDINAL WOLSEY,5,222.127659574,KATHARINE,2,329.361702128,First Gentleman,5,99.5744680851,BUCKINGHAM,4,30.6382978723,BUCKINGHAM,4,30.6382978723,QUEEN KATHARINE,1,76.5957446809,QUEEN KATHARINE,2,76.5957446809,KATHARINE,5,329.361702128,CARDINAL CAMPEIUS,1,145.531914894,CARDINAL CAMPEIUS,1,145.531914894,Old Lady,1,214.468085106
