heart,heartLines,heartColor,laertes,laertesLines,laertesColor,love,loveLines,loveColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,queen,queenLines,queenColor,mine,mineLines,mineColor,dead,deadLines,deadColor,hamlet,hamletLines,hamletColor,set,setLines,setColor,earth,earthLines,earthColor,dear,dearLines,dearColor,seen,seenLines,seenColor,speak,speakLines,speakColor,death,deathLines,deathColor,mother,motherLines,motherColor,pray,prayLines,prayColor,god,godLines,godColor,away,awayLines,awayColor,horatio,horatioLines,horatioColor,father,fatherLines,fatherColor,take,takeLines,takeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,eyes,eyesLines,eyesColor,never,neverLines,neverColor,nature,natureLines,natureColor,night,nightLines,nightColor,part,partLines,partColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,hold,holdLines,holdColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,play,playLines,playColor,king,kingLines,kingColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,madness,madnessLines,madnessColor,denmark,denmarkLines,denmarkColor,life,lifeLines,lifeColor,soul,soulLines,soulColor,leave,leaveLines,leaveColor,matter,matterLines,matterColor,follow,followLines,followColor,time,timeLines,timeColor,head,headLines,headColor
HORATIO,1,144.0,LORD POLONIUS,1,257.142857143,Ghost,2,123.428571429,GUILDENSTERN,1,0,LAERTES,2,174.857142857,Ghost,1,123.428571429,Ghost,2,123.428571429,MARCELLUS,1,82.2857142857,Ghost,4,123.428571429,LORD POLONIUS,1,257.142857143,HORATIO,3,144.0,Ghost,1,123.428571429,MARCELLUS,1,82.2857142857,Ghost,1,123.428571429,Ghost,1,123.428571429,Ghost,2,123.428571429,MARCELLUS,1,82.2857142857,First Sailor,1,133.714285714,Ghost,1,123.428571429,MARCELLUS,3,82.2857142857,Ghost,3,123.428571429,MARCELLUS,2,82.2857142857,MARCELLUS,9,82.2857142857,Ghost,1,123.428571429,Ghost,1,123.428571429,Ghost,1,123.428571429,Ghost,2,123.428571429,Ghost,1,123.428571429,Ghost,1,123.428571429,Ghost,1,123.428571429,Ghost,3,123.428571429,OSRIC,1,41.1428571429,LAERTES,2,174.857142857,MARCELLUS,1,82.2857142857,GUILDENSTERN,1,0,Ghost,2,123.428571429,Ghost,1,123.428571429,LORD POLONIUS,2,257.142857143,MARCELLUS,1,82.2857142857,GUILDENSTERN,1,0,Ghost,2,123.428571429,GUILDENSTERN,1,0,Ghost,2,123.428571429,Ghost,2,123.428571429,Ghost,2,123.428571429,Ghost,1,123.428571429,HORATIO,1,144.0,QUEEN GERTRUDE,1,329.142857143,MARCELLUS,1,82.2857142857,HORATIO,3,144.0
FRANCISCO,1,246.857142857,Gentleman,3,20.5714285714,GUILDENSTERN,1,0,FRANCISCO,2,246.857142857,OPHELIA,6,267.428571429,GUILDENSTERN,1,0,LAERTES,5,174.857142857,LAERTES,2,174.857142857,HORATIO,4,144.0,HAMLET,14,185.142857143,ROSENCRANTZ,1,92.5714285714,GUILDENSTERN,1,0,LORD POLONIUS,2,257.142857143,MARCELLUS,2,82.2857142857,LAERTES,4,174.857142857,GUILDENSTERN,2,0,LORD POLONIUS,2,257.142857143,LAERTES,1,174.857142857,LORD POLONIUS,1,257.142857143,First Sailor,1,133.714285714,HORATIO,5,144.0,HORATIO,1,144.0,GUILDENSTERN,15,0,MARCELLUS,1,82.2857142857,MARCELLUS,1,82.2857142857,HORATIO,2,144.0,LORD POLONIUS,2,257.142857143,MARCELLUS,4,82.2857142857,LAERTES,1,174.857142857,HORATIO,3,144.0,HORATIO,1,144.0,BERNARDO,1,154.285714286,LORD POLONIUS,1,257.142857143,HORATIO,1,144.0,LAERTES,1,174.857142857,LORD POLONIUS,4,257.142857143,LORD POLONIUS,5,257.142857143,ROSENCRANTZ,1,92.5714285714,GUILDENSTERN,1,0,LORD POLONIUS,1,257.142857143,MARCELLUS,1,82.2857142857,LAERTES,2,174.857142857,MARCELLUS,1,82.2857142857,LAERTES,3,174.857142857,LORD POLONIUS,5,257.142857143,LORD POLONIUS,5,257.142857143,LORD POLONIUS,4,257.142857143,MARCELLUS,2,82.2857142857,LAERTES,3,174.857142857,BERNARDO,1,154.285714286
LORD POLONIUS,1,257.142857143,HAMLET,4,185.142857143,HORATIO,1,144.0,LORD POLONIUS,9,257.142857143,HORATIO,2,144.0,LORD POLONIUS,4,257.142857143,LORD POLONIUS,4,257.142857143,BERNARDO,1,154.285714286,LORD POLONIUS,7,257.142857143,VOLTIMAND,1,298.285714286,LAERTES,2,174.857142857,HORATIO,1,144.0,OPHELIA,1,267.428571429,Captain,1,102.857142857,HORATIO,4,144.0,LORD POLONIUS,3,257.142857143,OPHELIA,6,267.428571429,LORD POLONIUS,4,257.142857143,OPHELIA,1,267.428571429,KING CLAUDIUS,1,308.571428571,LORD POLONIUS,1,257.142857143,LORD POLONIUS,7,257.142857143,LAERTES,9,174.857142857,LAERTES,3,174.857142857,LORD POLONIUS,1,257.142857143,LORD POLONIUS,1,257.142857143,LAERTES,6,174.857142857,FRANCISCO,2,246.857142857,LORD POLONIUS,2,257.142857143,LORD POLONIUS,4,257.142857143,LORD POLONIUS,2,257.142857143,OPHELIA,1,267.428571429,ROSENCRANTZ,2,92.5714285714,LORD POLONIUS,2,257.142857143,LORD POLONIUS,5,257.142857143,OPHELIA,2,267.428571429,ROSENCRANTZ,2,92.5714285714,OPHELIA,2,267.428571429,LAERTES,3,174.857142857,Player King,1,113.142857143,LAERTES,3,174.857142857,LORD POLONIUS,3,257.142857143,HORATIO,1,144.0,ROSENCRANTZ,1,92.5714285714,OPHELIA,2,267.428571429,LAERTES,5,174.857142857,LAERTES,1,174.857142857,KING CLAUDIUS,5,308.571428571,LORD POLONIUS,9,257.142857143,OPHELIA,4,267.428571429
OPHELIA,1,267.428571429,KING CLAUDIUS,14,308.571428571,LORD POLONIUS,11,257.142857143,OPHELIA,1,267.428571429,Player King,1,113.142857143,HAMLET,8,185.142857143,OPHELIA,1,267.428571429,ROSENCRANTZ,2,92.5714285714,OPHELIA,2,267.428571429,KING CLAUDIUS,6,308.571428571,HAMLET,13,185.142857143,LORD POLONIUS,3,257.142857143,HORATIO,2,144.0,LORD POLONIUS,3,257.142857143,HAMLET,9,185.142857143,LAERTES,2,174.857142857,LAERTES,1,174.857142857,OPHELIA,4,267.428571429,HORATIO,3,144.0,BERNARDO,4,154.285714286,OPHELIA,1,267.428571429,ROSENCRANTZ,3,92.5714285714,LORD POLONIUS,31,257.142857143,LORD POLONIUS,6,257.142857143,OPHELIA,1,267.428571429,ROSENCRANTZ,1,92.5714285714,HAMLET,13,185.142857143,LORD POLONIUS,3,257.142857143,HORATIO,2,144.0,ROSENCRANTZ,1,92.5714285714,LAERTES,4,174.857142857,LAERTES,1,174.857142857,HORATIO,3,144.0,ROSENCRANTZ,2,92.5714285714,OPHELIA,1,267.428571429,HORATIO,3,144.0,LAERTES,1,174.857142857,HORATIO,1,144.0,LORD POLONIUS,1,257.142857143,KING CLAUDIUS,5,308.571428571,BERNARDO,1,154.285714286,HORATIO,1,144.0,ROSENCRANTZ,1,92.5714285714,HORATIO,5,144.0,LAERTES,2,174.857142857,Player King,3,113.142857143,HAMLET,11,185.142857143,LORD POLONIUS,2,257.142857143,ROSENCRANTZ,1,92.5714285714,LAERTES,3,174.857142857
LAERTES,2,174.857142857,OSRIC,4,41.1428571429,ROSENCRANTZ,1,92.5714285714,LAERTES,5,174.857142857,KING CLAUDIUS,4,308.571428571,KING CLAUDIUS,4,308.571428571,HORATIO,1,144.0,OPHELIA,2,267.428571429,LAERTES,2,174.857142857,QUEEN GERTRUDE,1,329.142857143,KING CLAUDIUS,2,308.571428571,ROSENCRANTZ,1,92.5714285714,HAMLET,6,185.142857143,ROSENCRANTZ,2,92.5714285714,KING CLAUDIUS,13,308.571428571,HAMLET,27,185.142857143,HAMLET,11,185.142857143,HORATIO,2,144.0,HAMLET,7,185.142857143,HAMLET,19,185.142857143,LAERTES,7,174.857142857,OPHELIA,1,267.428571429,ROSENCRANTZ,22,92.5714285714,ROSENCRANTZ,2,92.5714285714,HORATIO,2,144.0,OPHELIA,2,267.428571429,KING CLAUDIUS,4,308.571428571,ROSENCRANTZ,1,92.5714285714,HAMLET,12,185.142857143,Second Clown,1,195.428571429,HAMLET,6,185.142857143,Gentleman,2,20.5714285714,Gentleman,2,20.5714285714,LAERTES,3,174.857142857,HORATIO,3,144.0,HAMLET,6,185.142857143,Player King,1,113.142857143,HAMLET,24,185.142857143,ROSENCRANTZ,3,92.5714285714,Player Queen,2,318.857142857,OPHELIA,3,267.428571429,HAMLET,7,185.142857143,OPHELIA,1,267.428571429,HAMLET,11,185.142857143,HAMLET,18,185.142857143,KING CLAUDIUS,4,308.571428571,KING CLAUDIUS,5,308.571428571,HAMLET,14,185.142857143,HORATIO,2,144.0,Gentleman,1,20.5714285714
Gentleman,1,20.5714285714,QUEEN GERTRUDE,2,329.142857143,OPHELIA,3,267.428571429,HAMLET,21,185.142857143,OSRIC,1,41.1428571429,OSRIC,1,41.1428571429,HAMLET,18,185.142857143,HORATIO,2,144.0,HAMLET,9,185.142857143,First Player,1,216.0,Player Queen,1,318.857142857,LAERTES,2,174.857142857,KING CLAUDIUS,3,308.571428571,OPHELIA,1,267.428571429,First Priest,1,10.2857142857,KING CLAUDIUS,3,308.571428571,KING CLAUDIUS,8,308.571428571,HAMLET,18,185.142857143,KING CLAUDIUS,6,308.571428571, , , ,Gentleman,1,20.5714285714,LAERTES,2,174.857142857,Captain,1,102.857142857,OPHELIA,1,267.428571429,HAMLET,12,185.142857143,LAERTES,1,174.857142857,QUEEN GERTRUDE,2,329.142857143,OPHELIA,2,267.428571429,KING CLAUDIUS,2,308.571428571,LAERTES,1,174.857142857,KING CLAUDIUS,2,308.571428571,HAMLET,12,185.142857143,Player King,3,113.142857143,HAMLET,15,185.142857143,HAMLET,5,185.142857143,KING CLAUDIUS,3,308.571428571,KING CLAUDIUS,5,308.571428571,KING CLAUDIUS,2,308.571428571,OPHELIA,1,267.428571429,First Priest,1,10.2857142857,HORATIO,4,144.0,KING CLAUDIUS,4,308.571428571,LAERTES,2,174.857142857,LUCIANUS,1,30.8571428571,KING CLAUDIUS,5,308.571428571,QUEEN GERTRUDE,2,329.142857143,OSRIC,1,41.1428571429, , , ,HAMLET,20,185.142857143,HAMLET,4,185.142857143
HAMLET,10,185.142857143,Lord,2,51.4285714286,LAERTES,5,174.857142857,VOLTIMAND,2,298.285714286,QUEEN GERTRUDE,3,329.142857143,Lord,2,51.4285714286,KING CLAUDIUS,2,308.571428571,HAMLET,6,185.142857143,KING CLAUDIUS,26,308.571428571, , , ,First Clown,1,226.285714286,HAMLET,9,185.142857143,QUEEN GERTRUDE,1,329.142857143,HORATIO,14,144.0,QUEEN GERTRUDE,2,329.142857143,QUEEN GERTRUDE,1,329.142857143,QUEEN GERTRUDE,2,329.142857143,QUEEN GERTRUDE,1,329.142857143,First Player,1,216.0, , , ,HAMLET,21,185.142857143,HAMLET,17,185.142857143,OPHELIA,31,267.428571429,HORATIO,4,144.0,KING CLAUDIUS,1,308.571428571,Player King,1,113.142857143, , , ,HORATIO,6,144.0,OSRIC,1,41.1428571429,Gentleman,1,20.5714285714, , , ,KING CLAUDIUS,4,308.571428571,KING CLAUDIUS,3,308.571428571,KING CLAUDIUS,3,308.571428571,KING CLAUDIUS,2,308.571428571,Player Queen,1,318.857142857,QUEEN GERTRUDE,1,329.142857143,Lord,2,51.4285714286,HORATIO,6,144.0,QUEEN GERTRUDE,1,329.142857143,HAMLET,23,185.142857143,QUEEN GERTRUDE,1,329.142857143,HAMLET,6,185.142857143,QUEEN GERTRUDE,2,329.142857143,First Priest,1,10.2857142857,HAMLET,7,185.142857143,QUEEN GERTRUDE,1,329.142857143, , , ,KING CLAUDIUS,6,308.571428571,KING CLAUDIUS,2,308.571428571
KING CLAUDIUS,9,308.571428571, , , ,HAMLET,20,185.142857143,KING CLAUDIUS,15,308.571428571,HAMLET,4,185.142857143,QUEEN GERTRUDE,1,329.142857143,OSRIC,1,41.1428571429,KING CLAUDIUS,2,308.571428571,QUEEN GERTRUDE,15,329.142857143, , , , , , ,KING CLAUDIUS,8,308.571428571,First Player,2,216.0,Gentleman,2,20.5714285714,PRINCE FORTINBRAS,1,61.7142857143, , , , , , ,Captain,1,102.857142857,First Clown,1,226.285714286, , , ,KING CLAUDIUS,23,308.571428571,KING CLAUDIUS,4,308.571428571,HORATIO,40,144.0,HAMLET,14,185.142857143,QUEEN GERTRUDE,2,329.142857143,VOLTIMAND,1,298.285714286, , , ,HAMLET,9,185.142857143,QUEEN GERTRUDE,1,329.142857143,HAMLET,14,185.142857143, , , ,Player Queen,1,318.857142857,HAMLET,8,185.142857143,Player Queen,1,318.857142857,QUEEN GERTRUDE,1,329.142857143,Player King,1,113.142857143,HAMLET,32,185.142857143, , , ,Gentleman,1,20.5714285714,HAMLET,8,185.142857143,KING CLAUDIUS,7,308.571428571, , , ,KING CLAUDIUS,4,308.571428571,KING CLAUDIUS,4,308.571428571,QUEEN GERTRUDE,2,329.142857143,First Clown,1,226.285714286,First Player,1,216.0, , , ,Player Queen,1,318.857142857,First Player,2,216.0
QUEEN GERTRUDE,1,329.142857143, , , ,KING CLAUDIUS,11,308.571428571,Player Queen,1,318.857142857,First Clown,1,226.285714286,Messenger,1,339.428571429,QUEEN GERTRUDE,2,329.142857143,Player Queen,1,318.857142857,PRINCE FORTINBRAS,1,61.7142857143, , , , , , ,OSRIC,1,41.1428571429,First Clown,1,226.285714286,HAMLET,23,185.142857143,First Player,1,216.0, , , , , , ,First Player,3,216.0,BERNARDO,1,154.285714286, , , ,QUEEN GERTRUDE,3,329.142857143,OSRIC,1,41.1428571429,Gentleman,1,20.5714285714,Second Clown,3,195.428571429,First Player,1,216.0,KING CLAUDIUS,2,308.571428571, , , ,KING CLAUDIUS,2,308.571428571,Captain,1,102.857142857,FRANCISCO,1,246.857142857, , , ,QUEEN GERTRUDE,2,329.142857143,First Clown,1,226.285714286,QUEEN GERTRUDE,1,329.142857143, , , ,First Clown,2,226.285714286,First Clown,3,226.285714286, , , ,HAMLET,34,185.142857143,First Clown,3,226.285714286,Player Queen,1,318.857142857, , , ,OSRIC,1,41.1428571429,First Clown,1,226.285714286,First Clown,1,226.285714286, , , ,First Clown,1,226.285714286, , , ,Lord,1,51.4285714286,First Clown,1,226.285714286
Player King,1,113.142857143, , , ,Player Queen,7,318.857142857,First Ambassador,1,72.0, , , ,First Player,1,216.0,First Clown,2,226.285714286,First Priest,1,10.2857142857,First Clown,2,226.285714286, , , , , , ,QUEEN GERTRUDE,2,329.142857143,BERNARDO,2,154.285714286,KING CLAUDIUS,6,308.571428571,First Clown,1,226.285714286, , , , , , , , , , , , , , , ,First Player,1,216.0,QUEEN GERTRUDE,1,329.142857143,REYNALDO,12,288.0,KING CLAUDIUS,3,308.571428571, , , ,Player Queen,1,318.857142857, , , ,Player Queen,1,318.857142857,First Clown,1,226.285714286,KING CLAUDIUS,6,308.571428571, , , ,First Player,1,216.0, , , ,Lord,1,51.4285714286, , , , , , , , , , , , ,KING CLAUDIUS,6,308.571428571,OSRIC,2,41.1428571429,First Player,3,216.0, , , ,QUEEN GERTRUDE,1,329.142857143, , , , , , , , , , , , , , , ,QUEEN GERTRUDE,2,329.142857143, , , 
 , , , , , ,QUEEN GERTRUDE,1,329.142857143,HORATIO,2,144.0, , , , , , , , , ,QUEEN GERTRUDE,1,329.142857143, , , , , , , , , , , , , , , ,OSRIC,2,41.1428571429, , , , , , , , , , , , , , , , , , , , , ,Lord,1,51.4285714286,HAMLET,14,185.142857143,OSRIC,1,41.1428571429, , , ,HAMLET,11,185.142857143, , , ,BERNARDO,3,154.285714286,BERNARDO,1,154.285714286,QUEEN GERTRUDE,1,329.142857143, , , ,First Clown,1,226.285714286, , , ,First Clown,2,226.285714286, , , , , , , , , , , , ,OSRIC,2,41.1428571429, , , ,LORD POLONIUS,2,257.142857143, , , , , , , , , , , , , , , , , , , , , ,LUCIANUS,1,30.8571428571, , , 
 , , , , , ,Player King,5,113.142857143,QUEEN GERTRUDE,1,329.142857143, , , , , , , , , ,Player King,1,113.142857143, , , , , , , , , , , , , , , ,QUEEN GERTRUDE,5,329.142857143, , , , , , , , , , , , , , , , , , , , , ,PRINCE FORTINBRAS,1,61.7142857143,KING CLAUDIUS,1,308.571428571,PRINCE FORTINBRAS,1,61.7142857143, , , ,First Player,1,216.0, , , , , , , , , ,PRINCE FORTINBRAS,1,61.7142857143, , , ,LORD POLONIUS,2,257.142857143, , , , , , , , , , , , , , , , , , ,QUEEN GERTRUDE,2,329.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Player King,2,113.142857143, , , 
 , , , , , ,First Clown,1,226.285714286,First Clown,1,226.285714286, , , , , , , , , ,First Clown,2,226.285714286, , , , , , , , , , , , , , , ,PRINCE FORTINBRAS,1,61.7142857143, , , , , , , , , , , , , , , , , , , , , , , , ,Player Queen,1,318.857142857,First Clown,2,226.285714286, , , ,First Clown,1,226.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Lord,1,51.4285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Clown,1,226.285714286, , , 
 , , , , , , , , ,OSRIC,1,41.1428571429, , , , , , , , , , , , , , , , , , , , , , , , , , , ,Player King,1,113.142857143, , , , , , , , , , , , , , , , , , , , , , , , ,Lord,1,51.4285714286,First Ambassador,1,72.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PRINCE FORTINBRAS,1,61.7142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BERNARDO,1,154.285714286, , , , , , , , , , , , , , , , , , , , , , , , ,QUEEN GERTRUDE,4,329.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Clown,2,226.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Messenger,2,339.428571429, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BERNARDO,4,154.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,OSRIC,7,41.1428571429, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Player King,1,113.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,First Player,3,216.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BERNARDO,3,154.285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
