heart,heartLines,heartColor,love,loveLines,loveColor,capitol,capitolLines,capitolColor,give,giveLines,giveColor,gods,godsLines,godsColor,mine,mineLines,mineColor,octavius,octaviusLines,octaviusColor,fear,fearLines,fearColor,mark,markLines,markColor,find,findLines,findColor,speak,speakLines,speakColor,death,deathLines,deathColor,true,trueLines,trueColor,away,awayLines,awayColor,night,nightLines,nightColor,day,dayLines,dayColor,caesar,caesarLines,caesarColor,take,takeLines,takeColor,lord,lordLines,lordColor,forth,forthLines,forthColor,tell,tellLines,tellColor,friend,friendLines,friendColor,noble,nobleLines,nobleColor,casca,cascaLines,cascaColor,fire,fireLines,fireColor,men,menLines,menColor,bear,bearLines,bearColor,hand,handLines,handColor,romans,romansLines,romansColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,world,worldLines,worldColor,messala,messalaLines,messalaColor,friends,friendsLines,friendsColor,brutus,brutusLines,brutusColor,man,manLines,manColor,great,greatLines,greatColor,word,wordLines,wordColor,die,dieLines,dieColor,cassius,cassiusLines,cassiusColor,lucius,luciusLines,luciusColor,leave,leaveLines,leaveColor,roman,romanLines,romanColor,rome,romeLines,romeColor,stand,standLines,standColor,time,timeLines,timeColor,meet,meetLines,meetColor,antony,antonyLines,antonyColor,to-day,to-dayLines,to-dayColor,ho,hoLines,hoColor
Fourth Citizen,1,244.8,DECIUS BRUTUS,3,194.4,DECIUS BRUTUS,1,194.4,DECIUS BRUTUS,2,194.4,CASCA,2,115.2,CASCA,4,115.2,TITINIUS,1,122.4,DECIUS BRUTUS,1,194.4,CALPURNIA,1,237.6,TITINIUS,1,122.4,CASCA,4,115.2,CALPURNIA,1,237.6,DECIUS BRUTUS,1,194.4,First Citizen,1,201.6,PORTIA,1,0,DECIUS BRUTUS,2,194.4,PORTIA,4,0,PORTIA,1,0,CLITUS,4,43.2,DECIUS BRUTUS,1,194.4,GHOST,1,187.2,First Citizen,1,201.6,CLITUS,1,43.2,CASCA,1,115.2,All,1,302.4,Fourth Citizen,1,244.8,DECIUS BRUTUS,1,194.4,PORTIA,1,0,DECIUS BRUTUS,1,194.4,DECIUS BRUTUS,1,194.4,DECIUS BRUTUS,2,194.4,CLITUS,1,43.2,OCTAVIUS,1,288.0,TITINIUS,1,122.4,PORTIA,12,0,DECIUS BRUTUS,1,194.4,PORTIA,1,0,DECIUS BRUTUS,1,194.4,CALPURNIA,1,237.6,DECIUS BRUTUS,1,194.4,PORTIA,1,0,PORTIA,1,0,CASCA,1,115.2,DECIUS BRUTUS,1,194.4,Fourth Citizen,1,244.8,DECIUS BRUTUS,1,194.4,DECIUS BRUTUS,1,194.4,CASCA,2,115.2,CALPURNIA,1,237.6,All,2,302.4
PORTIA,2,0,PORTIA,1,0,CASCA,2,115.2,Second Citizen,1,7.2,MARULLUS,1,28.8,CASSIUS,6,230.4,Servant,1,208.8,CASCA,3,115.2,First Citizen,1,201.6,CINNA,1,309.6,First Citizen,1,201.6,STRATO,1,64.8,CASCA,1,115.2,CASSIUS,2,230.4,CASCA,2,115.2,MARULLUS,1,28.8,Second Citizen,3,7.2,First Citizen,1,201.6,PORTIA,5,0,CASCA,1,115.2,DECIUS BRUTUS,3,194.4,TITINIUS,1,122.4,First Soldier,1,36.0,CINNA,1,309.6,First Citizen,1,201.6,DECIUS BRUTUS,2,194.4,CASCA,1,115.2,CASCA,6,115.2,LIGARIUS,1,129.6,Second Citizen,4,7.2,CALPURNIA,1,237.6,CASCA,1,115.2,STRATO,1,64.8,TREBONIUS,1,331.2,Second Citizen,1,7.2,CASCA,3,115.2,CASCA,1,115.2,CASCA,2,115.2,TREBONIUS,1,331.2,CASCA,2,115.2,CASSIUS,2,230.4,CASCA,1,115.2,TITINIUS,1,122.4,MARULLUS,2,28.8,First Soldier,1,36.0,CASCA,2,115.2,CASCA,1,115.2,First Citizen,2,201.6,Servant,1,208.8,First Citizen,2,201.6
MARULLUS,1,28.8,Servant,2,208.8,PORTIA,2,0,STRATO,1,64.8,LIGARIUS,1,129.6,ARTEMIDORUS,1,316.8,CASSIUS,1,230.4,TREBONIUS,1,331.2,Servant,3,208.8,CASSIUS,5,230.4,CASSIUS,4,230.4,Servant,1,208.8,PORTIA,1,0,FLAVIUS,1,280.8,CINNA,1,309.6,TITINIUS,2,122.4,METELLUS CIMBER,4,57.6,TITINIUS,1,122.4,CALPURNIA,2,237.6,TITINIUS,1,122.4,CASCA,3,115.2,TREBONIUS,1,331.2,Second Citizen,3,7.2,CASSIUS,13,230.4,CASSIUS,5,230.4,CASCA,3,115.2,PORTIA,1,0,STRATO,1,64.8,CASSIUS,6,230.4,First Citizen,3,201.6,MARULLUS,1,28.8,CASSIUS,7,230.4,CASSIUS,3,230.4,CASSIUS,2,230.4,Second Soldier,1,21.6,STRATO,1,64.8,MARULLUS,1,28.8,PORTIA,2,0,Second Citizen,1,7.2,TITINIUS,5,122.4,BRUTUS,13,100.8,TITINIUS,1,122.4,CASSIUS,3,230.4,TITINIUS,1,122.4,CASCA,1,115.2,MARULLUS,1,28.8,TITINIUS,1,122.4,Second Soldier,1,21.6,CASSIUS,6,230.4,Second Soldier,1,21.6
TITINIUS,2,122.4,CASSIUS,10,230.4,CICERO,1,136.8,TITINIUS,2,122.4,CASSIUS,8,230.4,CAESAR,1,158.4,MESSALA,3,93.6,Second Citizen,1,7.2,PINDARUS,1,151.2,LEPIDUS,1,252.0,Second Citizen,1,7.2,CASSIUS,1,230.4,Servant,1,208.8,OCTAVIUS,2,288.0,CICERO,1,136.8,CINNA,1,309.6,Soothsayer,6,86.4,CASSIUS,5,230.4,VARRO,3,14.4,Servant,2,208.8,Second Soldier,1,21.6,CASSIUS,7,230.4,First Citizen,1,201.6,ARTEMIDORUS,1,316.8,CASCA,4,115.2,MARULLUS,1,28.8,CASSIUS,12,230.4,CINNA,1,309.6,CAESAR,1,158.4,MARULLUS,1,28.8,TITINIUS,1,122.4,CAESAR,1,158.4,BRUTUS,6,100.8,CAESAR,2,158.4,CLITUS,1,43.2,PORTIA,2,0,DECIUS BRUTUS,3,194.4,Servant,1,208.8,CAESAR,1,158.4,CINNA,1,309.6, , , ,CASSIUS,4,230.4,MESSALA,1,93.6,Servant,3,208.8,First Citizen,1,201.6,TREBONIUS,1,331.2,CASSIUS,6,230.4,TITINIUS,1,122.4,CAESAR,2,158.4,Citizens,1,223.2
Servant,1,208.8,ARTEMIDORUS,1,316.8,CASSIUS,3,230.4,CASSIUS,6,230.4,ARTEMIDORUS,1,316.8,Soothsayer,1,86.4,ANTONY,8,172.8,CASSIUS,7,230.4,CASSIUS,5,230.4,Servant,1,208.8,Fourth Citizen,2,244.8,Second Citizen,1,7.2,CASSIUS,4,230.4,ANTONY,2,172.8,CASSIUS,7,230.4,CASSIUS,7,230.4,BRUTUS,43,100.8,ARTEMIDORUS,1,316.8,TITINIUS,1,122.4,CASSIUS,2,230.4,PORTIA,3,0,METELLUS CIMBER,1,57.6,CINNA,1,309.6,CAESAR,1,158.4,STRATO,1,64.8,PORTIA,1,0,Second Citizen,1,7.2,LIGARIUS,1,129.6,ANTONY,2,172.8,TITINIUS,1,122.4,CASSIUS,3,230.4,ANTONY,6,172.8,TITINIUS,2,122.4,Poet,1,79.2,STRATO,1,64.8,CASSIUS,14,230.4,CASSIUS,6,230.4,TITINIUS,1,122.4,OCTAVIUS,3,288.0,CASSIUS,13,230.4, , , ,MESSALA,1,93.6,PINDARUS,1,151.2,LIGARIUS,1,129.6,Second Soldier,1,21.6,CASSIUS,5,230.4,MESSALA,1,93.6,Servant,5,208.8,POPILIUS,1,338.4,CASSIUS,1,230.4
LIGARIUS,1,129.6,OCTAVIUS,1,288.0,CALPURNIA,1,237.6,ARTEMIDORUS,2,316.8,CAESAR,2,158.4,ANTONY,1,172.8,BRUTUS,4,100.8,CALPURNIA,2,237.6,CASCA,1,115.2,FLAVIUS,1,280.8,LUCIUS,1,144.0,MESSALA,1,93.6,All,1,302.4,BRUTUS,5,100.8,MESSALA,1,93.6,LUCIUS,1,144.0,CASCA,8,115.2,MESSALA,1,93.6,Servant,2,208.8,CALPURNIA,3,237.6,CASSIUS,6,230.4,CATO,1,324.0,CASSIUS,9,230.4,ANTONY,3,172.8,CAESAR,1,158.4,TREBONIUS,1,331.2,METELLUS CIMBER,1,57.6,CASSIUS,6,230.4,BRUTUS,6,100.8,Citizens,1,223.2,CAESAR,2,158.4,BRUTUS,2,100.8, , , ,ANTONY,8,172.8,BRUTUS,12,100.8,Second Citizen,1,7.2,Second Citizen,1,7.2,CASSIUS,6,230.4,ANTONY,1,172.8,Second Citizen,1,7.2, , , ,CAESAR,2,158.4,ANTONY,3,172.8,CASSIUS,9,230.4,CASSIUS,5,230.4,CAESAR,2,158.4,Poet,1,79.2,LUCILIUS,1,165.6,OCTAVIUS,1,288.0,CASCA,1,115.2
CASSIUS,4,230.4,CAESAR,2,158.4,CINNA THE POET,1,273.6,BRUTUS,13,100.8,LUCILIUS,1,165.6,BRUTUS,6,100.8, , , ,CAESAR,6,158.4,ARTEMIDORUS,1,316.8,LUCILIUS,1,165.6,CAESAR,2,158.4,CAESAR,3,158.4,CAESAR,1,158.4,Third Citizen,2,295.2,CAESAR,1,158.4,CAESAR,1,158.4,CICERO,2,136.8,PINDARUS,1,151.2,CASSIUS,1,230.4,CINNA THE POET,2,273.6,CAESAR,7,158.4,CAESAR,2,158.4,All,1,302.4,BRUTUS,3,100.8,BRUTUS,4,100.8,CICERO,1,136.8,MESSALA,1,93.6,METELLUS CIMBER,1,57.6, , , ,CASSIUS,2,230.4,ANTONY,8,172.8, , , , , , ,BRUTUS,8,100.8,CASCA,1,115.2,Fourth Citizen,1,244.8,ARTEMIDORUS,1,316.8,Fourth Citizen,1,244.8,BRUTUS,7,100.8,ARTEMIDORUS,1,316.8, , , ,ANTONY,3,172.8,BRUTUS,8,100.8,ANTONY,5,172.8,ARTEMIDORUS,1,316.8,OCTAVIUS,1,288.0,ANTONY,2,172.8,Second Citizen,2,7.2,BRUTUS,1,100.8,CATO,2,324.0
ARTEMIDORUS,1,316.8,Poet,1,79.2,LUCIUS,1,144.0,OCTAVIUS,1,288.0,ANTONY,1,172.8, , , , , , ,OCTAVIUS,1,288.0,LUCIUS,1,144.0,ANTONY,1,172.8,FLAVIUS,1,280.8,LUCILIUS,1,165.6,LUCILIUS,1,165.6, , , ,LUCILIUS,1,165.6,FLAVIUS,1,280.8,CAESAR,18,158.4,Fourth Citizen,1,244.8,CLAUDIUS,4,50.4,CAESAR,2,158.4,First Soldier,1,36.0,CINNA THE POET,1,273.6,MESSALA,2,93.6,Third Citizen,1,295.2,Second Citizen,2,7.2,CASSIUS,11,230.4,CAESAR,2,158.4,OCTAVIUS,2,288.0, , , ,All,3,302.4,BRUTUS,5,100.8, , , , , , , , , ,TITINIUS,3,122.4,LUCIUS,1,144.0,BRUTUS,2,100.8,OCTAVIUS,1,288.0, , , ,LUCIUS,1,144.0, , , ,BRUTUS,5,100.8, , , ,BRUTUS,11,100.8,CAESAR,1,158.4,ANTONY,2,172.8,BRUTUS,4,100.8,CASSIUS,8,230.4, , , ,CAESAR,1,158.4
CAESAR,2,158.4,ANTONY,6,172.8,FLAVIUS,1,280.8,PUBLIUS,1,259.2,BRUTUS,6,100.8, , , , , , ,Soothsayer,1,86.4,LEPIDUS,1,252.0,BRUTUS,4,100.8,Soothsayer,1,86.4,ANTONY,3,172.8,BRUTUS,5,100.8, , , ,BRUTUS,13,100.8,OCTAVIUS,1,288.0,ANTONY,49,172.8,LUCILIUS,1,165.6,MESSALA,3,93.6,ANTONY,3,172.8,ANTONY,5,172.8,VOLUMNIUS,1,216.0,Servant,2,208.8, , , , , , ,CALPURNIA,1,237.6,ANTONY,3,172.8,CAESAR,2,158.4, , , ,Fourth Citizen,2,244.8, , , , , , , , , , , , ,LIGARIUS,2,129.6,MESSALA,1,93.6,MESSALA,1,93.6,CAESAR,1,158.4, , , ,Servant,1,208.8, , , ,Third Citizen,1,295.2, , , ,Third Citizen,2,295.2,Third Soldier,1,266.4,BRUTUS,13,100.8, , , ,CALPURNIA,1,237.6, , , ,LUCILIUS,1,165.6
METELLUS CIMBER,1,57.6,BRUTUS,15,100.8,OCTAVIUS,1,288.0,LUCILIUS,1,165.6, , , , , , , , , ,ANTONY,3,172.8,CAESAR,1,158.4,Third Citizen,1,295.2,ANTONY,8,172.8,BRUTUS,14,100.8, , , , , , , , , ,ANTONY,2,172.8,DECIUS BRUTUS,10,194.4,Soothsayer,1,86.4,PINDARUS,2,151.2,BRUTUS,3,100.8,BRUTUS,6,100.8,Poet,1,79.2,PINDARUS,2,151.2, , , , , , ,METELLUS CIMBER,1,57.6,BRUTUS,8,100.8,LUCILIUS,1,165.6, , , ,LUCIUS,2,144.0, , , , , , , , , , , , ,MESSALA,3,93.6,CAESAR,2,158.4,CAESAR,1,158.4,LUCILIUS,1,165.6, , , ,PINDARUS,2,151.2, , , , , , , , , , , , ,METELLUS CIMBER,1,57.6, , , , , , ,Fourth Citizen,2,244.8, , , ,BRUTUS,5,100.8
