right,rightLines,rightColor,england,englandLines,englandColor,fair,fairLines,fairColor,give,giveLines,giveColor,mine,mineLines,mineColor,son,sonLines,sonColor,set,setLines,setColor,hubert,hubertLines,hubertColor,soul,soulLines,soulColor,love,loveLines,loveColor,arms,armsLines,armsColor,keep,keepLines,keepColor,speak,speakLines,speakColor,death,deathLines,deathColor,majesty,majestyLines,majestyColor,lady,ladyLines,ladyColor,robert,robertLines,robertColor,peace,peaceLines,peaceColor,father,fatherLines,fatherColor,young,youngLines,youngColor,france,franceLines,franceColor,take,takeLines,takeColor,time,timeLines,timeColor,lord,lordLines,lordColor,john,johnLines,johnColor,war,warLines,warColor,eyes,eyesLines,eyesColor,never,neverLines,neverColor,faith,faithLines,faithColor,men,menLines,menColor,bear,bearLines,bearColor,hand,handLines,handColor,heaven,heavenLines,heavenColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,world,worldLines,worldColor,true,trueLines,trueColor,day,dayLines,dayColor,king,kingLines,kingColor,great,greatLines,greatColor,land,landLines,landColor,boy,boyLines,boyColor,life,lifeLines,lifeColor,brother,brotherLines,brotherColor,tell,tellLines,tellColor,arthur,arthurLines,arthurColor,stand,standLines,standColor,mother,motherLines,motherColor,tongue,tongueLines,tongueColor,away,awayLines,awayColor
PEMBROKE,1,102.857142857,BASTARD,6,0,BLANCH,1,270.0,PEMBROKE,1,102.857142857,BLANCH,2,270.0,PEMBROKE,2,102.857142857,PEMBROKE,1,102.857142857,BASTARD,3,0,BASTARD,4,0,BLANCH,3,270.0,BLANCH,1,270.0,BASTARD,2,0,BLANCH,2,270.0,PEMBROKE,3,102.857142857,BASTARD,4,0,BLANCH,1,270.0,LADY FAULCONBRIDGE,3,115.714285714,BASTARD,5,0,BLANCH,1,270.0,BASTARD,1,0,BASTARD,6,0,BASTARD,9,0,BLANCH,1,270.0,BLANCH,1,270.0,PEMBROKE,1,102.857142857,PEMBROKE,1,102.857142857,BASTARD,3,0,BASTARD,4,0,BLANCH,1,270.0,BLANCH,1,270.0,BASTARD,6,0,BLANCH,1,270.0,BASTARD,10,0,BLANCH,1,270.0,BLANCH,2,270.0,PEMBROKE,1,102.857142857,BASTARD,4,0,BLANCH,2,270.0,BLANCH,1,270.0,BASTARD,4,0,PEMBROKE,1,102.857142857,BASTARD,2,0,BLANCH,1,270.0,BASTARD,7,0,PEMBROKE,1,102.857142857,PEMBROKE,1,102.857142857,PEMBROKE,1,102.857142857,BASTARD,14,0,BLANCH,1,270.0,BASTARD,7,0
BASTARD,6,0,First Citizen,3,218.571428571,BASTARD,7,0,BASTARD,7,0,PEMBROKE,1,102.857142857,BASTARD,13,0,BASTARD,3,0,MELUN,1,231.428571429,CARDINAL PANDULPH,1,25.7142857143,BASTARD,3,0,BASTARD,7,0,First Citizen,1,218.571428571,PEMBROKE,1,102.857142857,BASTARD,8,0,QUEEN ELINOR,1,295.714285714,BASTARD,3,0,BASTARD,15,0,First Citizen,1,218.571428571,BASTARD,10,0,French Herald,1,12.8571428571,French Herald,1,12.8571428571,CARDINAL PANDULPH,4,25.7142857143,PEMBROKE,4,102.857142857,PEMBROKE,1,102.857142857,BASTARD,2,0,BASTARD,13,0,First Citizen,1,218.571428571,CARDINAL PANDULPH,1,25.7142857143,PEMBROKE,1,102.857142857,PEMBROKE,4,102.857142857,MELUN,1,231.428571429,BASTARD,16,0,CARDINAL PANDULPH,3,25.7142857143,PEMBROKE,3,102.857142857,PEMBROKE,3,102.857142857,BASTARD,8,0,CARDINAL PANDULPH,2,25.7142857143,PEMBROKE,1,102.857142857,PEMBROKE,3,102.857142857,First Citizen,3,218.571428571,BASTARD,21,0,QUEEN ELINOR,3,295.714285714,BASTARD,3,0,QUEEN ELINOR,1,295.714285714,BASTARD,3,0,BASTARD,2,0,BASTARD,2,0,French Herald,1,12.8571428571,PEMBROKE,1,102.857142857,CARDINAL PANDULPH,2,25.7142857143
First Citizen,3,218.571428571,CARDINAL PANDULPH,4,25.7142857143,First Citizen,3,218.571428571,First Citizen,1,218.571428571,BASTARD,7,0,French Herald,1,12.8571428571,First Citizen,1,218.571428571,ARTHUR,15,321.428571429,QUEEN ELINOR,1,295.714285714,First Citizen,4,218.571428571,CARDINAL PANDULPH,4,25.7142857143,CARDINAL PANDULPH,3,25.7142857143,BASTARD,4,0,First Citizen,1,218.571428571,LEWIS,1,347.142857143,First Citizen,2,218.571428571, , , ,CARDINAL PANDULPH,2,25.7142857143,CARDINAL PANDULPH,1,25.7142857143,CARDINAL PANDULPH,1,25.7142857143,CARDINAL PANDULPH,4,25.7142857143,MELUN,1,231.428571429,BASTARD,6,0,BASTARD,6,0,CARDINAL PANDULPH,9,25.7142857143,First Citizen,1,218.571428571,LEWIS,2,347.142857143,LEWIS,3,347.142857143,BASTARD,7,0,BASTARD,17,0,KING PHILIP,5,154.285714286,French Herald,2,12.8571428571,QUEEN ELINOR,2,295.714285714,BASTARD,12,0,BASTARD,8,0,First Citizen,1,218.571428571,MELUN,1,231.428571429,BASTARD,8,0,BASTARD,19,0,CARDINAL PANDULPH,2,25.7142857143,First Citizen,3,218.571428571,LADY FAULCONBRIDGE,1,115.714285714,CARDINAL PANDULPH,2,25.7142857143,LADY FAULCONBRIDGE,2,115.714285714,LEWIS,1,347.142857143,French Herald,2,12.8571428571,CARDINAL PANDULPH,4,25.7142857143,CARDINAL PANDULPH,3,25.7142857143,BASTARD,2,0,LEWIS,1,347.142857143
CARDINAL PANDULPH,1,25.7142857143,English Herald,1,38.5714285714,CARDINAL PANDULPH,2,25.7142857143,CARDINAL PANDULPH,1,25.7142857143,LADY FAULCONBRIDGE,2,115.714285714,CARDINAL PANDULPH,2,25.7142857143,CARDINAL PANDULPH,1,25.7142857143,KING JOHN,10,192.857142857,LEWIS,2,347.142857143,CARDINAL PANDULPH,1,25.7142857143,LEWIS,2,347.142857143,LEWIS,3,347.142857143,CARDINAL PANDULPH,3,25.7142857143,LEWIS,1,347.142857143,KING PHILIP,1,154.285714286,CARDINAL PANDULPH,3,25.7142857143, , , ,LEWIS,3,347.142857143,QUEEN ELINOR,1,295.714285714,LEWIS,3,347.142857143,QUEEN ELINOR,5,295.714285714,CHATILLON,1,308.571428571,First Citizen,1,218.571428571,QUEEN ELINOR,1,295.714285714,English Herald,1,38.5714285714,CARDINAL PANDULPH,5,25.7142857143,MELUN,1,231.428571429,KING PHILIP,1,154.285714286,CARDINAL PANDULPH,1,25.7142857143,French Herald,1,12.8571428571,CHATILLON,1,308.571428571,CARDINAL PANDULPH,6,25.7142857143,LADY FAULCONBRIDGE,1,115.714285714,First Citizen,2,218.571428571,First Citizen,2,218.571428571,CARDINAL PANDULPH,1,25.7142857143,KING PHILIP,4,154.285714286,French Herald,1,12.8571428571,First Citizen,8,218.571428571,LEWIS,3,347.142857143,CARDINAL PANDULPH,5,25.7142857143,ARTHUR,1,321.428571429,LEWIS,3,347.142857143,ROBERT,1,128.571428571,KING PHILIP,4,154.285714286,CARDINAL PANDULPH,5,25.7142857143,KING PHILIP,3,154.285714286,QUEEN ELINOR,3,295.714285714,CARDINAL PANDULPH,4,25.7142857143,MELUN,1,231.428571429
QUEEN ELINOR,2,295.714285714,LEWIS,2,347.142857143,LEWIS,2,347.142857143,QUEEN ELINOR,1,295.714285714,ROBERT,1,128.571428571,QUEEN ELINOR,6,295.714285714,QUEEN ELINOR,1,295.714285714,HUBERT,1,77.1428571429,MELUN,1,231.428571429,QUEEN ELINOR,1,295.714285714,KING PHILIP,4,154.285714286,ARTHUR,2,321.428571429,ROBERT,2,128.571428571,ROBERT,2,128.571428571,CHATILLON,2,308.571428571,LEWIS,2,347.142857143, , , ,MELUN,1,231.428571429,LADY FAULCONBRIDGE,1,115.714285714,KING PHILIP,3,154.285714286,English Herald,1,38.5714285714,ARTHUR,1,321.428571429,CARDINAL PANDULPH,1,25.7142857143,LEWIS,4,347.142857143,LEWIS,5,347.142857143,LEWIS,8,347.142857143,KING PHILIP,1,154.285714286,ARTHUR,2,321.428571429,LEWIS,1,347.142857143,CARDINAL PANDULPH,1,25.7142857143,First Executioner,1,180.0,QUEEN ELINOR,1,295.714285714,ARTHUR,7,321.428571429,CARDINAL PANDULPH,4,25.7142857143,CARDINAL PANDULPH,4,25.7142857143,QUEEN ELINOR,2,295.714285714,CHATILLON,1,308.571428571,CARDINAL PANDULPH,3,25.7142857143,CARDINAL PANDULPH,6,25.7142857143,ARTHUR,1,321.428571429,QUEEN ELINOR,4,295.714285714,KING PHILIP,3,154.285714286,MELUN,1,231.428571429,KING PHILIP,5,154.285714286,SALISBURY,1,334.285714286,LEWIS,6,347.142857143,ARTHUR,1,321.428571429,ROBERT,2,128.571428571,QUEEN ELINOR,1,295.714285714,BIGOT,1,51.4285714286
English Herald,1,38.5714285714,MELUN,1,231.428571429,ROBERT,1,128.571428571,English Herald,1,38.5714285714,KING PHILIP,2,154.285714286,LADY FAULCONBRIDGE,3,115.714285714,LEWIS,3,347.142857143,SALISBURY,1,334.285714286,BIGOT,1,51.4285714286,LEWIS,4,347.142857143,CHATILLON,1,308.571428571,KING JOHN,5,192.857142857,ARTHUR,1,321.428571429,MELUN,1,231.428571429,Messenger,1,64.2857142857,KING PHILIP,8,154.285714286, , , ,ARTHUR,1,321.428571429,ROBERT,7,128.571428571,CHATILLON,1,308.571428571,ARTHUR,1,321.428571429,KING JOHN,2,192.857142857,LEWIS,1,347.142857143,MELUN,1,231.428571429,MELUN,1,231.428571429,AUSTRIA,2,167.142857143,ARTHUR,9,321.428571429,Messenger,1,64.2857142857,MELUN,1,231.428571429,QUEEN ELINOR,1,295.714285714,KING JOHN,6,192.857142857,English Herald,2,38.5714285714,KING PHILIP,4,154.285714286,QUEEN ELINOR,1,295.714285714,QUEEN ELINOR,1,295.714285714,LEWIS,5,347.142857143,Messenger,2,64.2857142857,English Herald,1,38.5714285714,QUEEN ELINOR,2,295.714285714,Messenger,1,64.2857142857,English Herald,1,38.5714285714,AUSTRIA,1,167.142857143,ARTHUR,2,321.428571429,CHATILLON,1,308.571428571,HUBERT,1,77.1428571429,KING PHILIP,3,154.285714286,KING JOHN,4,192.857142857,CHATILLON,1,308.571428571,LEWIS,1,347.142857143,KING PHILIP,1,154.285714286
LEWIS,4,347.142857143,ARTHUR,1,321.428571429,ARTHUR,1,321.428571429,LEWIS,3,347.142857143,ARTHUR,6,321.428571429,ROBERT,2,128.571428571,CHATILLON,1,308.571428571, , , ,KING PHILIP,2,154.285714286,MELUN,2,231.428571429,AUSTRIA,1,167.142857143,HUBERT,1,77.1428571429,KING PHILIP,5,154.285714286,ARTHUR,1,321.428571429,KING JOHN,2,192.857142857,CHATILLON,1,308.571428571, , , ,KING PHILIP,8,154.285714286,KING PHILIP,2,154.285714286,ARTHUR,1,321.428571429,KING PHILIP,5,154.285714286,HUBERT,1,77.1428571429,ROBERT,3,128.571428571,KING PHILIP,2,154.285714286,KING PHILIP,1,154.285714286,BIGOT,1,51.4285714286,KING JOHN,7,192.857142857,KING JOHN,1,192.857142857,KING PHILIP,6,154.285714286,English Herald,3,38.5714285714,CONSTANCE,1,257.142857143,LEWIS,2,347.142857143,AUSTRIA,1,167.142857143,LEWIS,8,347.142857143,English Herald,1,38.5714285714,ROBERT,1,128.571428571,KING JOHN,1,192.857142857,LEWIS,2,347.142857143,English Herald,1,38.5714285714,KING JOHN,4,192.857142857,LEWIS,5,347.142857143,KING JOHN,3,192.857142857,AUSTRIA,1,167.142857143,KING JOHN,5,192.857142857,PRINCE HENRY,1,244.285714286,CHATILLON,2,308.571428571,HUBERT,5,77.1428571429,ARTHUR,2,321.428571429,ARTHUR,4,321.428571429,ARTHUR,5,321.428571429
AUSTRIA,1,167.142857143,KING PHILIP,15,154.285714286,KING PHILIP,4,154.285714286,KING PHILIP,2,154.285714286,KING JOHN,4,192.857142857,KING PHILIP,6,154.285714286,KING JOHN,9,192.857142857, , , ,ARTHUR,1,321.428571429,ARTHUR,5,321.428571429,KING JOHN,1,192.857142857,CONSTANCE,2,257.142857143,CHATILLON,1,308.571428571,KING JOHN,5,192.857142857,HUBERT,4,77.1428571429,AUSTRIA,1,167.142857143, , , ,AUSTRIA,4,167.142857143,KING JOHN,7,192.857142857,First Citizen,1,218.571428571,CHATILLON,2,308.571428571,CONSTANCE,3,257.142857143,KING PHILIP,1,154.285714286,Messenger,4,64.2857142857,SALISBURY,1,334.285714286,KING PHILIP,7,154.285714286,HUBERT,3,77.1428571429,HUBERT,1,77.1428571429,KING JOHN,1,192.857142857,LADY FAULCONBRIDGE,1,115.714285714,SALISBURY,3,334.285714286,KING PHILIP,8,154.285714286,KING JOHN,8,192.857142857,ROBERT,1,128.571428571,LEWIS,3,347.142857143,MELUN,1,231.428571429,HUBERT,2,77.1428571429,MELUN,5,231.428571429,LADY FAULCONBRIDGE,1,115.714285714,HUBERT,1,77.1428571429,ROBERT,2,128.571428571,HUBERT,6,77.1428571429,KING JOHN,5,192.857142857, , , ,CONSTANCE,2,257.142857143,KING JOHN,7,192.857142857,CONSTANCE,2,257.142857143,Messenger,1,64.2857142857,Messenger,1,64.2857142857,Messenger,1,64.2857142857
KING PHILIP,7,154.285714286,CHATILLON,2,308.571428571,CHATILLON,1,308.571428571,CHATILLON,1,308.571428571,HUBERT,4,77.1428571429,CHATILLON,1,308.571428571,CONSTANCE,3,257.142857143, , , ,KING JOHN,4,192.857142857,KING PHILIP,5,154.285714286,CONSTANCE,2,257.142857143, , , ,AUSTRIA,1,167.142857143,HUBERT,3,77.1428571429,PRINCE HENRY,1,244.285714286,Messenger,1,64.2857142857, , , ,KING JOHN,8,192.857142857,LEWIS,2,347.142857143,KING JOHN,6,192.857142857,AUSTRIA,1,167.142857143,SALISBURY,1,334.285714286,CHATILLON,1,308.571428571,KING JOHN,5,192.857142857,CONSTANCE,4,257.142857143,CHATILLON,1,308.571428571,CONSTANCE,1,257.142857143,CONSTANCE,4,257.142857143,CONSTANCE,5,257.142857143,MELUN,1,231.428571429, , , ,CHATILLON,2,308.571428571,HUBERT,2,77.1428571429,ESSEX,1,141.428571429,KING PHILIP,10,154.285714286,KING JOHN,4,192.857142857,CONSTANCE,5,257.142857143,KING PHILIP,5,154.285714286,ROBERT,1,128.571428571,CONSTANCE,6,257.142857143,ARTHUR,1,321.428571429,LEWIS,2,347.142857143,HUBERT,3,77.1428571429, , , ,KING JOHN,9,192.857142857,HUBERT,5,77.1428571429,SALISBURY,2,334.285714286,KING JOHN,7,192.857142857,KING JOHN,4,192.857142857,SALISBURY,2,334.285714286
CHATILLON,4,308.571428571,AUSTRIA,1,167.142857143,AUSTRIA,1,167.142857143,ARTHUR,5,321.428571429,LEWIS,3,347.142857143,ARTHUR,4,321.428571429,SALISBURY,4,334.285714286, , , ,HUBERT,2,77.1428571429,AUSTRIA,1,167.142857143,SALISBURY,2,334.285714286, , , ,KING JOHN,4,192.857142857,PRINCE HENRY,3,244.285714286,CONSTANCE,3,257.142857143,KING JOHN,2,192.857142857, , , ,HUBERT,2,77.1428571429,CONSTANCE,4,257.142857143,HUBERT,5,77.1428571429,Messenger,1,64.2857142857, , , ,ARTHUR,1,321.428571429,HUBERT,9,77.1428571429, , , ,ARTHUR,2,321.428571429,SALISBURY,1,334.285714286,SALISBURY,3,334.285714286,SALISBURY,1,334.285714286,ESSEX,1,141.428571429, , , ,ARTHUR,3,321.428571429,LEWIS,3,347.142857143,KING PHILIP,1,154.285714286,CHATILLON,2,308.571428571,HUBERT,1,77.1428571429,SALISBURY,3,334.285714286,ARTHUR,2,321.428571429,ARTHUR,1,321.428571429,SALISBURY,2,334.285714286,KING PHILIP,15,154.285714286,CONSTANCE,8,257.142857143,PRINCE HENRY,1,244.285714286, , , , , , ,CONSTANCE,3,257.142857143, , , ,CONSTANCE,4,257.142857143,HUBERT,4,77.1428571429,KING JOHN,2,192.857142857
