heart,heartLines,heartColor,love,loveLines,loveColor,fair,fairLines,fairColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,mine,mineLines,mineColor,wit,witLines,witColor,old,oldLines,oldColor,speak,speakLines,speakColor,little,littleLines,littleColor,eye,eyeLines,eyeColor,prove,proveLines,proveColor,god,godLines,godColor,away,awayLines,awayColor,show,showLines,showColor,father,fatherLines,fatherColor,three,threeLines,threeColor,princess,princessLines,princessColor,day,dayLines,dayColor,hector,hectorLines,hectorColor,master,masterLines,masterColor,take,takeLines,takeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,lady,ladyLines,ladyColor,eyes,eyesLines,eyesColor,never,neverLines,neverColor,forsworn,forswornLines,forswornColor,men,menLines,menColor,hand,handLines,handColor,pompey,pompeyLines,pompeyColor,hear,hearLines,hearColor,letter,letterLines,letterColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,true,trueLines,trueColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,word,wordLines,wordColor,light,lightLines,lightColor,study,studyLines,studyColor,face,faceLines,faceColor,praise,praiseLines,praiseColor,time,timeLines,timeColor,tongue,tongueLines,tongueColor,l'envoy,l'envoyLines,l'envoyColor,biron,bironLines,bironColor
MOTH,6,56.8421052632,BIRON,30,113.684210526,DON ADRIANO DE ARMADO,1,151.578947368,PRINCESS,6,37.8947368421,PRINCESS,6,37.8947368421,BIRON,2,113.684210526,MOTH,2,56.8421052632,MOTH,3,56.8421052632,MOTH,1,56.8421052632,MOTH,1,56.8421052632,MOTH,4,56.8421052632,MOTH,2,56.8421052632,DUMAIN,1,227.368421053,BIRON,5,113.684210526,BIRON,8,113.684210526,MOTH,1,56.8421052632,PRINCESS,2,37.8947368421,DULL,1,303.157894737,PRINCESS,2,37.8947368421,PRINCESS,1,37.8947368421,MOTH,11,56.8421052632,BIRON,2,113.684210526,First Lord,1,0,BIRON,3,113.684210526,BIRON,11,113.684210526,BOYET,5,132.631578947,PRINCESS,2,37.8947368421,PRINCESS,1,37.8947368421,MOTH,1,56.8421052632,MOTH,1,56.8421052632,MOTH,1,56.8421052632,DON ADRIANO DE ARMADO,1,151.578947368,PRINCESS,6,37.8947368421,MOTH,1,56.8421052632,DON ADRIANO DE ARMADO,3,151.578947368,DON ADRIANO DE ARMADO,3,151.578947368,DON ADRIANO DE ARMADO,3,151.578947368,DUMAIN,1,227.368421053,PRINCESS,5,37.8947368421,MOTH,3,56.8421052632,DUMAIN,2,227.368421053,MOTH,2,56.8421052632,MOTH,1,56.8421052632,MOTH,2,56.8421052632,PRINCESS,4,37.8947368421,MOTH,2,56.8421052632,MOTH,2,56.8421052632,DON ADRIANO DE ARMADO,1,151.578947368,MOTH,5,56.8421052632,DUMAIN,2,227.368421053
PRINCESS,6,37.8947368421,MOTH,10,56.8421052632,Forester,2,94.7368421053,DON ADRIANO DE ARMADO,3,151.578947368,DUMAIN,1,227.368421053,DON ADRIANO DE ARMADO,2,151.578947368,BIRON,9,113.684210526,BIRON,5,113.684210526,PRINCESS,4,37.8947368421,BOYET,1,132.631578947,PRINCESS,1,37.8947368421,PRINCESS,2,37.8947368421,PRINCESS,5,37.8947368421,MOTH,2,56.8421052632,DON ADRIANO DE ARMADO,2,151.578947368,MERCADE,1,75.7894736842,MOTH,8,56.8421052632,DON ADRIANO DE ARMADO,2,151.578947368,BIRON,9,113.684210526,DUMAIN,3,227.368421053,COSTARD,5,246.315789474,MOTH,1,56.8421052632,DON ADRIANO DE ARMADO,1,151.578947368,MOTH,2,56.8421052632,DUMAIN,3,227.368421053,MOTH,4,56.8421052632,BOYET,2,132.631578947,DON ADRIANO DE ARMADO,1,151.578947368,PRINCESS,2,37.8947368421,PRINCESS,2,37.8947368421,PRINCESS,1,37.8947368421,MOTH,1,56.8421052632,DUMAIN,1,227.368421053,Forester,1,94.7368421053,MOTH,1,56.8421052632,BIRON,3,113.684210526,MOTH,1,56.8421052632,MOTH,4,56.8421052632,DUMAIN,1,227.368421053,PRINCESS,3,37.8947368421,ROSALINE,1,189.473684211,PRINCESS,4,37.8947368421,DUMAIN,1,227.368421053,PRINCESS,1,37.8947368421,DUMAIN,2,227.368421053,PRINCESS,9,37.8947368421,PRINCESS,1,37.8947368421,MOTH,2,56.8421052632,DON ADRIANO DE ARMADO,4,151.578947368,ROSALINE,3,189.473684211
DON ADRIANO DE ARMADO,3,151.578947368,PRINCESS,10,37.8947368421,BIRON,12,113.684210526,KATHARINE,1,170.526315789,DON ADRIANO DE ARMADO,23,151.578947368,ROSALINE,1,189.473684211,FERDINAND,2,265.263157895,ROSALINE,2,189.473684211,ROSALINE,2,189.473684211,DON ADRIANO DE ARMADO,2,151.578947368,DUMAIN,1,227.368421053,DON ADRIANO DE ARMADO,1,151.578947368,BOYET,1,132.631578947,PRINCESS,5,37.8947368421,ROSALINE,1,189.473684211,ROSALINE,1,189.473684211,BIRON,15,113.684210526,BOYET,2,132.631578947,DON ADRIANO DE ARMADO,3,151.578947368,DON ADRIANO DE ARMADO,3,151.578947368,SIR NATHANIEL,2,18.9473684211,PRINCESS,4,37.8947368421,MOTH,1,56.8421052632,PRINCESS,2,37.8947368421,KATHARINE,1,170.526315789,SIR NATHANIEL,1,18.9473684211,ROSALINE,3,189.473684211,KATHARINE,1,170.526315789,DON ADRIANO DE ARMADO,7,151.578947368,DUMAIN,1,227.368421053,BOYET,1,132.631578947,PRINCESS,3,37.8947368421,DON ADRIANO DE ARMADO,2,151.578947368,BIRON,5,113.684210526,PRINCESS,2,37.8947368421,DUMAIN,2,227.368421053,PRINCESS,6,37.8947368421,PRINCESS,4,37.8947368421,DON ADRIANO DE ARMADO,4,151.578947368,DUMAIN,1,227.368421053,HOLOFERNES,1,208.421052632,DUMAIN,1,227.368421053,KATHARINE,5,170.526315789,DON ADRIANO DE ARMADO,1,151.578947368,BOYET,1,132.631578947,DON ADRIANO DE ARMADO,2,151.578947368,ROSALINE,2,189.473684211,KATHARINE,1,170.526315789,COSTARD,5,246.315789474,HOLOFERNES,1,208.421052632
KATHARINE,2,170.526315789,BOYET,3,132.631578947,DUMAIN,3,227.368421053,ROSALINE,2,189.473684211,ROSALINE,2,189.473684211,COSTARD,3,246.315789474,DON ADRIANO DE ARMADO,5,151.578947368,BOYET,1,132.631578947,HOLOFERNES,2,208.421052632,ROSALINE,1,189.473684211,ROSALINE,2,189.473684211,ROSALINE,1,189.473684211,DON ADRIANO DE ARMADO,1,151.578947368,DON ADRIANO DE ARMADO,2,151.578947368,COSTARD,1,246.315789474,COSTARD,1,246.315789474,DON ADRIANO DE ARMADO,5,151.578947368,HOLOFERNES,3,208.421052632,KATHARINE,1,170.526315789,BOYET,1,132.631578947,JAQUENETTA,2,322.105263158,DON ADRIANO DE ARMADO,5,151.578947368,PRINCESS,20,37.8947368421,DON ADRIANO DE ARMADO,5,151.578947368,ROSALINE,1,189.473684211,BIRON,16,113.684210526,DULL,1,303.157894737,DUMAIN,1,227.368421053,COSTARD,1,246.315789474,ROSALINE,1,189.473684211,COSTARD,6,246.315789474,KATHARINE,1,170.526315789,ROSALINE,2,189.473684211,BOYET,1,132.631578947,BOYET,2,132.631578947,ROSALINE,3,189.473684211,KATHARINE,1,170.526315789,BOYET,1,132.631578947,MERCADE,1,75.7894736842,DON ADRIANO DE ARMADO,4,151.578947368,BOYET,1,132.631578947,DON ADRIANO DE ARMADO,5,151.578947368,ROSALINE,3,189.473684211,FERDINAND,2,265.263157895,ROSALINE,5,189.473684211,ROSALINE,2,189.473684211,COSTARD,1,246.315789474,MERCADE,1,75.7894736842, , , ,JAQUENETTA,1,322.105263158
ROSALINE,1,189.473684211,DON ADRIANO DE ARMADO,18,151.578947368,BOYET,4,132.631578947,BOYET,3,132.631578947,HOLOFERNES,2,208.421052632,BOYET,1,132.631578947,ROSALINE,6,189.473684211,HOLOFERNES,3,208.421052632,BOYET,4,132.631578947,HOLOFERNES,1,208.421052632,BOYET,11,132.631578947,KATHARINE,1,170.526315789,MERCADE,1,75.7894736842,ROSALINE,1,189.473684211,HOLOFERNES,2,208.421052632,BOYET,1,132.631578947,KATHARINE,1,170.526315789,FERDINAND,5,265.263157895,ROSALINE,2,189.473684211,COSTARD,2,246.315789474,HOLOFERNES,2,208.421052632,ROSALINE,3,189.473684211,BOYET,2,132.631578947,BOYET,1,132.631578947,HOLOFERNES,1,208.421052632, , , ,DUMAIN,1,227.368421053,SIR NATHANIEL,2,18.9473684211,FERDINAND,1,265.263157895,HOLOFERNES,2,208.421052632,DUMAIN,3,227.368421053,ROSALINE,3,189.473684211,HOLOFERNES,3,208.421052632,DON ADRIANO DE ARMADO,1,151.578947368,ROSALINE,2,189.473684211,BOYET,4,132.631578947,ROSALINE,1,189.473684211,DON ADRIANO DE ARMADO,5,151.578947368,ROSALINE,3,189.473684211,ROSALINE,2,189.473684211,COSTARD,2,246.315789474,KATHARINE,1,170.526315789,BOYET,2,132.631578947,SIR NATHANIEL,1,18.9473684211,JAQUENETTA,1,322.105263158,BOYET,2,132.631578947,HOLOFERNES,1,208.421052632,ROSALINE,4,189.473684211, , , ,COSTARD,2,246.315789474
BOYET,6,132.631578947,ROSALINE,1,189.473684211,KATHARINE,3,170.526315789,COSTARD,1,246.315789474,BOYET,5,132.631578947,HOLOFERNES,1,208.421052632,BOYET,1,132.631578947,SIR NATHANIEL,1,18.9473684211,COSTARD,4,246.315789474,KATHARINE,1,170.526315789,HOLOFERNES,1,208.421052632,HOLOFERNES,1,208.421052632,HOLOFERNES,1,208.421052632,COSTARD,1,246.315789474,FERDINAND,2,265.263157895,HOLOFERNES,2,208.421052632,HOLOFERNES,1,208.421052632,BIRON,3,113.684210526,HOLOFERNES,2,208.421052632,FERDINAND,3,265.263157895, , , ,KATHARINE,1,170.526315789,JAQUENETTA,2,322.105263158,HOLOFERNES,1,208.421052632,BOYET,3,132.631578947, , , ,COSTARD,1,246.315789474,BIRON,10,113.684210526,SIR NATHANIEL,1,18.9473684211,BOYET,2,132.631578947,HOLOFERNES,1,208.421052632,BOYET,3,132.631578947,BOYET,1,132.631578947,ROSALINE,2,189.473684211,DUMAIN,2,227.368421053,COSTARD,6,246.315789474,DULL,1,303.157894737,ROSALINE,5,189.473684211,KATHARINE,1,170.526315789,COSTARD,2,246.315789474,FERDINAND,2,265.263157895,ROSALINE,6,189.473684211,FERDINAND,2,265.263157895,BIRON,20,113.684210526,HOLOFERNES,1,208.421052632,SIR NATHANIEL,4,18.9473684211,FERDINAND,6,265.263157895,BOYET,3,132.631578947, , , ,FERDINAND,7,265.263157895
FERDINAND,4,265.263157895,DUMAIN,5,227.368421053,ROSALINE,4,189.473684211,FERDINAND,3,265.263157895,COSTARD,5,246.315789474,FERDINAND,6,265.263157895,HOLOFERNES,1,208.421052632,DULL,2,303.157894737,BIRON,5,113.684210526,COSTARD,4,246.315789474,FERDINAND,2,265.263157895,FERDINAND,2,265.263157895,JAQUENETTA,3,322.105263158,HOLOFERNES,2,208.421052632,PRINCESS,2,37.8947368421,FERDINAND,4,265.263157895,BOYET,1,132.631578947, , , ,DUMAIN,2,227.368421053,BIRON,2,113.684210526, , , ,COSTARD,1,246.315789474,KATHARINE,3,170.526315789,FERDINAND,2,265.263157895,COSTARD,6,246.315789474, , , ,FERDINAND,5,265.263157895,LONGAVILLE,1,341.052631579,BIRON,8,113.684210526,COSTARD,1,246.315789474,FERDINAND,1,265.263157895,HOLOFERNES,2,208.421052632,COSTARD,1,246.315789474,DUMAIN,1,227.368421053,COSTARD,1,246.315789474,FERDINAND,2,265.263157895,BOYET,4,132.631578947,JAQUENETTA,1,322.105263158,BOYET,7,132.631578947,KATHARINE,1,170.526315789,SIR NATHANIEL,1,18.9473684211,HOLOFERNES,2,208.421052632,BIRON,10,113.684210526,LONGAVILLE,1,341.052631579,FERDINAND,2,265.263157895,BIRON,3,113.684210526,BIRON,7,113.684210526,HOLOFERNES,1,208.421052632, , , ,LONGAVILLE,1,341.052631579
BIRON,5,113.684210526,HOLOFERNES,1,208.421052632,JAQUENETTA,1,322.105263158,BIRON,11,113.684210526,FERDINAND,10,265.263157895,MARIA,1,284.210526316,KATHARINE,2,170.526315789,LONGAVILLE,1,341.052631579, , , ,FERDINAND,2,265.263157895,SIR NATHANIEL,2,18.9473684211,MARIA,1,284.210526316,COSTARD,4,246.315789474,FERDINAND,5,265.263157895, , , ,SIR NATHANIEL,2,18.9473684211,COSTARD,4,246.315789474, , , ,COSTARD,2,246.315789474,LONGAVILLE,2,341.052631579, , , ,FERDINAND,1,265.263157895,ROSALINE,2,189.473684211,DULL,2,303.157894737,FERDINAND,2,265.263157895, , , ,SIR NATHANIEL,2,18.9473684211, , , , , , ,FERDINAND,4,265.263157895,BIRON,5,113.684210526,FERDINAND,5,265.263157895,FERDINAND,2,265.263157895,COSTARD,2,246.315789474,FERDINAND,6,265.263157895,DULL,1,303.157894737,HOLOFERNES,1,208.421052632,COSTARD,11,246.315789474,HOLOFERNES,2,208.421052632,HOLOFERNES,3,208.421052632,BIRON,10,113.684210526,BOYET,2,132.631578947,LONGAVILLE,1,341.052631579, , , ,BIRON,11,113.684210526, , , ,LONGAVILLE,2,341.052631579,FERDINAND,3,265.263157895, , , ,PRINCESS,5,37.8947368421
LONGAVILLE,1,341.052631579,FERDINAND,12,265.263157895,FERDINAND,10,265.263157895,JAQUENETTA,1,322.105263158,SIR NATHANIEL,1,18.9473684211,PRINCESS,2,37.8947368421,COSTARD,4,246.315789474, , , , , , ,BIRON,3,113.684210526,BIRON,31,113.684210526,BIRON,8,113.684210526,FERDINAND,2,265.263157895,DULL,1,303.157894737, , , ,PRINCESS,3,37.8947368421,FERDINAND,2,265.263157895, , , ,FERDINAND,2,265.263157895, , , , , , ,DULL,1,303.157894737,DUMAIN,1,227.368421053, , , ,MARIA,1,284.210526316, , , ,BIRON,7,113.684210526, , , , , , ,BIRON,6,113.684210526, , , ,BIRON,4,113.684210526,DULL,1,303.157894737,FERDINAND,1,265.263157895,SIR NATHANIEL,2,18.9473684211, , , ,FERDINAND,2,265.263157895,FERDINAND,5,265.263157895,FERDINAND,1,265.263157895,FERDINAND,1,265.263157895, , , ,COSTARD,6,246.315789474, , , , , , ,LONGAVILLE,2,341.052631579, , , , , , ,SIR NATHANIEL,2,18.9473684211, , , ,MARIA,1,284.210526316
 , , ,SIR NATHANIEL,3,18.9473684211,LONGAVILLE,2,341.052631579,LONGAVILLE,2,341.052631579,BIRON,9,113.684210526,LONGAVILLE,1,341.052631579,DULL,1,303.157894737, , , , , , , , , ,LONGAVILLE,1,341.052631579,LONGAVILLE,1,341.052631579,SIR NATHANIEL,2,18.9473684211, , , , , , , , , ,DULL,1,303.157894737, , , ,SIR NATHANIEL,1,18.9473684211, , , , , , ,MARIA,1,284.210526316,COSTARD,7,246.315789474, , , ,PRINCESS,6,37.8947368421, , , ,MARIA,1,284.210526316, , , , , , ,MARIA,2,284.210526316, , , ,LONGAVILLE,2,341.052631579,JAQUENETTA,1,322.105263158,PRINCESS,2,37.8947368421,BIRON,4,113.684210526, , , ,BIRON,7,113.684210526,BIRON,7,113.684210526,SIR NATHANIEL,1,18.9473684211,BIRON,4,113.684210526, , , ,FERDINAND,3,265.263157895, , , , , , , , , , , , , , , ,BIRON,5,113.684210526, , , , , , 
