duke,dukeLines,dukeColor,love,loveLines,loveColor,give,giveLines,giveColor,gods,godsLines,godsColor,mine,mineLines,mineColor,son,sonLines,sonColor,tom,tomLines,tomColor,dear,dearLines,dearColor,old,oldLines,oldColor,eyes,eyesLines,eyesColor,speak,speakLines,speakColor,death,deathLines,deathColor,fool,foolLines,foolColor,pray,prayLines,prayColor,away,awayLines,awayColor,night,nightLines,nightColor,father,fatherLines,fatherColor,two,twoLines,twoColor,better,betterLines,betterColor,call,callLines,callColor,edmund,edmundLines,edmundColor,master,masterLines,masterColor,lord,lordLines,lordColor,hold,holdLines,holdColor,tell,tellLines,tellColor,daughters,daughtersLines,daughtersColor,take,takeLines,takeColor,poor,poorLines,poorColor,life,lifeLines,lifeColor,nature,natureLines,natureColor,never,neverLines,neverColor,sister,sisterLines,sisterColor,hear,hearLines,hearColor,letter,letterLines,letterColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,fellow,fellowLines,fellowColor,lady,ladyLines,ladyColor,grace,graceLines,graceColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,daughter,daughterLines,daughterColor,brother,brotherLines,brotherColor,keep,keepLines,keepColor,heart,heartLines,heartColor,place,placeLines,placeColor,stand,standLines,standColor,time,timeLines,timeColor,gloucester,gloucesterLines,gloucesterColor
KING LEAR,4,193.846153846,Fool,3,83.0769230769,Fool,7,83.0769230769,ALBANY,2,96.9230769231,Fool,2,83.0769230769,Fool,4,83.0769230769,Fool,1,83.0769230769,KING LEAR,5,193.846153846,Fool,11,83.0769230769,Fool,2,83.0769230769,Fool,5,83.0769230769,KING LEAR,7,193.846153846,Fool,21,83.0769230769,ALBANY,1,96.9230769231,Fool,6,83.0769230769,Fool,5,83.0769230769,Fool,3,83.0769230769,Fool,5,83.0769230769,Fool,3,83.0769230769,ALBANY,1,96.9230769231,ALBANY,2,96.9230769231,Fool,1,83.0769230769,Fool,2,83.0769230769,Fool,3,83.0769230769,Fool,7,83.0769230769,Fool,8,83.0769230769,Fool,3,83.0769230769,Fool,3,83.0769230769,ALBANY,2,96.9230769231,ALBANY,1,96.9230769231,Fool,1,83.0769230769,ALBANY,2,96.9230769231,Fool,2,83.0769230769,ALBANY,1,96.9230769231,Fool,5,83.0769230769,KING LEAR,6,193.846153846,Fool,2,83.0769230769,Fool,1,83.0769230769,Fool,1,83.0769230769,Fool,16,83.0769230769,Fool,5,83.0769230769,Fool,4,83.0769230769,Fool,10,83.0769230769,Fool,1,83.0769230769,Fool,5,83.0769230769,Fool,2,83.0769230769,Fool,1,83.0769230769,Fool,3,83.0769230769,Fool,4,83.0769230769,ALBANY,4,96.9230769231
KING OF FRANCE,1,110.769230769,ALBANY,3,96.9230769231,KING LEAR,13,193.846153846,KING LEAR,4,193.846153846,ALBANY,2,96.9230769231,ALBANY,4,96.9230769231,KING LEAR,2,193.846153846,KING OF FRANCE,1,110.769230769,ALBANY,7,96.9230769231,ALBANY,3,96.9230769231,ALBANY,5,96.9230769231,Third Servant,1,180.0,KING LEAR,15,193.846153846,KING LEAR,6,193.846153846,KING LEAR,4,193.846153846,KING LEAR,8,193.846153846,ALBANY,3,96.9230769231,KING LEAR,6,193.846153846,ALBANY,1,96.9230769231,KING LEAR,13,193.846153846,Herald,1,235.384615385,KING LEAR,1,193.846153846,ALBANY,3,96.9230769231,ALBANY,3,96.9230769231,ALBANY,2,96.9230769231,ALBANY,1,96.9230769231,ALBANY,2,96.9230769231,ALBANY,1,96.9230769231,KING LEAR,9,193.846153846,KING LEAR,16,193.846153846,ALBANY,2,96.9230769231,KING LEAR,3,193.846153846,ALBANY,5,96.9230769231,KING LEAR,2,193.846153846,ALBANY,1,96.9230769231,Gentleman,1,0,ALBANY,1,96.9230769231,ALBANY,2,96.9230769231,KING LEAR,4,193.846153846,ALBANY,9,96.9230769231,ALBANY,4,96.9230769231,ALBANY,3,96.9230769231,ALBANY,2,96.9230769231,ALBANY,2,96.9230769231,KING LEAR,6,193.846153846,ALBANY,2,96.9230769231,KING LEAR,7,193.846153846,KING LEAR,4,193.846153846,ALBANY,3,96.9230769231,KING LEAR,5,193.846153846
Knight,1,207.692307692,KING LEAR,15,193.846153846,Gentleman,1,0,KING OF FRANCE,1,110.769230769,KING LEAR,6,193.846153846,KING LEAR,16,193.846153846,Old Man,1,27.6923076923,Gentleman,1,0,KING LEAR,25,193.846153846,KING LEAR,14,193.846153846,KING LEAR,12,193.846153846,CORNWALL,1,55.3846153846,Knight,1,207.692307692,EDGAR,4,221.538461538,KING OF FRANCE,1,110.769230769,Gentleman,3,0,KING LEAR,10,193.846153846,CORDELIA,1,124.615384615,KING LEAR,6,193.846153846,CORDELIA,1,124.615384615,CORNWALL,4,55.3846153846,EDGAR,4,221.538461538,KING LEAR,4,193.846153846,KING LEAR,6,193.846153846,KING LEAR,12,193.846153846,KING LEAR,13,193.846153846,KING LEAR,15,193.846153846,KING LEAR,11,193.846153846,CORDELIA,3,124.615384615,KING OF FRANCE,1,110.769230769,KING LEAR,5,193.846153846,KING OF FRANCE,1,110.769230769,KING LEAR,24,193.846153846,CORNWALL,2,55.3846153846,KING LEAR,8,193.846153846,EDGAR,2,221.538461538,KING LEAR,8,193.846153846,KING LEAR,4,193.846153846,CORDELIA,2,124.615384615,KING LEAR,27,193.846153846,KING LEAR,20,193.846153846,KING LEAR,7,193.846153846,KING LEAR,29,193.846153846,CORNWALL,1,55.3846153846,Gentleman,1,0,KING LEAR,17,193.846153846,CORDELIA,1,124.615384615,KING OF FRANCE,1,110.769230769,KING LEAR,5,193.846153846,CORNWALL,4,55.3846153846
Gentleman,1,0,KING OF FRANCE,3,110.769230769,BURGUNDY,1,138.461538462,CORDELIA,1,124.615384615,CORDELIA,1,124.615384615,KING OF FRANCE,1,110.769230769,EDGAR,19,221.538461538,CORDELIA,3,124.615384615,First Servant,2,290.769230769,Gentleman,2,0,Gentleman,2,0,EDGAR,4,221.538461538,Gentleman,1,0,GONERIL,2,249.230769231,Knight,1,207.692307692,CORDELIA,1,124.615384615,Gentleman,2,0,EDGAR,5,221.538461538,First Servant,1,290.769230769,CORNWALL,2,55.3846153846,EDGAR,3,221.538461538,GONERIL,2,249.230769231,First Servant,2,290.769230769,First Servant,2,290.769230769,EDGAR,2,221.538461538,CORDELIA,1,124.615384615,First Servant,1,290.769230769,KING OF FRANCE,1,110.769230769,CORNWALL,2,55.3846153846,Doctor,1,13.8461538462,First Servant,1,290.769230769,Gentleman,3,0,Gentleman,4,0,EDGAR,2,221.538461538,Gentleman,1,0,EDMUND,3,166.153846154,Old Man,1,27.6923076923,KING OF FRANCE,1,110.769230769,CORNWALL,2,55.3846153846,Old Man,1,27.6923076923,KING OF FRANCE,1,110.769230769,Doctor,1,13.8461538462,KING OF FRANCE,1,110.769230769,EDGAR,4,221.538461538,CORNWALL,2,55.3846153846,Gentleman,3,0,EDGAR,6,221.538461538,Gentleman,1,0,KING OF FRANCE,1,110.769230769,Herald,1,235.384615385
CORNWALL,1,55.3846153846,Gentleman,1,0,EDGAR,10,221.538461538,EDGAR,3,221.538461538,CORNWALL,1,55.3846153846,Gentleman,3,0,EDMUND,2,166.153846154,CORNWALL,3,55.3846153846,KING OF FRANCE,2,110.769230769,CORDELIA,1,124.615384615,CORDELIA,3,124.615384615,EDMUND,3,166.153846154,EDGAR,1,221.538461538,EDMUND,4,166.153846154,Gentleman,1,0,EDGAR,5,221.538461538,Old Man,1,27.6923076923,KENT,3,318.461538462,KING OF FRANCE,1,110.769230769,EDMUND,1,166.153846154,GONERIL,1,249.230769231,Messenger,1,69.2307692308,Old Man,2,27.6923076923,Gentleman,1,0,GONERIL,1,249.230769231,KENT,3,318.461538462,KING OF FRANCE,1,110.769230769,Gentleman,1,0,EDGAR,5,221.538461538,Gentleman,1,0,KING OF FRANCE,1,110.769230769,CORDELIA,5,124.615384615,CORDELIA,2,124.615384615,GONERIL,1,249.230769231,CORDELIA,2,124.615384615,KENT,1,318.461538462,CORNWALL,5,55.3846153846,Knight,1,207.692307692,GONERIL,3,249.230769231,KING OF FRANCE,2,110.769230769,Doctor,1,13.8461538462,Knight,1,207.692307692,Knight,2,207.692307692,GONERIL,1,249.230769231,GONERIL,2,249.230769231,CORDELIA,1,124.615384615,EDMUND,3,166.153846154,CORDELIA,2,124.615384615,Doctor,1,13.8461538462,GONERIL,4,249.230769231
EDGAR,1,221.538461538,CORDELIA,10,124.615384615,GONERIL,3,249.230769231,EDMUND,2,166.153846154,EDGAR,3,221.538461538,EDGAR,7,221.538461538,REGAN,1,276.923076923,LEAR,1,304.615384615,Third Servant,1,180.0,EDGAR,5,221.538461538,CORNWALL,4,55.3846153846,OSWALD,1,263.076923077,GONERIL,9,249.230769231,KENT,3,318.461538462,CORNWALL,1,55.3846153846,GONERIL,8,249.230769231,CORDELIA,9,124.615384615,REGAN,1,276.923076923,Gentleman,1,0,GONERIL,2,249.230769231,EDMUND,3,166.153846154,EDMUND,1,166.153846154,KING OF FRANCE,1,110.769230769,CORDELIA,1,124.615384615,EDMUND,2,166.153846154,GLOUCESTER,2,346.153846154,Knight,1,207.692307692,Old Man,1,27.6923076923,GONERIL,3,249.230769231,CORDELIA,1,124.615384615,CORDELIA,1,124.615384615,CORNWALL,3,55.3846153846,EDGAR,23,221.538461538,Messenger,1,69.2307692308,EDGAR,4,221.538461538,REGAN,1,276.923076923,GONERIL,2,249.230769231,Gentleman,1,0,EDGAR,1,221.538461538,Knight,1,207.692307692,Gentleman,3,0,CORDELIA,2,124.615384615,Gentleman,2,0,EDMUND,10,166.153846154,EDGAR,3,221.538461538,EDGAR,14,221.538461538,KENT,2,318.461538462,EDGAR,5,221.538461538,CORDELIA,1,124.615384615,Messenger,1,69.2307692308
CURAN,2,152.307692308,EDGAR,4,221.538461538,CURAN,1,152.307692308,KENT,3,318.461538462,GONERIL,3,249.230769231,GONERIL,1,249.230769231, , , ,GONERIL,2,249.230769231,Gentleman,1,0,EDMUND,1,166.153846154,LEAR,1,304.615384615,REGAN,1,276.923076923,EDMUND,2,166.153846154,REGAN,6,276.923076923,EDGAR,3,221.538461538,CURAN,1,152.307692308,BURGUNDY,1,138.461538462,GLOUCESTER,1,346.153846154,CORDELIA,2,124.615384615,EDGAR,2,221.538461538,OSWALD,1,263.076923077,KENT,11,318.461538462,Knight,3,207.692307692,EDGAR,2,221.538461538,KENT,4,318.461538462, , , ,Gentleman,1,0,CORDELIA,2,124.615384615,EDMUND,3,166.153846154,CORNWALL,2,55.3846153846,CORNWALL,2,55.3846153846,GONERIL,7,249.230769231,GONERIL,3,249.230769231,EDMUND,4,166.153846154,EDMUND,3,166.153846154,GLOUCESTER,5,346.153846154,EDGAR,1,221.538461538,CORNWALL,1,55.3846153846,KENT,2,318.461538462,Doctor,1,13.8461538462,CORDELIA,3,124.615384615,Messenger,1,69.2307692308,CORDELIA,1,124.615384615,REGAN,3,276.923076923,KENT,2,318.461538462,GONERIL,1,249.230769231,REGAN,3,276.923076923,GONERIL,1,249.230769231,EDGAR,4,221.538461538,EDGAR,1,221.538461538
Messenger,1,69.2307692308,GONERIL,5,249.230769231,EDMUND,6,166.153846154,REGAN,2,276.923076923,EDMUND,4,166.153846154,EDMUND,9,166.153846154, , , ,EDMUND,1,166.153846154,CORDELIA,2,124.615384615,GONERIL,1,249.230769231,GONERIL,4,249.230769231,GLOUCESTER,4,346.153846154,KENT,7,318.461538462,GLOUCESTER,2,346.153846154,GONERIL,4,249.230769231,EDMUND,4,166.153846154,EDGAR,11,221.538461538, , , ,EDGAR,2,221.538461538,KENT,3,318.461538462,REGAN,5,276.923076923,OSWALD,1,263.076923077,Gentleman,1,0,EDMUND,1,166.153846154,OSWALD,1,263.076923077, , , ,CORDELIA,2,124.615384615,EDGAR,19,221.538461538,KENT,3,318.461538462,EDMUND,5,166.153846154,Second Servant,1,41.5384615385,Messenger,1,69.2307692308,CURAN,2,152.307692308,KENT,7,318.461538462,KENT,3,318.461538462, , , ,KENT,5,318.461538462,LEAR,1,304.615384615,REGAN,1,276.923076923,Gentleman,3,0,CORNWALL,5,55.3846153846,EDMUND,3,166.153846154,EDGAR,1,221.538461538,GLOUCESTER,3,346.153846154,GLOUCESTER,2,346.153846154,EDMUND,3,166.153846154,GLOUCESTER,2,346.153846154,EDMUND,6,166.153846154,GONERIL,1,249.230769231,KENT,1,318.461538462
EDMUND,5,166.153846154,EDMUND,4,166.153846154,KENT,5,318.461538462,GLOUCESTER,6,346.153846154,KENT,2,318.461538462,KENT,11,318.461538462, , , ,KENT,6,318.461538462,CORNWALL,4,55.3846153846,CORNWALL,1,55.3846153846,EDMUND,4,166.153846154, , , , , , , , , ,EDMUND,3,166.153846154,KENT,6,318.461538462,GONERIL,4,249.230769231, , , ,GONERIL,1,249.230769231,OSWALD,1,263.076923077,Captain,1,332.307692308,REGAN,2,276.923076923,CORDELIA,7,124.615384615,GONERIL,2,249.230769231,REGAN,1,276.923076923, , , ,BURGUNDY,1,138.461538462,GONERIL,2,249.230769231,OSWALD,1,263.076923077,KENT,5,318.461538462,EDGAR,1,221.538461538,EDMUND,2,166.153846154,EDMUND,8,166.153846154,OSWALD,2,263.076923077,OSWALD,1,263.076923077, , , ,OSWALD,1,263.076923077,Messenger,1,69.2307692308,GLOUCESTER,7,346.153846154,Second Servant,1,41.5384615385,EDGAR,7,221.538461538,KENT,3,318.461538462,LEAR,1,304.615384615, , , , , , ,KENT,5,318.461538462, , , ,KENT,5,318.461538462,CURAN,1,152.307692308,OSWALD,3,263.076923077
KENT,2,318.461538462,KENT,11,318.461538462,OSWALD,1,263.076923077, , , ,GLOUCESTER,2,346.153846154,OSWALD,1,263.076923077, , , ,EDGAR,1,221.538461538,Second Servant,1,41.5384615385,KENT,1,318.461538462,KENT,1,318.461538462, , , , , , , , , ,KENT,3,318.461538462,OSWALD,1,263.076923077,CURAN,1,152.307692308, , , ,EDMUND,2,166.153846154,REGAN,4,276.923076923,GLOUCESTER,10,346.153846154,GLOUCESTER,5,346.153846154,CORNWALL,3,55.3846153846,CORNWALL,2,55.3846153846,CORNWALL,1,55.3846153846, , , ,EDGAR,5,221.538461538,KENT,2,318.461538462,REGAN,2,276.923076923,REGAN,1,276.923076923,GONERIL,1,249.230769231,OSWALD,1,263.076923077,KENT,7,318.461538462,REGAN,3,276.923076923,GLOUCESTER,4,346.153846154, , , ,GLOUCESTER,7,346.153846154,OSWALD,3,263.076923077, , , ,CORNWALL,2,55.3846153846,GONERIL,4,249.230769231,REGAN,2,276.923076923,KENT,7,318.461538462, , , , , , ,REGAN,2,276.923076923, , , ,REGAN,4,276.923076923,EDMUND,5,166.153846154,REGAN,2,276.923076923
