heart,heartLines,heartColor,love,loveLines,loveColor,fair,fairLines,fairColor,give,giveLines,giveColor,wall,wallLines,wallColor,sweet,sweetLines,sweetColor,mine,mineLines,mineColor,dead,deadLines,deadColor,two,twoLines,twoColor,helena,helenaLines,helenaColor,lysander,lysanderLines,lysanderColor,sleep,sleepLines,sleepColor,dear,dearLines,dearColor,follow,followLines,followColor,fear,fearLines,fearColor,speak,speakLines,speakColor,thisby,thisbyLines,thisbyColor,athenian,athenianLines,athenianColor,lovers,loversLines,loversColor,eye,eyeLines,eyeColor,pray,prayLines,prayColor,away,awayLines,awayColor,athens,athensLines,athensColor,moon,moonLines,moonColor,wood,woodLines,woodColor,take,takeLines,takeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,pyramus,pyramusLines,pyramusColor,eyes,eyesLines,eyesColor,never,neverLines,neverColor,gone,goneLines,goneColor,demetrius,demetriusLines,demetriusColor,stay,stayLines,stayColor,part,partLines,partColor,hear,hearLines,hearColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,play,playLines,playColor,fairy,fairyLines,fairyColor,gentle,gentleLines,gentleColor,life,lifeLines,lifeColor,lion,lionLines,lionColor,leave,leaveLines,leaveColor,night,nightLines,nightColor,meet,meetLines,meetColor,tongue,tongueLines,tongueColor,dream,dreamLines,dreamColor,hermia,hermiaLines,hermiaColor
Pyramus,1,96.0,THESEUS,8,168.0,THESEUS,6,168.0,THESEUS,3,168.0,Pyramus,5,96.0,Pyramus,3,96.0,Pyramus,2,96.0,Pyramus,1,96.0,THESEUS,3,168.0,DEMETRIUS,3,288.0,HERMIA,18,120.0,THESEUS,1,168.0,Pyramus,1,96.0,PUCK,3,24.0,Pyramus,1,96.0,THESEUS,4,168.0,Pyramus,5,96.0,PUCK,6,24.0,THESEUS,4,168.0,THESEUS,2,168.0,THESEUS,2,168.0,THESEUS,3,168.0,THESEUS,2,168.0,Pyramus,3,96.0,BOTTOM,1,108.0,Pyramus,2,96.0,DEMETRIUS,7,288.0,PUCK,1,24.0,Pyramus,1,96.0,Pyramus,1,96.0,THESEUS,4,168.0,DEMETRIUS,2,288.0,THESEUS,5,168.0,Pyramus,1,96.0,BOTTOM,3,108.0,Pyramus,1,96.0,Pyramus,1,96.0,Pyramus,1,96.0,THESEUS,5,168.0,THESEUS,6,168.0,OBERON,7,348.0,THESEUS,4,168.0,THESEUS,3,168.0,Pyramus,2,96.0,THESEUS,2,168.0,Pyramus,3,96.0,Pyramus,1,96.0,Pyramus,1,96.0,PUCK,2,24.0,THESEUS,4,168.0
THESEUS,1,168.0,PUCK,3,24.0,BOTTOM,2,108.0,PUCK,1,24.0,THESEUS,1,168.0,THESEUS,3,168.0,BOTTOM,1,108.0,THESEUS,2,168.0,BOTTOM,3,108.0,HERMIA,2,120.0,DEMETRIUS,5,288.0,DEMETRIUS,2,288.0,THESEUS,1,168.0,HERMIA,1,120.0,THESEUS,4,168.0,DEMETRIUS,4,288.0,BOTTOM,8,108.0,THESEUS,2,168.0,Wall,2,276.0,DEMETRIUS,1,288.0,BOTTOM,3,108.0,BOTTOM,2,108.0,FLUTE,1,132.0,THESEUS,5,168.0,HERMIA,1,120.0,THESEUS,3,168.0,HERMIA,2,120.0,BOTTOM,6,108.0,THESEUS,3,168.0,THESEUS,1,168.0,FLUTE,2,132.0,HERMIA,1,120.0,HERMIA,3,120.0,THESEUS,1,168.0,Wall,1,276.0,THESEUS,5,168.0,THESEUS,1,168.0,THESEUS,5,168.0,DEMETRIUS,2,288.0,PUCK,2,24.0,Fairy,2,252.0,HERMIA,1,120.0,BOTTOM,2,108.0,THESEUS,4,168.0,BOTTOM,2,108.0,THESEUS,3,168.0,DEMETRIUS,1,288.0,THESEUS,2,168.0,BOTTOM,5,108.0,HERMIA,3,120.0
BOTTOM,3,108.0,BOTTOM,1,108.0,HERMIA,2,120.0,BOTTOM,2,108.0,BOTTOM,1,108.0,DEMETRIUS,1,288.0,HERMIA,3,120.0,Thisbe,2,300.0,PUCK,2,24.0,PUCK,1,24.0,EGEUS,3,36.0,BOTTOM,1,108.0,BOTTOM,4,108.0,DEMETRIUS,6,288.0,BOTTOM,2,108.0,BOTTOM,2,108.0,Wall,1,276.0,OBERON,5,348.0,HERMIA,1,120.0,BOTTOM,3,108.0,HERMIA,3,120.0,Wall,1,276.0,HERMIA,2,120.0,PUCK,1,24.0,DEMETRIUS,4,288.0,DEMETRIUS,3,288.0,PUCK,3,24.0,Moonshine,1,180.0,FLUTE,4,132.0,BOTTOM,2,108.0,BOTTOM,2,108.0,PUCK,3,24.0,EGEUS,5,36.0,BOTTOM,1,108.0,HERMIA,1,120.0,DEMETRIUS,1,288.0,PUCK,1,24.0,DEMETRIUS,1,288.0,BOTTOM,12,108.0,BOTTOM,9,108.0,PUCK,5,24.0,PUCK,1,24.0,HERMIA,1,120.0,PUCK,1,24.0,HERMIA,1,120.0,DEMETRIUS,1,288.0,BOTTOM,2,108.0,BOTTOM,1,108.0,HERMIA,2,120.0,DEMETRIUS,4,288.0
HERMIA,2,120.0,HERMIA,14,120.0,DEMETRIUS,4,288.0,HERMIA,3,120.0,Wall,5,276.0,BOTTOM,4,108.0,DEMETRIUS,1,288.0,HERMIA,2,120.0,HELENA,6,48.0,EGEUS,1,36.0,HELENA,5,48.0,HERMIA,1,120.0,HERMIA,1,120.0,EGEUS,1,36.0,HERMIA,2,120.0,HERMIA,4,120.0,FLUTE,1,132.0,LYSANDER,2,216.0,Thisbe,1,300.0,HERMIA,9,120.0,TITANIA,1,192.0,HERMIA,4,120.0,PUCK,2,24.0,BOTTOM,1,108.0,TITANIA,1,192.0,BOTTOM,1,108.0,TITANIA,1,192.0,HERMIA,2,120.0,BOTTOM,9,108.0,HERMIA,6,120.0,HERMIA,4,120.0,Thisbe,1,300.0,HELENA,12,48.0,DEMETRIUS,3,288.0,DEMETRIUS,2,288.0,BOTTOM,4,108.0,BOTTOM,3,108.0,HERMIA,2,120.0,Moonshine,2,180.0,FLUTE,2,132.0,THESEUS,2,168.0,Lion,1,312.0,FLUTE,1,132.0,BOTTOM,7,108.0,DEMETRIUS,2,288.0,HERMIA,4,120.0,HERMIA,2,120.0,HERMIA,1,120.0,DEMETRIUS,2,288.0,EGEUS,1,36.0
DEMETRIUS,3,288.0,DEMETRIUS,11,288.0,Thisbe,1,300.0,DEMETRIUS,1,288.0,DEMETRIUS,2,288.0,HERMIA,6,120.0,TITANIA,3,192.0,DEMETRIUS,1,288.0,LYSANDER,3,216.0,LYSANDER,13,216.0,LYSANDER,2,216.0,PUCK,2,24.0,DEMETRIUS,3,288.0,HELENA,5,48.0,PUCK,5,24.0,PUCK,1,24.0,Thisbe,1,300.0,BOTTOM,1,108.0,HIPPOLYTA,1,324.0,PUCK,6,24.0,HELENA,1,48.0,PUCK,1,24.0,EGEUS,1,36.0,Moonshine,4,180.0,HELENA,4,48.0,HERMIA,2,120.0,EGEUS,4,36.0,DEMETRIUS,2,288.0,Wall,1,276.0,PUCK,4,24.0,PUCK,3,24.0,LYSANDER,3,216.0,LYSANDER,9,216.0,TITANIA,1,192.0,TITANIA,2,192.0,HERMIA,1,120.0,HERMIA,3,120.0,PUCK,1,24.0,PUCK,5,24.0,SNOUT,1,204.0,TITANIA,7,192.0,TITANIA,2,192.0,Lion,1,312.0,DEMETRIUS,2,288.0,HELENA,4,48.0,PUCK,6,24.0,PUCK,1,24.0,PUCK,1,24.0,LYSANDER,1,216.0,HELENA,15,48.0
Lion,1,312.0,Thisbe,3,300.0,TITANIA,2,192.0,TITANIA,2,192.0,SNOUT,1,204.0,PUCK,2,24.0,EGEUS,3,36.0,HELENA,1,48.0,SNUG,1,60.0,OBERON,1,348.0,OBERON,2,348.0,TITANIA,3,192.0,HELENA,1,48.0,LYSANDER,2,216.0,SNOUT,1,204.0,FLUTE,1,132.0,Prologue,4,240.0, , , ,Prologue,3,240.0,Thisbe,2,300.0,SNUG,1,60.0,TITANIA,3,192.0,HELENA,3,48.0,HERMIA,1,120.0,LYSANDER,2,216.0,PUCK,3,24.0,HELENA,2,48.0,TITANIA,1,192.0,PUCK,3,24.0,Thisbe,2,300.0,TITANIA,2,192.0,SNUG,1,60.0,OBERON,3,348.0,HELENA,2,48.0,HELENA,1,48.0,PUCK,1,24.0,FLUTE,2,132.0,FLUTE,3,132.0,FLUTE,1,132.0,QUINCE,10,156.0, , , ,HELENA,2,48.0,Thisbe,1,300.0,LYSANDER,2,216.0,LYSANDER,2,216.0,TITANIA,4,192.0,FLUTE,1,132.0,Thisbe,1,300.0,HIPPOLYTA,1,324.0,LYSANDER,12,216.0
TITANIA,1,192.0,TITANIA,9,192.0,HELENA,5,48.0,HELENA,4,48.0,Thisbe,2,300.0,FLUTE,1,132.0,HELENA,7,48.0,LYSANDER,2,216.0,QUINCE,1,156.0, , , , , , ,HELENA,1,48.0, , , , , , ,Lion,1,312.0,HELENA,1,48.0,QUINCE,8,156.0, , , ,OBERON,3,348.0,TITANIA,5,192.0,QUINCE,2,156.0,EGEUS,1,36.0,LYSANDER,2,216.0,DEMETRIUS,1,288.0,HIPPOLYTA,1,324.0,LYSANDER,2,216.0,LYSANDER,3,216.0,SNOUT,1,204.0,Thisbe,2,300.0,TITANIA,3,192.0,SNOUT,1,204.0,HIPPOLYTA,1,324.0, , , ,LYSANDER,3,216.0,LYSANDER,1,216.0,TITANIA,1,192.0,EGEUS,1,36.0,TITANIA,1,192.0,EGEUS,2,36.0,PHILOSTRATE,4,336.0, , , ,LYSANDER,3,216.0,LYSANDER,4,216.0,SNOUT,2,204.0,STARVELING,1,72.0,SNOUT,1,204.0,HELENA,1,48.0,TITANIA,2,192.0,OBERON,2,348.0, , , 
EGEUS,1,36.0,EGEUS,3,36.0,LYSANDER,4,216.0,LYSANDER,1,216.0,Prologue,3,240.0,TITANIA,5,192.0,LYSANDER,1,216.0,OBERON,2,348.0, , , , , , , , , ,LYSANDER,3,216.0, , , , , , ,STARVELING,1,72.0,LYSANDER,4,216.0, , , , , , , , , ,HELENA,12,48.0,OBERON,1,348.0,HELENA,2,48.0,QUINCE,2,156.0,TITANIA,2,192.0,QUINCE,1,156.0,QUINCE,1,156.0,SNUG,1,60.0,HELENA,1,48.0,Prologue,2,240.0,HELENA,9,48.0,HELENA,4,48.0,Fairy,1,252.0, , , ,OBERON,2,348.0,SNUG,1,60.0,LYSANDER,3,216.0,HELENA,2,48.0,LYSANDER,2,216.0,HELENA,2,48.0, , , , , , ,OBERON,2,348.0, , , ,Lion,3,312.0,OBERON,1,348.0,HELENA,4,48.0,LYSANDER,1,216.0,HELENA,3,48.0, , , , , , 
HELENA,6,48.0,HELENA,22,48.0,OBERON,4,348.0,SNUG,1,60.0,QUINCE,2,156.0,Thisbe,1,300.0,PHILOSTRATE,1,336.0, , , , , , , , , , , , ,OBERON,3,348.0, , , , , , , , , ,HIPPOLYTA,1,324.0, , , , , , , , , ,LYSANDER,3,216.0, , , ,LYSANDER,1,216.0,PHILOSTRATE,1,336.0,SNOUT,1,204.0,OBERON,3,348.0,OBERON,9,348.0,PHILOSTRATE,4,336.0, , , ,QUINCE,11,156.0,LYSANDER,3,216.0,LYSANDER,4,216.0, , , , , , , , , ,QUINCE,3,156.0,HIPPOLYTA,1,324.0,LYSANDER,3,216.0,HIPPOLYTA,1,324.0,LYSANDER,4,216.0, , , , , , , , , , , , ,SNUG,1,60.0, , , ,LYSANDER,4,216.0,Prologue,1,240.0,OBERON,1,348.0, , , , , , 
LYSANDER,5,216.0,LYSANDER,21,216.0, , , ,OBERON,3,348.0, , , ,HELENA,5,48.0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,QUINCE,4,156.0, , , , , , , , , ,PHILOSTRATE,1,336.0, , , ,HIPPOLYTA,1,324.0,OBERON,3,348.0,LYSANDER,1,216.0, , , , , , ,OBERON,1,348.0, , , ,PHILOSTRATE,1,336.0,PHILOSTRATE,1,336.0,HIPPOLYTA,2,324.0, , , , , , , , , , , , ,QUINCE,1,156.0,Prologue,2,240.0,QUINCE,2,156.0,HIPPOLYTA,1,324.0, , , , , , , , , , , , ,Prologue,3,240.0, , , ,HIPPOLYTA,4,324.0,QUINCE,4,156.0, , , , , , , , , 
