old,oldLines,oldColor,fair,fairLines,fairColor,flesh,fleshLines,fleshColor,young,youngLines,youngColor,sweet,sweetLines,sweetColor,mine,mineLines,mineColor,three,threeLines,threeColor,judge,judgeLines,judgeColor,love,loveLines,loveColor,ring,ringLines,ringColor,speak,speakLines,speakColor,jew,jewLines,jewColor,pray,prayLines,prayColor,true,trueLines,trueColor,away,awayLines,awayColor,give,giveLines,giveColor,father,fatherLines,fatherColor,two,twoLines,twoColor,better,betterLines,betterColor,bassanio,bassanioLines,bassanioColor,take,takeLines,takeColor,master,masterLines,masterColor,lord,lordLines,lordColor,tell,tellLines,tellColor,friend,friendLines,friendColor,choose,chooseLines,chooseColor,life,lifeLines,lifeColor,men,menLines,menColor,christian,christianLines,christianColor,ducats,ducatsLines,ducatsColor,thousand,thousandLines,thousandColor,never,neverLines,neverColor,hand,handLines,handColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,daughter,daughterLines,daughterColor,lady,ladyLines,ladyColor,day,dayLines,dayColor,man,manLines,manColor,fortune,fortuneLines,fortuneColor,wife,wifeLines,wifeColor,house,houseLines,houseColor,antonio,antonioLines,antonioColor,leave,leaveLines,leaveColor,swear,swearLines,swearColor,stand,standLines,standColor,night,nightLines,nightColor,launcelot,launcelotLines,launcelotColor,bond,bondLines,bondColor,lorenzo,lorenzoLines,lorenzoColor
PORTIA,5,0,PORTIA,4,0,DUKE,1,31.3043478261,PORTIA,2,0,JESSICA,1,125.217391304,PORTIA,5,0,DUKE,1,31.3043478261,PORTIA,1,0,PORTIA,15,0,PORTIA,15,0,PORTIA,7,0,PORTIA,10,0,PORTIA,11,0,PORTIA,4,0,PORTIA,9,0,PORTIA,15,0,PORTIA,3,0,PORTIA,6,0,PORTIA,9,0,PORTIA,8,0,PORTIA,10,0,PORTIA,2,0,PORTIA,13,0,PORTIA,6,0,PORTIA,8,0,PORTIA,11,0,PORTIA,3,0,PORTIA,6,0,PORTIA,1,0,SALARINO,1,15.652173913,PORTIA,4,0,PORTIA,8,0,PORTIA,4,0,PORTIA,5,0,PORTIA,8,0,PORTIA,1,0,PORTIA,2,0,PORTIA,7,0,PORTIA,9,0,PORTIA,1,0,PORTIA,7,0,PORTIA,5,0,PORTIA,4,0,PORTIA,3,0,PORTIA,7,0,PORTIA,9,0,PORTIA,3,0,LAUNCELOT,13,93.9130434783,PORTIA,9,0,PORTIA,5,0
JESSICA,1,125.217391304,SALARINO,1,15.652173913,SALARINO,1,15.652173913,JESSICA,1,125.217391304,Servant,1,219.130434783,LORENZO,1,234.782608696,PORTIA,1,0,GRATIANO,7,156.52173913,SALARINO,4,15.652173913,ANTONIO,2,62.6086956522,Servant,1,219.130434783,SALARINO,1,15.652173913,JESSICA,1,125.217391304,JESSICA,1,125.217391304,JESSICA,1,125.217391304,JESSICA,1,125.217391304,LORENZO,3,234.782608696,JESSICA,2,125.217391304,Clerk,1,140.869565217,SALARINO,6,15.652173913,SALARINO,1,15.652173913,JESSICA,1,125.217391304,SALARINO,1,15.652173913,SALARINO,2,15.652173913,SALARINO,1,15.652173913,ARRAGON,3,46.9565217391,JESSICA,1,125.217391304,SALARINO,1,15.652173913,JESSICA,2,125.217391304,JESSICA,1,125.217391304,BASSANIO,4,281.739130435,SALARINO,1,15.652173913,SALARINO,2,15.652173913,SALARINO,1,15.652173913,SALARINO,1,15.652173913,SALARINO,1,15.652173913,JESSICA,1,125.217391304,Servant,1,219.130434783,SALARINO,1,15.652173913,JESSICA,1,125.217391304,JESSICA,1,125.217391304,JESSICA,1,125.217391304,SALARINO,6,15.652173913,JESSICA,1,125.217391304,SALARINO,1,15.652173913,DUKE,2,31.3043478261,JESSICA,4,125.217391304,GOBBO,5,172.173913043,SALARINO,2,15.652173913,SALARINO,2,15.652173913
DUKE,2,31.3043478261,ANTONIO,2,62.6086956522,JESSICA,1,125.217391304,LAUNCELOT,6,93.9130434783,ARRAGON,1,46.9565217391,ANTONIO,2,62.6086956522,ARRAGON,1,46.9565217391,LORENZO,1,234.782608696,LORENZO,5,234.782608696,BASSANIO,14,281.739130435,ANTONIO,3,62.6086956522,JESSICA,1,125.217391304,LAUNCELOT,2,93.9130434783,BASSANIO,3,281.739130435,ARRAGON,1,46.9565217391,DUKE,2,31.3043478261,JESSICA,4,125.217391304,ARRAGON,1,46.9565217391,ARRAGON,1,46.9565217391,JESSICA,1,125.217391304,LORENZO,2,234.782608696,Servant,2,219.130434783,JESSICA,2,125.217391304,JESSICA,3,125.217391304,LORENZO,4,234.782608696,MOROCCO,2,78.2608695652,DUKE,1,31.3043478261,BASSANIO,2,281.739130435,ANTONIO,1,62.6086956522,GRATIANO,1,156.52173913,SHYLOCK,11,187.826086957,JESSICA,2,125.217391304,DUKE,1,31.3043478261,LORENZO,3,234.782608696,JESSICA,1,125.217391304,JESSICA,2,125.217391304,Servant,1,219.130434783,ANTONIO,1,62.6086956522,LORENZO,3,234.782608696,ARRAGON,4,46.9565217391,ARRAGON,1,46.9565217391,Servant,1,219.130434783,JESSICA,2,125.217391304,Clerk,1,140.869565217,JESSICA,3,125.217391304,ARRAGON,1,46.9565217391,GRATIANO,1,156.52173913,LORENZO,3,234.782608696,ANTONIO,4,62.6086956522,JESSICA,5,125.217391304
Clerk,1,140.869565217,MOROCCO,3,78.2608695652,PORTIA,7,0,DUKE,1,31.3043478261,ANTONIO,1,62.6086956522,MOROCCO,2,78.2608695652,ANTONIO,2,62.6086956522,SHYLOCK,8,187.826086957,JESSICA,4,125.217391304,TUBAL,1,313.043478261,BASSANIO,4,281.739130435,DUKE,2,31.3043478261,BASSANIO,5,281.739130435,ARRAGON,1,46.9565217391,GRATIANO,1,156.52173913,ARRAGON,3,46.9565217391,GOBBO,1,172.173913043,ANTONIO,2,62.6086956522,ANTONIO,2,62.6086956522,GRATIANO,5,156.52173913,DUKE,2,31.3043478261,GRATIANO,2,156.52173913,Servant,2,219.130434783,LAUNCELOT,4,93.9130434783,ANTONIO,5,62.6086956522,BASSANIO,4,281.739130435,ARRAGON,1,46.9565217391,ARRAGON,3,46.9565217391,SHYLOCK,12,187.826086957,SHYLOCK,14,187.826086957,GRATIANO,1,156.52173913,DUKE,1,31.3043478261,Servant,1,219.130434783,JESSICA,2,125.217391304,GRATIANO,2,156.52173913,ANTONIO,1,62.6086956522,ANTONIO,2,62.6086956522,SHYLOCK,4,187.826086957,JESSICA,1,125.217391304,ANTONIO,4,62.6086956522,GRATIANO,1,156.52173913,LORENZO,3,234.782608696,DUKE,4,31.3043478261,ARRAGON,1,46.9565217391,GRATIANO,1,156.52173913,GRATIANO,1,156.52173913,BASSANIO,1,281.739130435,JESSICA,4,125.217391304,BASSANIO,2,281.739130435,GRATIANO,4,156.52173913
GRATIANO,2,156.52173913,LORENZO,8,234.782608696,ANTONIO,1,62.6086956522,Servant,1,219.130434783,LORENZO,9,234.782608696,GOBBO,1,172.173913043,MOROCCO,2,78.2608695652,ANTONIO,1,62.6086956522,DUKE,1,31.3043478261,GRATIANO,5,156.52173913,LAUNCELOT,1,93.9130434783,Clerk,1,140.869565217,ANTONIO,4,62.6086956522,LORENZO,5,234.782608696,BASSANIO,3,281.739130435,ANTONIO,2,62.6086956522,BASSANIO,1,281.739130435,BASSANIO,4,281.739130435,MOROCCO,1,78.2608695652,LORENZO,3,234.782608696,Servant,1,219.130434783,GOBBO,7,172.173913043,GRATIANO,6,156.52173913,BASSANIO,1,281.739130435,GOBBO,1,172.173913043,TUBAL,1,313.043478261,ANTONIO,2,62.6086956522,GRATIANO,1,156.52173913,LAUNCELOT,3,93.9130434783,TUBAL,1,313.043478261, , , ,Servant,1,219.130434783,BASSANIO,1,281.739130435,DUKE,2,31.3043478261,BASSANIO,6,281.739130435,LORENZO,1,234.782608696,MOROCCO,3,78.2608695652,STEPHANO,1,203.47826087,GRATIANO,3,156.52173913,MOROCCO,5,78.2608695652,LORENZO,3,234.782608696,LAUNCELOT,1,93.9130434783,Servant,1,219.130434783,GRATIANO,2,156.52173913,MOROCCO,1,78.2608695652,BASSANIO,1,281.739130435,TUBAL,1,313.043478261, , , ,SHYLOCK,17,187.826086957,BASSANIO,1,281.739130435
MOROCCO,1,78.2608695652,BASSANIO,9,281.739130435,SHYLOCK,7,187.826086957,Clerk,2,140.869565217,LAUNCELOT,1,93.9130434783,BASSANIO,2,281.739130435,SHYLOCK,11,187.826086957,NERISSA,1,109.565217391,ANTONIO,4,62.6086956522,NERISSA,1,109.565217391,LORENZO,4,234.782608696,GRATIANO,6,156.52173913,MOROCCO,1,78.2608695652,SHYLOCK,2,187.826086957,TUBAL,1,313.043478261,MOROCCO,3,78.2608695652,LAUNCELOT,19,93.9130434783,LORENZO,2,234.782608696,SHYLOCK,1,187.826086957,LAUNCELOT,1,93.9130434783,ARRAGON,1,46.9565217391,BASSANIO,2,281.739130435,LORENZO,6,234.782608696,ARRAGON,1,46.9565217391,BASSANIO,12,281.739130435,SHYLOCK,1,187.826086957,MOROCCO,1,78.2608695652,MOROCCO,4,78.2608695652,SALANIO,1,344.347826087,BASSANIO,4,281.739130435, , , ,BASSANIO,1,281.739130435,ANTONIO,2,62.6086956522,GRATIANO,1,156.52173913,LAUNCELOT,3,93.9130434783,TUBAL,2,313.043478261,BASSANIO,9,281.739130435,GOBBO,1,172.173913043,MOROCCO,2,78.2608695652,BASSANIO,4,281.739130435,LAUNCELOT,1,93.9130434783,SHYLOCK,7,187.826086957,Clerk,1,140.869565217,BASSANIO,6,281.739130435,SHYLOCK,2,187.826086957,GOBBO,1,172.173913043,LORENZO,10,234.782608696, , , ,SALERIO,1,250.434782609,LAUNCELOT,2,93.9130434783
BASSANIO,1,281.739130435,GRATIANO,4,156.52173913,GOBBO,1,172.173913043,GRATIANO,1,156.52173913,BASSANIO,7,281.739130435,LAUNCELOT,2,93.9130434783,LAUNCELOT,1,93.9130434783,SALANIO,1,344.347826087,MOROCCO,3,78.2608695652, , , ,GRATIANO,2,156.52173913,GOBBO,2,172.173913043,LORENZO,6,234.782608696,NERISSA,1,109.565217391,LAUNCELOT,3,93.9130434783,BASSANIO,8,281.739130435,SHYLOCK,1,187.826086957,GRATIANO,4,156.52173913,LORENZO,2,234.782608696,BASSANIO,1,281.739130435,ANTONIO,3,62.6086956522,LAUNCELOT,17,93.9130434783,GOBBO,2,172.173913043,ANTONIO,3,62.6086956522,LAUNCELOT,1,93.9130434783,NERISSA,3,109.565217391,BASSANIO,6,281.739130435,LORENZO,1,234.782608696, , , ,SALANIO,6,344.347826087, , , ,Clerk,1,140.869565217,LORENZO,5,234.782608696,BASSANIO,3,281.739130435,SHYLOCK,1,187.826086957,LAUNCELOT,1,93.9130434783,LORENZO,1,234.782608696,BASSANIO,4,281.739130435,GOBBO,3,172.173913043,LAUNCELOT,3,93.9130434783,BASSANIO,5,281.739130435,NERISSA,3,109.565217391,GRATIANO,5,156.52173913,LAUNCELOT,2,93.9130434783,TUBAL,1,313.043478261,LORENZO,2,234.782608696,NERISSA,1,109.565217391, , , , , , ,LORENZO,1,234.782608696
LAUNCELOT,7,93.9130434783,NERISSA,1,109.565217391,BASSANIO,1,281.739130435,MOROCCO,2,78.2608695652,NERISSA,1,109.565217391,SHYLOCK,3,187.826086957,BASSANIO,5,281.739130435, , , ,BASSANIO,6,281.739130435, , , ,NERISSA,1,109.565217391,LORENZO,4,234.782608696,STEPHANO,2,203.47826087,SALANIO,1,344.347826087,LORENZO,2,234.782608696,LAUNCELOT,7,93.9130434783,NERISSA,4,109.565217391,SHYLOCK,2,187.826086957,NERISSA,1,109.565217391,ANTONIO,8,62.6086956522,MOROCCO,1,78.2608695652,STEPHANO,1,203.47826087,ANTONIO,4,62.6086956522,MOROCCO,1,78.2608695652,SHYLOCK,2,187.826086957, , , ,LAUNCELOT,1,93.9130434783,TUBAL,1,313.043478261, , , , , , , , , ,ARRAGON,3,46.9565217391,LAUNCELOT,2,93.9130434783,TUBAL,1,313.043478261,NERISSA,1,109.565217391,BASSANIO,1,281.739130435,GRATIANO,1,156.52173913,GRATIANO,1,156.52173913,BASSANIO,6,281.739130435,GRATIANO,2,156.52173913,ANTONIO,1,62.6086956522, , , ,BASSANIO,10,281.739130435,LORENZO,3,234.782608696,LAUNCELOT,1,93.9130434783,ANTONIO,4,62.6086956522,SALERIO,1,250.434782609, , , , , , ,ANTONIO,1,62.6086956522
SHYLOCK,1,187.826086957,SHYLOCK,2,187.826086957, , , ,SHYLOCK,2,187.826086957, , , ,GRATIANO,3,156.52173913,NERISSA,1,109.565217391, , , ,SHYLOCK,4,187.826086957, , , ,SHYLOCK,4,187.826086957,SALERIO,1,250.434782609,GOBBO,4,172.173913043, , , , , , ,SHYLOCK,6,187.826086957, , , ,SALANIO,2,344.347826087,SALANIO,3,344.347826087,NERISSA,1,109.565217391,BASSANIO,3,281.739130435, , , ,NERISSA,6,109.565217391,SHYLOCK,4,187.826086957,GRATIANO,1,156.52173913, , , ,SHYLOCK,2,187.826086957,SHYLOCK,2,187.826086957, , , , , , , , , ,ANTONIO,2,62.6086956522,SHYLOCK,1,187.826086957,SHYLOCK,5,187.826086957, , , ,SHYLOCK,5,187.826086957,NERISSA,5,109.565217391,SALANIO,1,344.347826087,LAUNCELOT,10,93.9130434783,NERISSA,1,109.565217391, , , , , , ,SALERIO,1,250.434782609,NERISSA,1,109.565217391,BASSANIO,3,281.739130435,NERISSA,1,109.565217391, , , , , , , , , ,SALANIO,1,344.347826087
SALANIO,1,344.347826087, , , , , , ,GOBBO,3,172.173913043, , , ,NERISSA,2,109.565217391, , , , , , ,GRATIANO,4,156.52173913, , , , , , ,LAUNCELOT,15,93.9130434783,SHYLOCK,5,187.826086957, , , , , , ,GRATIANO,1,156.52173913, , , , , , , , , ,SALANIO,2,344.347826087,LAUNCELOT,4,93.9130434783, , , ,SALERIO,5,250.434782609,GOBBO,2,172.173913043,STEPHANO,1,203.47826087, , , ,GRATIANO,1,156.52173913,NERISSA,3,109.565217391, , , , , , , , , ,MOROCCO,1,78.2608695652,GRATIANO,2,156.52173913,ANTONIO,2,62.6086956522, , , ,SALANIO,4,344.347826087, , , , , , ,SHYLOCK,8,187.826086957, , , , , , , , , ,TUBAL,3,313.043478261,SHYLOCK,1,187.826086957,ANTONIO,1,62.6086956522,SHYLOCK,2,187.826086957, , , , , , , , , , , , 
