heart,heartLines,heartColor,macduff,macduffLines,macduffColor,love,loveLines,loveColor,give,giveLines,giveColor,worthy,worthyLines,worthyColor,macbeth,macbethLines,macbethColor,hail,hailLines,hailColor,bloody,bloodyLines,bloodyColor,sleep,sleepLines,sleepColor,tyrant,tyrantLines,tyrantColor,fear,fearLines,fearColor,deed,deedLines,deedColor,speak,speakLines,speakColor,death,deathLines,deathColor,duncan,duncanLines,duncanColor,mine,mineLines,mineColor,god,godLines,godColor,show,showLines,showColor,father,fatherLines,fatherColor,strange,strangeLines,strangeColor,take,takeLines,takeColor,banquo,banquoLines,banquoColor,time,timeLines,timeColor,lord,lordLines,lordColor,poor,poorLines,poorColor,life,lifeLines,lifeColor,woman,womanLines,womanColor,sword,swordLines,swordColor,nature,natureLines,natureColor,cawdor,cawdorLines,cawdorColor,men,menLines,menColor,none,noneLines,noneColor,hand,handLines,handColor,hear,hearLines,hearColor,dead,deadLines,deadColor,never,neverLines,neverColor,hands,handsLines,handsColor,nothing,nothingLines,nothingColor,day,dayLines,dayColor,dare,dareLines,dareColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,wife,wifeLines,wifeColor,air,airLines,airColor,thought,thoughtLines,thoughtColor,pray,prayLines,prayColor,night,nightLines,nightColor,blood,bloodLines,bloodColor
ALL,1,263.414634146,LENNOX,3,70.243902439,LADY MACDUFF,2,158.048780488,MACDUFF,2,79.0243902439,MACDUFF,1,79.0243902439,LENNOX,1,70.243902439,ALL,1,263.414634146,DONALBAIN,1,0,LENNOX,1,70.243902439,LENNOX,1,70.243902439,LADY MACDUFF,3,158.048780488,ALL,1,263.414634146,ALL,1,263.414634146,LENNOX,1,70.243902439,Lord,1,52.6829268293,ALL,1,263.414634146,LADY MACDUFF,1,158.048780488,ALL,2,263.414634146,LADY MACDUFF,3,158.048780488,LENNOX,2,70.243902439,MACDUFF,2,79.0243902439,LENNOX,1,70.243902439,MACDUFF,2,79.0243902439,Lords,1,254.634146341,LADY MACDUFF,4,158.048780488,LENNOX,1,70.243902439,MALCOLM,1,96.5853658537,MALCOLM,1,96.5853658537,MACDUFF,1,79.0243902439,DUNCAN,4,289.756097561,LADY MACDUFF,1,158.048780488,MALCOLM,3,96.5853658537,LENNOX,2,70.243902439,LENNOX,2,70.243902439,LADY MACDUFF,2,158.048780488,LADY MACDUFF,1,158.048780488,LENNOX,1,70.243902439,LADY MACDUFF,1,158.048780488,MACDUFF,2,79.0243902439,MACDUFF,1,79.0243902439,LENNOX,1,70.243902439,ALL,1,263.414634146,MACDUFF,3,79.0243902439,LENNOX,1,70.243902439,LADY MACDUFF,1,158.048780488,LENNOX,1,70.243902439,LENNOX,2,70.243902439,MALCOLM,2,96.5853658537,LENNOX,2,70.243902439,LENNOX,1,70.243902439
MACDUFF,1,79.0243902439,MACDUFF,2,79.0243902439,MALCOLM,2,96.5853658537,DUNCAN,1,289.756097561,DUNCAN,4,289.756097561,MACDUFF,3,79.0243902439,MACDUFF,2,79.0243902439,Second Apparition,1,280.975609756,MACDUFF,1,79.0243902439,MACDUFF,5,79.0243902439,MACDUFF,2,79.0243902439,MACDUFF,1,79.0243902439,LADY MACDUFF,1,158.048780488,MACDUFF,3,79.0243902439,LENNOX,2,70.243902439,MACDUFF,4,79.0243902439,DUNCAN,1,289.756097561,MACDUFF,2,79.0243902439,LENNOX,2,70.243902439,MALCOLM,1,96.5853658537,MALCOLM,1,96.5853658537,MACDUFF,3,79.0243902439,Doctor,1,8.78048780488,LENNOX,5,70.243902439,MACDUFF,1,79.0243902439,MACDUFF,1,79.0243902439,MACDUFF,2,79.0243902439,MACDUFF,4,79.0243902439,Doctor,1,8.78048780488,MACBETH,6,307.317073171,LENNOX,2,70.243902439,LADY MACBETH,1,105.365853659,DUNCAN,1,289.756097561,MACDUFF,1,79.0243902439,SIWARD,1,17.5609756098,HECATE,1,298.536585366,Doctor,1,8.78048780488,ANGUS,1,184.390243902,SIWARD,2,17.5609756098,Doctor,1,8.78048780488,Second Apparition,1,280.975609756,LENNOX,1,70.243902439,DUNCAN,2,289.756097561,MACDUFF,5,79.0243902439,MACDUFF,3,79.0243902439,DUNCAN,1,289.756097561,MALCOLM,4,96.5853658537,MACBETH,3,307.317073171,MACDUFF,1,79.0243902439,DONALBAIN,1,0
DUNCAN,1,289.756097561,MALCOLM,3,96.5853658537,MACBETH,11,307.317073171,ANGUS,1,184.390243902,MALCOLM,3,96.5853658537,Second Apparition,2,280.975609756,MALCOLM,1,96.5853658537,DUNCAN,1,289.756097561,Doctor,2,8.78048780488,SIWARD,3,17.5609756098,MALCOLM,1,96.5853658537,Doctor,1,8.78048780488,LENNOX,1,70.243902439,DUNCAN,1,289.756097561,MACBETH,7,307.317073171,DUNCAN,2,289.756097561,SIWARD,2,17.5609756098,HECATE,1,298.536585366,MACDUFF,2,79.0243902439,Old Man,1,26.3414634146,MACBETH,7,307.317073171,DUNCAN,3,289.756097561,SIWARD,1,17.5609756098,MACDUFF,1,79.0243902439,MALCOLM,4,96.5853658537,ANGUS,1,184.390243902,Second Apparition,1,280.975609756,MACBETH,5,307.317073171,MALCOLM,2,96.5853658537,LADY MACBETH,3,105.365853659,DONALBAIN,1,0,MACBETH,4,307.317073171,ANGUS,1,184.390243902,Doctor,1,8.78048780488,SEYTON,1,342.43902439,MACBETH,6,307.317073171,ANGUS,1,184.390243902,MALCOLM,2,96.5853658537,MALCOLM,3,96.5853658537,HECATE,1,298.536585366,DUNCAN,1,289.756097561,MACDUFF,5,79.0243902439,SIWARD,1,17.5609756098,Doctor,1,8.78048780488,MALCOLM,1,96.5853658537,HECATE,1,298.536585366,MACBETH,5,307.317073171,LADY MACBETH,2,105.365853659,Doctor,1,8.78048780488,MACBETH,12,307.317073171
MALCOLM,3,96.5853658537,MACBETH,3,307.317073171,LADY MACBETH,2,105.365853659,MALCOLM,2,96.5853658537,MACBETH,1,307.317073171,DUNCAN,3,289.756097561,Third Witch,3,193.170731707,MALCOLM,1,96.5853658537,MACBETH,11,307.317073171,MALCOLM,2,96.5853658537,MACBETH,19,307.317073171,Old Man,1,26.3414634146,MACDUFF,4,79.0243902439,MALCOLM,1,96.5853658537,LADY MACBETH,4,105.365853659,MALCOLM,3,96.5853658537,MALCOLM,3,96.5853658537,Third Witch,1,193.170731707,MACBETH,2,307.317073171,MACBETH,7,307.317073171,LADY MACBETH,1,105.365853659,MACBETH,13,307.317073171,MALCOLM,5,96.5853658537,Doctor,2,8.78048780488,MACBETH,3,307.317073171,MALCOLM,2,96.5853658537,LADY MACBETH,2,105.365853659,BANQUO,2,140.487804878,MACBETH,10,307.317073171,BANQUO,2,140.487804878,MALCOLM,2,96.5853658537,BANQUO,1,140.487804878,MALCOLM,3,96.5853658537,MACBETH,11,307.317073171,MACBETH,3,307.317073171,LADY MACBETH,1,105.365853659,MALCOLM,2,96.5853658537,MACBETH,7,307.317073171,MACBETH,8,307.317073171,MACBETH,8,307.317073171,MALCOLM,3,96.5853658537,MALCOLM,5,96.5853658537,HECATE,1,298.536585366,MALCOLM,2,96.5853658537,MACBETH,3,307.317073171,ALL,1,263.414634146,LADY MACBETH,8,105.365853659,Son,1,316.097560976,HECATE,1,298.536585366,LADY MACBETH,4,105.365853659
Doctor,1,8.78048780488,Lord,1,52.6829268293,DUNCAN,4,289.756097561,MACBETH,8,307.317073171,LADY MACBETH,4,105.365853659,HECATE,1,298.536585366,First Witch,3,149.268292683,MACBETH,5,307.317073171,LADY MACBETH,2,105.365853659,Lord,1,52.6829268293,LADY MACBETH,5,105.365853659,MACBETH,10,307.317073171,Doctor,1,8.78048780488,MACBETH,6,307.317073171,ROSS,2,351.219512195,MACBETH,13,307.317073171,Doctor,1,8.78048780488,LADY MACBETH,1,105.365853659,LADY MACBETH,1,105.365853659,LADY MACBETH,1,105.365853659,Messenger,1,35.1219512195,LADY MACBETH,2,105.365853659,Old Man,1,26.3414634146,Both Murderers,2,87.8048780488,LADY MACBETH,2,105.365853659,MACBETH,11,307.317073171,MACBETH,7,307.317073171,YOUNG SIWARD,1,166.829268293,LADY MACBETH,7,105.365853659,Second Witch,1,219.512195122,MACBETH,4,307.317073171,Second Apparition,1,280.975609756,Doctor,2,8.78048780488,LADY MACBETH,1,105.365853659,LADY MACBETH,1,105.365853659,Third Apparition,1,228.292682927,MACBETH,2,307.317073171,Lord,1,52.6829268293,LADY MACBETH,3,105.365853659,LADY MACBETH,2,105.365853659,MACBETH,12,307.317073171,MACBETH,7,307.317073171,Doctor,2,8.78048780488,MACBETH,3,307.317073171,BANQUO,1,140.487804878,LADY MACBETH,1,105.365853659,BANQUO,1,140.487804878,BANQUO,1,140.487804878,Old Man,1,26.3414634146,MACDUFF,1,79.0243902439
LENNOX,1,70.243902439,First Apparition,1,245.853658537, , , ,LADY MACBETH,6,105.365853659,Sergeant,1,43.9024390244,Third Witch,4,193.170731707,Second Witch,2,219.512195122,Sergeant,1,43.9024390244,First Witch,1,149.268292683,YOUNG SIWARD,1,166.829268293,BANQUO,3,140.487804878,LADY MACBETH,2,105.365853659,MALCOLM,3,96.5853658537,LADY MACBETH,3,105.365853659, , , ,YOUNG SIWARD,1,166.829268293,Old Man,1,26.3414634146,MACBETH,2,307.317073171,Son,3,316.097560976,BANQUO,1,140.487804878,BANQUO,3,140.487804878,Third Witch,1,193.170731707,MACBETH,19,307.317073171,SEYTON,3,342.43902439,Son,1,316.097560976,LADY MACBETH,1,105.365853659, , , , , , ,First Murderer,1,122.926829268,ROSS,1,351.219512195,LADY MACBETH,1,105.365853659, , , ,ALL,1,263.414634146,Third Murderer,1,210.731707317,Son,2,316.097560976,MALCOLM,2,96.5853658537,LADY MACBETH,3,105.365853659,MENTEITH,1,131.707317073,First Witch,1,149.268292683,Messenger,1,35.1219512195,LADY MACBETH,4,105.365853659,LADY MACBETH,3,105.365853659,MACBETH,5,307.317073171,LADY MACBETH,1,105.365853659,First Witch,1,149.268292683,MACBETH,4,307.317073171,Porter,1,61.4634146341,Lord,1,52.6829268293,MACBETH,6,307.317073171,First Witch,1,149.268292683
LADY MACBETH,3,105.365853659,ROSS,1,351.219512195, , , ,CAITHNESS,1,201.951219512,BANQUO,1,140.487804878,MACBETH,5,307.317073171,ROSS,2,351.219512195,BANQUO,1,140.487804878,Lord,1,52.6829268293,MENTEITH,1,131.707317073,ROSS,2,351.219512195,ROSS,1,351.219512195,MACBETH,9,307.317073171,First Murderer,1,122.926829268, , , ,ROSS,1,351.219512195,MACBETH,1,307.317073171,BANQUO,1,140.487804878,BANQUO,1,140.487804878,ROSS,2,351.219512195,Third Apparition,1,228.292682927,First Murderer,1,122.926829268,LADY MACBETH,7,105.365853659,LADY MACBETH,7,105.365853659,ROSS,1,351.219512195,Gentlewoman,1,237.073170732, , , , , , ,Sergeant,1,43.9024390244, , , ,Son,1,316.097560976, , , ,LADY MACBETH,7,105.365853659,First Witch,2,149.268292683,Messenger,1,35.1219512195,Porter,1,61.4634146341,Sergeant,1,43.9024390244,ROSS,3,351.219512195,ROSS,4,351.219512195,ROSS,1,351.219512195,Messenger,1,35.1219512195,Third Witch,2,193.170731707,LADY MACBETH,7,105.365853659,Messenger,1,35.1219512195,ROSS,2,351.219512195,BANQUO,1,140.487804878, , , ,Gentlewoman,1,237.073170732,LADY MACBETH,4,105.365853659,Second Witch,1,219.512195122
MACBETH,12,307.317073171, , , , , , ,BANQUO,1,140.487804878,ROSS,2,351.219512195,Third Murderer,1,210.731707317, , , ,Lord,1,52.6829268293,Gentlewoman,1,237.073170732,ROSS,1,351.219512195, , , , , , ,LADY MACBETH,4,105.365853659,HECATE,2,298.536585366, , , , , , ,BANQUO,1,140.487804878,First Witch,2,149.268292683,ROSS,2,351.219512195, , , ,Gentlewoman,1,237.073170732,First Witch,1,149.268292683,Third Witch,1,193.170731707,Second Murderer,1,114.146341463, , , ,ROSS,1,351.219512195, , , , , , ,BANQUO,1,140.487804878, , , ,First Murderer,1,122.926829268, , , ,MACBETH,11,307.317073171, , , ,MALCOLM,1,96.5853658537, , , , , , , , , , , , , , , ,MENTEITH,1,131.707317073,Messenger,1,35.1219512195,CAITHNESS,1,201.951219512,BANQUO,2,140.487804878, , , ,First Witch,1,149.268292683, , , ,Porter,1,61.4634146341,BANQUO,3,140.487804878, , , 
Gentlewoman,1,237.073170732, , , , , , ,Lord,1,52.6829268293, , , ,Sergeant,1,43.9024390244, , , ,ROSS,2,351.219512195,Porter,2,61.4634146341, , , , , , , , , ,BANQUO,4,140.487804878,ROSS,2,351.219512195, , , , , , ,Gentlewoman,1,237.073170732,Second Witch,2,219.512195122, , , , , , ,Porter,2,61.4634146341, , , ,BANQUO,3,140.487804878,First Murderer,1,122.926829268, , , , , , , , , , , , ,ROSS,2,351.219512195, , , ,Third Murderer,1,210.731707317, , , ,Sergeant,1,43.9024390244, , , ,ROSS,1,351.219512195, , , , , , , , , , , , , , , ,BANQUO,1,140.487804878,Sergeant,1,43.9024390244,BANQUO,3,140.487804878,Gentlewoman,1,237.073170732, , , ,ROSS,2,351.219512195, , , ,ROSS,1,351.219512195,First Witch,2,149.268292683, , , 
 , , , , , , , , ,First Witch,1,149.268292683, , , ,BANQUO,2,140.487804878, , , , , , , , , , , , , , , , , , ,First Witch,1,149.268292683, , , , , , , , , ,Porter,1,61.4634146341,MALCOLM,2,96.5853658537, , , , , , ,ROSS,2,351.219512195, , , ,First Witch,1,149.268292683,SIWARD,1,17.5609756098, , , , , , , , , , , , , , , , , , ,Sergeant,1,43.9024390244, , , ,BANQUO,1,140.487804878, , , , , , , , , , , , , , , , , , , , , ,First Witch,1,149.268292683,BANQUO,4,140.487804878,First Witch,1,149.268292683,ROSS,1,351.219512195, , , , , , , , , , , , ,Lord,1,52.6829268293, , , 
