heart,heartLines,heartColor,love,loveLines,loveColor,help,helpLines,helpColor,fair,fairLines,fairColor,roderigo,roderigoLines,roderigoColor,sweet,sweetLines,sweetColor,mine,mineLines,mineColor,general,generalLines,generalColor,cassio,cassioLines,cassioColor,desdemona,desdemonaLines,desdemonaColor,cyprus,cyprusLines,cyprusColor,find,findLines,findColor,speak,speakLines,speakColor,othello,othelloLines,othelloColor,devil,devilLines,devilColor,handkerchief,handkerchiefLines,handkerchiefColor,pray,prayLines,prayColor,lady,ladyLines,ladyColor,away,awayLines,awayColor,night,nightLines,nightColor,moor,moorLines,moorColor,take,takeLines,takeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,noble,nobleLines,nobleColor,men,menLines,menColor,never,neverLines,neverColor,hand,handLines,handColor,iago,iagoLines,iagoColor,lieutenant,lieutenantLines,lieutenantColor,alas,alasLines,alasColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,hold,holdLines,holdColor,true,trueLines,trueColor,man,manLines,manColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,give,giveLines,giveColor,wife,wifeLines,wifeColor,light,lightLines,lightColor,soul,soulLines,soulColor,honest,honestLines,honestColor,thought,thoughtLines,thoughtColor,matter,matterLines,matterColor,place,placeLines,placeColor,time,timeLines,timeColor,found,foundLines,foundColor,husband,husbandLines,husbandColor
LODOVICO,1,154.285714286,BIANCA,1,180.0,LODOVICO,1,154.285714286,RODERIGO,1,0,RODERIGO,1,0,BIANCA,1,180.0,DUKE OF VENICE,1,167.142857143,Herald,2,205.714285714,BIANCA,6,180.0,RODERIGO,2,0,Herald,1,205.714285714,RODERIGO,4,0,Third Gentleman,1,90.0,Herald,2,205.714285714,IAGO,6,270.0,IAGO,6,270.0,BIANCA,2,180.0,IAGO,6,270.0,BIANCA,1,180.0,RODERIGO,1,0,RODERIGO,2,0,RODERIGO,1,0,LODOVICO,4,154.285714286,RODERIGO,3,0,Herald,2,205.714285714,DUKE OF VENICE,1,167.142857143,RODERIGO,1,0,RODERIGO,1,0,RODERIGO,4,0,LODOVICO,1,154.285714286,BIANCA,1,180.0,RODERIGO,1,0,RODERIGO,1,0,Clown,1,192.857142857,RODERIGO,1,0,RODERIGO,1,0,Herald,2,205.714285714,RODERIGO,1,0,RODERIGO,1,0,BIANCA,1,180.0,LODOVICO,1,154.285714286,LODOVICO,1,154.285714286,RODERIGO,1,0,BIANCA,1,180.0,IAGO,14,270.0,BIANCA,1,180.0,LODOVICO,1,154.285714286,BIANCA,1,180.0,LODOVICO,2,154.285714286,IAGO,3,270.0
IAGO,9,270.0,Clown,1,192.857142857,RODERIGO,1,0,DUKE OF VENICE,1,167.142857143,LODOVICO,3,154.285714286,IAGO,3,270.0,Clown,1,192.857142857,LODOVICO,1,154.285714286,LODOVICO,6,154.285714286,DUKE OF VENICE,2,167.142857143,LODOVICO,1,154.285714286,BIANCA,1,180.0,DUKE OF VENICE,1,167.142857143,RODERIGO,1,0,OTHELLO,8,321.428571429,EMILIA,3,334.285714286,LODOVICO,1,154.285714286,CASSIO,3,218.571428571,LODOVICO,1,154.285714286,LODOVICO,1,154.285714286,LODOVICO,2,154.285714286,DUKE OF VENICE,2,167.142857143,IAGO,24,270.0,Clown,1,192.857142857,LODOVICO,1,154.285714286,IAGO,9,270.0,EMILIA,4,334.285714286,DUKE OF VENICE,1,167.142857143,EMILIA,3,334.285714286,Third Gentleman,1,90.0,IAGO,4,270.0,Clown,2,192.857142857,First Gentleman,1,102.857142857,IAGO,5,270.0,LODOVICO,1,154.285714286,IAGO,7,270.0,RODERIGO,2,0,IAGO,7,270.0,All,1,282.857142857,RODERIGO,1,0,GRATIANO,2,115.714285714,GRATIANO,1,115.714285714,IAGO,9,270.0,Clown,1,192.857142857,OTHELLO,10,321.428571429,DUKE OF VENICE,2,167.142857143,DUKE OF VENICE,1,167.142857143,LODOVICO,1,154.285714286,IAGO,5,270.0,EMILIA,13,334.285714286
CASSIO,2,218.571428571,IAGO,33,270.0,DUKE OF VENICE,2,167.142857143,IAGO,9,270.0,GRATIANO,1,115.714285714,CASSIO,3,218.571428571,IAGO,4,270.0,DUKE OF VENICE,1,167.142857143,Third Gentleman,2,90.0,GRATIANO,1,115.714285714,Third Gentleman,1,90.0,GRATIANO,1,115.714285714,Clown,1,192.857142857,Third Gentleman,1,90.0,EMILIA,3,334.285714286,DESDEMONA,1,141.428571429,Third Gentleman,1,90.0,OTHELLO,5,321.428571429,Clown,1,192.857142857,DUKE OF VENICE,1,167.142857143,Third Gentleman,3,90.0,BIANCA,3,180.0,OTHELLO,1,321.428571429,IAGO,8,270.0,Third Gentleman,1,90.0,CASSIO,2,218.571428571,IAGO,14,270.0,IAGO,8,270.0,IAGO,1,270.0,IAGO,17,270.0,OTHELLO,1,321.428571429,IAGO,11,270.0,IAGO,10,270.0,CASSIO,1,218.571428571,IAGO,10,270.0,CASSIO,2,218.571428571,Clown,1,192.857142857,CASSIO,4,218.571428571,Herald,1,205.714285714,DUKE OF VENICE,1,167.142857143,IAGO,12,270.0,IAGO,6,270.0,OTHELLO,14,321.428571429,IAGO,13,270.0,BRABANTIO,1,51.4285714286,GRATIANO,2,115.714285714,IAGO,8,270.0,IAGO,15,270.0,OTHELLO,6,321.428571429,DESDEMONA,4,141.428571429
BRABANTIO,3,51.4285714286,CASSIO,8,218.571428571,IAGO,5,270.0,CASSIO,1,218.571428571,IAGO,13,270.0,EMILIA,3,334.285714286,OTHELLO,9,321.428571429,Clown,2,192.857142857,GRATIANO,2,115.714285714,IAGO,12,270.0,DUKE OF VENICE,2,167.142857143,IAGO,8,270.0,IAGO,14,270.0,DUKE OF VENICE,4,167.142857143,CASSIO,5,218.571428571,OTHELLO,14,321.428571429,Clown,1,192.857142857,EMILIA,8,334.285714286,IAGO,4,270.0,BIANCA,2,180.0,MONTANO,2,347.142857143,GRATIANO,1,115.714285714,BRABANTIO,1,51.4285714286,CASSIO,2,218.571428571,DUKE OF VENICE,1,167.142857143,EMILIA,3,334.285714286,CASSIO,3,218.571428571,CASSIO,3,218.571428571,CASSIO,12,218.571428571,CASSIO,1,218.571428571,EMILIA,7,334.285714286,CASSIO,1,218.571428571,CASSIO,2,218.571428571,OTHELLO,7,321.428571429,CASSIO,1,218.571428571,BRABANTIO,1,51.4285714286,GRATIANO,1,115.714285714,EMILIA,3,334.285714286,First Gentleman,1,102.857142857,IAGO,15,270.0,CASSIO,1,218.571428571,CASSIO,1,218.571428571,BRABANTIO,1,51.4285714286,CASSIO,3,218.571428571,EMILIA,2,334.285714286,IAGO,5,270.0,CASSIO,5,218.571428571,CASSIO,3,218.571428571,EMILIA,3,334.285714286,OTHELLO,5,321.428571429
EMILIA,2,334.285714286,BRABANTIO,1,51.4285714286,CASSIO,5,218.571428571,OTHELLO,7,321.428571429,CASSIO,1,218.571428571,OTHELLO,10,321.428571429,BRABANTIO,1,51.4285714286,GRATIANO,1,115.714285714,IAGO,52,270.0,CASSIO,5,218.571428571,IAGO,6,270.0,OTHELLO,2,321.428571429,OTHELLO,15,321.428571429,MONTANO,2,347.142857143,BIANCA,1,180.0,BIANCA,1,180.0,IAGO,7,270.0, , , ,CASSIO,2,218.571428571,IAGO,9,270.0,IAGO,24,270.0,IAGO,10,270.0,EMILIA,11,334.285714286,BRABANTIO,1,51.4285714286,IAGO,6,270.0,OTHELLO,5,321.428571429,BRABANTIO,2,51.4285714286,EMILIA,1,334.285714286,Second Gentleman,1,244.285714286,OTHELLO,2,321.428571429,CASSIO,2,218.571428571,BRABANTIO,3,51.4285714286,BRABANTIO,2,51.4285714286,BRABANTIO,2,51.4285714286,BRABANTIO,2,51.4285714286,EMILIA,4,334.285714286,IAGO,18,270.0,OTHELLO,7,321.428571429,IAGO,9,270.0,OTHELLO,12,321.428571429,EMILIA,2,334.285714286,OTHELLO,7,321.428571429,EMILIA,5,334.285714286,BRABANTIO,1,51.4285714286,CASSIO,3,218.571428571,OTHELLO,7,321.428571429,BRABANTIO,2,51.4285714286,BRABANTIO,3,51.4285714286,CASSIO,3,218.571428571, , , 
OTHELLO,14,321.428571429,EMILIA,3,334.285714286,EMILIA,2,334.285714286,BRABANTIO,1,51.4285714286,OTHELLO,1,321.428571429,DESDEMONA,1,141.428571429,CASSIO,3,218.571428571,IAGO,8,270.0,CASSIO,2,218.571428571,EMILIA,2,334.285714286,OTHELLO,3,321.428571429,BRABANTIO,1,51.4285714286,EMILIA,10,334.285714286,IAGO,8,270.0, , , , , , ,OTHELLO,7,321.428571429, , , ,OTHELLO,9,321.428571429,CASSIO,2,218.571428571,CASSIO,1,218.571428571,CASSIO,3,218.571428571,DESDEMONA,37,141.428571429,EMILIA,1,334.285714286,OTHELLO,2,321.428571429,DESDEMONA,4,141.428571429,Second Gentleman,1,244.285714286,OTHELLO,10,321.428571429,OTHELLO,28,321.428571429,DESDEMONA,2,141.428571429,DESDEMONA,8,141.428571429,EMILIA,1,334.285714286,EMILIA,1,334.285714286,EMILIA,6,334.285714286,OTHELLO,4,321.428571429,OTHELLO,4,321.428571429,CASSIO,3,218.571428571,DESDEMONA,1,141.428571429,OTHELLO,27,321.428571429,CASSIO,8,218.571428571,OTHELLO,9,321.428571429,BRABANTIO,2,51.4285714286,CASSIO,1,218.571428571,EMILIA,3,334.285714286,DESDEMONA,2,141.428571429,BRABANTIO,1,51.4285714286,EMILIA,1,334.285714286,EMILIA,3,334.285714286,DESDEMONA,1,141.428571429, , , 
DESDEMONA,2,141.428571429,OTHELLO,25,321.428571429,DESDEMONA,1,141.428571429,EMILIA,1,334.285714286,BRABANTIO,3,51.4285714286, , , ,DESDEMONA,1,141.428571429,OTHELLO,1,321.428571429,EMILIA,6,334.285714286,OTHELLO,13,321.428571429,Messenger,1,38.5714285714,DESDEMONA,3,141.428571429,CASSIO,4,218.571428571,CASSIO,1,218.571428571, , , , , , ,CASSIO,2,218.571428571, , , ,DESDEMONA,3,141.428571429,BRABANTIO,2,51.4285714286,BRABANTIO,4,51.4285714286,OTHELLO,4,321.428571429, , , ,OTHELLO,4,321.428571429,First Officer,1,128.571428571, , , ,OTHELLO,5,321.428571429,DESDEMONA,2,141.428571429,LODOVICO,1,154.285714286,MONTANO,4,347.142857143, , , ,OTHELLO,5,321.428571429,OTHELLO,7,321.428571429,DESDEMONA,4,141.428571429,MONTANO,2,347.142857143,DESDEMONA,3,141.428571429,BRABANTIO,2,51.4285714286,MONTANO,1,347.142857143,BRABANTIO,1,51.4285714286,BRABANTIO,2,51.4285714286,DESDEMONA,2,141.428571429,EMILIA,1,334.285714286,DESDEMONA,4,141.428571429,OTHELLO,15,321.428571429,First Senator,2,295.714285714,EMILIA,2,334.285714286,OTHELLO,4,321.428571429,OTHELLO,5,321.428571429, , , , , , 
 , , ,DESDEMONA,15,141.428571429, , , ,First Senator,1,295.714285714,EMILIA,1,334.285714286, , , ,Second Senator,1,64.2857142857,CASSIO,8,218.571428571,OTHELLO,17,321.428571429,First Senator,1,295.714285714,BRABANTIO,1,51.4285714286, , , ,DESDEMONA,7,141.428571429,OTHELLO,4,321.428571429, , , , , , ,BRABANTIO,2,51.4285714286, , , ,First Senator,1,295.714285714,OTHELLO,5,321.428571429,EMILIA,7,334.285714286,BRABANTIO,1,51.4285714286, , , ,DESDEMONA,5,141.428571429,EMILIA,1,334.285714286, , , ,DESDEMONA,9,141.428571429,MONTANO,1,347.142857143,DESDEMONA,2,141.428571429, , , , , , ,DESDEMONA,1,141.428571429, , , , , , , , , ,MONTANO,2,347.142857143,EMILIA,3,334.285714286, , , ,EMILIA,8,334.285714286,EMILIA,3,334.285714286, , , ,DESDEMONA,2,141.428571429,First Senator,1,295.714285714,DESDEMONA,3,141.428571429, , , ,CASSIO,1,218.571428571,MONTANO,1,347.142857143,DESDEMONA,3,141.428571429, , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,BRABANTIO,2,51.4285714286,DESDEMONA,17,141.428571429, , , ,EMILIA,1,334.285714286, , , , , , ,LODOVICO,1,154.285714286, , , , , , ,EMILIA,2,334.285714286, , , , , , ,DESDEMONA,4,141.428571429,DESDEMONA,3,141.428571429,EMILIA,1,334.285714286, , , , , , ,DESDEMONA,3,141.428571429, , , , , , , , , ,MONTANO,1,347.142857143, , , , , , ,MONTANO,1,347.142857143, , , , , , , , , ,First Officer,1,128.571428571,OTHELLO,7,321.428571429, , , ,CASSIO,3,218.571428571,Second Gentleman,1,244.285714286, , , , , , , , , ,MONTANO,1,347.142857143, , , ,DESDEMONA,2,141.428571429, , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,EMILIA,1,334.285714286,MONTANO,1,347.142857143, , , ,CASSIO,3,218.571428571, , , , , , ,DESDEMONA,6,141.428571429, , , , , , ,Messenger,1,38.5714285714, , , , , , ,MONTANO,1,347.142857143,First Senator,2,295.714285714,DESDEMONA,1,141.428571429, , , , , , ,MONTANO,1,347.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LODOVICO,1,154.285714286, , , ,DESDEMONA,12,141.428571429,DESDEMONA,3,141.428571429, , , , , , , , , , , , , , , ,MONTANO,2,347.142857143, , , , , , , , , , , , 
