duke,set,old,fair,heart,mine,son,traitor,earth,love,speak,death,majesty,richard,god,away,bolingbroke,royal,grace,live,take,woe,lord,hereford,noble,life,never,honour,sorrow,men,hand,grief,land,uncle,blood,nothing,cousin,true,day,man,king,great,heaven,give,world,soul,gaunt,face,time,tongue
LORD FITZWATER 1 160.0,Lord Marshal 1 250.0,Lord Marshal 2 250.0,LORD FITZWATER 1 160.0,LORD FITZWATER 1 160.0,NORTHUMBERLAND 1 80.0,Lord Marshal 1 250.0,LORD FITZWATER 1 160.0,HENRY BOLINGBROKE 5 230.0,NORTHUMBERLAND 1 80.0,Lord Marshal 2 250.0,LORD FITZWATER 1 160.0,BISHOP OF CARLISLE 1 50.0,Lord Marshal 1 250.0,Lord Marshal 2 250.0,QUEEN 1 280.0,NORTHUMBERLAND 2 80.0,Lord Marshal 1 250.0,QUEEN 1 280.0,LORD FITZWATER 1 160.0,Lord Marshal 2 250.0,HENRY BOLINGBROKE 1 230.0,LORD BERKELEY 3 0,Lord Marshal 2 250.0,LORD FITZWATER 2 160.0,QUEEN 1 280.0,THOMAS MOWBRAY 1 260.0,BISHOP OF CARLISLE 1 50.0,NORTHUMBERLAND 1 80.0,LORD WILLOUGHBY 1 220.0,Lord Marshal 1 250.0,NORTHUMBERLAND 1 80.0,Lord Marshal 1 250.0,NORTHUMBERLAND 1 80.0,Captain 1 310.0,QUEEN 6 280.0,NORTHUMBERLAND 1 80.0,LORD FITZWATER 3 160.0,Captain 1 310.0,Lord 1 20.0,GREEN 4 10.0,QUEEN 1 280.0,Lord Marshal 2 250.0,HENRY BOLINGBROKE 4 230.0,LORD FITZWATER 1 160.0,LORD FITZWATER 1 160.0,NORTHUMBERLAND 2 80.0,HENRY BOLINGBROKE 2 230.0,LORD FITZWATER 1 160.0,QUEEN 1 280.0
Lord Marshal 2 250.0,THOMAS MOWBRAY 2 260.0,HENRY PERCY 2 100.0,Lord Marshal 1 250.0,QUEEN 3 280.0,THOMAS MOWBRAY 4 260.0,THOMAS MOWBRAY 2 260.0,BISHOP OF CARLISLE 1 50.0,THOMAS MOWBRAY 1 260.0,JOHN OF GAUNT 1 200.0,NORTHUMBERLAND 4 80.0,Lord Marshal 1 250.0,GREEN 1 10.0,THOMAS MOWBRAY 1 260.0,THOMAS MOWBRAY 7 260.0,THOMAS MOWBRAY 2 260.0,Groom 1 180.0,Groom 2 180.0,THOMAS MOWBRAY 4 260.0,QUEEN 1 280.0,LORD BERKELEY 2 0,QUEEN 6 280.0,GREEN 2 10.0,LORD BERKELEY 1 0,QUEEN 1 280.0,THOMAS MOWBRAY 5 260.0,QUEEN 2 280.0,LORD BERKELEY 1 0,QUEEN 7 280.0,LORD FITZWATER 1 160.0,THOMAS MOWBRAY 2 260.0,QUEEN 6 280.0,LORD BERKELEY 1 0,QUEEN 2 280.0,THOMAS MOWBRAY 5 260.0,NORTHUMBERLAND 1 80.0,DUCHESS 2 90.0,Lord Marshal 1 250.0,Groom 1 180.0,Lord Marshal 1 250.0,DUCHESS OF YORK 6 30.0,DUKE OF YORK 2 330.0,THOMAS MOWBRAY 3 260.0,DUKE OF SURREY 1 270.0,THOMAS MOWBRAY 1 260.0,BISHOP OF CARLISLE 2 50.0,DUCHESS 4 90.0,THOMAS MOWBRAY 1 260.0,BISHOP OF CARLISLE 1 50.0,Groom 1 180.0
HENRY PERCY 2 100.0,DUKE OF AUMERLE 1 320.0,THOMAS MOWBRAY 7 260.0,THOMAS MOWBRAY 3 260.0,Groom 2 180.0,QUEEN 3 280.0,Servant 1 170.0,THOMAS MOWBRAY 5 260.0,DUKE OF SURREY 1 270.0,QUEEN 1 280.0,DUKE OF YORK 2 330.0,THOMAS MOWBRAY 3 260.0,NORTHUMBERLAND 3 80.0,QUEEN 5 280.0,DUKE OF AUMERLE 3 320.0,NORTHUMBERLAND 2 80.0,THOMAS MOWBRAY 2 260.0,THOMAS MOWBRAY 1 260.0,NORTHUMBERLAND 1 80.0,THOMAS MOWBRAY 4 260.0,THOMAS MOWBRAY 4 260.0,EARL OF SALISBURY 1 190.0,DUCHESS OF YORK 5 30.0,THOMAS MOWBRAY 1 260.0,THOMAS MOWBRAY 1 260.0,NORTHUMBERLAND 2 80.0,HENRY PERCY 1 100.0,THOMAS MOWBRAY 5 260.0,DUCHESS 2 90.0,All 1 240.0,NORTHUMBERLAND 2 80.0,DUCHESS 2 90.0,THOMAS MOWBRAY 4 260.0,SIR STEPHEN SCROOP 1 210.0,NORTHUMBERLAND 3 80.0,EARL OF SALISBURY 1 190.0,JOHN OF GAUNT 1 200.0,THOMAS MOWBRAY 1 260.0,THOMAS MOWBRAY 2 260.0,Keeper 1 120.0,KING RICHARD II 54 40.0,JOHN OF GAUNT 1 200.0,DUKE OF SURREY 1 270.0,NORTHUMBERLAND 1 80.0,QUEEN 1 280.0,THOMAS MOWBRAY 3 260.0,JOHN OF GAUNT 5 200.0,Groom 1 180.0,LORD BERKELEY 1 0,THOMAS MOWBRAY 4 260.0
THOMAS MOWBRAY 2 260.0,GREEN 1 10.0,GREEN 1 10.0,Servant 1 170.0,THOMAS MOWBRAY 4 260.0,JOHN OF GAUNT 1 200.0,GREEN 1 10.0,HENRY PERCY 1 100.0,QUEEN 3 280.0,HENRY PERCY 1 100.0,DUCHESS OF YORK 4 30.0,NORTHUMBERLAND 1 80.0,JOHN OF GAUNT 1 200.0,NORTHUMBERLAND 1 80.0,GREEN 1 10.0,JOHN OF GAUNT 1 200.0,QUEEN 4 280.0,NORTHUMBERLAND 5 80.0,DUKE OF YORK 5 330.0,NORTHUMBERLAND 1 80.0,GREEN 2 10.0,JOHN OF GAUNT 1 200.0,KING RICHARD II 9 40.0,DUKE OF AUMERLE 1 320.0,NORTHUMBERLAND 8 80.0,HENRY PERCY 1 100.0,JOHN OF GAUNT 1 200.0,DUKE OF SURREY 2 270.0,JOHN OF GAUNT 2 200.0,Captain 3 310.0,DUCHESS 1 90.0,JOHN OF GAUNT 2 200.0,JOHN OF GAUNT 12 200.0,KING RICHARD II 10 40.0,DUCHESS 5 90.0,Gardener 1 70.0,DUCHESS OF YORK 1 30.0,DUKE OF SURREY 1 270.0,Servant 1 170.0,THOMAS MOWBRAY 6 260.0,BISHOP OF CARLISLE 6 50.0,DUCHESS OF YORK 1 30.0,GREEN 1 10.0,Keeper 1 120.0,JOHN OF GAUNT 5 200.0,JOHN OF GAUNT 4 200.0,KING RICHARD II 3 40.0,DUCHESS OF YORK 1 30.0,THOMAS MOWBRAY 3 260.0,NORTHUMBERLAND 1 80.0
DUKE OF AUMERLE 1 320.0,QUEEN 1 280.0,NORTHUMBERLAND 5 80.0,NORTHUMBERLAND 2 80.0,NORTHUMBERLAND 2 80.0,Abbot 1 150.0,NORTHUMBERLAND 4 80.0,KING RICHARD II 5 40.0,DUCHESS OF YORK 1 30.0,DUCHESS 1 90.0,EARL OF SALISBURY 1 190.0,DUCHESS 2 90.0,SIR STEPHEN SCROOP 1 210.0,HENRY PERCY 1 100.0,NORTHUMBERLAND 1 80.0,DUCHESS OF YORK 1 30.0,EARL OF SALISBURY 1 190.0,HENRY PERCY 1 100.0,KING RICHARD II 1 40.0,DUCHESS 1 90.0,NORTHUMBERLAND 2 80.0,Abbot 1 150.0,BISHOP OF CARLISLE 4 50.0,NORTHUMBERLAND 2 80.0,LORD ROSS 2 140.0,DUCHESS 5 90.0,DUCHESS OF YORK 5 30.0,NORTHUMBERLAND 2 80.0,Abbot 1 150.0,THOMAS MOWBRAY 5 260.0,JOHN OF GAUNT 2 200.0,KING RICHARD II 10 40.0,DUCHESS OF YORK 2 30.0,BAGOT 1 300.0,JOHN OF GAUNT 4 200.0,DUCHESS OF YORK 1 30.0,KING RICHARD II 21 40.0,GREEN 1 10.0,NORTHUMBERLAND 1 80.0,GREEN 1 10.0,First Herald 1 60.0,KING RICHARD II 12 40.0,QUEEN 1 280.0,JOHN OF GAUNT 1 200.0,SIR STEPHEN SCROOP 1 210.0,QUEEN 3 280.0,HENRY BOLINGBROKE 3 230.0,KING RICHARD II 14 40.0,DUKE OF SURREY 1 270.0,DUKE OF YORK 2 330.0
GREEN 2 10.0,HENRY BOLINGBROKE 1 230.0,LORD ROSS 1 140.0,DUCHESS 1 90.0,DUKE OF YORK 4 330.0,DUCHESS OF YORK 1 30.0,LORD ROSS 1 140.0,HENRY BOLINGBROKE 7 230.0,EARL OF SALISBURY 2 190.0,GREEN 2 10.0,Abbot 1 150.0,BAGOT 2 300.0,KING RICHARD II 6 40.0,DUCHESS OF YORK 2 30.0,DUCHESS OF YORK 2 30.0,KING RICHARD II 11 40.0,GREEN 2 10.0,DUCHESS 1 90.0,HENRY BOLINGBROKE 6 230.0,JOHN OF GAUNT 4 200.0,DUCHESS 2 90.0,KING RICHARD II 6 40.0,Gardener 1 70.0,DUCHESS 3 90.0,DUCHESS 1 90.0,JOHN OF GAUNT 4 200.0,KING RICHARD II 7 40.0,HENRY PERCY 1 100.0,KING RICHARD II 7 40.0,GREEN 1 10.0,SIR STEPHEN SCROOP 1 210.0,HENRY BOLINGBROKE 3 230.0,NORTHUMBERLAND 3 80.0,HENRY BOLINGBROKE 14 230.0,BISHOP OF CARLISLE 1 50.0,KING RICHARD II 7 40.0,BAGOT 1 300.0,QUEEN 2 280.0,HENRY PERCY 2 100.0,NORTHUMBERLAND 5 80.0,Gardener 3 70.0,LORD WILLOUGHBY 1 220.0,NORTHUMBERLAND 1 80.0,QUEEN 1 280.0,KING RICHARD II 10 40.0,NORTHUMBERLAND 1 80.0,DUKE OF YORK 4 330.0,BAGOT 1 300.0,Groom 1 180.0,EARL OF SALISBURY 1 190.0
NORTHUMBERLAND 8 80.0,EARL OF SALISBURY 2 190.0,DUCHESS 6 90.0,JOHN OF GAUNT 2 200.0,Abbot 1 150.0,KING RICHARD II 16 40.0,DUCHESS 1 90.0,First Herald 1 60.0,JOHN OF GAUNT 3 200.0,SIR STEPHEN SCROOP 1 210.0,QUEEN 3 280.0,JOHN OF GAUNT 6 200.0,BAGOT 1 300.0,EARL OF SALISBURY 1 190.0,JOHN OF GAUNT 3 200.0,HENRY BOLINGBROKE 3 230.0,Gardener 4 70.0,JOHN OF GAUNT 2 200.0,DUKE OF AUMERLE 6 320.0,SIR STEPHEN SCROOP 1 210.0,JOHN OF GAUNT 1 200.0,BISHOP OF CARLISLE 4 50.0,NORTHUMBERLAND 15 80.0,HENRY PERCY 1 100.0,EARL OF SALISBURY 1 190.0,DUCHESS OF YORK 1 30.0,BAGOT 1 300.0,JOHN OF GAUNT 2 200.0,HENRY BOLINGBROKE 2 230.0,NORTHUMBERLAND 7 80.0,DUCHESS OF YORK 2 30.0,DUKE OF AUMERLE 1 320.0,LORD ROSS 1 140.0,DUKE OF YORK 2 330.0,KING RICHARD II 14 40.0,HENRY BOLINGBROKE 2 230.0,HENRY BOLINGBROKE 9 230.0,HENRY PERCY 1 100.0,DUCHESS OF YORK 2 30.0,HENRY PERCY 3 100.0,NORTHUMBERLAND 9 80.0,HENRY BOLINGBROKE 1 230.0,JOHN OF GAUNT 4 200.0,DUCHESS OF YORK 1 30.0,HENRY BOLINGBROKE 3 230.0,GREEN 1 10.0,BUSHY 1 340.0,Captain 1 310.0,DUCHESS 1 90.0,JOHN OF GAUNT 2 200.0
LORD ROSS 2 140.0,JOHN OF GAUNT 4 200.0,DUCHESS OF YORK 3 30.0,QUEEN 1 280.0,SIR STEPHEN SCROOP 1 210.0,LORD WILLOUGHBY 1 220.0,JOHN OF GAUNT 9 200.0,DUKE OF YORK 6 330.0,Lord 1 20.0,DUCHESS OF YORK 2 30.0,SIR STEPHEN SCROOP 1 210.0,QUEEN 2 280.0,HENRY BOLINGBROKE 3 230.0,JOHN OF GAUNT 1 200.0,QUEEN 3 280.0,DUKE OF YORK 3 330.0,SIR STEPHEN SCROOP 2 210.0,BISHOP OF CARLISLE 1 50.0,LORD ROSS 1 140.0,BISHOP OF CARLISLE 1 50.0,Abbot 1 150.0,DUKE OF YORK 4 330.0,DUCHESS 1 90.0,Second Herald 1 110.0,HENRY PERCY 1 100.0,KING RICHARD II 3 40.0,HENRY BOLINGBROKE 2 230.0,QUEEN 1 280.0,DUKE OF AUMERLE 1 320.0,HENRY PERCY 1 100.0,KING RICHARD II 21 40.0,DUKE OF YORK 3 330.0,Servant 1 170.0,,HENRY BOLINGBROKE 12 230.0,DUKE OF AUMERLE 2 320.0,DUKE OF AUMERLE 1 320.0,DUCHESS OF YORK 2 30.0,EARL OF SALISBURY 5 190.0,DUCHESS 1 90.0,HENRY PERCY 3 100.0,DUKE OF AUMERLE 2 320.0,KING RICHARD II 6 40.0,KING RICHARD II 21 40.0,DUKE OF YORK 1 330.0,SIR STEPHEN SCROOP 1 210.0,,DUKE OF AUMERLE 1 320.0,EARL OF SALISBURY 1 190.0,SIR STEPHEN SCROOP 2 210.0
JOHN OF GAUNT 1 200.0,DUCHESS OF YORK 2 30.0,JOHN OF GAUNT 3 200.0,DUCHESS OF YORK 1 30.0,DUCHESS OF YORK 4 30.0,HENRY BOLINGBROKE 8 230.0,QUEEN 1 280.0,BUSHY 1 340.0,BISHOP OF CARLISLE 2 50.0,KING RICHARD II 9 40.0,BISHOP OF CARLISLE 3 50.0,KING RICHARD II 10 40.0,DUKE OF AUMERLE 2 320.0,KING RICHARD II 7 40.0,Second Herald 1 110.0,Gardener 2 70.0,DUCHESS OF YORK 1 30.0,KING RICHARD II 7 40.0,GARDENER 1 290.0,KING RICHARD II 16 40.0,QUEEN 2 280.0,,HENRY PERCY 11 100.0,BISHOP OF CARLISLE 2 50.0,BISHOP OF CARLISLE 3 50.0,HENRY BOLINGBROKE 4 230.0,DUKE OF AUMERLE 1 320.0,Lord 1 20.0,DUKE OF YORK 1 330.0,DUCHESS 3 90.0,HENRY BOLINGBROKE 9 230.0,BUSHY 3 340.0,GREEN 4 10.0,,DUKE OF AUMERLE 1 320.0,DUKE OF YORK 1 330.0,DUKE OF YORK 4 330.0,JOHN OF GAUNT 1 200.0,JOHN OF GAUNT 1 200.0,DUCHESS OF YORK 3 30.0,Keeper 1 120.0,LORD ROSS 1 140.0,BISHOP OF CARLISLE 3 50.0,BISHOP OF CARLISLE 2 50.0,,DUCHESS OF YORK 1 30.0,,DUKE OF YORK 5 330.0,JOHN OF GAUNT 6 200.0,DUCHESS OF YORK 2 30.0
Second Herald 1 110.0,KING RICHARD II 8 40.0,Gardener 3 70.0,KING RICHARD II 11 40.0,KING RICHARD II 15 40.0,DUKE OF AUMERLE 1 320.0,SIR STEPHEN SCROOP 1 210.0,,KING RICHARD II 11 40.0,BAGOT 1 300.0,KING RICHARD II 6 40.0,BISHOP OF CARLISLE 2 50.0,DUKE OF YORK 3 330.0,BISHOP OF CARLISLE 2 50.0,BISHOP OF CARLISLE 5 50.0,,KING RICHARD II 17 40.0,HENRY BOLINGBROKE 6 230.0,,BAGOT 1 300.0,KING RICHARD II 5 40.0,,Keeper 2 120.0,KING RICHARD II 6 40.0,KING RICHARD II 2 40.0,DUKE OF AUMERLE 1 320.0,DUKE OF YORK 5 330.0,KING RICHARD II 1 40.0,BUSHY 2 340.0,EARL OF SALISBURY 3 190.0,DUKE OF AUMERLE 3 320.0,,Gardener 1 70.0,,DUKE OF YORK 2 330.0,BUSHY 2 340.0,,Gardener 1 70.0,Abbot 1 150.0,EARL OF SALISBURY 1 190.0,LORD ROSS 1 140.0,Gardener 2 70.0,Captain 1 310.0,DUKE OF AUMERLE 2 320.0,,KING RICHARD II 10 40.0,,,DUCHESS OF YORK 1 30.0,KING RICHARD II 7 40.0
