heart,heartLines,heartColor,old,oldLines,oldColor,fair,fairLines,fairColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,back,backLines,backColor,dead,deadLines,deadColor,die,dieLines,dieColor,dear,dearLines,dearColor,love,loveLines,loveColor,find,findLines,findColor,speak,speakLines,speakColor,gone,goneLines,goneColor,lie,lieLines,lieColor,death,deathLines,deathColor,mine,mineLines,mineColor,lady,ladyLines,ladyColor,away,awayLines,awayColor,night,nightLines,nightColor,father,fatherLines,fatherColor,young,youngLines,youngColor,god,godLines,godColor,call,callLines,callColor,take,takeLines,takeColor,lord,lordLines,lordColor,nurse,nurseLines,nurseColor,juliet,julietLines,julietColor,tell,tellLines,tellColor,eyes,eyesLines,eyesColor,stay,stayLines,stayColor,tybalt,tybaltLines,tybaltColor,men,menLines,menColor,hand,handLines,handColor,montague,montagueLines,montagueColor,part,partLines,partColor,romeo,romeoLines,romeoColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,heaven,heavenLines,heavenColor,word,wordLines,wordColor,wilt,wiltLines,wiltColor,light,lightLines,lightColor,marry,marryLines,marryColor,bed,bedLines,bedColor,face,faceLines,faceColor,paris,parisLines,parisColor,stand,standLines,standColor,time,timeLines,timeColor,friar,friarLines,friarColor
MERCUTIO,1,174.857142857,MERCUTIO,5,174.857142857,MERCUTIO,3,174.857142857,MERCUTIO,1,174.857142857,Musician,1,123.428571429,MERCUTIO,1,174.857142857,MERCUTIO,2,174.857142857,PARIS,1,144.0,FRIAR LAURENCE,6,216.0,MERCUTIO,9,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,2,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,6,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,3,174.857142857,MERCUTIO,2,174.857142857,MERCUTIO,3,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,2,174.857142857,MERCUTIO,2,174.857142857,PARIS,3,144.0,Servant,1,195.428571429,PARIS,2,144.0,MERCUTIO,2,174.857142857,MERCUTIO,2,174.857142857,Second Musician,1,102.857142857,MERCUTIO,2,174.857142857,MERCUTIO,2,174.857142857,MERCUTIO,1,174.857142857,SAMPSON,3,10.2857142857,FRIAR LAURENCE,7,216.0,MERCUTIO,9,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,10,174.857142857,FRIAR LAURENCE,11,216.0,MERCUTIO,3,174.857142857,MERCUTIO,3,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,3,174.857142857,MERCUTIO,1,174.857142857,MERCUTIO,3,174.857142857,FRIAR LAURENCE,5,216.0,MERCUTIO,2,174.857142857,MERCUTIO,3,174.857142857,FRIAR JOHN,1,205.714285714
PETER,4,154.285714286,FRIAR LAURENCE,5,216.0,PARIS,1,144.0,PETER,2,154.285714286,TYBALT,1,20.5714285714,SAMPSON,1,10.2857142857,TYBALT,1,20.5714285714,FRIAR LAURENCE,3,216.0,LADY CAPULET,1,30.8571428571,PARIS,7,144.0,First Watchman,1,72.0,TYBALT,1,20.5714285714,FRIAR LAURENCE,2,216.0,First Watchman,3,72.0,TYBALT,1,20.5714285714,PARIS,1,144.0,Second Capulet,1,0,First Servant,2,298.285714286,TYBALT,1,20.5714285714,PARIS,3,144.0,Servant,1,195.428571429,Servant,1,195.428571429,FRIAR LAURENCE,2,216.0,First Servant,1,298.285714286,FRIAR LAURENCE,2,216.0,FRIAR LAURENCE,2,216.0,FRIAR LAURENCE,6,216.0,Servant,1,195.428571429,FRIAR LAURENCE,1,216.0,FRIAR LAURENCE,7,216.0,First Citizen,1,185.142857143,First Watchman,1,72.0,FRIAR LAURENCE,1,216.0,TYBALT,2,20.5714285714,ROMEO,2,133.714285714,BALTHASAR,1,318.857142857,SAMPSON,1,10.2857142857,FRIAR LAURENCE,4,216.0,PETER,2,154.285714286,ROMEO,9,133.714285714,SAMPSON,1,10.2857142857,SAMPSON,1,10.2857142857,FRIAR LAURENCE,5,216.0,Musician,1,123.428571429,PARIS,1,144.0,TYBALT,1,20.5714285714,LADY CAPULET,3,30.8571428571,PARIS,1,144.0,Servant,1,195.428571429,FRIAR LAURENCE,4,216.0
FRIAR LAURENCE,2,216.0,LADY CAPULET,1,30.8571428571,FRIAR LAURENCE,5,216.0,TYBALT,1,20.5714285714,FRIAR LAURENCE,2,216.0,FRIAR LAURENCE,3,216.0,FRIAR LAURENCE,6,216.0,LADY CAPULET,1,30.8571428571,ROMEO,13,133.714285714,FRIAR LAURENCE,13,216.0,Servant,3,195.428571429,FRIAR LAURENCE,1,216.0,ROMEO,5,133.714285714,FRIAR LAURENCE,8,216.0,FRIAR LAURENCE,12,216.0,FRIAR LAURENCE,1,216.0,Servant,1,195.428571429,FRIAR LAURENCE,3,216.0,FRIAR LAURENCE,7,216.0,LADY CAPULET,2,30.8571428571,FRIAR LAURENCE,4,216.0,FRIAR LAURENCE,2,216.0,LADY CAPULET,3,30.8571428571,SAMPSON,3,10.2857142857,ROMEO,2,133.714285714,LADY CAPULET,4,30.8571428571,LADY CAPULET,4,30.8571428571,FRIAR LAURENCE,1,216.0,LADY CAPULET,2,30.8571428571,LADY CAPULET,1,30.8571428571,PARIS,1,144.0,SAMPSON,3,10.2857142857,LADY CAPULET,1,30.8571428571,LADY CAPULET,2,30.8571428571,BALTHASAR,1,318.857142857,TYBALT,3,20.5714285714,PARIS,1,144.0,LADY CAPULET,4,30.8571428571,SAMPSON,2,10.2857142857,Nurse,3,61.7142857143,TYBALT,2,20.5714285714,FRIAR LAURENCE,3,216.0,ROMEO,8,133.714285714,FRIAR LAURENCE,2,216.0,FRIAR LAURENCE,4,216.0,LADY CAPULET,1,30.8571428571,First Watchman,1,72.0,FRIAR LAURENCE,3,216.0,FRIAR LAURENCE,10,216.0,Third Watchman,1,226.285714286
ROMEO,7,133.714285714,ROMEO,2,133.714285714,LADY CAPULET,2,30.8571428571,FRIAR LAURENCE,6,216.0,ROMEO,8,133.714285714,LADY CAPULET,1,30.8571428571,LADY CAPULET,1,30.8571428571,ROMEO,5,133.714285714,Nurse,1,61.7142857143,LADY CAPULET,5,30.8571428571,FRIAR JOHN,1,205.714285714,LADY CAPULET,3,30.8571428571,First Musician,1,236.571428571,LADY CAPULET,1,30.8571428571,LADY CAPULET,4,30.8571428571,ROMEO,13,133.714285714,FRIAR LAURENCE,6,216.0,ROMEO,2,133.714285714,LADY CAPULET,1,30.8571428571,ROMEO,7,133.714285714,LADY CAPULET,2,30.8571428571,ROMEO,1,133.714285714,ROMEO,7,133.714285714,FRIAR LAURENCE,4,216.0,BALTHASAR,1,318.857142857,ROMEO,7,133.714285714,First Watchman,2,72.0,LADY CAPULET,3,30.8571428571,ROMEO,13,133.714285714,First Watchman,1,72.0,FRIAR LAURENCE,5,216.0,FRIAR LAURENCE,2,216.0,Second Servant,1,41.1428571429,PARIS,2,144.0,Nurse,1,61.7142857143,Second Watchman,1,113.142857143,FRIAR LAURENCE,4,216.0,First Watchman,1,72.0,TYBALT,1,20.5714285714,CAPULET,2,92.5714285714,FRIAR LAURENCE,2,216.0,LADY CAPULET,3,30.8571428571,MONTAGUE,1,51.4285714286,LADY CAPULET,2,30.8571428571,LADY CAPULET,1,30.8571428571,ROMEO,2,133.714285714,ROMEO,2,133.714285714,LADY CAPULET,1,30.8571428571,LADY CAPULET,4,30.8571428571,First Watchman,2,72.0
Nurse,3,61.7142857143,Nurse,3,61.7142857143,ROMEO,14,133.714285714,LADY CAPULET,4,30.8571428571,MONTAGUE,1,51.4285714286,ROMEO,4,133.714285714,First Watchman,3,72.0,JULIET,7,288.0,PRINCE,1,277.714285714,ROMEO,46,133.714285714,FRIAR LAURENCE,4,216.0,ROMEO,6,133.714285714,BALTHASAR,2,318.857142857,Second Servant,1,41.1428571429,ROMEO,17,133.714285714,MONTAGUE,1,51.4285714286,ROMEO,10,133.714285714,MONTAGUE,2,51.4285714286,ROMEO,12,133.714285714,MONTAGUE,1,51.4285714286,ROMEO,3,133.714285714,PARIS,1,144.0,PRINCE,1,277.714285714,LADY CAPULET,2,30.8571428571,PAGE,1,308.571428571,Nurse,1,61.7142857143,ROMEO,15,133.714285714,First Watchman,1,72.0,Nurse,1,61.7142857143,ROMEO,8,133.714285714,LADY CAPULET,3,30.8571428571,Second Servant,1,41.1428571429,ROMEO,11,133.714285714,Nurse,1,61.7142857143,CAPULET,2,92.5714285714,FRIAR LAURENCE,18,216.0,LADY CAPULET,1,30.8571428571,ROMEO,5,133.714285714,Second Watchman,1,113.142857143,PRINCE,1,277.714285714,ROMEO,6,133.714285714,ROMEO,6,133.714285714,JULIET,4,288.0,Second Servant,1,41.1428571429,ROMEO,2,133.714285714,PARIS,3,144.0,NURSE,2,82.2857142857,ROMEO,6,133.714285714,ROMEO,3,133.714285714,ROMEO,5,133.714285714
JULIET,10,288.0,JULIET,1,288.0,Nurse,1,61.7142857143,ROMEO,8,133.714285714,PARIS,2,144.0,GREGORY,1,257.142857143,ROMEO,6,133.714285714,PRINCE,1,277.714285714,JULIET,4,288.0,BALTHASAR,1,318.857142857,LADY CAPULET,3,30.8571428571,MONTAGUE,1,51.4285714286,Nurse,3,61.7142857143,ROMEO,5,133.714285714,PARIS,4,144.0,Nurse,1,61.7142857143,PARIS,1,144.0,PAGE,1,308.571428571,PARIS,1,144.0,BALTHASAR,1,318.857142857,Nurse,6,61.7142857143,Nurse,13,61.7142857143,Apothecary,1,329.142857143,Second Servant,1,41.1428571429,Nurse,8,61.7142857143,CAPULET,2,92.5714285714,MONTAGUE,1,51.4285714286,ROMEO,11,133.714285714,CAPULET,1,92.5714285714,MONTAGUE,1,51.4285714286,ROMEO,8,133.714285714,JULIET,2,288.0,Nurse,1,61.7142857143,CAPULET,4,92.5714285714,PRINCE,1,277.714285714,LADY CAPULET,3,30.8571428571,ROMEO,5,133.714285714,Nurse,16,61.7142857143,FRIAR LAURENCE,9,216.0,JULIET,6,288.0,Nurse,2,61.7142857143,Nurse,4,61.7142857143,PAGE,1,308.571428571,ROMEO,1,133.714285714,MONTAGUE,1,51.4285714286,Nurse,3,61.7142857143,CAPULET,4,92.5714285714,Nurse,5,61.7142857143,PARIS,1,144.0,Nurse,2,61.7142857143
BENVOLIO,1,349.714285714,PRINCE,3,277.714285714,JULIET,2,288.0,MONTAGUE,2,51.4285714286,JULIET,14,288.0,CAPULET,1,92.5714285714,MONTAGUE,1,51.4285714286,BENVOLIO,3,349.714285714, , , ,Nurse,3,61.7142857143,Second Servant,1,41.1428571429,Nurse,4,61.7142857143,CAPULET,4,92.5714285714,CAPULET,3,92.5714285714,BALTHASAR,3,318.857142857,JULIET,5,288.0,PAGE,1,308.571428571,GREGORY,1,257.142857143,Nurse,7,61.7142857143,BENVOLIO,2,349.714285714,BENVOLIO,1,349.714285714,CAPULET,5,92.5714285714,Nurse,2,61.7142857143,ROMEO,8,133.714285714,JULIET,9,288.0,JULIET,20,288.0,BALTHASAR,1,318.857142857,BALTHASAR,1,318.857142857,BENVOLIO,2,349.714285714,BALTHASAR,1,318.857142857,MONTAGUE,1,51.4285714286,PRINCE,2,277.714285714,CAPULET,1,92.5714285714,PRINCE,4,277.714285714,BENVOLIO,7,349.714285714,First Watchman,2,72.0,MONTAGUE,3,51.4285714286,JULIET,7,288.0,LADY CAPULET,1,30.8571428571, , , ,PRINCE,2,277.714285714,BENVOLIO,1,349.714285714,CAPULET,4,92.5714285714,GREGORY,1,257.142857143,Nurse,3,61.7142857143,BENVOLIO,1,349.714285714,Nurse,2,61.7142857143,CAPULET,2,92.5714285714,First Musician,1,236.571428571,CAPULET,2,92.5714285714
CAPULET,5,92.5714285714,BENVOLIO,2,349.714285714,BENVOLIO,4,349.714285714,PARIS,5,144.0, , , ,Nurse,2,61.7142857143,PARIS,1,144.0,CAPULET,3,92.5714285714, , , ,JULIET,34,288.0,ROMEO,2,133.714285714,CAPULET,2,92.5714285714,BENVOLIO,3,349.714285714,Nurse,1,61.7142857143,Apothecary,1,329.142857143,CAPULET,3,92.5714285714,Nurse,14,61.7142857143,Nurse,2,61.7142857143,JULIET,21,288.0,JULIET,9,288.0,CAPULET,4,92.5714285714,JULIET,8,288.0,CAPULET,3,92.5714285714,GREGORY,2,257.142857143,NURSE,2,82.2857142857, , , ,Nurse,4,61.7142857143,Nurse,8,61.7142857143,JULIET,4,288.0,Nurse,3,61.7142857143,Nurse,5,61.7142857143,Apothecary,1,329.142857143,PRINCE,2,277.714285714,JULIET,5,288.0,JULIET,2,288.0,ROMEO,5,133.714285714,First Watchman,1,72.0,BENVOLIO,2,349.714285714,First Watchman,1,72.0, , , ,JULIET,11,288.0,JULIET,8,288.0, , , ,JULIET,2,288.0,JULIET,3,288.0,JULIET,7,288.0,JULIET,2,288.0,PAGE,1,308.571428571,Nurse,2,61.7142857143,PRINCE,1,277.714285714
 , , ,CAPULET,3,92.5714285714,CAPULET,5,92.5714285714,First Musician,2,236.571428571, , , ,BENVOLIO,3,349.714285714,Nurse,6,61.7142857143, , , , , , ,PRINCE,2,277.714285714,TYBALT,1,20.5714285714,JULIET,10,288.0,JULIET,7,288.0,ABRAHAM,1,267.428571429,Nurse,2,61.7142857143, , , ,JULIET,2,288.0,BENVOLIO,3,349.714285714,LADY  CAPULET,1,339.428571429, , , , , , , , , ,PAGE,2,308.571428571,JULIET,6,288.0,CAPULET,2,92.5714285714, , , ,CAPULET,4,92.5714285714,JULIET,8,288.0, , , ,JULIET,4,288.0,CAPULET,2,92.5714285714,GREGORY,1,257.142857143,BENVOLIO,2,349.714285714, , , , , , ,MONTAGUE,1,51.4285714286,PRINCE,1,277.714285714,CAPULET,3,92.5714285714,ROMEO,13,133.714285714, , , , , , , , , , , , ,Nurse,7,61.7142857143,CAPULET,4,92.5714285714, , , , , , ,BENVOLIO,1,349.714285714,CAPULET,5,92.5714285714,JULIET,4,288.0
 , , , , , , , , ,BALTHASAR,1,318.857142857, , , ,JULIET,9,288.0,CAPULET,1,92.5714285714, , , , , , ,BENVOLIO,6,349.714285714,Nurse,3,61.7142857143, , , , , , ,PRINCE,2,277.714285714,CAPULET,5,92.5714285714, , , ,NURSE,1,82.2857142857,JULIET,4,288.0,CAPULET,8,92.5714285714, , , , , , , , , ,BENVOLIO,1,349.714285714,Nurse,5,61.7142857143, , , , , , ,PRINCE,2,277.714285714,NURSE,1,82.2857142857, , , ,BENVOLIO,1,349.714285714,BENVOLIO,12,349.714285714,ROMEO,5,133.714285714,JULIET,10,288.0, , , , , , ,PRINCE,4,277.714285714,JULIET,9,288.0, , , ,PRINCE,2,277.714285714, , , , , , , , , , , , ,CAPULET,2,92.5714285714, , , , , , , , , ,JULIET,1,288.0,PRINCE,1,277.714285714, , , 
