hortensio,hortensioLines,hortensioColor,love,loveLines,loveColor,fair,fairLines,fairColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,mine,mineLines,mineColor,son,sonLines,sonColor,grumio,grumioLines,grumioColor,please,pleaseLines,pleaseColor,old,oldLines,oldColor,petruchio,petruchioLines,petruchioColor,kate,kateLines,kateColor,baptista,baptistaLines,baptistaColor,call,callLines,callColor,pray,prayLines,prayColor,god,godLines,godColor,away,awayLines,awayColor,father,fatherLines,fatherColor,two,twoLines,twoColor,lucentio,lucentioLines,lucentioColor,master,masterLines,masterColor,take,takeLines,takeColor,house,houseLines,houseColor,lord,lordLines,lordColor,tell,tellLines,tellColor,life,lifeLines,lifeColor,never,neverLines,neverColor,tranio,tranioLines,tranioColor,knock,knockLines,knockColor,welcome,welcomeLines,welcomeColor,stay,stayLines,stayColor,bianca,biancaLines,biancaColor,gentleman,gentlemanLines,gentlemanColor,padua,paduaLines,paduaColor,sirrah,sirrahLines,sirrahColor,world,worldLines,worldColor,mistress,mistressLines,mistressColor,katharina,katharinaLines,katharinaColor,man,manLines,manColor,signior,signiorLines,signiorColor,daughter,daughterLines,daughterColor,wife,wifeLines,wifeColor,marry,marryLines,marryColor,leave,leaveLines,leaveColor,gremio,gremioLines,gremioColor,time,timeLines,timeColor,hear,hearLines,hearColor,mean,meanLines,meanColor,husband,husbandLines,husbandColor,first,firstLines,firstColor
HORTENSIO,5,85.2631578947,HORTENSIO,4,85.2631578947,HORTENSIO,3,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,3,85.2631578947,TRANIO,3,9.47368421053,HORTENSIO,7,85.2631578947,HORTENSIO,1,85.2631578947,HORTENSIO,3,85.2631578947,HORTENSIO,13,85.2631578947,BIANCA,1,227.368421053,HORTENSIO,7,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,1,85.2631578947,HORTENSIO,2,85.2631578947,GRUMIO,3,170.526315789,HORTENSIO,3,85.2631578947,HORTENSIO,1,85.2631578947,HORTENSIO,3,85.2631578947,GRUMIO,1,170.526315789,First Servant,1,312.631578947,HORTENSIO,4,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,4,85.2631578947,TRANIO,1,9.47368421053,Pedant,1,123.157894737,GRUMIO,1,170.526315789,TRANIO,3,9.47368421053,HORTENSIO,7,85.2631578947,HORTENSIO,4,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,2,85.2631578947,HORTENSIO,3,85.2631578947,HORTENSIO,5,85.2631578947,HORTENSIO,4,85.2631578947,HORTENSIO,4,85.2631578947,HORTENSIO,8,85.2631578947,HORTENSIO,3,85.2631578947,HORTENSIO,4,85.2631578947,HORTENSIO,3,85.2631578947,HORTENSIO,6,85.2631578947,HORTENSIO,4,85.2631578947,HORTENSIO,1,85.2631578947,GRUMIO,1,170.526315789,HORTENSIO,1,85.2631578947,HORTENSIO,4,85.2631578947,GRUMIO,3,170.526315789
TRANIO,2,9.47368421053,TRANIO,13,9.47368421053,GRUMIO,1,170.526315789,GRUMIO,2,170.526315789,TRANIO,3,9.47368421053,TRANIO,5,9.47368421053,BAPTISTA,5,18.9473684211,GRUMIO,2,170.526315789,TRANIO,2,9.47368421053,GRUMIO,4,170.526315789,TRANIO,2,9.47368421053,HORTENSIO,1,85.2631578947,TRANIO,10,9.47368421053,GRUMIO,4,170.526315789,GRUMIO,1,170.526315789,GRUMIO,1,170.526315789,GRUMIO,1,170.526315789,TRANIO,16,9.47368421053,TRANIO,3,9.47368421053,TRANIO,10,9.47368421053,GRUMIO,15,170.526315789,GRUMIO,4,170.526315789,TRANIO,4,9.47368421053,KATHARINA,3,350.526315789,GRUMIO,4,170.526315789,GRUMIO,1,170.526315789,GRUMIO,1,170.526315789,BAPTISTA,1,18.9473684211,GRUMIO,9,170.526315789,TRANIO,5,9.47368421053,BAPTISTA,1,18.9473684211,TRANIO,10,9.47368421053,TRANIO,3,9.47368421053,TRANIO,5,9.47368421053,TRANIO,2,9.47368421053,GRUMIO,1,170.526315789,GRUMIO,6,170.526315789,GRUMIO,1,170.526315789,GRUMIO,5,170.526315789,TRANIO,7,9.47368421053,TRANIO,8,9.47368421053,CURTIS,1,0,GRUMIO,2,170.526315789,GRUMIO,1,170.526315789,TRANIO,6,9.47368421053,TRANIO,2,9.47368421053,CURTIS,2,0,TRANIO,2,9.47368421053,BAPTISTA,1,18.9473684211,TRANIO,1,9.47368421053
BAPTISTA,1,18.9473684211,BAPTISTA,6,18.9473684211,TRANIO,4,9.47368421053,TRANIO,2,9.47368421053,KATHARINA,1,350.526315789,BAPTISTA,1,18.9473684211,Pedant,4,123.157894737,CURTIS,4,0,BAPTISTA,1,18.9473684211,TRANIO,3,9.47368421053,BAPTISTA,9,18.9473684211,PETRUCHIO,50,217.894736842,Pedant,3,123.157894737,CURTIS,2,0,CURTIS,1,0,TRANIO,3,9.47368421053,CURTIS,2,0,BAPTISTA,3,18.9473684211,KATHARINA,1,350.526315789,BAPTISTA,9,18.9473684211,CURTIS,2,0,TRANIO,4,9.47368421053,BAPTISTA,2,18.9473684211,HORTENSIA,1,104.210526316,CURTIS,1,0,TRANIO,3,9.47368421053,TRANIO,2,9.47368421053,VINCENTIO,2,265.263157895,PETRUCHIO,7,217.894736842,BAPTISTA,6,18.9473684211,Pedant,1,123.157894737,BAPTISTA,10,18.9473684211,BAPTISTA,1,18.9473684211,BAPTISTA,2,18.9473684211,BAPTISTA,1,18.9473684211,CURTIS,1,0,CURTIS,1,0,TRANIO,1,9.47368421053,TRANIO,2,9.47368421053,BAPTISTA,7,18.9473684211,BAPTISTA,16,18.9473684211,TRANIO,2,9.47368421053,TRANIO,4,9.47368421053,TRANIO,1,9.47368421053,BAPTISTA,6,18.9473684211,KATHARINA,1,350.526315789,TRANIO,2,9.47368421053,Pedant,1,123.157894737,PETRUCHIO,2,217.894736842,BAPTISTA,1,18.9473684211
PETRUCHIO,12,217.894736842,Pedant,2,123.157894737,BAPTISTA,1,18.9473684211,BAPTISTA,1,18.9473684211,BIANCA,1,227.368421053,Pedant,1,123.157894737,PETRUCHIO,6,217.894736842,KATHARINA,1,350.526315789,Pedant,1,123.157894737,BAPTISTA,2,18.9473684211,PETRUCHIO,3,217.894736842,BAPTISTA,1,18.9473684211,VINCENTIO,1,265.263157895,TRANIO,2,9.47368421053,TRANIO,6,9.47368421053,BAPTISTA,2,18.9473684211,TRANIO,1,9.47368421053,Servant,1,198.947368421,BIANCA,1,227.368421053,Pedant,2,123.157894737,TRANIO,16,9.47368421053,BAPTISTA,3,18.9473684211,GREMIO,3,331.578947368,BIANCA,1,227.368421053,TRANIO,6,9.47368421053,Pedant,3,123.157894737,BAPTISTA,1,18.9473684211,BIANCA,2,227.368421053,GREMIO,1,331.578947368,PETRUCHIO,2,217.894736842,PETRUCHIO,6,217.894736842,BIANCA,1,227.368421053,PETRUCHIO,3,217.894736842,Pedant,2,123.157894737,LUCENTIO,2,132.631578947,TRANIO,1,9.47368421053,TRANIO,4,9.47368421053,BAPTISTA,8,18.9473684211,BAPTISTA,2,18.9473684211,Pedant,4,123.157894737,Pedant,2,123.157894737,BAPTISTA,1,18.9473684211,BAPTISTA,1,18.9473684211,BAPTISTA,2,18.9473684211,KATHARINA,1,350.526315789,BIANCA,2,227.368421053,BAPTISTA,2,18.9473684211,PETRUCHIO,8,217.894736842,GREMIO,1,331.578947368,PETRUCHIO,8,217.894736842
BIANCA,1,227.368421053,KATHARINA,8,350.526315789,PETRUCHIO,2,217.894736842,KATHARINA,2,350.526315789,GREMIO,1,331.578947368,PETRUCHIO,8,217.894736842,LUCENTIO,3,132.631578947,JOSEPH,1,161.052631579,BIANCA,2,227.368421053,KATHARINA,1,350.526315789,GREMIO,3,331.578947368, , , ,GREMIO,5,331.578947368,BAPTISTA,1,18.9473684211,BAPTISTA,3,18.9473684211,Pedant,2,123.157894737,BAPTISTA,2,18.9473684211,KATHARINA,4,350.526315789,GREMIO,1,331.578947368,PETRUCHIO,2,217.894736842,VINCENTIO,2,265.263157895,KATHARINA,3,350.526315789,LUCENTIO,2,132.631578947,GREMIO,1,331.578947368,BAPTISTA,3,18.9473684211,KATHARINA,1,350.526315789,KATHARINA,6,350.526315789,LUCENTIO,25,132.631578947, , , ,BIANCA,1,227.368421053,LUCENTIO,2,132.631578947,GREMIO,1,331.578947368,GREMIO,2,331.578947368,VINCENTIO,1,265.263157895,GREMIO,1,331.578947368,PETRUCHIO,7,217.894736842,Servant,1,198.947368421,PETRUCHIO,6,217.894736842,KATHARINA,2,350.526315789,VINCENTIO,1,265.263157895,PETRUCHIO,3,217.894736842,PETRUCHIO,12,217.894736842,PETRUCHIO,4,217.894736842,Servant,1,198.947368421,GREMIO,1,331.578947368,LUCENTIO,5,132.631578947,Pedant,2,123.157894737,BIANCA,1,227.368421053,KATHARINA,6,350.526315789,BIANCA,1,227.368421053
GREMIO,6,331.578947368,BIANCA,1,227.368421053,LUCENTIO,3,132.631578947,BIANCA,1,227.368421053,VINCENTIO,1,265.263157895,GREMIO,2,331.578947368,VINCENTIO,4,265.263157895,Tailor,1,56.8421052632,KATHARINA,6,350.526315789,BIANCA,2,227.368421053,BIONDELLO,3,142.105263158, , , ,BIONDELLO,1,142.105263158,PETRUCHIO,4,217.894736842,Servant,1,198.947368421,KATHARINA,2,350.526315789,Pedant,1,123.157894737,BIANCA,1,227.368421053,VINCENTIO,1,265.263157895,BIANCA,1,227.368421053,BIANCA,5,227.368421053,BIANCA,4,227.368421053,PETRUCHIO,7,217.894736842,PETRUCHIO,2,217.894736842,KATHARINA,3,350.526315789,LUCENTIO,1,132.631578947,BIANCA,1,227.368421053,BIONDELLO,1,142.105263158, , , ,LUCENTIO,3,132.631578947,GREMIO,1,331.578947368,BIONDELLO,1,142.105263158,BIONDELLO,1,142.105263158,LUCENTIO,3,132.631578947,PETRUCHIO,8,217.894736842,LUCENTIO,3,132.631578947,VINCENTIO,2,265.263157895,LUCENTIO,2,132.631578947,GREMIO,3,331.578947368,GREMIO,6,331.578947368,LUCENTIO,2,132.631578947,GREMIO,4,331.578947368,GREMIO,1,331.578947368,KATHARINA,2,350.526315789,PETRUCHIO,1,217.894736842,BIONDELLO,1,142.105263158,BIANCA,2,227.368421053,GREMIO,2,331.578947368,VINCENTIO,1,265.263157895,LUCENTIO,3,132.631578947
LUCENTIO,1,132.631578947,LUCENTIO,5,132.631578947,VINCENTIO,1,265.263157895,GREMIO,2,331.578947368,LUCENTIO,4,132.631578947,VINCENTIO,1,265.263157895,BIONDELLO,1,142.105263158,PHILIP,1,255.789473684, , , ,LUCENTIO,2,132.631578947,LUCENTIO,1,132.631578947, , , ,PETRUCHIO,1,217.894736842,BIANCA,2,227.368421053,PETRUCHIO,4,217.894736842,BIANCA,1,227.368421053,KATHARINA,1,350.526315789,Pedant,2,123.157894737,BIONDELLO,3,142.105263158,LUCENTIO,5,132.631578947,LUCENTIO,2,132.631578947,LUCENTIO,2,132.631578947, , , ,Page,1,274.736842105,LUCENTIO,2,132.631578947,BIONDELLO,1,142.105263158,LUCENTIO,2,132.631578947,PETRUCHIO,1,217.894736842, , , ,VINCENTIO,1,265.263157895,KATHARINA,4,350.526315789,LUCENTIO,5,132.631578947,KATHARINA,2,350.526315789,BIONDELLO,1,142.105263158, , , ,BIONDELLO,1,142.105263158,LUCENTIO,5,132.631578947,GREMIO,1,331.578947368,VINCENTIO,1,265.263157895,PETRUCHIO,8,217.894736842,BIONDELLO,1,142.105263158,KATHARINA,1,350.526315789,BIONDELLO,1,142.105263158,LUCENTIO,5,132.631578947, , , ,Tailor,1,56.8421052632,LUCENTIO,1,132.631578947,BIONDELLO,1,142.105263158,Widow,2,284.210526316,GREMIO,3,331.578947368
KATHARINA,1,350.526315789,GREMIO,5,331.578947368,BIONDELLO,1,142.105263158,LUCENTIO,2,132.631578947,PETRUCHIO,11,217.894736842,BIONDELLO,1,142.105263158,KATHARINA,1,350.526315789,NICHOLAS,1,151.578947368, , , ,VINCENTIO,1,265.263157895,KATHARINA,1,350.526315789, , , , , , ,GREMIO,1,331.578947368,BIANCA,1,227.368421053,GREMIO,2,331.578947368,PETRUCHIO,10,217.894736842,LUCENTIO,6,132.631578947,PETRUCHIO,5,217.894736842,GREMIO,1,331.578947368,BIONDELLO,9,142.105263158,BIONDELLO,2,142.105263158, , , ,Widow,1,284.210526316,VINCENTIO,1,265.263157895,GREMIO,1,331.578947368,VINCENTIO,1,265.263157895, , , , , , ,NATHANIEL,1,113.684210526, , , , , , , , , ,GREMIO,1,331.578947368, , , ,KATHARINA,3,350.526315789,KATHARINA,1,350.526315789,KATHARINA,4,350.526315789,BIONDELLO,1,142.105263158, , , ,KATHARINA,1,350.526315789, , , ,KATHARINA,2,350.526315789,GREMIO,1,331.578947368, , , ,PETRUCHIO,5,217.894736842,BIONDELLO,1,142.105263158,Tailor,1,56.8421052632, , , ,KATHARINA,3,350.526315789
 , , ,PETRUCHIO,10,217.894736842,GREMIO,1,331.578947368,PETRUCHIO,8,217.894736842, , , ,LUCENTIO,2,132.631578947, , , ,PETRUCHIO,4,217.894736842, , , ,BIONDELLO,9,142.105263158, , , , , , , , , ,KATHARINA,3,350.526315789,Pedant,1,123.157894737,VINCENTIO,1,265.263157895, , , ,VINCENTIO,3,265.263157895, , , ,VINCENTIO,4,265.263157895,Tailor,1,56.8421052632,GREMIO,5,331.578947368, , , , , , ,BIONDELLO,1,142.105263158,PETRUCHIO,3,217.894736842,BIONDELLO,2,142.105263158, , , , , , , , , , , , , , , , , , ,PETRUCHIO,6,217.894736842, , , ,Widow,1,284.210526316,PETRUCHIO,2,217.894736842, , , ,LUCENTIO,6,132.631578947, , , , , , , , , , , , ,PETRUCHIO,5,217.894736842, , , , , , ,GREMIO,1,331.578947368,KATHARINA,7,350.526315789, , , , , , 
 , , , , , ,KATHARINA,5,350.526315789, , , , , , ,KATHARINA,1,350.526315789, , , ,NATHANIEL,1,113.684210526, , , ,GREMIO,2,331.578947368, , , , , , , , , , , , ,GREMIO,4,331.578947368,BIONDELLO,2,142.105263158, , , ,BIONDELLO,3,142.105263158, , , , , , ,PETRUCHIO,3,217.894736842,PETRUCHIO,10,217.894736842, , , , , , ,GREMIO,2,331.578947368, , , ,GREMIO,1,331.578947368, , , , , , , , , , , , , , , , , , , , , , , , , , , ,BIONDELLO,1,142.105263158, , , ,PETRUCHIO,9,217.894736842, , , , , , , , , , , , , , , , , , , , , ,PETRUCHIO,5,217.894736842,Widow,1,284.210526316, , , , , , 
