heart,heartLines,heartColor,love,loveLines,loveColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,toby,tobyLines,tobyColor,mine,mineLines,mineColor,fellow,fellowLines,fellowColor,master,masterLines,masterColor,soul,soulLines,soulColor,dear,dearLines,dearColor,speak,speakLines,speakColor,leave,leaveLines,leaveColor,fool,foolLines,foolColor,true,trueLines,trueColor,away,awayLines,awayColor,peace,peaceLines,peaceColor,gentleman,gentlemanLines,gentlemanColor,two,twoLines,twoColor,better,betterLines,betterColor,cesario,cesarioLines,cesarioColor,enough,enoughLines,enoughColor,call,callLines,callColor,take,takeLines,takeColor,house,houseLines,houseColor,lord,lordLines,lordColor,tell,tellLines,tellColor,niece,nieceLines,nieceColor,lady,ladyLines,ladyColor,life,lifeLines,lifeColor,malvolio,malvolioLines,malvolioColor,never,neverLines,neverColor,none,noneLines,noneColor,hand,handLines,handColor,reason,reasonLines,reasonColor,mad,madLines,madColor,letter,letterLines,letterColor,nothing,nothingLines,nothingColor,hold,holdLines,holdColor,orsino,orsinoLines,orsinoColor,man,manLines,manColor,count,countLines,countColor,faith,faithLines,faithColor,great,greatLines,greatColor,knight,knightLines,knightColor,brother,brotherLines,brotherColor,keep,keepLines,keepColor,youth,youthLines,youthColor,matter,matterLines,matterColor,time,timeLines,timeColor,topas,topasLines,topasColor
DUKE ORSINO,5,20.0,ANTONIO,7,0,DUKE ORSINO,9,20.0,DUKE ORSINO,6,20.0,SIR TOBY BELCH,1,60.0,DUKE ORSINO,2,20.0,DUKE ORSINO,3,20.0,DUKE ORSINO,4,20.0,DUKE ORSINO,3,20.0,DUKE ORSINO,4,20.0,DUKE ORSINO,2,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,3,20.0,DUKE ORSINO,2,20.0,SIR TOBY BELCH,5,60.0,DUKE ORSINO,2,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,2,20.0,DUKE ORSINO,7,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,3,20.0,SEBASTIAN,1,80.0,ANTONIO,1,0,DUKE ORSINO,3,20.0,Clown,1,120.0,CURIO,1,40.0,DUKE ORSINO,1,20.0,SIR TOBY BELCH,2,60.0,DUKE ORSINO,2,20.0,SIR TOBY BELCH,2,60.0,DUKE ORSINO,1,20.0,SIR TOBY BELCH,3,60.0,SIR TOBY BELCH,1,60.0,SIR TOBY BELCH,3,60.0,SIR TOBY BELCH,1,60.0,DUKE ORSINO,3,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,1,20.0,Captain,1,280.0,DUKE ORSINO,2,20.0,SEBASTIAN,1,80.0,SIR TOBY BELCH,10,60.0,DUKE ORSINO,1,20.0,ANTONIO,1,0,DUKE ORSINO,3,20.0,DUKE ORSINO,1,20.0,DUKE ORSINO,4,20.0,SIR TOBY BELCH,2,60.0
SIR TOBY BELCH,1,60.0,DUKE ORSINO,18,20.0,SIR TOBY BELCH,7,60.0,SEBASTIAN,1,80.0,MALVOLIO,7,100.0,Captain,1,280.0,SIR TOBY BELCH,2,60.0,SIR TOBY BELCH,2,60.0,SIR TOBY BELCH,4,60.0,SEBASTIAN,1,80.0,SIR TOBY BELCH,2,60.0,SIR TOBY BELCH,1,60.0,SIR TOBY BELCH,1,60.0,SEBASTIAN,1,80.0,SIR TOBY BELCH,1,60.0,Clown,3,120.0,SIR TOBY BELCH,8,60.0,SIR TOBY BELCH,3,60.0,SIR TOBY BELCH,2,60.0,OLIVIA,7,200.0,SIR TOBY BELCH,3,60.0,SIR TOBY BELCH,3,60.0,SEBASTIAN,1,80.0,SIR TOBY BELCH,3,60.0,DUKE ORSINO,1,20.0,SIR TOBY BELCH,2,60.0,SIR TOBY BELCH,9,60.0,SEBASTIAN,3,80.0,SIR TOBY BELCH,4,60.0,MALVOLIO,4,100.0,SEBASTIAN,1,80.0,MALVOLIO,2,100.0,SEBASTIAN,1,80.0,MALVOLIO,1,100.0,MALVOLIO,3,100.0,MALVOLIO,4,100.0,MALVOLIO,2,100.0,SIR TOBY BELCH,5,60.0,Captain,1,280.0,SEBASTIAN,2,80.0,SIR TOBY BELCH,1,60.0,SIR TOBY BELCH,1,60.0,MARIA,4,340.0,MALVOLIO,1,100.0,SEBASTIAN,2,80.0,SIR TOBY BELCH,1,60.0,SIR TOBY BELCH,5,60.0,SIR TOBY BELCH,2,60.0,SIR TOBY BELCH,2,60.0,MALVOLIO,6,100.0
MALVOLIO,1,100.0,Captain,2,280.0,MALVOLIO,2,100.0,SIR TOBY BELCH,1,60.0,Clown,5,120.0,SIR TOBY BELCH,1,60.0,MALVOLIO,4,100.0,MALVOLIO,1,100.0,MALVOLIO,2,100.0,SIR TOBY BELCH,5,60.0,MALVOLIO,6,100.0,MALVOLIO,2,100.0,MARIA,3,340.0,MALVOLIO,2,100.0,MALVOLIO,2,100.0,FABIAN,6,180.0,Servant,1,160.0,Clown,6,120.0,MALVOLIO,2,100.0,Clown,1,120.0,MALVOLIO,1,100.0,MARIA,1,340.0,SIR TOBY BELCH,6,60.0,MALVOLIO,5,100.0,SIR TOBY BELCH,1,60.0,MALVOLIO,5,100.0,MALVOLIO,1,100.0,SIR TOBY BELCH,3,60.0,MALVOLIO,3,100.0,Clown,4,120.0,SIR TOBY BELCH,4,60.0,Clown,2,120.0,SIR TOBY BELCH,2,60.0,Clown,1,120.0,Clown,7,120.0,Clown,2,120.0,Clown,4,120.0,Clown,3,120.0,Servant,1,160.0,SIR TOBY BELCH,10,60.0,Servant,1,160.0,Clown,2,120.0,MALVOLIO,3,100.0,Clown,3,120.0,SIR TOBY BELCH,1,60.0,MALVOLIO,1,100.0,Clown,1,120.0,Clown,2,120.0,MALVOLIO,3,100.0,Clown,3,120.0
Clown,1,120.0,SIR TOBY BELCH,1,60.0,Clown,5,120.0,MALVOLIO,3,100.0,FABIAN,4,180.0,Clown,1,120.0,Clown,2,120.0,Clown,5,120.0,Clown,3,120.0,MALVOLIO,1,100.0,Clown,1,120.0,Clown,3,120.0,MALVOLIO,15,100.0,Clown,5,120.0,Clown,6,120.0,OLIVIA,2,200.0,MALVOLIO,1,100.0,ANTONIO,2,0,Clown,4,120.0,VIOLA,1,240.0,Clown,2,120.0,MALVOLIO,1,100.0,MALVOLIO,4,100.0,Clown,3,120.0,MALVOLIO,2,100.0,Clown,5,120.0,VIOLA,1,240.0,DUKE ORSINO,3,20.0,Clown,1,120.0,FABIAN,1,180.0,MALVOLIO,4,100.0,ANTONIO,1,0,MALVOLIO,11,100.0,FABIAN,2,180.0,FABIAN,1,180.0,FABIAN,4,180.0,FABIAN,2,180.0,ANTONIO,1,0,ANTONIO,3,0,MALVOLIO,11,100.0,MALVOLIO,1,100.0,OLIVIA,2,200.0,Clown,6,120.0,FABIAN,1,180.0,Clown,1,120.0,Clown,1,120.0,ANTONIO,1,0,FABIAN,1,180.0,Clown,2,120.0,MARIA,1,340.0
FABIAN,1,180.0,MARIA,4,340.0,ANTONIO,1,0,Clown,2,120.0,OLIVIA,2,200.0,ANTONIO,1,0,OLIVIA,1,200.0,OLIVIA,1,200.0,OLIVIA,4,200.0,ANTONIO,1,0,ANTONIO,1,0,FABIAN,2,180.0,Clown,24,120.0,VIOLA,4,240.0,OLIVIA,3,200.0,VIOLA,1,240.0,ANTONIO,1,0,Priest,1,320.0,OLIVIA,2,200.0,VALENTINE,1,140.0,ANTONIO,1,0,Clown,3,120.0,Clown,6,120.0,OLIVIA,2,200.0,Clown,3,120.0,OLIVIA,4,200.0,SIR ANDREW,3,300.0,MARIA,11,340.0,ANTONIO,1,0,OLIVIA,14,200.0,Clown,5,120.0,OLIVIA,2,200.0,Clown,2,120.0,OLIVIA,5,200.0,OLIVIA,4,200.0,OLIVIA,1,200.0,OLIVIA,3,200.0,FABIAN,1,180.0,OLIVIA,3,200.0,Clown,10,120.0,ANTONIO,1,0,VIOLA,1,240.0,FABIAN,3,180.0,VIOLA,1,240.0,VALENTINE,1,140.0,VALENTINE,1,140.0,FABIAN,3,180.0,OLIVIA,4,200.0,ANTONIO,2,0, , , 
OLIVIA,5,200.0,MALVOLIO,3,100.0,FABIAN,4,180.0,VIOLA,3,240.0,MARIA,7,340.0,OLIVIA,11,200.0,VIOLA,2,240.0,VIOLA,9,240.0,VIOLA,2,240.0,FABIAN,1,180.0,FABIAN,2,180.0,OLIVIA,3,200.0,OLIVIA,8,200.0,Captain,1,280.0,First Officer,2,220.0,MARIA,2,340.0,OLIVIA,3,200.0,OLIVIA,2,200.0,VIOLA,3,240.0, , , ,OLIVIA,1,200.0,OLIVIA,3,200.0,ANTONIO,1,0,VIOLA,7,240.0,VALENTINE,1,140.0,VIOLA,5,240.0, , , ,MALVOLIO,14,100.0,OLIVIA,1,200.0,VIOLA,1,240.0,ANTONIO,1,0,VIOLA,4,240.0,FABIAN,1,180.0,VIOLA,1,240.0,SEBASTIAN,4,80.0,MARIA,2,340.0,VIOLA,5,240.0,OLIVIA,4,200.0,First Officer,1,220.0,ANTONIO,1,0,OLIVIA,3,200.0,SIR ANDREW,10,300.0,OLIVIA,3,200.0,MARIA,1,340.0,OLIVIA,1,200.0,FABIAN,2,180.0,OLIVIA,8,200.0,VIOLA,3,240.0,FABIAN,1,180.0, , , 
VIOLA,7,240.0,Clown,3,120.0,OLIVIA,9,200.0,SIR ANDREW,2,300.0,SIR ANDREW,7,300.0,VIOLA,2,240.0,SIR ANDREW,1,300.0, , , ,SEBASTIAN,2,80.0,OLIVIA,1,200.0,OLIVIA,7,200.0,VIOLA,1,240.0,VIOLA,3,240.0,SIR ANDREW,1,300.0,VIOLA,1,240.0,SIR ANDREW,1,300.0,VIOLA,2,240.0,MARIA,1,340.0,SEBASTIAN,1,80.0, , , ,VIOLA,1,240.0,VIOLA,2,240.0,FABIAN,1,180.0,CURIO,1,40.0,OLIVIA,12,200.0,SEBASTIAN,1,80.0, , , ,Clown,12,120.0,VIOLA,3,240.0,MARIA,5,340.0,OLIVIA,2,200.0,SIR ANDREW,1,300.0,OLIVIA,3,200.0,SEBASTIAN,1,80.0, , , , , , ,SIR ANDREW,2,300.0,VIOLA,3,240.0,VIOLA,3,240.0,FABIAN,1,180.0,VIOLA,3,240.0,MARIA,1,340.0,VIOLA,3,240.0,SIR ANDREW,2,300.0,VIOLA,7,240.0,OLIVIA,4,200.0,VIOLA,1,240.0,SIR ANDREW,2,300.0,OLIVIA,4,200.0, , , 
MARIA,1,340.0,VALENTINE,1,140.0,VIOLA,2,240.0,MARIA,1,340.0, , , ,SEBASTIAN,3,80.0, , , , , , , , , ,VIOLA,2,240.0,VIOLA,5,240.0,SEBASTIAN,2,80.0,CURIO,1,40.0,MARIA,1,340.0,Second Officer,1,260.0, , , ,SIR ANDREW,1,300.0, , , ,SIR ANDREW,3,300.0, , , ,SIR ANDREW,3,300.0,SEBASTIAN,1,80.0,OLIVIA,5,200.0,MARIA,1,340.0,VIOLA,14,240.0,MARIA,3,340.0, , , ,FABIAN,2,180.0,SEBASTIAN,1,80.0, , , ,VIOLA,6,240.0, , , ,VIOLA,2,240.0,SIR ANDREW,1,300.0, , , , , , ,MARIA,1,340.0,Captain,1,280.0,Second Officer,1,260.0,OLIVIA,7,200.0,Second Officer,1,260.0, , , ,Captain,1,280.0, , , ,Captain,2,280.0,VIOLA,2,240.0,MARIA,1,340.0,MARIA,1,340.0,First Officer,1,220.0, , , 
SIR ANDREW,1,300.0,FABIAN,1,180.0,SEBASTIAN,2,80.0, , , , , , ,SIR ANDREW,1,300.0, , , , , , , , , ,Captain,1,280.0,MARIA,3,340.0, , , ,SIR ANDREW,6,300.0, , , ,MARIA,1,340.0, , , ,MARIA,1,340.0, , , , , , , , , ,MARIA,1,340.0,SIR ANDREW,2,300.0,First Officer,1,220.0, , , ,CURIO,2,40.0, , , , , , ,VIOLA,20,240.0,SIR ANDREW,2,300.0, , , ,SIR ANDREW,3,300.0, , , ,SIR ANDREW,3,300.0, , , , , , , , , , , , ,MARIA,1,340.0,SEBASTIAN,1,80.0,First Officer,2,220.0,SEBASTIAN,1,80.0, , , ,SIR ANDREW,1,300.0, , , , , , ,SEBASTIAN,1,80.0,SIR ANDREW,1,300.0, , , ,VIOLA,4,240.0, , , 
 , , ,OLIVIA,9,200.0,SIR ANDREW,2,300.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,MARIA,3,340.0, , , ,MARIA,1,340.0, , , , , , ,Captain,1,280.0, , , , , , ,MARIA,1,340.0, , , ,Priest,1,320.0, , , , , , , , , , , , , , , , , , ,VIOLA,12,240.0,SIR ANDREW,3,300.0, , , , , , , , , , , , ,SIR ANDREW,2,300.0, , , , , , ,SIR ANDREW,2,300.0, , , 
