heart,heartLines,heartColor,love,loveLines,loveColor,help,helpLines,helpColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,queen,queenLines,queenColor,mine,mineLines,mineColor,son,sonLines,sonColor,empress,empressLines,empressColor,gentle,gentleLines,gentleColor,speak,speakLines,speakColor,death,deathLines,deathColor,goths,gothsLines,gothsColor,justice,justiceLines,justiceColor,away,awayLines,awayColor,father,fatherLines,fatherColor,live,liveLines,liveColor,tears,tearsLines,tearsColor,take,takeLines,takeColor,lord,lordLines,lordColor,andronicus,andronicusLines,andronicusColor,tell,tellLines,tellColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,boy,boyLines,boyColor,honour,honourLines,honourColor,men,menLines,menColor,revenge,revengeLines,revengeColor,hand,handLines,handColor,sons,sonsLines,sonsColor,tamora,tamoraLines,tamoraColor,blood,bloodLines,bloodColor,hands,handsLines,handsColor,friends,friendsLines,friendsColor,man,manLines,manColor,marcus,marcusLines,marcusColor,heaven,heavenLines,heavenColor,two,twoLines,twoColor,titus,titusLines,titusColor,aaron,aaronLines,aaronColor,brother,brotherLines,brotherColor,lucius,luciusLines,luciusColor,lords,lordsLines,lordsColor,rome,romeLines,romeColor,lavinia,laviniaLines,laviniaColor,mother,motherLines,motherColor,tongue,tongueLines,tongueColor,emperor,emperorLines,emperorColor,bassianus,bassianusLines,bassianusColor
TITUS ANDRONICUS,12,80.0,TITUS ANDRONICUS,6,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,19,80.0,TITUS ANDRONICUS,10,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,19,80.0,TITUS ANDRONICUS,42,80.0,TITUS ANDRONICUS,8,80.0,TITUS ANDRONICUS,7,80.0,TITUS ANDRONICUS,6,80.0,TITUS ANDRONICUS,7,80.0,TITUS ANDRONICUS,6,80.0,TITUS ANDRONICUS,8,80.0,TITUS ANDRONICUS,8,80.0,TITUS ANDRONICUS,7,80.0,TITUS ANDRONICUS,11,80.0,TITUS ANDRONICUS,22,80.0,TITUS ANDRONICUS,5,80.0,TITUS ANDRONICUS,16,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,9,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,6,80.0,TITUS ANDRONICUS,8,80.0,TITUS ANDRONICUS,15,80.0,TITUS ANDRONICUS,14,80.0,TITUS ANDRONICUS,11,80.0,TITUS ANDRONICUS,10,80.0,MARCUS,2,253.333333333,TITUS ANDRONICUS,23,80.0,TITUS ANDRONICUS,2,80.0,MARCUS,2,253.333333333,MARCUS,2,253.333333333,TITUS ANDRONICUS,1,80.0,TITUS ANDRONICUS,18,80.0,TITUS ANDRONICUS,28,80.0,TITUS ANDRONICUS,10,80.0,TITUS ANDRONICUS,7,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,15,80.0,TITUS ANDRONICUS,14,80.0,TITUS ANDRONICUS,2,80.0,TITUS ANDRONICUS,23,80.0,TITUS ANDRONICUS,17,80.0,TITUS ANDRONICUS,4,80.0,TITUS ANDRONICUS,9,80.0,TITUS ANDRONICUS,18,80.0,TITUS ANDRONICUS,1,80.0
SATURNINUS,2,266.666666667,SATURNINUS,6,266.666666667,MARCUS ANDRONICUS,2,293.333333333,SATURNINUS,3,266.666666667,SATURNINUS,3,266.666666667,SATURNINUS,5,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,10,266.666666667,SATURNINUS,3,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,4,266.666666667,SATURNINUS,2,266.666666667,SATURNINUS,4,266.666666667,SATURNINUS,5,266.666666667,SATURNINUS,2,266.666666667,SATURNINUS,2,266.666666667,SATURNINUS,5,266.666666667,MARCUS,1,253.333333333,SATURNINUS,1,266.666666667,SATURNINUS,6,266.666666667,SATURNINUS,7,266.666666667,SATURNINUS,3,266.666666667,SATURNINUS,3,266.666666667,SATURNINUS,2,266.666666667,SATURNINUS,2,266.666666667,MARCUS ANDRONICUS,3,293.333333333,SATURNINUS,7,266.666666667,SATURNINUS,5,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,4,266.666666667,SATURNINUS,7,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,3,266.666666667,SATURNINUS,10,266.666666667,SATURNINUS,2,266.666666667,SATURNINUS,2,266.666666667,SATURNINUS,1,266.666666667,SATURNINUS,6,266.666666667,CHIRON,3,146.666666667,SATURNINUS,4,266.666666667,SATURNINUS,4,266.666666667,SATURNINUS,5,266.666666667,SATURNINUS,16,266.666666667,SATURNINUS,5,266.666666667,Second Goth,2,133.333333333,MARCUS,3,253.333333333,SATURNINUS,6,266.666666667,SATURNINUS,5,266.666666667
MARCUS,2,253.333333333,MARCUS,2,253.333333333,MARTIUS,3,93.3333333333,AEMILIUS,1,0,MARCUS,2,253.333333333,MARCUS ANDRONICUS,1,293.333333333,Second Goth,1,133.333333333,MARCUS,1,253.333333333,Second Goth,1,133.333333333,MARCUS,1,253.333333333,MARCUS,3,253.333333333,MARCUS ANDRONICUS,3,293.333333333,AEMILIUS,2,0,MARCUS ANDRONICUS,3,293.333333333,MARCUS,2,253.333333333,MARCUS,3,253.333333333,AEMILIUS,1,0,MARCUS ANDRONICUS,1,293.333333333,MARCUS ANDRONICUS,3,293.333333333,AEMILIUS,2,0,First Goth,1,280.0,MARCUS ANDRONICUS,2,293.333333333,MARCUS ANDRONICUS,5,293.333333333,MARCUS,1,253.333333333,Second Goth,1,133.333333333,DEMETRIUS,2,306.666666667,First Goth,1,280.0,MARCUS,1,253.333333333,AEMILIUS,1,0,QUINTUS,2,240.0,MARCUS ANDRONICUS,6,293.333333333,First Goth,1,280.0,TITUS ANDRONICUS,8,80.0,TITUS ANDRONICUS,15,80.0,MARCUS ANDRONICUS,1,293.333333333,Second Goth,1,133.333333333,MARCUS ANDRONICUS,3,293.333333333,MARCUS,1,253.333333333,MARCUS,1,253.333333333,MARCUS ANDRONICUS,13,293.333333333,MARTIUS,1,93.3333333333,MARCUS ANDRONICUS,10,293.333333333,AEMILIUS,3,0,MARCUS ANDRONICUS,1,293.333333333,Third Goth,1,186.666666667,MARCUS ANDRONICUS,4,293.333333333,MARCUS ANDRONICUS,1,293.333333333,MARCUS ANDRONICUS,1,293.333333333,Second Goth,1,133.333333333,QUINTUS,1,240.0
MARCUS ANDRONICUS,7,293.333333333,MARCUS ANDRONICUS,5,293.333333333,DEMETRIUS,1,306.666666667,MARCUS ANDRONICUS,2,293.333333333,MARCUS ANDRONICUS,4,293.333333333,DEMETRIUS,3,306.666666667,MARCUS ANDRONICUS,1,293.333333333,MARCUS ANDRONICUS,11,293.333333333,MARCUS ANDRONICUS,2,293.333333333,MARCUS ANDRONICUS,1,293.333333333,MARCUS ANDRONICUS,6,293.333333333,CHIRON,1,146.666666667,MARCUS ANDRONICUS,4,293.333333333,LUCIUS,1,106.666666667,MARCUS ANDRONICUS,1,293.333333333,MARCUS ANDRONICUS,3,293.333333333,MARCUS ANDRONICUS,6,293.333333333,DEMETRIUS,1,306.666666667,Clown,2,173.333333333,MARCUS ANDRONICUS,14,293.333333333,AEMILIUS,1,0,CHIRON,1,146.666666667,DEMETRIUS,1,306.666666667,MARCUS ANDRONICUS,2,293.333333333,First Goth,1,280.0,LUCIUS,1,106.666666667,MARCUS ANDRONICUS,7,293.333333333,MARCUS ANDRONICUS,7,293.333333333,MARCUS ANDRONICUS,7,293.333333333,TITUS ANDRONICUS,32,80.0,CHIRON,1,146.666666667,MARCUS ANDRONICUS,2,293.333333333,MARCUS ANDRONICUS,4,293.333333333,MARCUS ANDRONICUS,2,293.333333333,DEMETRIUS,1,306.666666667,MARCUS ANDRONICUS,12,293.333333333,Young LUCIUS,2,13.3333333333,MARCUS ANDRONICUS,4,293.333333333,MARCUS ANDRONICUS,2,293.333333333,DEMETRIUS,1,306.666666667,DEMETRIUS,3,306.666666667,MARTIUS,3,93.3333333333,MARCUS ANDRONICUS,3,293.333333333,Young LUCIUS,2,13.3333333333,First Goth,1,280.0,CHIRON,2,146.666666667,CHIRON,1,146.666666667,CHIRON,1,146.666666667,MARCUS ANDRONICUS,6,293.333333333,MARTIUS,2,93.3333333333
MARTIUS,2,93.3333333333,CHIRON,4,146.666666667,Young LUCIUS,1,13.3333333333,DEMETRIUS,1,306.666666667,CHIRON,1,146.666666667,LUCIUS,1,106.666666667,MARTIUS,1,93.3333333333,CHIRON,3,146.666666667,CHIRON,1,146.666666667,LUCIUS,3,106.666666667,DEMETRIUS,1,306.666666667,MARTIUS,1,93.3333333333,DEMETRIUS,2,306.666666667,AARON,1,200.0,DEMETRIUS,1,306.666666667,Young LUCIUS,1,13.3333333333,CHIRON,2,146.666666667,Young LUCIUS,1,13.3333333333,LUCIUS,3,106.666666667,MARTIUS,1,93.3333333333,MARCUS ANDRONICUS,5,293.333333333,DEMETRIUS,1,306.666666667,Young LUCIUS,1,13.3333333333,Clown,2,173.333333333,AEMILIUS,1,0,AARON,5,200.0,DEMETRIUS,1,306.666666667,MARTIUS,2,93.3333333333,CHIRON,1,146.666666667,MARCUS ANDRONICUS,9,293.333333333,AARON,8,200.0,DEMETRIUS,3,306.666666667,MARTIUS,5,93.3333333333,CHIRON,1,146.666666667,LUCIUS,6,106.666666667,CHIRON,1,146.666666667,LUCIUS,2,106.666666667,Clown,2,173.333333333,CHIRON,1,146.666666667,LUCIUS,1,106.666666667,LUCIUS,1,106.666666667,DEMETRIUS,2,306.666666667,CHIRON,1,146.666666667,LUCIUS,1,106.666666667,AEMILIUS,2,0,DEMETRIUS,2,306.666666667,DEMETRIUS,4,306.666666667,DEMETRIUS,3,306.666666667,CHIRON,1,146.666666667,DEMETRIUS,1,306.666666667
DEMETRIUS,1,306.666666667,DEMETRIUS,3,306.666666667,LUCIUS,1,106.666666667,Clown,1,173.333333333,Young LUCIUS,2,13.3333333333,AARON,2,200.0,LUCIUS,1,106.666666667,MARTIUS,1,93.3333333333,LUCIUS,3,106.666666667,TAMORA,1,40.0,Young LUCIUS,1,13.3333333333,LUCIUS,5,106.666666667,LUCIUS,2,106.666666667,PUBLIUS,1,213.333333333,LUCIUS,4,106.666666667,LUCIUS,14,106.666666667,MARTIUS,1,93.3333333333,LUCIUS,4,106.666666667,AARON,4,200.0,DEMETRIUS,1,306.666666667,MARTIUS,1,93.3333333333,LUCIUS,1,106.666666667,LUCIUS,7,106.666666667,LUCIUS,5,106.666666667,Young LUCIUS,1,13.3333333333,TAMORA,2,40.0,Young LUCIUS,2,13.3333333333,DEMETRIUS,1,306.666666667,DEMETRIUS,1,306.666666667,CHIRON,1,146.666666667,PUBLIUS,1,213.333333333,LUCIUS,1,106.666666667,DEMETRIUS,1,306.666666667,DEMETRIUS,2,306.666666667,AARON,4,200.0,MARTIUS,1,93.3333333333,AARON,1,200.0,LUCIUS,2,106.666666667,LUCIUS,1,106.666666667,AARON,2,200.0,AARON,5,200.0,LUCIUS,5,106.666666667,DEMETRIUS,1,306.666666667,AARON,10,200.0,MARCUS ANDRONICUS,18,293.333333333,Young LUCIUS,1,13.3333333333,Young LUCIUS,3,13.3333333333,AARON,6,200.0,DEMETRIUS,2,306.666666667,AARON,7,200.0
Young LUCIUS,1,13.3333333333,Young LUCIUS,1,13.3333333333,Nurse,1,53.3333333333,LUCIUS,6,106.666666667,LUCIUS,4,106.666666667,TAMORA,2,40.0,AARON,6,200.0,DEMETRIUS,1,306.666666667,AARON,14,200.0,LAVINIA,2,226.666666667,LUCIUS,5,106.666666667,AARON,4,200.0,AARON,2,200.0,BASSIANUS,1,66.6666666667,AARON,5,200.0,Messenger,1,333.333333333,All,1,26.6666666667,AARON,2,200.0,PUBLIUS,1,213.333333333,Young LUCIUS,6,13.3333333333,Tribunes,1,160.0,AARON,5,200.0,AARON,1,200.0,AARON,2,200.0,Clown,3,173.333333333, , , ,LUCIUS,1,106.666666667,Young LUCIUS,3,13.3333333333,LUCIUS,1,106.666666667,MARTIUS,1,93.3333333333,TAMORA,9,40.0,AARON,3,200.0,Young LUCIUS,1,13.3333333333,AARON,3,200.0,TAMORA,2,40.0,DEMETRIUS,7,306.666666667,BASSIANUS,1,66.6666666667,AARON,2,200.0,AARON,5,200.0,TAMORA,8,40.0,TAMORA,3,40.0,AARON,5,200.0,All,2,26.6666666667,TAMORA,1,40.0,CHIRON,1,146.666666667,LUCIUS,4,106.666666667,AARON,5,200.0,TAMORA,1,40.0,All,1,26.6666666667,TAMORA,2,40.0
AARON,8,200.0,LUCIUS,2,106.666666667,MUTIUS,2,120.0,AARON,5,200.0,AARON,2,200.0,LAVINIA,1,226.666666667,TAMORA,3,40.0,LUCIUS,6,106.666666667,PUBLIUS,1,213.333333333,Nurse,1,53.3333333333,AARON,3,200.0,TAMORA,2,40.0,TAMORA,4,40.0, , , ,TAMORA,4,40.0,QUINTUS,1,240.0,LUCIUS,7,106.666666667,TAMORA,3,40.0,TAMORA,7,40.0,LUCIUS,4,106.666666667,LUCIUS,2,106.666666667,TAMORA,3,40.0,TAMORA,2,40.0,TAMORA,5,40.0,AARON,4,200.0, , , ,AARON,2,200.0,Clown,1,173.333333333,AARON,2,200.0,DEMETRIUS,3,306.666666667,LAVINIA,1,226.666666667,TAMORA,4,40.0,LUCIUS,3,106.666666667,LAVINIA,1,226.666666667,BASSIANUS,3,66.6666666667,Young LUCIUS,2,13.3333333333, , , ,PUBLIUS,1,213.333333333,TAMORA,1,40.0,LAVINIA,1,226.666666667,Nurse,4,53.3333333333,TAMORA,2,40.0,Second Goth,1,133.333333333,LAVINIA,1,226.666666667,DEMETRIUS,1,306.666666667,AARON,3,200.0,TAMORA,4,40.0,LAVINIA,1,226.666666667,LUCIUS,6,106.666666667,LAVINIA,1,226.666666667
TAMORA,8,40.0,AARON,5,200.0,QUINTUS,1,240.0,TAMORA,1,40.0,TAMORA,11,40.0,BASSIANUS,1,66.6666666667,QUINTUS,2,240.0,AARON,14,200.0,TAMORA,2,40.0,BASSIANUS,1,66.6666666667,PUBLIUS,1,213.333333333,LAVINIA,1,226.666666667, , , , , , ,LAVINIA,1,226.666666667,LAVINIA,2,226.666666667,Young LUCIUS,2,13.3333333333,LAVINIA,2,226.666666667,LAVINIA,1,226.666666667,Third Goth,1,186.666666667,Young LUCIUS,1,13.3333333333,LAVINIA,1,226.666666667,LAVINIA,2,226.666666667,LAVINIA,2,226.666666667,TAMORA,1,40.0, , , ,TAMORA,3,40.0,LUCIUS,4,106.666666667,PUBLIUS,1,213.333333333,LUCIUS,5,106.666666667,Messenger,1,333.333333333,LAVINIA,3,226.666666667,AARON,6,200.0, , , , , , ,Clown,1,173.333333333, , , ,TAMORA,1,40.0,LAVINIA,1,226.666666667,BASSIANUS,4,66.6666666667,QUINTUS,1,240.0,QUINTUS,1,240.0,LUCIUS,4,106.666666667,Nurse,2,53.3333333333,Tribunes,1,160.0,TAMORA,1,40.0,LAVINIA,1,226.666666667, , , ,AARON,5,200.0,BASSIANUS,1,66.6666666667
LAVINIA,1,226.666666667,TAMORA,5,40.0, , , ,BASSIANUS,1,66.6666666667,LAVINIA,1,226.666666667, , , ,BASSIANUS,3,66.6666666667,PUBLIUS,1,213.333333333,LAVINIA,1,226.666666667, , , ,TAMORA,5,40.0,Messenger,1,333.333333333, , , , , , ,MUTIUS,1,120.0,AARON,5,200.0,AARON,7,200.0, , , ,BASSIANUS,1,66.6666666667,AARON,14,200.0,AARON,3,200.0,Nurse,1,53.3333333333,Messenger,1,333.333333333,BASSIANUS,1,66.6666666667,LAVINIA,1,226.666666667, , , ,LAVINIA,1,226.666666667,AARON,9,200.0,TAMORA,9,40.0,AARON,10,200.0,BASSIANUS,1,66.6666666667, , , ,TAMORA,3,40.0, , , , , , ,LUCIUS,11,106.666666667, , , ,Nurse,1,53.3333333333,Messenger,1,333.333333333, , , , , , ,MUTIUS,1,120.0,AARON,4,200.0, , , ,LUCIUS,11,106.666666667,BASSIANUS,3,66.6666666667,Nurse,1,53.3333333333, , , ,TAMORA,10,40.0, , , 
