set,setLines,setColor,give,giveLines,giveColor,fish,fishLines,fishColor,mine,mineLines,mineColor,rest,restLines,restColor,son,sonLines,sonColor,bring,bringLines,bringColor,milan,milanLines,milanColor,brave,braveLines,braveColor,naples,naplesLines,naplesColor,sea,seaLines,seaColor,isle,isleLines,isleColor,saw,sawLines,sawColor,find,findLines,findColor,best,bestLines,bestColor,speak,speakLines,speakColor,lie,lieLines,lieColor,didst,didstLines,didstColor,pray,prayLines,prayColor,trinculo,trinculoLines,trinculoColor,father,fatherLines,fatherColor,cell,cellLines,cellColor,strange,strangeLines,strangeColor,master,masterLines,masterColor,take,takeLines,takeColor,lord,lordLines,lordColor,forth,forthLines,forthColor,tell,tellLines,tellColor,stephano,stephanoLines,stephanoColor,poor,poorLines,poorColor,eyes,eyesLines,eyesColor,never,neverLines,neverColor,monster,monsterLines,monsterColor,men,menLines,menColor,else,elseLines,elseColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,true,trueLines,trueColor,spirit,spiritLines,spiritColor,man,manLines,manColor,king,kingLines,kingColor,great,greatLines,greatColor,daughter,daughterLines,daughterColor,island,islandLines,islandColor,life,lifeLines,lifeColor,brother,brotherLines,brotherColor,keep,keepLines,keepColor,ariel,arielLines,arielColor,time,timeLines,timeColor,first,firstLines,firstColor
GONZALO,1,132.631578947,CALIBAN,4,322.105263158,ALONSO,1,94.7368421053,GONZALO,2,132.631578947,GONZALO,1,132.631578947,IRIS,2,0,CALIBAN,5,322.105263158,PROSPERO,9,170.526315789,CALIBAN,4,322.105263158,PROSPERO,4,170.526315789,PROSPERO,5,170.526315789,ARIEL,3,341.052631579,FRANCISCO,1,189.473684211,PROSPERO,5,170.526315789,CALIBAN,1,322.105263158,CALIBAN,1,322.105263158,PROSPERO,5,170.526315789,PROSPERO,8,170.526315789,PROSPERO,3,170.526315789,ALONSO,1,94.7368421053,PROSPERO,3,170.526315789,PROSPERO,7,170.526315789,CALIBAN,1,322.105263158,CALIBAN,3,322.105263158,PROSPERO,10,170.526315789,CALIBAN,5,322.105263158,CALIBAN,1,322.105263158,CERES,1,37.8947368421,ALONSO,1,94.7368421053,PROSPERO,5,170.526315789,PROSPERO,6,170.526315789,CALIBAN,1,322.105263158,TRINCULO,19,113.684210526,ALONSO,2,94.7368421053,PROSPERO,8,170.526315789,PROSPERO,6,170.526315789,PROSPERO,3,170.526315789,IRIS,2,0,GONZALO,1,132.631578947,IRIS,1,0,CALIBAN,1,322.105263158,CALIBAN,1,322.105263158,CALIBAN,1,322.105263158,GONZALO,2,132.631578947,PROSPERO,6,170.526315789,PROSPERO,9,170.526315789,IRIS,1,0,PROSPERO,13,170.526315789,CALIBAN,2,322.105263158,GONZALO,2,132.631578947
PROSPERO,5,170.526315789,PROSPERO,5,170.526315789,CALIBAN,2,322.105263158,PROSPERO,19,170.526315789,PROSPERO,3,170.526315789,CERES,1,37.8947368421,PROSPERO,6,170.526315789,GONZALO,1,132.631578947,PROSPERO,1,170.526315789,GONZALO,2,132.631578947,GONZALO,2,132.631578947,PROSPERO,2,170.526315789,ALONSO,1,94.7368421053,ALONSO,3,94.7368421053,ARIEL,1,341.052631579,PROSPERO,6,170.526315789,CALIBAN,2,322.105263158,ARIEL,1,341.052631579,Boatswain,1,265.263157895,TRINCULO,2,113.684210526,ALONSO,1,94.7368421053,ARIEL,2,341.052631579,PROSPERO,2,170.526315789,PROSPERO,4,170.526315789,CALIBAN,2,322.105263158,ARIEL,4,341.052631579,PROSPERO,7,170.526315789,PROSPERO,5,170.526315789,SEBASTIAN,1,303.157894737,GONZALO,1,132.631578947,GONZALO,1,132.631578947,PROSPERO,2,170.526315789,STEPHANO,16,227.368421053,GONZALO,2,132.631578947,CALIBAN,1,322.105263158,CALIBAN,2,322.105263158,GONZALO,3,132.631578947,PROSPERO,4,170.526315789,PROSPERO,11,170.526315789,GONZALO,1,132.631578947,PROSPERO,9,170.526315789,PROSPERO,3,170.526315789,PROSPERO,4,170.526315789,PROSPERO,3,170.526315789,GONZALO,1,132.631578947,GONZALO,1,132.631578947,CALIBAN,1,322.105263158,ARIEL,1,341.052631579,PROSPERO,10,170.526315789,PROSPERO,5,170.526315789
CALIBAN,1,322.105263158,GONZALO,1,132.631578947,TRINCULO,7,113.684210526,CALIBAN,3,322.105263158,CALIBAN,1,322.105263158,ARIEL,5,341.052631579,GONZALO,3,132.631578947,ANTONIO,1,151.578947368,GONZALO,1,132.631578947,ANTONIO,4,151.578947368,ANTONIO,1,151.578947368,CALIBAN,4,322.105263158,PROSPERO,1,170.526315789,SEBASTIAN,1,303.157894737,GONZALO,1,132.631578947,GONZALO,3,132.631578947,ANTONIO,6,151.578947368,SEBASTIAN,1,303.157894737,CALIBAN,2,322.105263158,STEPHANO,13,227.368421053,FERDINAND,10,284.210526316,CALIBAN,1,322.105263158,GONZALO,2,132.631578947,ALONSO,1,94.7368421053,ANTONIO,2,151.578947368,GONZALO,3,132.631578947,GONZALO,2,132.631578947,ANTONIO,2,151.578947368,TRINCULO,9,113.684210526,ALONSO,1,94.7368421053,ALONSO,1,94.7368421053,MIRANDA,2,246.315789474,ANTONIO,1,151.578947368,ANTONIO,2,151.578947368,ANTONIO,1,151.578947368,ANTONIO,2,151.578947368,ARIEL,1,341.052631579,CALIBAN,1,322.105263158,CALIBAN,5,322.105263158,PROSPERO,2,170.526315789,GONZALO,5,132.631578947,GONZALO,3,132.631578947,GONZALO,3,132.631578947,CALIBAN,5,322.105263158,ANTONIO,1,151.578947368,ANTONIO,2,151.578947368,PROSPERO,1,170.526315789, , , ,GONZALO,3,132.631578947,CALIBAN,4,322.105263158
MIRANDA,1,246.315789474,ANTONIO,1,151.578947368,ANTONIO,1,151.578947368,ARIEL,1,341.052631579,ANTONIO,2,151.578947368,ANTONIO,1,151.578947368,ANTONIO,1,151.578947368,ALONSO,1,94.7368421053,MIRANDA,3,246.315789474,ARIEL,1,341.052631579,ARIEL,3,341.052631579,STEPHANO,1,227.368421053,GONZALO,2,132.631578947,TRINCULO,1,113.684210526,PROSPERO,4,170.526315789,ANTONIO,3,151.578947368,ARIEL,2,341.052631579,CALIBAN,1,322.105263158,ADRIAN,1,75.7894736842, , , ,MIRANDA,10,246.315789474, , , ,ALONSO,5,94.7368421053,GONZALO,1,132.631578947,ARIEL,1,341.052631579,ANTONIO,4,151.578947368,ANTONIO,1,151.578947368,ARIEL,1,341.052631579,STEPHANO,2,227.368421053,MIRANDA,1,246.315789474,MIRANDA,1,246.315789474,ALONSO,1,94.7368421053, , , ,ARIEL,3,341.052631579,ARIEL,2,341.052631579,ALONSO,1,94.7368421053,ALONSO,2,94.7368421053,ANTONIO,1,151.578947368,ANTONIO,2,151.578947368,CALIBAN,2,322.105263158,ANTONIO,2,151.578947368,ANTONIO,1,151.578947368,ALONSO,3,94.7368421053,ANTONIO,1,151.578947368,ARIEL,2,341.052631579,ALONSO,1,94.7368421053,GONZALO,1,132.631578947, , , ,ANTONIO,1,151.578947368,ANTONIO,1,151.578947368
Boatswain,1,265.263157895,ARIEL,1,341.052631579, , , ,ALONSO,3,94.7368421053,ARIEL,1,341.052631579,PROSPERO,2,170.526315789,Boatswain,1,265.263157895,FERDINAND,2,284.210526316,FERDINAND,1,284.210526316,ALONSO,2,94.7368421053,ALONSO,1,94.7368421053,GONZALO,2,132.631578947,ARIEL,1,341.052631579,GONZALO,3,132.631578947,ALONSO,2,94.7368421053,Master,1,208.421052632,ALONSO,2,94.7368421053,STEPHANO,2,227.368421053,MIRANDA,5,246.315789474, , , , , , , , , ,Boatswain,1,265.263157895,ANTONIO,1,151.578947368,ALONSO,1,94.7368421053,PROSPERO,5,170.526315789,ARIEL,1,341.052631579,MIRANDA,1,246.315789474, , , ,FERDINAND,1,284.210526316,FERDINAND,1,284.210526316,CERES,1,37.8947368421, , , ,PROSPERO,2,170.526315789,FERDINAND,2,284.210526316,Boatswain,1,265.263157895,MIRANDA,2,246.315789474,FERDINAND,1,284.210526316,MIRANDA,3,246.315789474,ANTONIO,3,151.578947368,ARIEL,7,341.052631579,ARIEL,2,341.052631579,CERES,1,37.8947368421,ARIEL,1,341.052631579,ALONSO,1,94.7368421053,SEBASTIAN,2,303.157894737,ANTONIO,1,151.578947368, , , ,ARIEL,2,341.052631579,ARIEL,1,341.052631579
FERDINAND,3,284.210526316,ALONSO,2,94.7368421053, , , ,MIRANDA,4,246.315789474,ALONSO,1,94.7368421053,ALONSO,6,94.7368421053,SEBASTIAN,1,303.157894737,SEBASTIAN,2,303.157894737,TRINCULO,1,113.684210526,FERDINAND,3,284.210526316,MIRANDA,2,246.315789474, , , ,CALIBAN,1,322.105263158, , , ,Boatswain,1,265.263157895,MIRANDA,1,246.315789474,FERDINAND,1,284.210526316, , , , , , , , , , , , , , , ,FERDINAND,1,284.210526316,ARIEL,9,341.052631579,MIRANDA,1,246.315789474,ALONSO,2,94.7368421053,FERDINAND,1,284.210526316,Boatswain,1,265.263157895, , , ,TRINCULO,3,113.684210526,SEBASTIAN,1,303.157894737,ADRIAN,1,75.7894736842, , , ,MIRANDA,1,246.315789474,TRINCULO,1,113.684210526,FERDINAND,4,284.210526316,FERDINAND,1,284.210526316,SEBASTIAN,1,303.157894737,FERDINAND,2,284.210526316,ARIEL,2,341.052631579,ALONSO,1,94.7368421053,CERES,1,37.8947368421,FERDINAND,1,284.210526316,ALONSO,1,94.7368421053,FERDINAND,2,284.210526316,ARIEL,1,341.052631579,ARIEL,2,341.052631579, , , ,FERDINAND,2,284.210526316,MIRANDA,1,246.315789474
TRINCULO,2,113.684210526,MIRANDA,2,246.315789474, , , ,FERDINAND,3,284.210526316,MIRANDA,2,246.315789474,MIRANDA,1,246.315789474,STEPHANO,1,227.368421053,ARIEL,1,341.052631579,STEPHANO,3,227.368421053,SEBASTIAN,3,303.157894737,Boatswain,3,265.263157895, , , ,MIRANDA,4,246.315789474, , , ,FERDINAND,4,284.210526316,FERDINAND,3,284.210526316,TRINCULO,3,113.684210526, , , , , , , , , , , , , , , ,SEBASTIAN,2,303.157894737,Boatswain,2,265.263157895,Boatswain,1,265.263157895,MIRANDA,2,246.315789474, , , ,SEBASTIAN,1,303.157894737, , , ,STEPHANO,1,227.368421053,STEPHANO,1,227.368421053,FERDINAND,5,284.210526316, , , ,SEBASTIAN,1,303.157894737,STEPHANO,1,227.368421053,TRINCULO,1,113.684210526,TRINCULO,3,113.684210526,TRINCULO,1,113.684210526, , , ,MIRANDA,3,246.315789474,Boatswain,2,265.263157895,SEBASTIAN,1,303.157894737,SEBASTIAN,2,303.157894737,ADRIAN,1,75.7894736842,STEPHANO,1,227.368421053, , , ,ALONSO,1,94.7368421053, , , ,SEBASTIAN,1,303.157894737,Boatswain,1,265.263157895
STEPHANO,1,227.368421053,Boatswain,2,265.263157895, , , ,SEBASTIAN,1,303.157894737,TRINCULO,1,113.684210526,FERDINAND,1,284.210526316, , , , , , , , , ,STEPHANO,1,227.368421053,FERDINAND,1,284.210526316, , , ,FERDINAND,2,284.210526316, , , ,TRINCULO,1,113.684210526,SEBASTIAN,1,303.157894737,STEPHANO,1,227.368421053, , , , , , , , , , , , , , , ,TRINCULO,3,113.684210526,STEPHANO,1,227.368421053,FERDINAND,1,284.210526316,FERDINAND,1,284.210526316, , , ,TRINCULO,1,113.684210526, , , , , , , , , ,TRINCULO,1,113.684210526, , , ,STEPHANO,1,227.368421053, , , ,STEPHANO,1,227.368421053,STEPHANO,1,227.368421053, , , , , , ,FERDINAND,3,284.210526316,FERDINAND,3,284.210526316,TRINCULO,1,113.684210526,STEPHANO,1,227.368421053,FERDINAND,2,284.210526316, , , , , , ,Boatswain,2,265.263157895, , , ,STEPHANO,2,227.368421053, , , 
 , , ,FERDINAND,1,284.210526316, , , ,STEPHANO,3,227.368421053,STEPHANO,1,227.368421053,SEBASTIAN,2,303.157894737, , , , , , , , , , , , ,STEPHANO,3,227.368421053, , , ,TRINCULO,1,113.684210526, , , , , , ,TRINCULO,1,113.684210526, , , , , , , , , , , , , , , , , , , , , , , , ,SEBASTIAN,3,303.157894737,SEBASTIAN,2,303.157894737, , , ,STEPHANO,3,227.368421053, , , , , , , , , ,STEPHANO,1,227.368421053, , , , , , , , , , , , , , , , , , , , , ,TRINCULO,7,113.684210526,SEBASTIAN,2,303.157894737, , , , , , ,SEBASTIAN,1,303.157894737, , , , , , ,STEPHANO,4,227.368421053, , , , , , , , , 
 , , ,SEBASTIAN,1,303.157894737, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STEPHANO,2,227.368421053, , , , , , , , , , , , , , , , , , , , , , , , ,TRINCULO,1,113.684210526, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,STEPHANO,6,227.368421053,TRINCULO,2,113.684210526, , , , , , ,TRINCULO,1,113.684210526, , , , , , , , , , , , , , , , , , 
