heart,love,fair,give,sweet,queen,general,bring,troy,wit,troilus,speak,diomed,paris,lady,fight,better,hector,call,take,gods,lord,thersites,tell,fool,eyes,full,honour,time,great,hand,ajax,hear,blood,helen,nothing,achilles,cressid,ha,true,grecian,agamemnon,man,faith,trojan,brother,matter,stand,truth,night
AENEAS 3 128.571428571,AENEAS 5 128.571428571,AENEAS 6 128.571428571,ANDROMACHE 1 102.857142857,AGAMEMNON 1 244.285714286,PARIS 1 141.428571429,AENEAS 1 128.571428571,AENEAS 2 128.571428571,AENEAS 11 128.571428571,CASSANDRA 3 347.142857143,AENEAS 4 128.571428571,Boy 1 115.714285714,AENEAS 2 128.571428571,Servant 1 25.7142857143,AENEAS 2 128.571428571,ANDROMACHE 1 102.857142857,AGAMEMNON 1 244.285714286,CASSANDRA 5 347.142857143,ANDROMACHE 1 102.857142857,MARGARELON 1 218.571428571,ALL 1 231.428571429,MENELAUS 1 0,AGAMEMNON 1 244.285714286,AGAMEMNON 4 244.285714286,AGAMEMNON 1 244.285714286,CASSANDRA 2 347.142857143,AENEAS 1 128.571428571,AENEAS 2 128.571428571,AGAMEMNON 1 244.285714286,AENEAS 3 128.571428571,AENEAS 5 128.571428571,AENEAS 2 128.571428571,Servant 2 25.7142857143,ANDROMACHE 2 102.857142857,Servant 1 25.7142857143,ANDROMACHE 1 102.857142857,AENEAS 2 128.571428571,AENEAS 2 128.571428571,MENELAUS 2 0,AENEAS 4 128.571428571,AENEAS 3 128.571428571,AENEAS 4 128.571428571,Servant 1 25.7142857143,AGAMEMNON 1 244.285714286,CASSANDRA 3 347.142857143,AENEAS 1 128.571428571,AENEAS 1 128.571428571,NESTOR 1 90.0,HECTOR 1 51.4285714286,ANDROMACHE 1 102.857142857
AGAMEMNON 1 244.285714286,AGAMEMNON 3 244.285714286,AGAMEMNON 8 244.285714286,AENEAS 1 128.571428571,ULYSSES 2 38.5714285714,TROILUS 1 77.1428571429,AGAMEMNON 1 244.285714286,AGAMEMNON 3 244.285714286,AGAMEMNON 7 244.285714286,Boy 1 115.714285714,ULYSSES 4 38.5714285714,AENEAS 3 128.571428571,AGAMEMNON 5 244.285714286,AENEAS 3 128.571428571,AGAMEMNON 2 244.285714286,MARGARELON 1 218.571428571,ULYSSES 7 38.5714285714,ALL 1 231.428571429,AENEAS 2 128.571428571,AENEAS 1 128.571428571,AGAMEMNON 1 244.285714286,ULYSSES 19 38.5714285714,PATROCLUS 6 257.142857143,ULYSSES 1 38.5714285714,ULYSSES 2 38.5714285714,AENEAS 2 128.571428571,AGAMEMNON 2 244.285714286,ULYSSES 4 38.5714285714,ULYSSES 7 38.5714285714,AGAMEMNON 7 244.285714286,AGAMEMNON 1 244.285714286,AGAMEMNON 8 244.285714286,AENEAS 3 128.571428571,AENEAS 1 128.571428571,ULYSSES 1 38.5714285714,AENEAS 3 128.571428571,AGAMEMNON 6 244.285714286,AGAMEMNON 2 244.285714286,HELENUS 2 12.8571428571,ULYSSES 1 38.5714285714,ULYSSES 2 38.5714285714,AGAMEMNON 2 244.285714286,AENEAS 3 128.571428571,HECTOR 3 51.4285714286,ALL 1 231.428571429,ULYSSES 1 38.5714285714,AGAMEMNON 3 244.285714286,AGAMEMNON 4 244.285714286,PANDARUS 3 270.0,AENEAS 3 128.571428571
ULYSSES 2 38.5714285714,ULYSSES 5 38.5714285714,ULYSSES 4 38.5714285714,AGAMEMNON 2 244.285714286,PATROCLUS 1 257.142857143,PANDARUS 14 270.0,ULYSSES 8 38.5714285714,ULYSSES 2 38.5714285714,ULYSSES 7 38.5714285714,AENEAS 8 128.571428571,PARIS 4 141.428571429,AGAMEMNON 4 244.285714286,ULYSSES 1 38.5714285714,PATROCLUS 2 257.142857143,ULYSSES 1 38.5714285714,AGAMEMNON 1 244.285714286,Servant 1 25.7142857143,AENEAS 10 128.571428571,AGAMEMNON 3 244.285714286,ULYSSES 2 38.5714285714,ULYSSES 2 38.5714285714,HECTOR 4 51.4285714286,AJAX 3 180.0,PATROCLUS 2 257.142857143,PATROCLUS 1 257.142857143,AGAMEMNON 1 244.285714286,ULYSSES 1 38.5714285714,PATROCLUS 1 257.142857143,PATROCLUS 1 257.142857143,ULYSSES 22 38.5714285714,ULYSSES 8 38.5714285714,ULYSSES 14 38.5714285714,AGAMEMNON 4 244.285714286,ULYSSES 3 38.5714285714,PARIS 5 141.428571429,ULYSSES 1 38.5714285714,ULYSSES 23 38.5714285714,ULYSSES 3 38.5714285714,Servant 5 25.7142857143,PARIS 1 141.428571429,AJAX 1 180.0,ULYSSES 6 38.5714285714,AGAMEMNON 3 244.285714286,Servant 1 25.7142857143,AENEAS 3 128.571428571,PARIS 3 141.428571429,ULYSSES 1 38.5714285714,ULYSSES 7 38.5714285714,NESTOR 1 90.0,AGAMEMNON 3 244.285714286
PARIS 1 141.428571429,PATROCLUS 1 257.142857143,PARIS 4 141.428571429,ULYSSES 14 38.5714285714,PARIS 2 141.428571429,ACHILLES 1 192.857142857,HECTOR 2 51.4285714286,PATROCLUS 1 257.142857143,PARIS 1 141.428571429,AGAMEMNON 18 244.285714286,PANDARUS 31 270.0,ULYSSES 7 38.5714285714,PARIS 3 141.428571429,PARIS 1 141.428571429,PARIS 1 141.428571429,ULYSSES 2 38.5714285714,PANDARUS 6 270.0,AGAMEMNON 5 244.285714286,ULYSSES 6 38.5714285714,PATROCLUS 1 257.142857143,PARIS 1 141.428571429,DIOMEDES 4 64.2857142857,ACHILLES 7 192.857142857,PARIS 2 141.428571429,PANDARUS 3 270.0,ULYSSES 3 38.5714285714,PARIS 2 141.428571429,HECTOR 5 51.4285714286,PARIS 1 141.428571429,PATROCLUS 3 257.142857143,PARIS 2 141.428571429,PATROCLUS 1 257.142857143,ULYSSES 5 38.5714285714,Servant 1 25.7142857143,PANDARUS 16 270.0,PARIS 2 141.428571429,PATROCLUS 4 257.142857143,PARIS 2 141.428571429,ULYSSES 142 38.5714285714,PANDARUS 5 270.0,HECTOR 4 51.4285714286,PATROCLUS 1 257.142857143,ULYSSES 19 38.5714285714,PANDARUS 5 270.0,AGAMEMNON 4 244.285714286,PANDARUS 3 270.0,PANDARUS 4 270.0,PATROCLUS 1 257.142857143,CRESSIDA 2 334.285714286,ULYSSES 4 38.5714285714
PANDARUS 8 270.0,HECTOR 2 51.4285714286,PANDARUS 9 270.0,PATROCLUS 2 257.142857143,PANDARUS 16 270.0,ALEXANDER 1 321.428571429,AJAX 2 180.0,PARIS 2 141.428571429,PANDARUS 1 270.0,ULYSSES 33 38.5714285714,AJAX 3 180.0,PANDARUS 7 270.0,AJAX 1 180.0,PANDARUS 10 270.0,PANDARUS 2 270.0,PARIS 1 141.428571429,AJAX 1 180.0,ULYSSES 15 38.5714285714,PATROCLUS 1 257.142857143,PARIS 1 141.428571429,PANDARUS 1 270.0,TROILUS 8 77.1428571429,THERSITES 4 205.714285714,PANDARUS 10 270.0,DIOMEDES 2 64.2857142857,PANDARUS 5 270.0,PANDARUS 1 270.0,PARIS 1 141.428571429,PANDARUS 3 270.0,PARIS 3 141.428571429,PANDARUS 4 270.0,HECTOR 2 51.4285714286,PARIS 2 141.428571429,PANDARUS 2 270.0,PRIAM 1 282.857142857,PANDARUS 2 270.0,PANDARUS 1 270.0,PANDARUS 8 270.0,HECTOR 56 51.4285714286,HECTOR 1 51.4285714286,DIOMEDES 1 64.2857142857,PANDARUS 1 270.0,PATROCLUS 3 257.142857143,PARIS 1 141.428571429,ULYSSES 2 38.5714285714,HECTOR 4 51.4285714286,TROILUS 2 77.1428571429,PARIS 1 141.428571429,TROILUS 15 77.1428571429,PARIS 2 141.428571429
DIOMEDES 1 64.2857142857,Servant 2 25.7142857143,CALCHAS 1 154.285714286,PARIS 1 141.428571429,PRIAM 1 282.857142857,,TROILUS 1 77.1428571429,PANDARUS 2 270.0,CALCHAS 3 154.285714286,PATROCLUS 1 257.142857143,HECTOR 7 51.4285714286,PRIAM 1 282.857142857,HECTOR 1 51.4285714286,PRIAM 1 282.857142857,HECTOR 1 51.4285714286,PANDARUS 2 270.0,TROILUS 3 77.1428571429,PATROCLUS 1 257.142857143,PARIS 1 141.428571429,PANDARUS 8 270.0,PRIAM 1 282.857142857,NESTOR 2 90.0,NESTOR 2 90.0,PRIAM 1 282.857142857,ACHILLES 4 192.857142857,HECTOR 1 51.4285714286,ACHILLES 1 192.857142857,PANDARUS 1 270.0,PRIAM 1 282.857142857,DIOMEDES 2 64.2857142857,HECTOR 6 51.4285714286,DIOMEDES 1 64.2857142857,PANDARUS 14 270.0,DIOMEDES 1 64.2857142857,HECTOR 4 51.4285714286,DIOMEDES 1 64.2857142857,AJAX 1 180.0,CALCHAS 1 154.285714286,DIOMEDES 28 64.2857142857,TROILUS 13 77.1428571429,TROILUS 10 77.1428571429,AJAX 1 180.0,PARIS 3 141.428571429,HELEN 1 295.714285714,MYRMIDONS 1 167.142857143,MENELAUS 2 0,ACHILLES 3 192.857142857,PANDARUS 2 270.0,,PANDARUS 2 270.0
Servant 1 25.7142857143,PANDARUS 13 270.0,HECTOR 3 51.4285714286,PANDARUS 7 270.0,HECTOR 1 51.4285714286,,ACHILLES 2 192.857142857,AJAX 1 180.0,HECTOR 2 51.4285714286,PARIS 8 141.428571429,DIOMEDES 3 64.2857142857,DIOMEDES 4 64.2857142857,DIOMEDES 3 64.2857142857,HECTOR 1 51.4285714286,DIOMEDES 3 64.2857142857,AJAX 2 180.0,NESTOR 1 90.0,PARIS 4 141.428571429,PANDARUS 5 270.0,HECTOR 2 51.4285714286,HECTOR 4 51.4285714286,ANDROMACHE 1 102.857142857,,HECTOR 3 51.4285714286,TROILUS 3 77.1428571429,AJAX 1 180.0,HELEN 1 295.714285714,PRIAM 1 282.857142857,CALCHAS 2 154.285714286,CALCHAS 2 154.285714286,AJAX 1 180.0,TROILUS 1 77.1428571429,DIOMEDES 2 64.2857142857,CALCHAS 1 154.285714286,TROILUS 2 77.1428571429,ACHILLES 1 192.857142857,HECTOR 2 51.4285714286,DIOMEDES 2 64.2857142857,TROILUS 155 77.1428571429,NESTOR 1 90.0,ACHILLES 2 192.857142857,HECTOR 1 51.4285714286,PANDARUS 29 270.0,TROILUS 6 77.1428571429,DIOMEDES 3 64.2857142857,TROILUS 7 77.1428571429,THERSITES 3 205.714285714,PRIAM 1 282.857142857,,HECTOR 5 51.4285714286
AJAX 1 180.0,CALCHAS 1 154.285714286,DIOMEDES 3 64.2857142857,CALCHAS 2 154.285714286,ACHILLES 2 192.857142857,,THERSITES 3 205.714285714,DIOMEDES 1 64.2857142857,MENELAUS 1 0,PANDARUS 16 270.0,TROILUS 7 77.1428571429,HECTOR 1 51.4285714286,ACHILLES 1 192.857142857,DIOMEDES 1 64.2857142857,MENELAUS 2 0,HECTOR 3 51.4285714286,CRESSIDA 4 334.285714286,PANDARUS 12 270.0,DIOMEDES 1 64.2857142857,DIOMEDES 2 64.2857142857,TROILUS 6 77.1428571429,Boy 1 115.714285714,,DIOMEDES 3 64.2857142857,THERSITES 15 205.714285714,ACHILLES 3 192.857142857,TROILUS 4 77.1428571429,Servant 1 25.7142857143,HECTOR 2 51.4285714286,HECTOR 6 51.4285714286,TROILUS 6 77.1428571429,ACHILLES 7 192.857142857,HECTOR 2 51.4285714286,HECTOR 7 51.4285714286,THERSITES 1 205.714285714,TROILUS 2 77.1428571429,DIOMEDES 3 64.2857142857,TROILUS 20 77.1428571429,NESTOR 42 90.0,CRESSIDA 8 334.285714286,THERSITES 2 205.714285714,DIOMEDES 1 64.2857142857,PRIAM 1 282.857142857,CRESSIDA 6 334.285714286,CALCHAS 1 154.285714286,THERSITES 2 205.714285714,NESTOR 1 90.0,HECTOR 7 51.4285714286,,DIOMEDES 5 64.2857142857
ACHILLES 1 192.857142857,PARIS 6 141.428571429,ACHILLES 2 192.857142857,HECTOR 3 51.4285714286,HELEN 3 295.714285714,,NESTOR 4 90.0,TROILUS 4 77.1428571429,ACHILLES 4 192.857142857,PRIAM 1 282.857142857,CRESSIDA 12 334.285714286,AJAX 1 180.0,TROILUS 9 77.1428571429,HELEN 2 295.714285714,ACHILLES 1 192.857142857,DIOMEDES 1 64.2857142857,,PRIAM 2 282.857142857,CALCHAS 2 154.285714286,ACHILLES 2 192.857142857,THERSITES 1 205.714285714,AENEAS 7 128.571428571,,ACHILLES 4 192.857142857,NESTOR 1 90.0,TROILUS 5 77.1428571429,THERSITES 4 205.714285714,DIOMEDES 3 64.2857142857,ACHILLES 2 192.857142857,AJAX 3 180.0,ALEXANDER 1 321.428571429,THERSITES 10 205.714285714,AJAX 2 180.0,AJAX 2 180.0,CASSANDRA 2 347.142857143,THERSITES 5 205.714285714,TROILUS 1 77.1428571429,CRESSIDA 4 334.285714286,ANDROMACHE 3 102.857142857,CASSANDRA 1 347.142857143,NESTOR 1 90.0,TROILUS 1 77.1428571429,DIOMEDES 2 64.2857142857,,HECTOR 4 51.4285714286,CASSANDRA 3 347.142857143,CRESSIDA 7 334.285714286,AJAX 1 180.0,,MENELAUS 1 0
TROILUS 11 77.1428571429,ACHILLES 2 192.857142857,HELEN 1 295.714285714,DIOMEDES 2 64.2857142857,TROILUS 11 77.1428571429,,,NESTOR 1 90.0,TROILUS 6 77.1428571429,DIOMEDES 7 64.2857142857,,ACHILLES 2 192.857142857,THERSITES 4 205.714285714,TROILUS 6 77.1428571429,HELEN 1 295.714285714,ACHILLES 2 192.857142857,,DIOMEDES 4 64.2857142857,HECTOR 2 51.4285714286,TROILUS 3 77.1428571429,CRESSIDA 7 334.285714286,Servant 4 25.7142857143,,TROILUS 14 77.1428571429,CRESSIDA 3 334.285714286,THERSITES 2 205.714285714,NESTOR 1 90.0,ACHILLES 3 192.857142857,TROILUS 5 77.1428571429,ACHILLES 6 192.857142857,,NESTOR 6 90.0,ACHILLES 2 192.857142857,ACHILLES 2 192.857142857,CRESSIDA 3 334.285714286,NESTOR 1 90.0,ACHILLES 6 192.857142857,,AENEAS 51 128.571428571,,CRESSIDA 1 334.285714286,ACHILLES 2 192.857142857,CALCHAS 2 154.285714286,,AJAX 1 180.0,,,AENEAS 1 128.571428571,,ACHILLES 8 192.857142857
THERSITES 3 205.714285714,HELEN 2 295.714285714,TROILUS 9 77.1428571429,MENELAUS 1 0,THERSITES 2 205.714285714,,,CRESSIDA 4 334.285714286,THERSITES 3 205.714285714,HECTOR 7 51.4285714286,,TROILUS 8 77.1428571429,CRESSIDA 4 334.285714286,THERSITES 2 205.714285714,TROILUS 7 77.1428571429,TROILUS 4 77.1428571429,,HECTOR 5 51.4285714286,AJAX 2 180.0,THERSITES 8 205.714285714,CASSANDRA 1 347.142857143,MYRMIDONS 1 167.142857143,,THERSITES 6 205.714285714,,NESTOR 1 90.0,CRESSIDA 3 334.285714286,TROILUS 6 77.1428571429,NESTOR 1 90.0,TROILUS 5 77.1428571429,,ALEXANDER 1 321.428571429,HELEN 1 295.714285714,TROILUS 3 77.1428571429,ALEXANDER 1 321.428571429,CRESSIDA 3 334.285714286,THERSITES 16 205.714285714,,PARIS 39 141.428571429,,,THERSITES 8 205.714285714,HECTOR 11 51.4285714286,,ACHILLES 3 192.857142857,,,ACHILLES 1 192.857142857,,TROILUS 3 77.1428571429
NESTOR 1 90.0,TROILUS 22 77.1428571429,THERSITES 2 205.714285714,ACHILLES 2 192.857142857,CRESSIDA 8 334.285714286,,,,CRESSIDA 4 334.285714286,AJAX 6 180.0,,THERSITES 2 205.714285714,,NESTOR 1 90.0,NESTOR 1 90.0,THERSITES 3 205.714285714,,AJAX 4 180.0,ACHILLES 2 192.857142857,NESTOR 2 90.0,,AJAX 1 180.0,,NESTOR 3 90.0,,CRESSIDA 4 334.285714286,,NESTOR 1 90.0,CRESSIDA 3 334.285714286,THERSITES 5 205.714285714,,,TROILUS 13 77.1428571429,THERSITES 3 205.714285714,,CASSANDRA 1 347.142857143,NESTOR 8 90.0,,CALCHAS 13 154.285714286,,,NESTOR 2 90.0,AJAX 6 180.0,,TROILUS 2 77.1428571429,,,TROILUS 5 77.1428571429,,CRESSIDA 4 334.285714286
CRESSIDA 7 334.285714286,THERSITES 3 205.714285714,NESTOR 1 90.0,HELEN 1 295.714285714,CASSANDRA 2 347.142857143,,,,CASSANDRA 5 347.142857143,Servant 1 25.7142857143,,CRESSIDA 5 334.285714286,,CRESSIDA 3 334.285714286,ALEXANDER 2 321.428571429,NESTOR 2 90.0,,ACHILLES 19 192.857142857,TROILUS 8 77.1428571429,CRESSIDA 5 334.285714286,,ACHILLES 2 192.857142857,,HELENUS 1 12.8571428571,,ALEXANDER 1 321.428571429,,,CASSANDRA 1 347.142857143,NESTOR 4 90.0,,,THERSITES 4 205.714285714,NESTOR 1 90.0,,,CRESSIDA 1 334.285714286,,AJAX 20 180.0,,,,MENELAUS 1 0,,THERSITES 4 205.714285714,,,THERSITES 2 205.714285714,,
,NESTOR 2 90.0,HELENUS 1 12.8571428571,TROILUS 7 77.1428571429,,,,,,ACHILLES 20 192.857142857,,,,CASSANDRA 1 347.142857143,,CRESSIDA 1 334.285714286,,TROILUS 11 77.1428571429,THERSITES 1 205.714285714,CASSANDRA 1 347.142857143,,THERSITES 6 205.714285714,,CRESSIDA 6 334.285714286,,,,,,HELENUS 1 12.8571428571,,,NESTOR 1 90.0,PARIS 1 141.428571429,,,,,ACHILLES 55 192.857142857,,,,CASSANDRA 1 347.142857143,,NESTOR 2 90.0,,,CASSANDRA 1 347.142857143,,
,CRESSIDA 22 334.285714286,,THERSITES 1 205.714285714,,,,,,ANDROMACHE 1 102.857142857,,,,,,,,THERSITES 5 205.714285714,NESTOR 1 90.0,,,AGAMEMNON 6 244.285714286,,,,,,,,,,,CRESSIDA 7 334.285714286,CRESSIDA 1 334.285714286,,,,,THERSITES 84 205.714285714,,,,ACHILLES 9 192.857142857,,ALEXANDER 1 321.428571429,,,CRESSIDA 1 334.285714286,,
,,,NESTOR 2 90.0,,,,,,TROILUS 56 77.1428571429,,,,,,,,NESTOR 6 90.0,CRESSIDA 1 334.285714286,,,PATROCLUS 4 257.142857143,,,,,,,,,,,,ALEXANDER 1 321.428571429,,,,,AGAMEMNON 74 244.285714286,,,,TROILUS 15 77.1428571429,,,,,ALEXANDER 1 321.428571429,,
,,,CRESSIDA 7 334.285714286,,,,,,THERSITES 29 205.714285714,,,,,,,,CRESSIDA 5 334.285714286,ALEXANDER 1 321.428571429,,,PANDARUS 13 270.0,,,,,,,,,,,,,,,,,PATROCLUS 19 257.142857143,,,,THERSITES 11 205.714285714,,,,,,,
,,,,,,,,,NESTOR 21 90.0,,,,,,,,ALEXANDER 5 321.428571429,,,,HELEN 7 295.714285714,,,,,,,,,,,,,,,,,PANDARUS 129 270.0,,,,NESTOR 9 90.0,,,,,,,
,,,,,,,,,HELENUS 1 12.8571428571,,,,,,,,,,,,DEIPHOBUS 1 308.571428571,,,,,,,,,,,,,,,,,PRIAM 7 282.857142857,,,,CRESSIDA 14 334.285714286,,,,,,,
,,,,,,,,,CRESSIDA 19 334.285714286,,,,,,,,,,,,PARIS 4 141.428571429,,,,,,,,,,,,,,,,,HELEN 7 295.714285714,,,,ALEXANDER 7 321.428571429,,,,,,,
,,,,,,,,,ALEXANDER 2 321.428571429,,,,,,,,,,,,CRESSIDA 12 334.285714286,,,,,,,,,,,,,,,,,ALEXANDER 10 321.428571429,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ALEXANDER 1 321.428571429,,,,,,,,,,,,,,,,,CRESSIDA 101 334.285714286,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASSANDRA 5 347.142857143,,,,,,,,,,,
