heart,heartLines,heartColor,love,loveLines,loveColor,give,giveLines,giveColor,sweet,sweetLines,sweetColor,queen,queenLines,queenColor,mine,mineLines,mineColor,son,sonLines,sonColor,bring,bringLines,bringColor,old,oldLines,oldColor,fear,fearLines,fearColor,eyes,eyesLines,eyesColor,prince,princeLines,princeColor,best,bestLines,bestColor,speak,speakLines,speakColor,gone,goneLines,goneColor,death,deathLines,deathColor,pray,prayLines,prayColor,true,trueLines,trueColor,gentleman,gentlemanLines,gentlemanColor,better,betterLines,betterColor,call,callLines,callColor,take,takeLines,takeColor,lord,lordLines,lordColor,camillo,camilloLines,camilloColor,poor,poorLines,poorColor,tell,tellLines,tellColor,bohemia,bohemiaLines,bohemiaColor,life,lifeLines,lifeColor,business,businessLines,businessColor,boy,boyLines,boyColor,honour,honourLines,honourColor,never,neverLines,neverColor,great,greatLines,greatColor,bear,bearLines,bearColor,hand,handLines,handColor,please,pleaseLines,pleaseColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,lady,ladyLines,ladyColor,present,presentLines,presentColor,man,manLines,manColor,king,kingLines,kingColor,beseech,beseechLines,beseechColor,daughter,daughterLines,daughterColor,wife,wifeLines,wifeColor,brother,brotherLines,brotherColor,father,fatherLines,fatherColor,thought,thoughtLines,thoughtColor,none,noneLines,noneColor,time,timeLines,timeColor
Shepherd,1,92.5714285714,Shepherd,2,92.5714285714,First Lord,1,185.142857143,PAULINA,1,288.0,First Lord,2,185.142857143,PAULINA,4,288.0,Shepard,1,308.571428571,First Lord,1,185.142857143,Shepherd,2,92.5714285714,Shepherd,1,92.5714285714,First Lord,1,185.142857143,Shepherd,1,92.5714285714,Shepherd,2,92.5714285714,Shepherd,1,92.5714285714,PAULINA,5,288.0,PAULINA,3,288.0,Shepherd,1,92.5714285714,First Lord,1,185.142857143,LEONTES,4,174.857142857,First Lord,1,185.142857143,First Lord,1,185.142857143,Shepherd,3,92.5714285714,First Lord,4,185.142857143,PAULINA,1,288.0,Shepherd,1,92.5714285714,Shepherd,1,92.5714285714,LEONTES,2,174.857142857,First Lord,1,185.142857143,First Lord,1,185.142857143,Shepherd,12,92.5714285714,First Lord,1,185.142857143,Lord,1,51.4285714286,First Lord,1,185.142857143,Shepherd,1,92.5714285714,Shepherd,2,92.5714285714,Lord,1,51.4285714286,Shepherd,1,92.5714285714,Shepherd,2,92.5714285714,First Lord,1,185.142857143,Shepherd,1,92.5714285714,Shepherd,5,92.5714285714,Shepherd,4,92.5714285714,First Lord,3,185.142857143,Shepard,1,308.571428571,Shepherd,1,92.5714285714,PAULINA,1,288.0,Shepherd,2,92.5714285714,Shepherd,1,92.5714285714,Shepherd,3,92.5714285714,PAULINA,3,288.0
PAULINA,3,288.0,PAULINA,1,288.0,PAULINA,2,288.0,First Lady,1,0,PAULINA,14,288.0,LEONTES,13,174.857142857,Shepherd,6,92.5714285714,PAULINA,2,288.0,PAULINA,4,288.0,PAULINA,2,288.0,PAULINA,1,288.0,PAULINA,2,288.0,PAULINA,3,288.0,PAULINA,3,288.0,LEONTES,4,174.857142857,LEONTES,5,174.857142857,PAULINA,6,288.0,PAULINA,2,288.0,AUTOLYCUS,2,10.2857142857,PAULINA,3,288.0,PAULINA,4,288.0,PAULINA,4,288.0,PAULINA,14,288.0,LEONTES,16,174.857142857,PAULINA,3,288.0,PAULINA,2,288.0,Servant,1,195.428571429,PAULINA,5,288.0,FLORIZEL,2,154.285714286,PAULINA,2,288.0,PAULINA,5,288.0,First Lord,1,185.142857143,PAULINA,2,288.0,PAULINA,1,288.0,PAULINA,6,288.0,First Lord,2,185.142857143,PAULINA,3,288.0,PAULINA,3,288.0,PAULINA,3,288.0,FLORIZEL,1,154.285714286,PAULINA,2,288.0,PAULINA,4,288.0,PAULINA,2,288.0,Shepherd,6,92.5714285714,LEONTES,13,174.857142857,LEONTES,5,174.857142857,PAULINA,1,288.0,PAULINA,2,288.0,PAULINA,2,288.0,LEONTES,4,174.857142857
LEONTES,7,174.857142857,LEONTES,1,174.857142857,LEONTES,8,174.857142857,LEONTES,4,174.857142857,First Lady,1,0,POLIXENES,4,102.857142857,PAULINA,1,288.0,LEONTES,5,174.857142857,POLIXENES,1,102.857142857,AUTOLYCUS,1,10.2857142857,LEONTES,6,174.857142857,First Lady,1,0,AUTOLYCUS,1,10.2857142857,LEONTES,12,174.857142857,POLIXENES,1,102.857142857,AUTOLYCUS,4,10.2857142857,POLIXENES,4,102.857142857,LEONTES,7,174.857142857,ARCHIDAMUS,1,20.5714285714,LEONTES,4,174.857142857,LEONTES,5,174.857142857,LEONTES,11,174.857142857,First Lady,3,0,POLIXENES,11,102.857142857,AUTOLYCUS,2,10.2857142857,MOPSA,1,82.2857142857,Third Gentleman,1,113.142857143,LEONTES,9,174.857142857,LEONTES,4,174.857142857,LEONTES,8,174.857142857,LEONTES,6,174.857142857,PAULINA,6,288.0,LEONTES,6,174.857142857,LEONTES,7,174.857142857,LEONTES,3,174.857142857,PAULINA,1,288.0,MOPSA,1,82.2857142857,LEONTES,7,174.857142857,LEONTES,5,174.857142857,First Lady,1,0,LEONTES,10,174.857142857,LEONTES,5,174.857142857,LEONTES,1,174.857142857,PAULINA,1,288.0,AUTOLYCUS,2,10.2857142857,AUTOLYCUS,1,10.2857142857,LEONTES,9,174.857142857,LEONTES,8,174.857142857,LEONTES,4,174.857142857,POLIXENES,3,102.857142857
POLIXENES,2,102.857142857,POLIXENES,4,102.857142857,POLIXENES,1,102.857142857,AUTOLYCUS,8,10.2857142857,LEONTES,6,174.857142857,Third Gentleman,1,113.142857143,LEONTES,3,174.857142857,AUTOLYCUS,3,10.2857142857,AUTOLYCUS,4,10.2857142857,POLIXENES,3,102.857142857,POLIXENES,3,102.857142857,LEONTES,4,174.857142857,POLIXENES,6,102.857142857,POLIXENES,3,102.857142857,Servant,1,195.428571429,Third Gentleman,2,113.142857143,AUTOLYCUS,1,10.2857142857,AUTOLYCUS,3,10.2857142857,First Gentleman,1,123.428571429,POLIXENES,3,102.857142857,AUTOLYCUS,2,10.2857142857,ANTIGONUS,2,349.714285714,LEONTES,7,174.857142857,ARCHIDAMUS,1,20.5714285714,Clown,6,329.142857143,AUTOLYCUS,3,10.2857142857,ARCHIDAMUS,2,20.5714285714,POLIXENES,4,102.857142857,POLIXENES,2,102.857142857,POLIXENES,2,102.857142857,POLIXENES,2,102.857142857,LEONTES,3,174.857142857,POLIXENES,2,102.857142857,POLIXENES,2,102.857142857,AUTOLYCUS,2,10.2857142857,Shepherd,1,92.5714285714,POLIXENES,3,102.857142857,POLIXENES,6,102.857142857,POLIXENES,1,102.857142857,LEONTES,3,174.857142857,POLIXENES,4,102.857142857,POLIXENES,2,102.857142857,POLIXENES,3,102.857142857,LEONTES,6,174.857142857,POLIXENES,2,102.857142857,POLIXENES,5,102.857142857,AUTOLYCUS,2,10.2857142857,POLIXENES,2,102.857142857,POLIXENES,3,102.857142857,AUTOLYCUS,5,10.2857142857
Third Gentleman,2,113.142857143,AUTOLYCUS,1,10.2857142857,Shepherd,1,92.5714285714,DION,1,205.714285714,POLIXENES,3,102.857142857,AUTOLYCUS,1,10.2857142857,POLIXENES,6,102.857142857,Shepherd,2,92.5714285714,Third Gentleman,2,113.142857143,Servant,1,195.428571429,Third Gentleman,2,113.142857143,POLIXENES,1,102.857142857,Clown,1,329.142857143,Third Gentleman,1,113.142857143,Third Gentleman,1,113.142857143,POLIXENES,2,102.857142857,Clown,1,329.142857143,Third Gentleman,1,113.142857143,Clown,8,329.142857143,Shepherd,1,92.5714285714,Shepherd,1,92.5714285714,Third Gentleman,1,113.142857143,POLIXENES,1,102.857142857,First Gentleman,1,123.428571429,ANTIGONUS,5,349.714285714,Servant,1,195.428571429,Clown,1,329.142857143,AUTOLYCUS,2,10.2857142857,Shepherd,2,92.5714285714,HERMIONE,1,144.0,ANTIGONUS,1,349.714285714,POLIXENES,1,102.857142857,Lords,1,277.714285714,AUTOLYCUS,2,10.2857142857,Third Gentleman,1,113.142857143,Servant,2,195.428571429,Servant,1,195.428571429,AUTOLYCUS,3,10.2857142857,AUTOLYCUS,1,10.2857142857,POLIXENES,1,102.857142857,Servant,3,195.428571429,Servant,2,195.428571429,AUTOLYCUS,3,10.2857142857,POLIXENES,1,102.857142857,ANTIGONUS,2,349.714285714,Clown,2,329.142857143,POLIXENES,6,102.857142857,AUTOLYCUS,3,10.2857142857,AUTOLYCUS,1,10.2857142857,DION,1,205.714285714
AUTOLYCUS,5,10.2857142857,ARCHIDAMUS,1,20.5714285714,AUTOLYCUS,6,10.2857142857,POLIXENES,1,102.857142857,Servant,1,195.428571429,ARCHIDAMUS,1,20.5714285714,Servant,1,195.428571429,Clown,3,329.142857143,First Gentleman,1,123.428571429,Clown,1,329.142857143,First Gentleman,1,123.428571429,Servant,1,195.428571429,CLEOMENES,1,216.0,ARCHIDAMUS,2,20.5714285714,AUTOLYCUS,1,10.2857142857,ANTIGONUS,3,349.714285714,HERMIONE,1,144.0,HERMIONE,2,144.0,CAMILLO,1,257.142857143,AUTOLYCUS,2,10.2857142857,Servant,1,195.428571429,AUTOLYCUS,2,10.2857142857,Servant,1,195.428571429,HERMIONE,1,144.0,Lord,1,51.4285714286,POLIXENES,1,102.857142857,Officer,1,236.571428571,Clown,2,329.142857143,AUTOLYCUS,4,10.2857142857, , , ,EMILIA,2,339.428571429,Shepherd,1,92.5714285714,AUTOLYCUS,1,10.2857142857,Clown,6,329.142857143,POLIXENES,1,102.857142857,PERDITA,1,61.7142857143,Third Gentleman,1,113.142857143,CLEOMENES,1,216.0,Second Gentleman,1,318.857142857,AUTOLYCUS,3,10.2857142857,AUTOLYCUS,9,10.2857142857,Third Gentleman,4,113.142857143,HERMIONE,2,144.0,Third Gentleman,4,113.142857143,FLORIZEL,2,154.285714286,Lord,1,51.4285714286,Clown,5,329.142857143,ANTIGONUS,1,349.714285714,Second Servant,1,41.1428571429,Clown,1,329.142857143
FLORIZEL,1,154.285714286,Gentleman,1,30.8571428571,ARCHIDAMUS,1,20.5714285714,CLEOMENES,1,216.0,Third Gentleman,2,113.142857143,Clown,1,329.142857143,Third Gentleman,1,113.142857143,ANTIGONUS,1,349.714285714,Clown,3,329.142857143,FLORIZEL,1,154.285714286,ANTIGONUS,1,349.714285714,First Gentleman,1,123.428571429,FLORIZEL,1,154.285714286,HERMIONE,2,144.0,Clown,2,329.142857143,Second Gentleman,1,318.857142857,Second Gentleman,1,318.857142857,Clown,2,329.142857143,POLIXENES,1,102.857142857,Clown,1,329.142857143,POLIXENES,3,102.857142857,POLIXENES,3,102.857142857,Officer,2,236.571428571,Lord,1,51.4285714286,EMILIA,1,339.428571429,Clown,1,329.142857143,ANTIGONUS,2,349.714285714,MOPSA,1,82.2857142857,First Gentleman,1,123.428571429, , , ,Gaoler,1,72.0,Servant,1,195.428571429,DION,1,205.714285714,MOPSA,1,82.2857142857,Clown,7,329.142857143,ANTIGONUS,2,349.714285714,AUTOLYCUS,1,10.2857142857,Clown,1,329.142857143,PERDITA,2,61.7142857143,PAULINA,2,288.0,Gentleman,1,30.8571428571,AUTOLYCUS,7,10.2857142857,CAMILLO,2,257.142857143,AUTOLYCUS,3,10.2857142857, , , ,PERDITA,1,61.7142857143,ANTIGONUS,1,349.714285714,Second Gentleman,1,318.857142857,Clown,5,329.142857143,CLEOMENES,1,216.0
HERMIONE,1,144.0,Clown,2,329.142857143,Gentleman,1,30.8571428571,PERDITA,1,61.7142857143,DION,2,205.714285714,ANTIGONUS,2,349.714285714,AUTOLYCUS,4,10.2857142857,Gaoler,1,72.0,Second Gentleman,1,318.857142857,HERMIONE,1,144.0,PERDITA,1,61.7142857143,AUTOLYCUS,4,10.2857142857,HERMIONE,4,144.0,Time,1,246.857142857,ANTIGONUS,1,349.714285714,Lord,1,51.4285714286,FLORIZEL,3,154.285714286,DORCAS,1,133.714285714, , , ,ANTIGONUS,1,349.714285714,ANTIGONUS,1,349.714285714,Clown,2,329.142857143,Second Lady,1,226.285714286,FLORIZEL,9,154.285714286,PERDITA,2,61.7142857143,HERMIONE,7,144.0,Time,1,246.857142857,ANTIGONUS,1,349.714285714,Clown,1,329.142857143, , , ,FLORIZEL,2,154.285714286,Third Gentleman,1,113.142857143,ARCHIDAMUS,1,20.5714285714,CLEOMENES,1,216.0,FLORIZEL,2,154.285714286,Time,1,246.857142857,Clown,2,329.142857143,Second Gentleman,1,318.857142857,HERMIONE,2,144.0,ANTIGONUS,1,349.714285714,Clown,7,329.142857143,ARCHIDAMUS,1,20.5714285714,FLORIZEL,1,154.285714286,Lord,1,51.4285714286, , , , , , ,Lord,3,51.4285714286,CAMILLO,4,257.142857143,HERMIONE,1,144.0,Second Lady,1,226.285714286
CAMILLO,4,257.142857143,DORCAS,1,133.714285714,Clown,4,329.142857143,FLORIZEL,1,154.285714286,Clown,1,329.142857143,CAMILLO,4,257.142857143,ARCHIDAMUS,1,20.5714285714,CAMILLO,1,257.142857143,CAMILLO,1,257.142857143,CAMILLO,5,257.142857143,CAMILLO,1,257.142857143,ARCHIDAMUS,1,20.5714285714,CAMILLO,2,257.142857143,Lord,1,51.4285714286,PERDITA,1,61.7142857143,PERDITA,1,61.7142857143,MAMILLIUS,1,164.571428571,MOPSA,2,82.2857142857, , , ,CLEOMENES,1,216.0,PERDITA,1,61.7142857143,Officer,1,236.571428571,HERMIONE,12,144.0,Officer,2,236.571428571,FLORIZEL,1,154.285714286,CAMILLO,2,257.142857143,Lord,2,51.4285714286,HERMIONE,8,144.0,PAULINA,1,288.0, , , ,CAMILLO,4,257.142857143,Clown,2,329.142857143,Clown,4,329.142857143,Lord,1,51.4285714286,Officer,1,236.571428571,EMILIA,2,339.428571429,HERMIONE,4,144.0,PERDITA,1,61.7142857143,Lord,1,51.4285714286,Time,1,246.857142857,HERMIONE,1,144.0,First Gentleman,2,123.428571429,PERDITA,1,61.7142857143,Clown,1,329.142857143, , , , , , ,PERDITA,3,61.7142857143,FLORIZEL,4,154.285714286,CAMILLO,3,257.142857143,ANTIGONUS,1,349.714285714
Mariner,1,267.428571429,HERMIONE,4,144.0,HERMIONE,2,144.0,MOPSA,1,82.2857142857,Officer,1,236.571428571,FLORIZEL,3,154.285714286,Gentleman,1,30.8571428571, , , ,FLORIZEL,1,154.285714286,Mariner,1,267.428571429,HERMIONE,1,144.0,Gentleman,1,30.8571428571,Mariner,1,267.428571429,PERDITA,4,61.7142857143,HERMIONE,1,144.0, , , ,MOPSA,2,82.2857142857,Officer,2,236.571428571, , , ,HERMIONE,1,144.0,FLORIZEL,3,154.285714286,Time,1,246.857142857,First Servant,1,298.285714286, , , ,CAMILLO,1,257.142857143,MAMILLIUS,1,164.571428571,CAMILLO,6,257.142857143,CAMILLO,2,257.142857143,ANTIGONUS,1,349.714285714, , , ,HERMIONE,6,144.0,HERMIONE,2,144.0,CLEOMENES,1,216.0,CAMILLO,2,257.142857143,Second Gentleman,1,318.857142857,CAMILLO,2,257.142857143,CAMILLO,1,257.142857143,FLORIZEL,4,154.285714286,EMILIA,2,339.428571429,DION,1,205.714285714,CAMILLO,4,257.142857143,Clown,6,329.142857143, , , ,Second Gentleman,1,318.857142857, , , , , , ,FLORIZEL,11,154.285714286,PERDITA,1,61.7142857143,MAMILLIUS,1,164.571428571,Time,6,246.857142857
