heart,heartLines,heartColor,old,oldLines,oldColor,humour,humourLines,humourColor,give,giveLines,giveColor,hugh,hughLines,hughColor,mine,mineLines,mineColor,two,twoLines,twoColor,another,anotherLines,anotherColor,follow,followLines,followColor,love,loveLines,loveColor,worship,worshipLines,worshipColor,speak,speakLines,speakColor,doctor,doctorLines,doctorColor,pray,prayLines,prayColor,away,awayLines,awayColor,father,fatherLines,fatherColor,three,threeLines,threeColor,find,findLines,findColor,better,betterLines,betterColor,master,masterLines,masterColor,take,takeLines,takeColor,house,houseLines,houseColor,anne,anneLines,anneColor,john,johnLines,johnColor,warrant,warrantLines,warrantColor,tell,tellLines,tellColor,woman,womanLines,womanColor,windsor,windsorLines,windsorColor,never,neverLines,neverColor,ford,fordLines,fordColor,falstaff,falstaffLines,falstaffColor,host,hostLines,hostColor,hear,hearLines,hearColor,mistress,mistressLines,mistressColor,hand,handLines,handColor,man,manLines,manColor,boy,boyLines,boyColor,great,greatLines,greatColor,heaven,heavenLines,heavenColor,word,wordLines,wordColor,wife,wifeLines,wifeColor,knight,knightLines,knightColor,marry,marryLines,marryColor,slender,slenderLines,slenderColor,honest,honestLines,honestColor,knave,knaveLines,knaveColor,time,timeLines,timeColor,page,pageLines,pageColor,husband,husbandLines,husbandColor,brook,brookLines,brookColor
MISTRESS QUICKLY,12,90.0,MISTRESS QUICKLY,2,90.0,FALSTAFF,1,30.0,MISTRESS QUICKLY,4,90.0,MISTRESS QUICKLY,1,90.0,SHALLOW,2,120.0,MISTRESS QUICKLY,3,90.0,MISTRESS QUICKLY,5,90.0,DOCTOR CAIUS,1,105.0,MISTRESS QUICKLY,4,90.0,BARDOLPH,1,300.0,MISTRESS QUICKLY,4,90.0,MISTRESS QUICKLY,4,90.0,MISTRESS QUICKLY,8,90.0,MISTRESS QUICKLY,2,90.0,SHALLOW,1,120.0,MISTRESS QUICKLY,1,90.0,MISTRESS QUICKLY,3,90.0,MISTRESS QUICKLY,2,90.0,BARDOLPH,1,300.0,MISTRESS QUICKLY,2,90.0,MISTRESS QUICKLY,5,90.0,MISTRESS QUICKLY,10,90.0,MISTRESS QUICKLY,5,90.0,MISTRESS QUICKLY,10,90.0,MISTRESS QUICKLY,8,90.0,MISTRESS QUICKLY,6,90.0,MISTRESS QUICKLY,6,90.0,MISTRESS QUICKLY,9,90.0,MISTRESS QUICKLY,5,90.0,MISTRESS QUICKLY,1,90.0,DOCTOR CAIUS,3,105.0,MISTRESS QUICKLY,2,90.0,BARDOLPH,1,300.0,MISTRESS QUICKLY,1,90.0,MISTRESS QUICKLY,7,90.0,MISTRESS QUICKLY,1,90.0,MISTRESS QUICKLY,2,90.0,MISTRESS QUICKLY,6,90.0,MISTRESS QUICKLY,6,90.0,MISTRESS QUICKLY,2,90.0,MISTRESS QUICKLY,1,90.0,MISTRESS QUICKLY,3,90.0,MISTRESS QUICKLY,3,90.0,MISTRESS QUICKLY,6,90.0,FALSTAFF,11,30.0,MISTRESS QUICKLY,4,90.0,MISTRESS QUICKLY,8,90.0,MISTRESS QUICKLY,5,90.0,BARDOLPH,1,300.0
DOCTOR CAIUS,2,105.0,SIMPLE,2,0,Host,1,135.0,FENTON,3,150.0,RUGBY,1,180.0,DOCTOR CAIUS,3,105.0,DOCTOR CAIUS,4,105.0,SIMPLE,1,0,SHALLOW,2,120.0,DOCTOR CAIUS,1,105.0,MISTRESS QUICKLY,13,90.0,SHALLOW,1,120.0,BARDOLPH,1,300.0,DOCTOR CAIUS,4,105.0,BARDOLPH,2,300.0,ANNE PAGE,4,240.0,BARDOLPH,2,300.0,MISTRESS PAGE,3,315.0,SIMPLE,1,0,MISTRESS QUICKLY,19,90.0,DOCTOR CAIUS,2,105.0,MISTRESS PAGE,2,315.0,DOCTOR CAIUS,6,105.0,DOCTOR CAIUS,3,105.0,MISTRESS PAGE,2,315.0,DOCTOR CAIUS,4,105.0,DOCTOR CAIUS,1,105.0,DOCTOR CAIUS,1,105.0,SHALLOW,1,120.0,MISTRESS FORD,1,60.0,SIMPLE,1,0,SHALLOW,4,120.0,FENTON,3,150.0,MISTRESS QUICKLY,10,90.0,SIMPLE,2,0,DOCTOR CAIUS,2,105.0,DOCTOR CAIUS,1,105.0,MISTRESS PAGE,4,315.0,Second Servant,1,15.0,DOCTOR CAIUS,1,105.0,SIR HUGH EVANS,2,255.0,DOCTOR CAIUS,1,105.0,FALSTAFF,2,30.0,SIMPLE,2,0,DOCTOR CAIUS,3,105.0,SIR HUGH EVANS,5,255.0,MISTRESS FORD,1,60.0,DOCTOR CAIUS,6,105.0,MISTRESS PAGE,18,315.0,FALSTAFF,25,30.0
SHALLOW,3,120.0,SHALLOW,3,120.0,SIR HUGH EVANS,2,255.0,MISTRESS PAGE,5,315.0,SIMPLE,1,0,FENTON,1,150.0,MISTRESS PAGE,6,315.0,SLENDER,2,210.0,FORD,2,225.0,FENTON,6,150.0,RUGBY,1,180.0,DOCTOR CAIUS,3,105.0,SHALLOW,7,120.0,SIMPLE,2,0,MISTRESS PAGE,4,315.0,MISTRESS PAGE,1,315.0,SHALLOW,1,120.0,FORD,8,225.0,SHALLOW,1,120.0,RUGBY,1,180.0,FENTON,1,150.0,FORD,7,225.0,SIMPLE,2,0,BARDOLPH,1,300.0,FORD,2,225.0,SHALLOW,1,120.0,FALSTAFF,10,30.0,SIMPLE,1,0,MISTRESS PAGE,6,315.0,SHALLOW,3,120.0,FENTON,1,150.0,MISTRESS PAGE,1,315.0,SHALLOW,1,120.0,DOCTOR CAIUS,1,105.0,SHALLOW,1,120.0,SIMPLE,1,0,SHALLOW,1,120.0,FORD,1,225.0,MISTRESS PAGE,4,315.0,SIMPLE,1,0,MISTRESS PAGE,3,315.0,SHALLOW,1,120.0,SIMPLE,2,0,SHALLOW,3,120.0,SIMPLE,1,0,DOCTOR CAIUS,1,105.0,SHALLOW,3,120.0,SIMPLE,2,0,FORD,3,225.0,Host,1,135.0
MISTRESS PAGE,2,315.0,MISTRESS PAGE,3,315.0,PAGE,2,345.0,FORD,8,225.0,SHALLOW,5,120.0,SIR HUGH EVANS,5,255.0,FORD,1,225.0,FORD,2,225.0,FALSTAFF,5,30.0,SHALLOW,3,120.0,PAGE,1,345.0,FALSTAFF,5,30.0,SLENDER,1,210.0,Second Servant,1,15.0,PAGE,2,345.0,Host,1,135.0,SLENDER,2,210.0,SLENDER,1,210.0,MISTRESS PAGE,6,315.0,SIMPLE,6,0,SIR HUGH EVANS,3,255.0,FALSTAFF,2,30.0,SHALLOW,5,120.0,MISTRESS FORD,10,60.0,FALSTAFF,2,30.0,ANNE PAGE,1,240.0,BARDOLPH,1,300.0,MISTRESS PAGE,5,315.0,FORD,6,225.0,MISTRESS PAGE,9,315.0,SHALLOW,2,120.0,FORD,1,225.0,FORD,3,225.0,SIMPLE,2,0,MISTRESS PAGE,2,315.0,MISTRESS FORD,2,60.0,SLENDER,5,210.0,SLENDER,3,210.0,FORD,1,225.0,SHALLOW,3,120.0,FORD,19,225.0,Second Servant,1,15.0,SHALLOW,3,120.0,ANNE PAGE,2,240.0,SHALLOW,1,120.0,SLENDER,1,210.0,MISTRESS PAGE,3,315.0,FENTON,3,150.0,FALSTAFF,8,30.0,FORD,9,225.0
FORD,4,225.0,FORD,2,225.0,NYM,14,45.0,FALSTAFF,6,30.0,MISTRESS PAGE,3,315.0,SLENDER,2,210.0,WILLIAM PAGE,1,330.0,FALSTAFF,6,30.0,Host,4,135.0,ANNE PAGE,1,240.0,ANNE PAGE,1,240.0,SIMPLE,3,0,FORD,1,225.0,ANNE PAGE,2,240.0,FALSTAFF,8,30.0,SLENDER,6,210.0,FORD,1,225.0,SIR HUGH EVANS,1,255.0,FORD,4,225.0,MISTRESS FORD,3,60.0,MISTRESS PAGE,6,315.0,Host,2,135.0,SLENDER,11,210.0,SHALLOW,2,120.0,SLENDER,2,210.0,SLENDER,5,210.0,MISTRESS PAGE,7,315.0,FORD,1,225.0,FALSTAFF,4,30.0,FORD,10,225.0,MISTRESS PAGE,4,315.0,FALSTAFF,5,30.0,FALSTAFF,5,30.0,MISTRESS FORD,11,60.0,FORD,1,225.0,SHALLOW,2,120.0,FORD,3,225.0,SIR HUGH EVANS,4,255.0,FENTON,1,150.0,MISTRESS PAGE,1,315.0,FALSTAFF,11,30.0,MISTRESS PAGE,11,315.0,SLENDER,5,210.0,FALSTAFF,3,30.0,SLENDER,1,210.0,FORD,3,225.0,FORD,2,225.0,SHALLOW,14,120.0,Host,1,135.0, , , 
FALSTAFF,1,30.0,FALSTAFF,8,30.0, , , ,Host,4,135.0,FORD,3,225.0,FORD,2,225.0,FALSTAFF,2,30.0,MISTRESS PAGE,1,315.0,SIR HUGH EVANS,3,255.0,SLENDER,3,210.0, , , ,FENTON,1,150.0,Host,4,135.0,FORD,6,225.0,Host,1,135.0,SIR HUGH EVANS,1,255.0,FALSTAFF,3,30.0,MISTRESS FORD,2,60.0,FALSTAFF,1,30.0,SHALLOW,21,120.0,FORD,3,225.0,SIR HUGH EVANS,3,255.0,FORD,1,225.0,MISTRESS PAGE,7,315.0,MISTRESS FORD,3,60.0,FORD,4,225.0,FORD,3,225.0,FALSTAFF,2,30.0,SLENDER,2,210.0,FALSTAFF,24,30.0,FORD,8,225.0,Host,2,135.0,Host,3,135.0,SHALLOW,6,120.0,FALSTAFF,6,30.0,MISTRESS PAGE,8,315.0,FALSTAFF,1,30.0,FENTON,3,150.0,SLENDER,4,210.0,FORD,2,225.0,NYM,2,45.0,Host,6,135.0,FORD,2,225.0,Host,1,135.0,FORD,4,225.0, , , ,FALSTAFF,7,30.0,SLENDER,6,210.0,MISTRESS FORD,8,60.0, , , 
Host,2,135.0,SIR HUGH EVANS,2,255.0, , , ,SLENDER,3,210.0,Host,1,135.0,FALSTAFF,9,30.0,SLENDER,3,210.0,SIR HUGH EVANS,2,255.0,PAGE,2,345.0,FORD,4,225.0, , , ,NYM,1,45.0,MISTRESS PAGE,6,315.0,FALSTAFF,1,30.0,SIR HUGH EVANS,1,255.0,FENTON,4,150.0,ANNE PAGE,1,240.0,PISTOL,1,165.0,SLENDER,2,210.0,ANNE PAGE,4,240.0,FALSTAFF,2,30.0,MISTRESS FORD,4,60.0,Host,2,135.0,FORD,9,225.0,PAGE,1,345.0,FALSTAFF,7,30.0,MISTRESS FORD,7,60.0,MISTRESS FORD,1,60.0,MISTRESS FORD,3,60.0,SIR HUGH EVANS,1,255.0,FALSTAFF,2,30.0,SIR HUGH EVANS,6,255.0,SIR HUGH EVANS,3,255.0,SLENDER,8,210.0,Host,3,135.0,FORD,7,225.0,Host,2,135.0,PAGE,1,345.0,SIR HUGH EVANS,2,255.0,FALSTAFF,2,30.0,PISTOL,1,165.0,SIR HUGH EVANS,2,255.0,MISTRESS FORD,2,60.0,MISTRESS PAGE,1,315.0,FALSTAFF,1,30.0, , , ,SLENDER,1,210.0,FORD,13,225.0, , , , , , 
SIR HUGH EVANS,1,255.0,MISTRESS FORD,3,60.0, , , ,SIR HUGH EVANS,6,255.0,MISTRESS FORD,1,60.0,Host,1,135.0,SIR HUGH EVANS,1,255.0,MISTRESS FORD,2,60.0,ROBIN,1,75.0,FALSTAFF,14,30.0, , , ,SLENDER,2,210.0,SIR HUGH EVANS,2,255.0,SLENDER,3,210.0,FENTON,2,150.0, , , ,SIR HUGH EVANS,4,255.0, , , ,MISTRESS FORD,2,60.0,SLENDER,3,210.0,NYM,1,45.0,PAGE,2,345.0,MISTRESS PAGE,1,315.0,FALSTAFF,2,30.0, , , ,Host,1,135.0,Host,3,135.0,PISTOL,1,165.0,PAGE,2,345.0,ROBIN,1,75.0,Host,1,135.0,FENTON,2,150.0,MISTRESS FORD,1,60.0,FORD,6,225.0,SIR HUGH EVANS,1,255.0,FALSTAFF,9,30.0,MISTRESS PAGE,2,315.0, , , ,MISTRESS FORD,4,60.0,Host,2,135.0,PAGE,4,345.0,MISTRESS FORD,1,60.0,ANNE PAGE,1,240.0,SIR HUGH EVANS,3,255.0,Host,2,135.0, , , ,SIR HUGH EVANS,1,255.0,FALSTAFF,6,30.0, , , , , , 
FENTON,1,150.0,PISTOL,1,165.0, , , ,MISTRESS FORD,3,60.0,DOCTOR CAIUS,2,105.0,MISTRESS PAGE,4,315.0,MISTRESS FORD,1,60.0,PISTOL,1,165.0, , , ,MISTRESS PAGE,7,315.0, , , ,BARDOLPH,2,300.0,FENTON,4,150.0,SIR HUGH EVANS,14,255.0,PISTOL,1,165.0, , , ,MISTRESS PAGE,2,315.0, , , ,FENTON,1,150.0,FORD,15,225.0,MISTRESS FORD,4,60.0, , , ,SIR HUGH EVANS,5,255.0,Host,2,135.0, , , ,MISTRESS PAGE,2,315.0,SLENDER,3,210.0,PAGE,1,345.0, , , ,PISTOL,3,165.0,NYM,1,45.0,PAGE,2,345.0,PISTOL,1,165.0,FALSTAFF,17,30.0,MISTRESS FORD,1,60.0,SLENDER,5,210.0,SIR HUGH EVANS,1,255.0, , , ,PAGE,2,345.0,MISTRESS FORD,3,60.0, , , ,PAGE,1,345.0,SIR HUGH EVANS,1,255.0,FENTON,2,150.0,MISTRESS PAGE,2,315.0, , , ,FENTON,3,150.0,Host,3,135.0, , , , , , 
PAGE,1,345.0,PAGE,2,345.0, , , ,PISTOL,1,165.0,PAGE,2,345.0,NYM,1,45.0,PISTOL,1,165.0, , , , , , ,NYM,4,45.0, , , ,Host,8,135.0,PAGE,3,345.0,MISTRESS FORD,1,60.0,ROBIN,1,75.0, , , ,PAGE,1,345.0, , , , , , ,FENTON,1,150.0,First Servant,1,285.0, , , ,FENTON,2,150.0,SIMPLE,1,0, , , ,SIR HUGH EVANS,5,255.0,SIMPLE,3,0, , , , , , ,PAGE,6,345.0,MISTRESS FORD,2,60.0, , , ,PAGE,2,345.0,Host,1,135.0,FENTON,2,150.0,SIR HUGH EVANS,2,255.0,PISTOL,1,165.0, , , , , , ,PISTOL,2,165.0, , , , , , ,FENTON,2,150.0,PAGE,8,345.0,SIR HUGH EVANS,2,255.0, , , ,PAGE,1,345.0,MISTRESS PAGE,4,315.0, , , , , , 
