name,color
Countess,"d3.hsl(185, 1, 0.2)"
Bertram,"d3.hsl(185, 1, 0.23)"
Lafeu,"d3.hsl(185, 1, 0.26)"
Helena,"d3.hsl(185, 1, 0.29)"
Parolles,"d3.hsl(185, 1, 0.32)"
Page,"d3.hsl(185, 1, 0.35)"
King,"d3.hsl(185, 1, 0.38)"
First Lord,"d3.hsl(185, 1, 0.41)"
Second Lord,"d3.hsl(185, 1, 0.44)"
Steward,"d3.hsl(185, 1, 0.47)"
Clown,"d3.hsl(185, 1, 0.5)"
Both,"d3.hsl(185, 1, 0.53)"
All,"d3.hsl(185, 1, 0.56)"
Fourth Lord,"d3.hsl(185, 1, 0.59)"
Duke,"d3.hsl(185, 1, 0.62)"
First Gentleman,"d3.hsl(185, 1, 0.65)"
Second Gentleman,"d3.hsl(185, 1, 0.68)"
Widow,"d3.hsl(185, 1, 0.71)"
Diana,"d3.hsl(185, 1, 0.74)"
Mariana,"d3.hsl(185, 1, 0.77)"
Both,"d3.hsl(185, 1, 0.8)"
First Soldier,"d3.hsl(185, 1, 0.83)"
Second Soldier,"d3.hsl(185, 1, 0.86)"
Servant,"d3.hsl(185, 1, 0.89)"
Gentleman,"d3.hsl(185, 1, 0.92)"
