name,color
Orlando,"d3.hsl(185, 1, 0.2)"
Adam,"d3.hsl(185, 1, 0.227777777778)"
Oliver,"d3.hsl(185, 1, 0.255555555556)"
Dennis,"d3.hsl(185, 1, 0.283333333333)"
Charles,"d3.hsl(185, 1, 0.311111111111)"
Celia,"d3.hsl(185, 1, 0.338888888889)"
Rosalind,"d3.hsl(185, 1, 0.366666666667)"
Touchstone,"d3.hsl(185, 1, 0.394444444444)"
Le Beau,"d3.hsl(185, 1, 0.422222222222)"
Duke Frederick,"d3.hsl(185, 1, 0.45)"
Duke Senior,"d3.hsl(185, 1, 0.477777777778)"
Amiens,"d3.hsl(185, 1, 0.505555555556)"
First Lord,"d3.hsl(185, 1, 0.533333333333)"
Second Lord,"d3.hsl(185, 1, 0.561111111111)"
Corin,"d3.hsl(185, 1, 0.588888888889)"
Silvius,"d3.hsl(185, 1, 0.616666666667)"
Jaques,"d3.hsl(185, 1, 0.644444444444)"
Audrey,"d3.hsl(185, 1, 0.672222222222)"
Sir Oliver Martext,"d3.hsl(185, 1, 0.7)"
Phebe,"d3.hsl(185, 1, 0.727777777778)"
A Lord,"d3.hsl(185, 1, 0.755555555556)"
Forester,"d3.hsl(185, 1, 0.783333333333)"
William,"d3.hsl(185, 1, 0.811111111111)"
First Page,"d3.hsl(185, 1, 0.838888888889)"
Second Page,"d3.hsl(185, 1, 0.866666666667)"
Hymen,"d3.hsl(185, 1, 0.894444444444)"
Jaques De Boys,"d3.hsl(185, 1, 0.922222222222)"
