name,color
Philo,"d3.hsl(185, 1, 0.2)"
Cleopatra,"d3.hsl(185, 1, 0.213888888889)"
Mark Antony,"d3.hsl(185, 1, 0.227777777778)"
Attendant,"d3.hsl(185, 1, 0.241666666667)"
Demetrius,"d3.hsl(185, 1, 0.255555555556)"
Charmian,"d3.hsl(185, 1, 0.269444444444)"
Alexas,"d3.hsl(185, 1, 0.283333333333)"
Soothsayer,"d3.hsl(185, 1, 0.297222222222)"
Domitius Enobarbus,"d3.hsl(185, 1, 0.311111111111)"
Iras,"d3.hsl(185, 1, 0.325)"
Messenger,"d3.hsl(185, 1, 0.338888888889)"
First Attendant,"d3.hsl(185, 1, 0.352777777778)"
Second Attendant,"d3.hsl(185, 1, 0.366666666667)"
Second Messenger,"d3.hsl(185, 1, 0.380555555556)"
Octavius Caesar,"d3.hsl(185, 1, 0.394444444444)"
Lepidus,"d3.hsl(185, 1, 0.408333333333)"
Mardian,"d3.hsl(185, 1, 0.422222222222)"
Pompey,"d3.hsl(185, 1, 0.436111111111)"
Menecrates,"d3.hsl(185, 1, 0.45)"
Menas,"d3.hsl(185, 1, 0.463888888889)"
Varrius,"d3.hsl(185, 1, 0.477777777778)"
Mecaenas,"d3.hsl(185, 1, 0.491666666667)"
Agrippa,"d3.hsl(185, 1, 0.505555555556)"
Octavia,"d3.hsl(185, 1, 0.519444444444)"
Attendants,"d3.hsl(185, 1, 0.533333333333)"
First Servant,"d3.hsl(185, 1, 0.547222222222)"
Second Servant,"d3.hsl(185, 1, 0.561111111111)"
Ventidius,"d3.hsl(185, 1, 0.575)"
Silius,"d3.hsl(185, 1, 0.588888888889)"
Eros,"d3.hsl(185, 1, 0.602777777778)"
Canidius,"d3.hsl(185, 1, 0.616666666667)"
Soldier,"d3.hsl(185, 1, 0.630555555556)"
Taurus,"d3.hsl(185, 1, 0.644444444444)"
Scarus,"d3.hsl(185, 1, 0.658333333333)"
All,"d3.hsl(185, 1, 0.672222222222)"
Dolabella,"d3.hsl(185, 1, 0.686111111111)"
Euphronius,"d3.hsl(185, 1, 0.7)"
Thyreus,"d3.hsl(185, 1, 0.713888888889)"
First Soldier,"d3.hsl(185, 1, 0.727777777778)"
Second Soldier,"d3.hsl(185, 1, 0.741666666667)"
Third Soldier,"d3.hsl(185, 1, 0.755555555556)"
Fourth Soldier,"d3.hsl(185, 1, 0.769444444444)"
Captain,"d3.hsl(185, 1, 0.783333333333)"
First Guard,"d3.hsl(185, 1, 0.797222222222)"
Second Guard,"d3.hsl(185, 1, 0.811111111111)"
Third Guard,"d3.hsl(185, 1, 0.825)"
Dercetas,"d3.hsl(185, 1, 0.838888888889)"
Diomedes,"d3.hsl(185, 1, 0.852777777778)"
Egyptian,"d3.hsl(185, 1, 0.866666666667)"
Proculeius,"d3.hsl(185, 1, 0.880555555556)"
Gallus,"d3.hsl(185, 1, 0.894444444444)"
Seleucus,"d3.hsl(185, 1, 0.908333333333)"
Guard,"d3.hsl(185, 1, 0.922222222222)"
Clown,"d3.hsl(185, 1, 0.936111111111)"
