name,color
Buckingham,"d3.hsl(185, 1, 0.2)"
Norfolk,"d3.hsl(185, 1, 0.215957446809)"
Abergavenny,"d3.hsl(185, 1, 0.231914893617)"
Cardinal wolsey,"d3.hsl(185, 1, 0.247872340426)"
First secretary,"d3.hsl(185, 1, 0.263829787234)"
Brandon,"d3.hsl(185, 1, 0.279787234043)"
Sergeant,"d3.hsl(185, 1, 0.295744680851)"
King henry viii,"d3.hsl(185, 1, 0.31170212766)"
Queen katharine,"d3.hsl(185, 1, 0.327659574468)"
Surveyor,"d3.hsl(185, 1, 0.343617021277)"
Chamberlain,"d3.hsl(185, 1, 0.359574468085)"
Sands,"d3.hsl(185, 1, 0.375531914894)"
Lovell,"d3.hsl(185, 1, 0.391489361702)"
Guildford,"d3.hsl(185, 1, 0.407446808511)"
Anne,"d3.hsl(185, 1, 0.423404255319)"
Servant,"d3.hsl(185, 1, 0.439361702128)"
First gentleman,"d3.hsl(185, 1, 0.455319148936)"
Second gentleman,"d3.hsl(185, 1, 0.471276595745)"
Vaux,"d3.hsl(185, 1, 0.487234042553)"
Suffolk,"d3.hsl(185, 1, 0.503191489362)"
Cardinal campeius,"d3.hsl(185, 1, 0.51914893617)"
Gardiner,"d3.hsl(185, 1, 0.535106382979)"
Old lady,"d3.hsl(185, 1, 0.551063829787)"
Old lady:,"d3.hsl(185, 1, 0.567021276596)"
Scribe,"d3.hsl(185, 1, 0.582978723404)"
Crier,"d3.hsl(185, 1, 0.598936170213)"
Griffith,"d3.hsl(185, 1, 0.614893617021)"
Lincoln,"d3.hsl(185, 1, 0.63085106383)"
Gentleman,"d3.hsl(185, 1, 0.646808510638)"
Surrey,"d3.hsl(185, 1, 0.662765957447)"
Cromwell,"d3.hsl(185, 1, 0.678723404255)"
Third gentleman,"d3.hsl(185, 1, 0.694680851064)"
Both,"d3.hsl(185, 1, 0.710638297872)"
Katharine,"d3.hsl(185, 1, 0.726595744681)"
Patience,"d3.hsl(185, 1, 0.742553191489)"
Messenger,"d3.hsl(185, 1, 0.758510638298)"
Capucius,"d3.hsl(185, 1, 0.774468085106)"
Boy,"d3.hsl(185, 1, 0.790425531915)"
Denny,"d3.hsl(185, 1, 0.806382978723)"
Cranmer,"d3.hsl(185, 1, 0.822340425532)"
Keeper,"d3.hsl(185, 1, 0.83829787234)"
Doctor butts,"d3.hsl(185, 1, 0.854255319149)"
Chancellor,"d3.hsl(185, 1, 0.870212765957)"
All,"d3.hsl(185, 1, 0.886170212766)"
Porter,"d3.hsl(185, 1, 0.902127659574)"
Man,"d3.hsl(185, 1, 0.918085106383)"
Garter,"d3.hsl(185, 1, 0.934042553191)"
