name,color
Ferdinand,"d3.hsl(185, 1, 0.2)"
Longaville,"d3.hsl(185, 1, 0.239473684211)"
Dumain,"d3.hsl(185, 1, 0.278947368421)"
Biron,"d3.hsl(185, 1, 0.318421052632)"
Dull,"d3.hsl(185, 1, 0.357894736842)"
Costard,"d3.hsl(185, 1, 0.397368421053)"
Don Adriano De Armado,"d3.hsl(185, 1, 0.436842105263)"
Moth,"d3.hsl(185, 1, 0.476315789474)"
Jaquenetta,"d3.hsl(185, 1, 0.515789473684)"
Boyet,"d3.hsl(185, 1, 0.555263157895)"
Princess,"d3.hsl(185, 1, 0.594736842105)"
First Lord,"d3.hsl(185, 1, 0.634210526316)"
Maria,"d3.hsl(185, 1, 0.673684210526)"
Katharine,"d3.hsl(185, 1, 0.713157894737)"
Rosaline,"d3.hsl(185, 1, 0.752631578947)"
Forester,"d3.hsl(185, 1, 0.792105263158)"
Sir Nathaniel,"d3.hsl(185, 1, 0.831578947368)"
Holofernes,"d3.hsl(185, 1, 0.871052631579)"
Mercade,"d3.hsl(185, 1, 0.910526315789)"
