name,color
First Witch,"d3.hsl(185, 1, 0.2)"
Second Witch,"d3.hsl(185, 1, 0.218292682927)"
Third Witch,"d3.hsl(185, 1, 0.236585365854)"
All,"d3.hsl(185, 1, 0.25487804878)"
Duncan,"d3.hsl(185, 1, 0.273170731707)"
Malcolm,"d3.hsl(185, 1, 0.291463414634)"
Sergeant,"d3.hsl(185, 1, 0.309756097561)"
Lennox,"d3.hsl(185, 1, 0.328048780488)"
Ross,"d3.hsl(185, 1, 0.346341463415)"
Macbeth,"d3.hsl(185, 1, 0.364634146341)"
Banquo,"d3.hsl(185, 1, 0.382926829268)"
Angus,"d3.hsl(185, 1, 0.401219512195)"
Lady Macbeth,"d3.hsl(185, 1, 0.419512195122)"
Messenger,"d3.hsl(185, 1, 0.437804878049)"
Fleance,"d3.hsl(185, 1, 0.456097560976)"
Porter,"d3.hsl(185, 1, 0.474390243902)"
Macduff,"d3.hsl(185, 1, 0.492682926829)"
Donalbain,"d3.hsl(185, 1, 0.510975609756)"
Old Man,"d3.hsl(185, 1, 0.529268292683)"
Attendant,"d3.hsl(185, 1, 0.54756097561)"
First Murderer,"d3.hsl(185, 1, 0.565853658537)"
Second Murderer,"d3.hsl(185, 1, 0.584146341463)"
Both Murderers,"d3.hsl(185, 1, 0.60243902439)"
Servant,"d3.hsl(185, 1, 0.620731707317)"
Third Murderer,"d3.hsl(185, 1, 0.639024390244)"
Lords,"d3.hsl(185, 1, 0.657317073171)"
Hecate,"d3.hsl(185, 1, 0.675609756098)"
Lord,"d3.hsl(185, 1, 0.693902439024)"
First Apparition,"d3.hsl(185, 1, 0.712195121951)"
Second Apparition,"d3.hsl(185, 1, 0.730487804878)"
Third Apparition,"d3.hsl(185, 1, 0.748780487805)"
Lady Macduff,"d3.hsl(185, 1, 0.767073170732)"
Son,"d3.hsl(185, 1, 0.785365853659)"
Doctor,"d3.hsl(185, 1, 0.803658536585)"
Gentlewoman,"d3.hsl(185, 1, 0.821951219512)"
Menteith,"d3.hsl(185, 1, 0.840243902439)"
Caithness,"d3.hsl(185, 1, 0.858536585366)"
Seyton,"d3.hsl(185, 1, 0.876829268293)"
Siward,"d3.hsl(185, 1, 0.89512195122)"
Soldiers,"d3.hsl(185, 1, 0.913414634146)"
Young Siward,"d3.hsl(185, 1, 0.931707317073)"
