name,color
Roderigo,"d3.hsl(185, 1, 0.2)"
Iago,"d3.hsl(185, 1, 0.226785714286)"
Brabantio,"d3.hsl(185, 1, 0.253571428571)"
Othello,"d3.hsl(185, 1, 0.280357142857)"
Cassio,"d3.hsl(185, 1, 0.307142857143)"
First Officer,"d3.hsl(185, 1, 0.333928571429)"
Duke Of Venice,"d3.hsl(185, 1, 0.360714285714)"
First Senator,"d3.hsl(185, 1, 0.3875)"
Second Senator,"d3.hsl(185, 1, 0.414285714286)"
Sailor,"d3.hsl(185, 1, 0.441071428571)"
Messenger,"d3.hsl(185, 1, 0.467857142857)"
Senator,"d3.hsl(185, 1, 0.494642857143)"
Desdemona,"d3.hsl(185, 1, 0.521428571429)"
Montano,"d3.hsl(185, 1, 0.548214285714)"
First Gentleman,"d3.hsl(185, 1, 0.575)"
Second Gentleman,"d3.hsl(185, 1, 0.601785714286)"
Third Gentleman,"d3.hsl(185, 1, 0.628571428571)"
Fourth Gentleman,"d3.hsl(185, 1, 0.655357142857)"
Second Gentlemen,"d3.hsl(185, 1, 0.682142857143)"
Emilia,"d3.hsl(185, 1, 0.708928571429)"
Herald,"d3.hsl(185, 1, 0.735714285714)"
All,"d3.hsl(185, 1, 0.7625)"
Clown,"d3.hsl(185, 1, 0.789285714286)"
First Musician,"d3.hsl(185, 1, 0.816071428571)"
Gentleman,"d3.hsl(185, 1, 0.842857142857)"
Bianca,"d3.hsl(185, 1, 0.869642857143)"
Lodovico,"d3.hsl(185, 1, 0.896428571429)"
Gratiano,"d3.hsl(185, 1, 0.923214285714)"
