name,color
King richard ii,"d3.hsl(185, 1, 0.2)"
John of gaunt,"d3.hsl(185, 1, 0.220833333333)"
Henry bolingbroke,"d3.hsl(185, 1, 0.241666666667)"
Thomas mowbray,"d3.hsl(185, 1, 0.2625)"
Duchess,"d3.hsl(185, 1, 0.283333333333)"
Lord marshal,"d3.hsl(185, 1, 0.304166666667)"
Duke of aumerle,"d3.hsl(185, 1, 0.325)"
First herald,"d3.hsl(185, 1, 0.345833333333)"
Second herald,"d3.hsl(185, 1, 0.366666666667)"
Green,"d3.hsl(185, 1, 0.3875)"
Bushy,"d3.hsl(185, 1, 0.408333333333)"
All,"d3.hsl(185, 1, 0.429166666667)"
Duke of york,"d3.hsl(185, 1, 0.45)"
Queen,"d3.hsl(185, 1, 0.470833333333)"
Northumberland,"d3.hsl(185, 1, 0.491666666667)"
Lord ross,"d3.hsl(185, 1, 0.5125)"
Lord willoughby,"d3.hsl(185, 1, 0.533333333333)"
Servant,"d3.hsl(185, 1, 0.554166666667)"
Bagot,"d3.hsl(185, 1, 0.575)"
Henry percy,"d3.hsl(185, 1, 0.595833333333)"
Lord berkeley,"d3.hsl(185, 1, 0.616666666667)"
Captain,"d3.hsl(185, 1, 0.6375)"
Earl of salisbury,"d3.hsl(185, 1, 0.658333333333)"
Bishop of carlisle,"d3.hsl(185, 1, 0.679166666667)"
Sir stephen scroop,"d3.hsl(185, 1, 0.7)"
Lady,"d3.hsl(185, 1, 0.720833333333)"
Gardener,"d3.hsl(185, 1, 0.741666666667)"
Gardener,"d3.hsl(185, 1, 0.7625)"
Lord fitzwater,"d3.hsl(185, 1, 0.783333333333)"
Lord,"d3.hsl(185, 1, 0.804166666667)"
Duke of surrey,"d3.hsl(185, 1, 0.825)"
Abbot,"d3.hsl(185, 1, 0.845833333333)"
Duchess of york,"d3.hsl(185, 1, 0.866666666667)"
Exton,"d3.hsl(185, 1, 0.8875)"
Groom,"d3.hsl(185, 1, 0.908333333333)"
Keeper,"d3.hsl(185, 1, 0.929166666667)"
