name,color
Sampson,"d3.hsl(185, 1, 0.2)"
Gregory,"d3.hsl(185, 1, 0.221428571429)"
Abraham,"d3.hsl(185, 1, 0.242857142857)"
Benvolio,"d3.hsl(185, 1, 0.264285714286)"
Tybalt,"d3.hsl(185, 1, 0.285714285714)"
First citizen,"d3.hsl(185, 1, 0.307142857143)"
Capulet,"d3.hsl(185, 1, 0.328571428571)"
Lady capulet,"d3.hsl(185, 1, 0.35)"
Montague,"d3.hsl(185, 1, 0.371428571429)"
Lady montague,"d3.hsl(185, 1, 0.392857142857)"
Prince,"d3.hsl(185, 1, 0.414285714286)"
Romeo,"d3.hsl(185, 1, 0.435714285714)"
Paris,"d3.hsl(185, 1, 0.457142857143)"
Servant,"d3.hsl(185, 1, 0.478571428571)"
Nurse,"d3.hsl(185, 1, 0.5)"
Juliet,"d3.hsl(185, 1, 0.521428571429)"
Mercutio,"d3.hsl(185, 1, 0.542857142857)"
First servant,"d3.hsl(185, 1, 0.564285714286)"
Second servant,"d3.hsl(185, 1, 0.585714285714)"
Second capulet,"d3.hsl(185, 1, 0.607142857143)"
Friar laurence,"d3.hsl(185, 1, 0.628571428571)"
Peter,"d3.hsl(185, 1, 0.65)"
Nurse,"d3.hsl(185, 1, 0.671428571429)"
Lady  capulet,"d3.hsl(185, 1, 0.692857142857)"
First musician,"d3.hsl(185, 1, 0.714285714286)"
Second musician,"d3.hsl(185, 1, 0.735714285714)"
Musician,"d3.hsl(185, 1, 0.757142857143)"
Third musician,"d3.hsl(185, 1, 0.778571428571)"
Balthasar,"d3.hsl(185, 1, 0.8)"
Apothecary,"d3.hsl(185, 1, 0.821428571429)"
Friar john,"d3.hsl(185, 1, 0.842857142857)"
Page,"d3.hsl(185, 1, 0.864285714286)"
First watchman,"d3.hsl(185, 1, 0.885714285714)"
Second watchman,"d3.hsl(185, 1, 0.907142857143)"
Third watchman,"d3.hsl(185, 1, 0.928571428571)"
