name,color
Sly,"d3.hsl(185, 1, 0.2)"
Hostess,"d3.hsl(185, 1, 0.219736842105)"
Lord,"d3.hsl(185, 1, 0.239473684211)"
First Huntsman,"d3.hsl(185, 1, 0.259210526316)"
Second Huntsman,"d3.hsl(185, 1, 0.278947368421)"
Servant,"d3.hsl(185, 1, 0.298684210526)"
Players,"d3.hsl(185, 1, 0.318421052632)"
A Player,"d3.hsl(185, 1, 0.338157894737)"
First Servant,"d3.hsl(185, 1, 0.357894736842)"
Second Servant,"d3.hsl(185, 1, 0.377631578947)"
Third Servant,"d3.hsl(185, 1, 0.397368421053)"
All,"d3.hsl(185, 1, 0.417105263158)"
Page,"d3.hsl(185, 1, 0.436842105263)"
Messenger,"d3.hsl(185, 1, 0.456578947368)"
Lucentio,"d3.hsl(185, 1, 0.476315789474)"
Tranio,"d3.hsl(185, 1, 0.496052631579)"
Baptista,"d3.hsl(185, 1, 0.515789473684)"
Gremio,"d3.hsl(185, 1, 0.535526315789)"
Katharina,"d3.hsl(185, 1, 0.555263157895)"
Hortensio,"d3.hsl(185, 1, 0.575)"
Hortensia,"d3.hsl(185, 1, 0.594736842105)"
Bianca,"d3.hsl(185, 1, 0.614473684211)"
Biondello,"d3.hsl(185, 1, 0.634210526316)"
Petruchio,"d3.hsl(185, 1, 0.653947368421)"
Grumio,"d3.hsl(185, 1, 0.673684210526)"
Katarina,"d3.hsl(185, 1, 0.693421052632)"
Curtis,"d3.hsl(185, 1, 0.713157894737)"
Nathaniel,"d3.hsl(185, 1, 0.732894736842)"
Philip,"d3.hsl(185, 1, 0.752631578947)"
Joseph,"d3.hsl(185, 1, 0.772368421053)"
Nicholas,"d3.hsl(185, 1, 0.792105263158)"
All Serving-men,"d3.hsl(185, 1, 0.811842105263)"
Peter,"d3.hsl(185, 1, 0.831578947368)"
Pedant,"d3.hsl(185, 1, 0.851315789474)"
Haberdasher,"d3.hsl(185, 1, 0.871052631579)"
Tailor,"d3.hsl(185, 1, 0.890789473684)"
Vincentio,"d3.hsl(185, 1, 0.910526315789)"
Widow,"d3.hsl(185, 1, 0.930263157895)"
