name,color
Valentine,"d3.hsl(185, 1, 0.2)"
Proteus,"d3.hsl(185, 1, 0.244117647059)"
Speed,"d3.hsl(185, 1, 0.288235294118)"
Julia,"d3.hsl(185, 1, 0.332352941176)"
Lucetta,"d3.hsl(185, 1, 0.376470588235)"
Antonio,"d3.hsl(185, 1, 0.420588235294)"
Panthino,"d3.hsl(185, 1, 0.464705882353)"
Silvia,"d3.hsl(185, 1, 0.508823529412)"
Launce,"d3.hsl(185, 1, 0.552941176471)"
Thurio,"d3.hsl(185, 1, 0.597058823529)"
Duke,"d3.hsl(185, 1, 0.641176470588)"
First outlaw,"d3.hsl(185, 1, 0.685294117647)"
Second outlaw,"d3.hsl(185, 1, 0.729411764706)"
Third outlaw,"d3.hsl(185, 1, 0.773529411765)"
Host,"d3.hsl(185, 1, 0.817647058824)"
Eglamour,"d3.hsl(185, 1, 0.861764705882)"
Outlaws,"d3.hsl(185, 1, 0.905882352941)"
