name,color
Duke Orsino,"d3.hsl(185, 1, 0.2)"
Curio,"d3.hsl(185, 1, 0.241666666667)"
Valentine,"d3.hsl(185, 1, 0.283333333333)"
Viola,"d3.hsl(185, 1, 0.325)"
Captain,"d3.hsl(185, 1, 0.366666666667)"
Sir Toby Belch,"d3.hsl(185, 1, 0.408333333333)"
Maria,"d3.hsl(185, 1, 0.45)"
Sir Andrew,"d3.hsl(185, 1, 0.491666666667)"
Clown,"d3.hsl(185, 1, 0.533333333333)"
Olivia,"d3.hsl(185, 1, 0.575)"
Malvolio,"d3.hsl(185, 1, 0.616666666667)"
Antonio,"d3.hsl(185, 1, 0.658333333333)"
Sebastian,"d3.hsl(185, 1, 0.7)"
Fabian,"d3.hsl(185, 1, 0.741666666667)"
Servant,"d3.hsl(185, 1, 0.783333333333)"
First Officer,"d3.hsl(185, 1, 0.825)"
Second Officer,"d3.hsl(185, 1, 0.866666666667)"
Priest,"d3.hsl(185, 1, 0.908333333333)"
